source_headword	SL	example_SL
toss	vreči	Ključe je vrgla na mizo.
total	znašati	Popravila znašajo več od pričakovanj.
toxic	strupen	Strupeni dim je vse pregnal ven.
trademark	blagovna znamka	Logotip je postal blagovna znamka podjetja.
trail	pot	Pot je vodila skozi gozd.
trailer	napovednik	Napovednik je prikazal konec filma.
transaction	transakcija	Transakcija se je pojavila na mojem bančnem izpisku.
transcript	prepis	Študent je zahteval uradni prepis.
transformation	preobrazba	Mesto je doživelo veliko preobrazbo.
transit	tranzit	Paket je bil poškodovan med tranzitom.
transmission	prenos	Prenos podatkov je bil varen.
transparency	preglednost	Poročilo je pozivalo k večji preglednosti.
transparent	pregleden	Proces bi moral biti pregleden za vse.
trauma	travma	Nesreča je pustila globoko travmo.
treaty	sporazum	Državi sta podpisali mirovni sporazum.
tremendous	ogromen	Ekipa je dosegla ogromen napredek.
tribal	plemenski	Muzej je razstavil plemensko umetnost.
tribunal	sodišče	Tribunal je vse teden poslušal dokaze.
tribute	poklon	Koncert je bil poklon njej.
trio	trio	Trio je nastopil na festivalu.
triumph	zmagoslavje	Zmaga je bila osebno zmagoslavje.
trophy	lovorika	Kapetan je ponosno dvignil lovoriko.
troubled	težaven	Težavno podjetje je potrebovalo novo vodstvo.
trustee	skrbnik	Skrbnik upravlja s štipendijskim skladom.
tuition	šolnina	Njena šolnina se je letos zvišala.
turnout	udeležba	Volilna udeležba je bila višja od pričakovane.
turnover	fluktuacija	Fluktuacija zaposlenih je po spremembah padla.
twist	odviti	Odvila je pokrov.
undergraduate	dodiplomski študent	Dodiplomski študent se je pridružil raziskovalnemu projektu.
underlying	temeljni	Poročilo je pojasnilo temeljne vzroke.
undermine	spodkopati	Škandal je spodkopal zaupanje javnosti.
undoubtedly	nedvomno	Ona je nedvomno najboljša kandidatka.
unify	združiti	Načrt si prizadeva združiti ekipe.
unprecedented	brez primere	Neurje je povzročilo škodo brez primere.
unveil	razkriti	Podjetje bo jutri razkrilo načrt.
upcoming	prihajajoči	Prihajajoče volitve so pritegnile pozornost javnosti.
upgrade	nadgraditi	Sinoči smo nadgradili programsko opremo.
uphold	podpreti	Podpiramo prvotno odločitev.
utility	obratovalni stroški	Stanovanje vključuje vse obratovalne stroške.
utilize	uporabiti	Ekipa je uporabila razpoložljive podatke.
utterly	popolnoma	Razlaga je bila popolnoma zmedena.
vacuum	vakuum	Vakuum v vodstvu je povzročil napetost.
vague	nejasen	Njegov odgovor je bil nejasen in šibek.
validity	veljavnost	Študija je podvomila v veljavnost testa.
vanish	izginiti	Datoteka je izginila iz mape.
variable	spremenljivka	Cena je pomembna spremenljivka.
varied	raznolik	Tečaj ponuja raznolike naloge.
vein	vena	Medicinska sestra je hitro našla veno.
venture	podvig	Nov podvig je pritegnil vlagatelje.
verbal	ustni	Dosegli so ustni dogovor.
verdict	razsodba	Porota je izrekla razsodbo.
verify	preveriti	Prosimo, preverite svoj e-poštni naslov.
verse	verz	Citirala je verz iz pesmi.
versus	proti	Razprava je bila zasebnost proti varnosti.
vessel	plovilo	Plovilo je prepeljalo žito čez morje.
veteran	veteran	Veteran je usposabljal novo osebje.
viable	izvedljiv	Predlog je finančno izvedljiv.
vibrant	živahen	Mesto ima živahno umetniško sceno.
vice	razvada	Pohlep je bil njegova največja razvada.
vicious	zloben	Zloben napad je šokiral mesto.
villager	vaščan	Vaščan nas je vodil do reke.
violate	kršiti	Podjetje lahko krši varnostna pravila.
violation	kršitev	Inšpektor je poročal o resni kršitvi.
virtue	vrlina	Potrpežljivost je pomembna vrlina.
vocal	glasen	O odločitvi je bila zelo glasna.
vow	zaobljubiti se	Zaobljubil se je, da bo končal delo.
vulnerability	ranljivost	Revizija je razkrila varnostno ranljivost.
vulnerable	ranljiv	Otroci so ranljivi med hudo vročino.
ward	oddelek	Pacient se je preselil na drug oddelek.
warehouse	skladišče	Skladišče hrani rezervne dele.
warfare	vojskovanje	Sodobno vojskovanje temelji na tehnologiji.
warrant	nalog	Policija je pokazala nalog za preiskavo.
warrior	bojevnik	Bojevnik je ščitil vas.
weaken	oslabiti	Poškodba je oslabila njegov oprijem.
weave	plesti	Naučila se je plesti košare.
weed	plevel	Med kamni je zrasel plevel.
well	vodnjak	Vaški vodnjak je presahnil.
well-being	dobrobit	Spanje je ključno za dobrobit.
whatsoever	sploh	Sploh ni pokazal nobenega zanimanja.
whereby	s katerim	Zakon je ustvaril sistem, s katerim so se družine lahko pritožile.
whilst	medtem ko	Delala je, medtem ko je on počival.
whip	bičati	Veter lahko biča zastave.
wholly	popolnoma	Odločitev je bila popolnoma nepričakovana.
widen	razširiti	Mesto načrtuje razširitev ceste.
widow	vdova	Vdova živi blizu šole.
width	širina	Izmerite širino vrat.
willingness	pripravljenost	Njena pripravljenost pomagati je navdušila vse.
wipe	obrisati	Zaslon obrišite s krpo.
wit	duhovitost	Zaradi njegove duhovitosti je bil govor živahen.
withdrawal	umik	Umik financiranja je zamaknil projekt.
workout	trening	Trening je trajal štirideset minut.
worship	bogoslužje	Ljudje so se ob zori zbrali k bogoslužju.
worthwhile	vreden truda	Izlet je bil vreden truda.
worthy	vreden	Dobrodelna organizacija je vredna podpore.
yell	kričati	Ne kričite na osebje.
yield	donos	Donos kmetije se je to sezono izboljšal.
youngster	mladenič	Mladenič je postavil veliko vprašanj.
