source_headword	PT	example_PT
strengthen	fortalecer	A nova política vai fortalecer a segurança online.
strictly	estritamente	Os bilhetes estão estritamente limitados a dois por pessoa.
striking	impressionante	O quadro tem cores impressionantes.
stroke	o traço	Ela deu uma pincelada no papel.
stunning	deslumbrante	A vista da montanha era deslumbrante.
subsequent	subsequente	A reunião subsequente confirmou o orçamento.
subsequently	subsequentemente	A estrada fechou; subsequentemente, o trânsito moveu-se devagar.
suburb	o subúrbio	Eles vivem num subúrbio tranquilo.
suffering	o sofrimento	O medicamento reduziu o seu sofrimento.
sufficient	suficiente	A equipa tem tempo suficiente.
sufficiently	suficientemente	O quarto está suficientemente quente.
super	super	O novo tablet é super rápido.
surgeon	o cirurgião	O cirurgião reparou o joelho lesionado.
survival	a sobrevivência	A água limpa é essencial para a sobrevivência.
survivor	o sobrevivente	O sobrevivente descreveu a inundação.
suspend	suspender	A escola pode suspender a viagem.
sustainable	sustentável	A quinta usa métodos sustentáveis.
swallow	engolir	Engula o comprimido com água.
sympathetic	compreensivo	O gerente foi compreensivo com o problema dela.
tackle	enfrentar	Precisamos de enfrentar o problema da habitação.
tag	a etiqueta	O saco tinha uma etiqueta de preço.
tap	a torneira	Ela fechou a torneira.
technological	tecnológico	A mudança tecnológica afeta todos os locais de trabalho.
teens	os adolescentes	Muitos adolescentes usam as redes sociais diariamente.
temple	o templo	O templo situava-se perto do rio.
temporarily	temporariamente	O escritório está temporariamente fechado.
tendency	a tendência	Ele tem a tendência de chegar atrasado.
tension	a tensão	A tensão aumentou durante a discussão.
terms	os termos	Os termos do contrato eram claros.
terribly	terrivelmente	A criança estava terrivelmente chateada.
terrify	aterrorizar	Barulhos altos aterrorizam o cão.
territory	o território	O mapa mostra o novo território.
terror	o terror	O terror espalhou-se após o ataque.
terrorism	o terrorismo	O terrorismo ameaça a segurança pública.
terrorist	o terrorista	A polícia prendeu o terrorista ontem.
testing	a testagem	A testagem do produto começa na segunda-feira.
textbook	o manual	Ela esqueceu-se do seu manual de biologia.
theft	o furto	O furto aumentou na área.
therapist	o terapeuta	O terapeuta ajudou-o a gerir a ansiedade.
thesis	a tese	A tese dela examina a aprendizagem online.
thorough	minucioso	Uma revisão minuciosa não encontrou erros.
thoroughly	cuidadosamente	Limpe a ferida cuidadosamente.
thumb	o polegar	Ele levantou o polegar para sinalizar aprovação.
timing	o momento	O momento da chamada foi perfeito.
tissue	o lenço de papel	Ela limpou o vidro com um lenço de papel.
ton	a tonelada	O camião transportou uma tonelada de areia.
tonne	a tonelada	O carregamento pesava uma tonelada.
tournament	o torneio	O torneio de ténis começa amanhã.
trace	rastrear	Os cientistas podem rastrear a origem do vírus.
trading	a negociação	A negociação de ações parou ao meio-dia.
tragedy	a tragédia	O acidente foi uma tragédia terrível.
tragic	trágico	A colisão teve consequências trágicas.
trait	a característica	A paciência é uma característica útil.
transmit	transmitir	Os mosquitos podem transmitir doenças.
transportation	o transporte	Os transportes públicos estão lotados hoje.
trap	capturar	A caixa pode capturar insetos em segurança.
treasure	o tesouro	A velha arca guardava um tesouro.
tribe	a tribo	A tribo protegeu as suas tradições.
trigger	desencadear	O fumo pode desencadear o alarme.
trillion	o bilião	A dívida atingiu um bilião de dólares.
troop	a tropa	A tropa moveu-se em direção à fronteira.
tsunami	o tsunami	O tsunami destruiu as casas costeiras.
ultimate	final	O objetivo final é a paz.
unacceptable	inaceitável	O atraso foi inaceitável para os passageiros.
uncertainty	a incerteza	A incerteza deixou os investidores nervosos.
undergo	ser submetido a	O paciente será submetido a uma cirurgia amanhã.
undertake	realizar	A equipa vai realizar um inquérito.
unfold	desenrolar-se	O drama começou a desenrolar-se lentamente.
unfortunate	lamentável	O erro foi lamentável, mas reparável.
unite	unir	Os líderes tentaram unir o partido.
unity	a união	O discurso apelou à união nacional.
universal	universal	A aplicação usa um design universal.
urgent	urgente	O hospital recebeu uma chamada urgente.
usage	o uso	O guia explica o uso correto.
useless	inútil	O carregador partido é inútil.
valid	válido	O seu passaporte ainda é válido.
variation	a variação	Existe uma grande variação nos preços.
vertical	vertical	O gráfico tem um eixo vertical.
viewpoint	o ponto de vista	O ponto de vista dela mudou após o debate.
visa	o visto	Ele pediu um visto de estudante.
visible	visível	A placa é visível daqui.
voluntary	voluntário	O curso inclui workshops voluntários.
voting	a votação	A votação antecipada começa para a semana.
wander	passear	Os turistas passeiam pelo mercado antigo.
warming	o aquecimento	O aquecimento global afeta o nível do mar.
weekly	semanal	A equipa tem uma reunião semanal.
weird	estranho	O barulho soou estranho.
welfare	o bem-estar	O programa apoia o bem-estar infantil.
wheat	o trigo	O agricultor cultiva trigo.
whoever	quem quer que	Quem quer que chegue primeiro deve esperar lá fora.
widespread	generalizado	A tempestade causou danos generalizados.
wisdom	a sabedoria	A avó dela partilhou sabedoria prática.
withdraw	retirar	Ele decidiu retirar a sua candidatura.
workforce	a força de trabalho	A força de trabalho precisa de novas competências.
workplace	o local de trabalho	O local de trabalho tem regras de segurança claras.
workshop	o workshop	O workshop começa às dez.
worm	a minhoca	Uma minhoca moveu-se pelo solo.
wrist	o pulso	Ela magoou o pulso.
