source_headword	ES	example_ES
absorb	absorber	La toalla absorbe el agua rápidamente.
abstract	abstracto	La conferencia trató sobre ideas abstractas.
accent	el acento	Su acento es fácil de entender.
accidentally	accidentalmente	Borré el archivo accidentalmente.
accommodate	acomodar	El hotel puede alojar a familias numerosas.
accomplish	lograr	Ella logró su objetivo antes de junio.
accountant	el contador	El contador revisó la factura.
accuracy	la precisión	La prueba mide la precisión de la lectura.
accurately	con precisión	El mapa muestra la ruta con precisión.
acid	el ácido	El ácido dañó la superficie de metal.
activate	activar	Presione el botón para activar la alarma.
addiction	la adicción	Su adicción afectó su trabajo.
additionally	adicionalmente	Además, necesitamos más sillas.
adequate	adecuado	La habitación tiene luz adecuada.
adequately	adecuadamente	El informe explicó el problema adecuadamente.
adjust	ajustar	Ajuste el asiento antes de conducir.
affordable	asequible	El apartamento es asequible para los estudiantes.
agriculture	la agricultura	La agricultura sostiene a muchas familias rurales.
AIDS	el SIDA	Los médicos tratan el SIDA con medicina moderna.
alien	el extraterrestre	La película muestra un planeta alienígena.
alongside	junto a	El carril bici corre junto al río.
altogether	completamente	En total, el proyecto duró seis semanas.
ambulance	la ambulancia	La ambulancia llegó en cuestión de minutos.
amusing	divertido	La historia fue divertida y ligera.
analyst	el analista	El analista revisó los datos de ventas.
ancestor	el antepasado	Mi antepasado vivió cerca de este pueblo.
animation	la animación	La animación hizo la lección más clara.
annually	anualmente	El festival se celebra anualmente.
anticipate	anticipar	Anticipamos mucho tráfico mañana.
anxiety	la ansiedad	La ansiedad puede dificultar el sueño.
apology	la disculpa	Ella ofreció una disculpa sincera.
applicant	el solicitante	El solicitante envió un currículum nuevo.
appropriately	adecuadamente	Por favor, vístase adecuadamente para la entrevista.
arrow	la flecha	La flecha señala la salida.
artwork	la obra de arte	El museo exhibió obras de arte locales.
aside	a un lado	Ella se hizo a un lado para dejarlo pasar.
asset	el activo	La experiencia es un activo valioso.
assign	asignar	El profesor asignó la tarea hoy.
assistance	la asistencia	Por favor, pida asistencia al personal.
assumption	la suposición	Esa suposición podría estar equivocada.
assure	asegurar	Te aseguro que la puerta está cerrada.
astonishing	asombroso	La vista desde el acantilado era asombrosa.
attachment	el archivo adjunto	El correo electrónico incluye un archivo adjunto.
auction	la subasta	La pintura se vendió en una subasta.
audio	auditivo	La grabación de audio suena clara.
automatic	automático	La puerta tiene una cerradura automática.
automatically	automáticamente	Las luces se encienden automáticamente.
awareness	la conciencia	La campaña aumentó la conciencia pública.
awkward	incómodo	El silencio fue incómodo.
badge	la placa	Los visitantes deben llevar una placa.
balanced	equilibrado	Una dieta equilibrada incluye verduras.
ballet	el ballet	Ella estudia ballet después de la escuela.
balloon	el globo	El globo flotaba sobre la mesa.
barely	apenas	Apenas escuchó el anuncio.
bargain	la ganga	Esa chaqueta fue una verdadera ganga.
basement	el sótano	Las cajas están en el sótano.
basket	la cesta	Ella puso manzanas en la cesta.
bat	el bate	El murciélago salió volando de la cueva.
beneficial	beneficioso	El ejercicio regular es beneficioso para la salud.
beside	junto a	La lámpara está al lado del sofá.
besides	además	Además de matemáticas, estudia química.
bias	el sesgo	El artículo mostró un sesgo claro.
bid	la oferta	La empresa hizo una oferta más alta.
biological	biológico	La prueba biológica confirmó el resultado.
blanket	la manta	El niño durmió bajo una manta.
