simplified	AZ	example_AZ
啊	təsdiq hissəciyi; ah	Yaxşı, indi gedək.
阿姨	xala; uşaq baxıcısı	Xala böyük mağazada işləyir.
矮	alçaq; boyu qısa	Bu stol bir az alçaqdır.
爱好	maraq; hobbi	Mənim marağım musiqi dinləməkdir.
安静	sakit; səssiz	Kitabxanada çox sakitdir.
把	tutmaq; götürmək; obyekt hissəciyi	Zəhmət olmasa, qapını bağlayın.
搬	köçmək; daşımaq	Biz sabah köçürük.
班	sinif; qrup	Bizim sinifdə iyirmi şagird var.
办法	üsul; yol	Bu üsul çox yaxşıdır.
办公室	ofis; iş otağı	Menecer ofisdədir.
半	yarım	Mən yarım saat gözlədim.
帮忙	kömək etmək	Kömək edə bilərsiniz?
包	çanta; bükmək	O yeni çanta aldı.
饱	tox; doymaq	Mən artıq doymuşam.
北方	şimal; şimal tərəfi	Şimalda qış çox soyuq olur.
被	məchul növ hissəciyi; tərəfindən	Velosipedimi dostum götürüb.
鼻子	burun	Onun burnu bir az qızarıb.
比较	müqayisə etmək; nisbətən	Bu gün nisbətən istidir.
比赛	yarış; oyun	Bu yarış çox vacibdir.
笔记本	dəftər; qeyd dəftəri	Mən dəftəri stolun üstünə qoydum.
必须	mütləq; lazımdır	Sən mütləq diqqətlə təkrar etməlisən.
变化	dəyişiklik; dəyişmək	Bu şəhər çox dəyişib.
别人	başqaları	Başqalarının əşyalarını götürmə.
冰箱	soyuducu	Meyvələr soyuducudadır.
不但…而且…	təkcə... deyil, həm də...	O təkcə ağıllı deyil, həm də çox çalışqandır.
菜单	menyu; yemək siyahısı	Zəhmət olmasa, mənə bir menyu verin.
参加	qatılmaq; iştirak etmək	Mən bu iclasda iştirak etmək istəyirəm.
草	ot; çəmənlik	Köpək balası çəmənlikdə qaçır.
层	mərtəbə; qat	Bu binanın üç mərtəbəsi var.
差	pis; fərq; çatışmazlıq	Bu gün hava pisdir.
超市	böyük mağaza	Mən çörək almaq üçün böyük mağazaya gedirəm.
衬衫	köynək	Bu köynək çox təmizdir.
城市	şəhər	Pekin böyük şəhərdir.
成绩	nəticə; qiymət	Onun riyaziyyat qiymətləri yaxşıdır.
迟到	gecikmək	Dərsə gecikmə.
除了	-dan başqa; əlavə olaraq	Qəhvədən başqa, mən çay da istəyirəm.
船	qayıq; gəmi	Biz o şəhərə qayıqla gedirik.
春	yaz	Yazda güllər çox olur.
词典	lüğət	Bu lüğət çox faydalıdır.
聪明	ağıllı	Bu uşaq çox ağıllıdır.
打扫	təmizləmək; süpürmək	Mən həftəsonu otağı təmizləyirəm.
打算	plan; planlaşdırmaq	Sabah üçün nə planın var?
带	gətirmək; özü ilə aparmaq	Zəhmət olmasa, pasportunuzu gətirin.
担心	narahat olmaq	Narahat olmayın, mən sizə kömək edəcəyəm.
蛋糕	tort	Bu tort çox şirindir.
当然	əlbəttə	Əlbəttə olar.
地	zərflik hissəciyi	O sevinclə gülümsədi.
