source_headword	MY	example_MY
abolish	ဖျက်သိမ်းသည်	ဥပဒေက အခကြေးငွေဟောင်းကို ဖျက်သိမ်းလိမ့်မည်။
abortion	ကိုယ်ဝန်ဖျက်ချခြင်း	ကိုယ်ဝန်ဖျက်ချခြင်းသည် အကဲဆတ်သော ဆေးဘက်ဆိုင်ရာ ပြဿနာတစ်ခုအဖြစ် ရှိနေဆဲဖြစ်သည်။
absence	ပျက်ကွက်ခြင်း	သူမမရှိခြင်းက နောက်ဆုံးဆုံးဖြတ်ချက်ကို နှောင့်နှေးစေခဲ့သည်။
absent	ပျက်ကွက်သော	အဖွဲ့ဝင်နှစ်ဦး အတန်းပျက်ခဲ့သည်။
absurd	အဓိပ္ပာယ်မရှိသော	ထိုပြောဆိုချက်သည် လူတိုင်းအတွက် အဓိပ္ပာယ်မရှိဟု ထင်ရသည်။
abundance	ပေါများခြင်း	တောင်ကြားတွင် ရေပေါများစွာ ရှိသည်။
abuse	အလွဲသုံးစားလုပ်ခြင်း	အစီရင်ခံစာတွင် လုပ်ငန်းခွင်အတွင်း အနိုင်ကျင့်စော်ကားမှုများကို ဖော်ပြထားသည်။
academy	အကယ်ဒမီ	အဆိုပါ အကယ်ဒမီသည် လူငယ်ဂီတသမားများကို လေ့ကျင့်ပေးသည်။
accelerate	အရှိန်မြှင့်သည်	မူဝါဒအသစ်သည် သုတေသနကို ပိုမြန်စေသည်။
acceptance	လက်ခံခြင်း	သူ၏ ဝေဖန်မှုကို လက်ခံမှုက ကျွန်တော့်ကို သဘောကျစေခဲ့သည်။
accessible	ဝင်ရောက်နိုင်သော	ပြတိုက်ကို ဘီးတပ်ကုလားထိုင် အသုံးပြုသူများ ဝင်ရောက်နိုင်သည်။
accomplishment	အောင်မြင်မှု	စာအုပ်ကို အဆုံးသတ်နိုင်ခြင်းသည် တကယ့်အောင်မြင်မှုတစ်ခုဖြစ်သည်။
accordance	ကိုက်ညီမှု	လုပ်ငန်းကို မူဝါဒနှင့်အညီ လုပ်ဆောင်ခဲ့သည်။
accordingly	လိုက်လျောညီထွေ	အထောက်အထားများ ပြောင်းလဲသွားသဖြင့် ကျွန်ုပ်တို့လည်း လိုက်လျောညီထွေ ဆောင်ရွက်ခဲ့သည်။
accountability	တာဝန်ခံမှု	မူဝါဒသည် မန်နေဂျာများအတွက် တာဝန်ခံမှုကို တိုးစေသည်။
accountable	တာဝန်ခံရသော	မန်နေဂျာများသည် ဘေးကင်းရေးအတွက် တာဝန်ခံရသည်။
accumulate	စုပုံသည်	ဖန်သားပြင်နောက်ဘက်တွင် ဖုန်မှုန့်များ စုပုံလာနိုင်သည်။
accumulation	စုဆောင်းခြင်း	ဒေတာစုဆောင်းမှုသည် လပေါင်းများစွာ ကြာခဲ့သည်။
accusation	စွပ်စွဲချက်	စွပ်စွဲချက်က ကော်မတီကို တုန်လှုပ်သွားစေခဲ့သည်။
accused	စွပ်စွဲခံရသူ	စွပ်စွဲခံရသူသည် တရားရုံးသို့ လာရောက်ခဲ့သည်။
acquisition	ဝယ်ယူခြင်း	ထိုဝယ်ယူမှုက ကုမ္ပဏီကို လျင်မြန်စွာ တိုးချဲ့နိုင်ခဲ့သည်။
