source_headword	CS	example_CS
crawl	plazit se	Dítě se začalo plazit po koberci.
creator	tvůrce	Tvůrce poděkoval všem za podporu.
credibility	důvěryhodnost	Svědek ztratil během výslechu důvěryhodnost.
credible	důvěryhodný	Zpráva nabídla důvěryhodné důkazy.
creep	plížit se	Údolím se začala plížit mlha.
critique	kritika	Profesor podal podrobnou kritiku.
crown	koruna	Královna nosila stříbrnou korunu.
crude	hrubý	Kresba byla hrubá, ale jasná.
crush	rozdrtit	Těžké kameny mohou trubku rozdrtit.
crystal	křišťál	Křišťál odrážel ranní světlo.
cult	kult	Kult izoloval své členy.
cultivate	pěstovat	Zemědělci v této oblasti pěstují rýži.
curiosity	zvědavost	Zvědavost ji přivedla k vědě.
custody	péče	Dítě zůstalo v péči otce.
cutting	výstřižek	Noviny o něm otiskly výstřižek.
cynical	cynický	Jeho cynická poznámka tým naštvala.
dam	přehrada	Přehrada zadržuje vodu z řeky.
damaging	škodlivý	Škodlivý článek poškodil kampaň.
dawn	svítání	Vesnici jsme opustili za svítání.
debris	trosky	Trosky z bouře zablokovaly silnici.
debut	debut	Její debut vzbudil národní pozornost.
decision-making	rozhodování	Dobré rozhodování vyžaduje jasné informace.
decisive	rozhodný	Její rozhodný krok zabránil dalším škodám.
declaration	prohlášení	Ministr přečetl formální prohlášení.
dedicated	oddaný	Oddaná zdravotní sestra pracovala přes noc.
dedication	oddanost	Jeho oddanost inspirovala mladší hráče.
deed	skutek	Odvážný skutek zachránil dva životy.
deem	považovat	Soud může smlouvu považovat za neplatnou.
default	výchozí	Zatím použijte výchozí nastavení.
defect	vada	Inspektoři našli vážnou závadu.
defensive	obranný	Jeho obranný tón všechny překvapil.
deficiency	nedostatek	Nedostatek železa může ovlivnit zdraví.
deficit	deficit	Rozpočtový deficit znepokojil úředníky.
defy	vzdorovat	Demonstranti se rozhodli zákazu vzdorovat.
delegate	delegát	Každý delegát obdržel hlasovací lístek.
delegation	delegace	Delegace dorazila před polednem.
delicate	jemný	Jemné sklo se snadno rozbilo.
demon	démon	Příběh popisuje starověkého démona.
denial	popření	Jeho popírání oběti rozzlobilo.
denounce	odsoudit	Lídři odsuzují násilí na školách.
dense	hustý	Hustý les nepropouštěl sluneční světlo.
density	hustota	Hustota obyvatelstva je v centru vysoká.
dependence	závislost	Závislost země na ropě klesla.
depict	zobrazit	Nástěnná malba zobrazuje život na vesnici.
deploy	nasadit	Armáda nasadí další zaměstnance.
deployment	nasazení	Rozmístění vojáků začalo v pondělí.
deprive	připravit	Nedostatek spánku může studenty připravit o soustředění.
deputy	zástupce	Zástupce smlouvu podepsal.
descend	sestoupit	Cesta začala prudce klesat.
descent	sestup	Letadlo zahájilo klesání.
designate	určit	Město určí nový park.
desirable	žádoucí	Dobré osvětlení je ve třídách žádoucí.
desktop	plocha	Soubor je na mé ploše.
destructive	destruktivní	Bouře měla ničivou sílu.
detain	zadržet	Policie může podezřelé zadržet přes noc.
detection	odhalení	Včasné odhalení zlepšuje léčbu rakoviny.
detention	zadržení	Studenti protestovali proti podmínkám zadržení.
deteriorate	zhoršit se	Jeho zdraví se začalo zhoršovat.
devastate	zdevastovat	Zemětřesení může zdevastovat pobřežní města.
devil	ďábel	Dítě nakreslilo usmívajícího se ďábla.
devise	vymyslet	Inženýři vymýšlejí bezpečnější dopravní systémy.
diagnose	diagnostikovat	Lékaři diagnostikují nemoc pomocí krevních testů.
diagnosis	diagnóza	Diagnóza vysvětlila její příznaky.
dictate	diktovat	Smlouva bude diktovat platební podmínky.
dictator	diktátor	Diktátor ovládal média.
differentiate	rozlišit	Dokážete rozlišit fakta od názorů?
dignity	důstojnost	Každý si v práci zaslouží důstojnost.
dilemma	dilema	Manažer stál před vážným dilematem.
dimension	rozměr	Problém má politický rozměr.
diminish	zmenšit	Bolest by se měla pomalu zmenšovat.
dip	namočit	Teploty mohou klesnout pod bod mrazu.
diplomat	diplomat	Diplomat se setkal se zahraničními vůdci.
diplomatic	diplomatický	Diplomatické rozhovory pokračovaly přes noc.
directory	adresář	Vyhledejte jeho číslo v adresáři.
disastrous	katastrofální	Katastrofální povodeň zničila několik mostů.
discard	zavrhovat	Nevyhazujte užitečné záznamy.
discharge	propustit	Nemocnice ho zítra propustí.
disclose	prozradit	Úředníci odmítli čísla prozradit.
disclosure	zveřejnění	Zveřejnění správní radu šokovalo.
discourse	diskurz	Veřejný diskurz se stal zdvořilejším.
discretion	uvážení	U citlivých případů použijte své uvážení.
discrimination	diskriminace	Zákon zakazuje diskriminaci při najímání zaměstnanců.
dismissal	propuštění	Jeho propuštění vyvolalo veřejný hněv.
displace	vytlačit	Válka může vyhnat tisíce lidí.
disposal	likvidace	Likvidace odpadu zůstává místním problémem.
dispose	zbavit se	Společnost musí chemikálie bezpečně zlikvidovat.
dispute	spor	Spor trval měsíce.
disrupt	narušit	Hluk může narušit soustředění.
disruption	narušení	Stávka způsobila velké narušení.
dissolve	rozpustit	Cukr se v horkém čaji rozpustí.
distinction	rozdíl	Rozdíl mezi nimi je důležitý.
distinctive	osobitý	Má výrazný hlas.
distort	zkreslit	Zrcadlo může zkreslit váš odraz.
distress	utrpení	Hovor způsobil vážné utrpení.
disturbing	znepokojivý	Dokument ukázal znepokojivé scény.
divert	odklonit	Policie musela odklonit dopravu.
divine	božský	Kaple má božskou atmosféru.
doctrine	doktrína	Strana starou doktrínu odmítla.
documentation	dokumentace	Před spuštěním dokončete dokumentaci.
domain	doména	Web používá bezpečnou doménu.
dominance	dominance	Dominance týmu trvala desetiletí.
donor	dárce	Dárce dnes daroval krev.
dose	dávka	Vezměte si jednu dávku po snídani.
drain	odtékat	Voda bude odtékat do řeky.
drift	vznášet se	Kouř se začal vznášet nad silnicí.
driving	hnací	Déšť byl hnacím faktorem zpoždění.
drown	utopit se	Nikdy neplavte tam, kde vás proudy mohou utopit.
dual	dvojí	Zařízení má dvojí funkci.
