source_headword	DE	example_DE
fridge	der Kühlschrank	Die Milch ist im Kühlschrank.
frog	der Frosch	Ein Frosch sprang in den Teich.
furniture	die Möbel	Diese Möbel sind alt, aber stabil.
further	weiter; zusätzlich	Wir brauchen weitere Informationen.
gallery	die Galerie	Die Galerie ist heute geöffnet.
gap	die Lücke; der Abstand	In der Wand ist eine Lücke.
gas	das Benzin; das Gas	Das Auto braucht Benzin.
gate	das Tor; die Pforte	Schließ bitte das Tor.
general	allgemein; der General	Das ist eine allgemeine Regel.
gift	das Geschenk	Sie kaufte ein Geschenk.
goal	das Ziel; das Tor	Unser Ziel ist einfach.
god	Gott; der Gott	Viele Menschen beten zu Gott.
gold	das Gold; golden	Der Ring ist aus Gold.
golf	das Golf	Er spielt heute Golf.
government	die Regierung	Die Regierung änderte das Gesetz.
grass	das Gras	Das Gras ist nass.
greet	begrüßen	Begrüße jeden Gast höflich.
ground	der Boden; die Erde	Setz dich auf den Boden.
guest	der Gast	Unser Gast kam früh an.
guide	der Reiseleiter; die Reiseleiterin; führen	Der Reiseleiter zeigte uns das Museum.
gun	die Waffe; die Pistole	Die Polizei fand eine Pistole.
guy	der Typ; der Kerl	Der Typ ist mein Bruder.
habit	die Gewohnheit	Tägliches Lesen ist eine gute Gewohnheit.
hall	der Flur; die Halle	Warte im Flur.
happily	glücklich	Sie lebten glücklich zusammen.
headache	die Kopfschmerzen	Ich habe Kopfschmerzen.
heart	das Herz	Ihr Herz schlägt schnell.
heat	erhitzen; die Hitze	Erhitze die Suppe langsam.
heavy	schwer	Diese Tasche ist schwer.
height	die Höhe	Miss die Höhe des Tisches.
helpful	hilfreich	Dein Rat war hilfreich.
hero	der Held; die Heldin	Er ist mein Held.
hers	ihr; ihres	Der blaue Mantel gehört ihr.
herself	sie selbst	Sie kochte das Abendessen selbst.
hide	verstecken	Verstecke den Schlüssel unter der Box.
hill	der Hügel	Wir stiegen auf den Hügel.
himself	er selbst	Er reparierte es selbst.
hit	schlagen; der Treffer	Schlag nicht gegen die Tür.
hockey	das Hockey	Wir sahen gestern Abend Hockey.
hold	halten	Halt meine Hand.
hole	das Loch	In meiner Socke ist ein Loch.
huge	riesig	Das Zimmer ist riesig.
human	der Mensch; menschlich	Jeder Mensch braucht Wasser.
hurt	wehtun; verletzen	Mein Knie tut weh.
ideal	ideal	Dieses Zimmer ist ideal zum Lernen.
identify	erkennen; identifizieren	Kannst du diesen Vogel erkennen?
ill	krank	Sie fühlt sich heute krank.
illness	die Krankheit	Die Krankheit dauerte eine Woche.
image	das Bild	Das Bild ist klar.
immediately	sofort	Komm sofort hierher.
impossible	unmöglich	Dieses Rätsel scheint unmöglich.
included	inbegriffen; enthalten	Das Frühstück ist inbegriffen.
including	einschließlich; inklusive	Zehn Personen kamen, einschließlich mir.
increase	steigen; erhöhen; die Zunahme	Die Preise steigen im Sommer.
incredible	unglaublich	Die Aussicht war unglaublich.
independent	unabhängig	Meine Schwester ist unabhängig.
individual	die Person; individuell	Jede Person hat eine Nummer.
industry	die Industrie; die Branche	Die lokale Branche wächst.
informal	informell	Diese E-Mail ist informell.
injury	die Verletzung	Seine Verletzung ist nicht ernst.
insect	das Insekt	Ein Insekt landete auf der Tasse.
inside	drinnen; in	Warte drinnen im Haus.
instead	stattdessen	Trink stattdessen Wasser.
instruction	die Anweisung; die Anleitung	Lies jede Anweisung sorgfältig.
instructor	der Ausbilder; die Ausbilderin	Der Ausbilder erklärte die Übung.
instrument	das Instrument	Sie spielt ein Instrument.
intelligent	intelligent	Er ist ein intelligenter Student.
international	international	Das ist ein internationaler Flughafen.
introduction	die Einführung; die Vorstellung	Die Einführung war kurz.
invent	erfinden	Kinder können neue Spiele erfinden.
invention	die Erfindung	Die Erfindung sparte Zeit.
invitation	die Einladung	Ich erhielt eine Einladung.
invite	einladen	Lade auch deinen Freund ein.
involve	beinhalten; einbeziehen	Die Arbeit wird Reisen beinhalten.
item	der Gegenstand; der Artikel	Wähle einen Gegenstand.
itself	selbst	Die Maschine schaltet sich selbst aus.
jam	die Marmelade	Streiche Marmelade aufs Brot.
