source_headword	DE	example_DE
heal	heilen	Ruhe hilft dem Körper zu heilen.
healthcare	die Gesundheitsversorgung	Die Kosten für die Gesundheitsversorgung sind dieses Jahr gestiegen.
helmet	der Helm	Trage einen Helm auf dem Fahrrad.
hence	daher	Daher haben wir den Zeitplan geändert.
herb	das Kraut	Basilikum ist ein nützliches Kraut.
hidden	versteckt	Der Schlüssel war unter der Fußmatte versteckt.
highway	die Autobahn	Die Autobahn wurde nach dem Schnee gesperrt.
hilarious	urkomisch	Der Film war urkomisch.
hip	die Hüfte	Sie hat sich beim Training an der Hüfte verletzt.
historian	der Historiker	Der Historiker studierte alte Briefe.
homeless	obdachlos	Die Unterkunft hilft obdachlosen Familien.
honesty	die Ehrlichkeit	Ehrlichkeit schafft Vertrauen.
hook	der Haken	Hänge den Mantel an den Haken.
hopefully	hoffentlich	Hoffentlich kommt der Zug bald an.
hunger	der Hunger	Hunger kann die Konzentration beeinträchtigen.
hypothesis	die Hypothese	Das Experiment testete die Hypothese.
icon	das Symbol	Das App-Symbol hat sich heute geändert.
ID	der Ausweis	Zeigen Sie Ihren Ausweis an der Rezeption.
identical	identisch	Die Zwillinge trugen identische Jacken.
illusion	die Illusion	Der Spiegel erzeugt eine Illusion.
immigration	die Einwanderung	Die Einwanderungspolitik hat sich letztes Jahr geändert.
immune	immun	Eine Impfung kann Menschen immun machen.
implement	umsetzen	Die Schule wird die Richtlinie umsetzen.
implication	die Auswirkung	Die Auswirkung war klar.
incentive	der Anreiz	Der Bonus gab den Arbeitern einen Anreiz.
incorporate	einbauen	Bauen Sie mehr Gemüse in Ihre Mahlzeiten ein.
incorrect	falsch	Die Antwort war falsch.
independence	die Unabhängigkeit	Das Land feierte seine Unabhängigkeit.
index	das Inhaltsverzeichnis	Suche das Thema im Inhaltsverzeichnis.
indication	das Anzeichen	Das Lächeln war ein Anzeichen von Erleichterung.
inevitable	unvermeidlich	Eine gewisse Verzögerung war unvermeidlich.
inevitably	zwangsläufig	Zwangsläufig stiegen die Preise nach den Engpässen.
infer	ableiten	Wir können die Antwort aus dem Kontext ableiten.
inflation	die Inflation	Die Inflation erhöhte die Lebensmittelpreise.
info	die Info	Die Website enthält nützliche Infos.
infrastructure	die Infrastruktur	Der Sturm beschädigte die lokale Infrastruktur.
inhabitant	der Einwohner	Jeder Einwohner erhielt sauberes Wasser.
inherit	erben	Sie wird das Haus der Familie erben.
ink	die Tinte	Der Drucker benötigt schwarze Tinte.
innovation	die Innovation	Innovation treibt die Branche voran.
innovative	innovativ	Das Unternehmen hat ein innovatives Produkt auf den Markt gebracht.
input	der Beitrag	Der Manager bat um einen Beitrag.
insert	einführen	Führe die Karte in den Automaten ein.
inspector	der Inspektor	Der Inspektor hat das Gebäude überprüft.
installation	die Installation	Die Installation dauerte zwei Stunden.
instant	sofortig	Die App sendete eine sofortige Antwort.
instantly	sofort	Der Bildschirm schaltete sich sofort ein.
integrate	integrieren	Die Software kann neue Werkzeuge integrieren.
intellectual	intellektuell	Die Debatte war intellektuell, aber freundlich.
interact	interagieren	Die Schüler interagieren während der Gruppenarbeit.
interaction	die Interaktion	Die Interaktion war höflich.
interpretation	die Interpretation	Ihre Interpretation des Gedichts war originell.
interval	die Pause	Es gab eine kurze Pause zwischen den Akten.
invade	einmarschieren	Die Armee versuchte, auf der Insel einzumarschieren.
invasion	die Invasion	Die Invasion hat viele Städte beschädigt.
investor	der Investor	Der Investor hat ein neues Startup finanziert.
isolate	isolieren	Ärzte isolieren Patienten mit schweren Infektionen.
isolated	isoliert	Das Dorf war durch Schnee isoliert.
jail	das Gefängnis	Der Dieb kam ins Gefängnis.
jet	der Jet	Der Jet landete am Mittag.
joint	gemeinsam	Sie kündigten ein gemeinsames Projekt an.
journalism	der Journalismus	Journalismus erfordert genaue Fakten.
jury	die Jury	Die Jury traf eine Entscheidung.
kit	das Set	Das Reparaturset enthält Schrauben.
ladder	die Leiter	Die Leiter lehnte an der Wand.
landing	die Landung	Das Flugzeug machte eine sanfte Landung.
lane	die Spur	Bleib auf der rechten Spur.
lately	in letzter Zeit	Ich habe in letzter Zeit schlecht geschlafen.
leaflet	die Broschüre	Die Broschüre erklärt den Service.
legend	die Legende	Die Legende erzählt von einer verborgenen Stadt.
lens	das Objektiv	Reinige das Kameraobjektiv vorsichtig.
lifetime	das Leben	Er hat ein Leben lang Geld gespart.
lighting	die Beleuchtung	Gute Beleuchtung wertet den Raum auf.
likewise	ebenso	Sie lächelte; er tat es ebenso.
limitation	die Einschränkung	Der Plan hat eine Einschränkung.
literally	buchstäblich	Sie rannte buchstäblich zum Bus.
literary	literarisch	Das Festival ehrt literarische Werke.
litre	der Liter	Kauf einen Liter Milch.
litter	der Müll	Werfen Sie keinen Müll auf den Boden.
logo	das Logo	Das Logo erscheint auf jeder Seite.
lottery	die Lotterie	Er gewann einen kleinen Lotteriepreis.
loyal	treu	Der Hund war seinem Besitzer treu.
lyric	der Liedtext	Der Liedtext wiederholte die Hauptidee.
magnificent	prächtig	Der Palast sah prächtig aus.
make-up	das Make-up	Sie trug einfaches Make-up.
making	die Herstellung	Die Herstellung des Films war schwierig.
manufacture	herstellen	Die Fabrik wird Telefone herstellen.
manufacturing	die Fertigung	Die Arbeitsplätze in der Fertigung haben lokal zugenommen.
marathon	der Marathon	Sie hat den Marathon beendet.
margin	der Rand	Schreiben Sie Notizen an den Rand.
marker	der Marker	Verwende einen Marker für das Etikett.
martial	Kampf	Er studiert Kampfkünste.
mate	der Kumpel	Mein alter Schulfreund hat gestern angerufen.
mayor	der Bürgermeister	Der Bürgermeister hat die Bibliothek eröffnet.
mechanic	der Mechaniker	Der Mechaniker hat den Bus repariert.
mechanical	mechanisch	Die Uhr hat einen mechanischen Fehler.
mechanism	der Mechanismus	Der Schließmechanismus ist einfach.
medal	die Medaille	Sie hat eine Goldmedaille gewonnen.
medication	das Medikament	Nehmen Sie das Medikament mit Wasser ein.
membership	die Mitgliedschaft	Die Mitgliedschaft im Fitnessstudio kostet online weniger.
memorable	unvergesslich	Die Reise war unvergesslich.
metaphor	die Metapher	Das Gedicht verwendet eine starke Metapher.
miner	der Bergmann	Der Bergmann arbeitete unter Tage.
miserable	elend	Der Regen machte das Picknick elend.
mode	der Modus	Schalten Sie die Kamera in den Nachtmodus.
modest	bescheiden	Sie leben in einem bescheidenen Haus.
monster	das Monster	Die Geschichte hat ein gruseliges Monster.
monthly	monatlich	Wir zahlen die Miete monatlich.
monument	das Denkmal	Das Denkmal steht in der Nähe des Flusses.
moreover	außerdem	Außerdem spart der Plan Geld.
mortgage	die Hypothek	Sie haben eine Hypothek beantragt.
mosque	die Moschee	Die Moschee ist in der Nähe des Marktes.
motion	die Bewegung	Der Sensor erkennt Bewegungen.
motivate	motivieren	Lob kann Schüler motivieren.
motivation	die Motivation	Ihre Motivation blieb stark.
moving	bewegend	Die Rede war bewegend.
myth	der Mythos	Der Mythos erklärt den Namen des Berges.
naked	nackt	Das Baby war nach dem Baden nackt.
