source_headword	FR	example_FR
absorb	absorber	La serviette absorbe l'eau rapidement.
abstract	abstrait	La conférence a abordé des idées abstraites.
accent	l'accent	Son accent est facile à comprendre.
accidentally	accidentellement	J'ai accidentellement supprimé le fichier.
accommodate	accommoder	L'hôtel peut accueillir de grandes familles.
accomplish	accomplir	Elle a accompli son objectif avant juin.
accountant	le comptable	Le comptable a vérifié la facture.
accuracy	la précision	Le test mesure la précision de la lecture.
accurately	avec précision	La carte indique l'itinéraire avec précision.
acid	l'acide	L'acide a endommagé la surface métallique.
activate	activer	Appuyez sur le bouton pour activer l'alarme.
addiction	l'addiction	Son addiction a affecté son travail.
additionally	de plus	De plus, nous avons besoin de plus de chaises.
adequate	adéquat	La pièce a une lumière adéquate.
adequately	adéquatement	Le rapport a adéquatement expliqué le problème.
adjust	ajuster	Ajustez le siège avant de conduire.
affordable	abordable	L'appartement est abordable pour les étudiants.
agriculture	l'agriculture	L'agriculture fait vivre de nombreuses familles rurales.
AIDS	le SIDA	Les médecins traitent le sida avec la médecine moderne.
alien	l'extraterrestre	Le film montre une planète extraterrestre.
alongside	à côté de	La piste cyclable longe la rivière.
altogether	complètement	En tout, le projet a duré six semaines.
ambulance	l'ambulance	L'ambulance est arrivée en quelques minutes.
amusing	amusant	L'histoire était amusante et légère.
analyst	l'analyste	L'analyste a examiné les données de vente.
ancestor	l'ancêtre	Mon ancêtre vivait près de ce village.
animation	l'animation	L'animation a rendu la leçon plus claire.
annually	annuellement	Le festival a lieu chaque année.
anticipate	anticiper	Nous prévoyons une circulation dense demain.
anxiety	l'anxiété	L'anxiété peut rendre le sommeil difficile.
apology	les excuses	Elle a présenté des excuses sincères.
applicant	le candidat	Le candidat a envoyé un nouveau CV.
appropriately	de manière appropriée	Veuillez vous habiller convenablement pour l'entretien.
arrow	la flèche	La flèche indique la sortie.
artwork	l'œuvre d'art	Le musée a exposé des œuvres d'art locales.
aside	de côté	Elle a fait un pas de côté pour le laisser passer.
asset	l'actif	L'expérience est un atout précieux.
assign	assigner	Le professeur a donné des devoirs aujourd'hui.
assistance	l'assistance	Veuillez demander de l'aide au personnel.
assumption	la supposition	Cette supposition pourrait être fausse.
assure	assurer	Je vous assure que la porte est fermée à clé.
astonishing	étonnant	La vue depuis la falaise était incroyable.
attachment	la pièce jointe	L'e-mail comprend une pièce jointe.
auction	la vente aux enchères	Le tableau a été vendu aux enchères.
audio	audio	L'enregistrement audio est clair.
automatic	automatique	La porte a une serrure automatique.
automatically	automatiquement	Les lumières s'allument automatiquement.
awareness	la sensibilisation	La campagne a sensibilisé le public.
awkward	gênant	Le silence était gênant.
badge	le badge	Les visiteurs doivent porter un badge.
balanced	équilibré	Une alimentation équilibrée comprend des légumes.
ballet	le ballet	Elle étudie le ballet après l'école.
balloon	le ballon	Le ballon flottait au-dessus de la table.
barely	à peine	Il a à peine entendu l'annonce.
bargain	la bonne affaire	Cette veste était une vraie bonne affaire.
basement	le sous-sol	Les boîtes sont au sous-sol.
basket	le panier	Elle a mis des pommes dans le panier.
bat	la batte	La chauve-souris s'est envolée de la grotte.
beneficial	bénéfique	L'exercice régulier est bénéfique pour la santé.
beside	à côté de	La lampe se trouve à côté du canapé.
besides	en outre	En plus des mathématiques, il étudie la chimie.
bias	le biais	L'article montrait un parti pris évident.
bid	l'offre	L'entreprise a fait une offre plus élevée.
biological	biologique	Le test biologique a confirmé le résultat.
blanket	la couverture	L'enfant dormait sous une couverture.
blow	le coup	Le coup violent a cassé la fenêtre.
bold	audacieux	Le titre utilisait des lettres en gras.
bombing	le bombardement	Le bombardement a endommagé plusieurs bâtiments.
booking	la réservation	J'ai confirmé la réservation de l'hôtel.
boost	stimuler	La victoire a stimulé la confiance de l'équipe.
bound	contraignant	Le colis était attaché avec de la ficelle.
brick	la brique	Le mur est fait de briques.
briefly	brièvement	Elle a parlé brièvement après le déjeuner.
broadcaster	le présentateur	Le présentateur a interviewé le maire.
broadly	de manière générale	Les deux plans sont globalement similaires.
bug	le bug	L'application a planté à cause d'un bug.
cabin	la cabane	Nous avons séjourné dans une petite cabane.
canal	le canal	Les bateaux avançaient lentement sur le canal.
candle	la bougie	La bougie brûlait sur la table.
carbon	le carbone	Les arbres absorbent le carbone de l'air.
casual	informel	Il portait des vêtements décontractés au travail.
cave	la grotte	Les randonneurs sont entrés dans la grotte.
certainty	la certitude	Nous ne pouvons pas le savoir avec certitude.
certificate	le certificat	Elle a reçu un certificat de formation.
challenging	stimulant	Le cours était difficile mais utile.
championship	le championnat	Notre équipe a atteint la finale du championnat.
charming	charmant	La vieille rue avait l'air charmante.
chase	poursuivre	Le chien a chassé la balle.
cheek	la joue	Une larme a coulé sur sa joue.
cheer	encourager	La foule a commencé à acclamer bruyamment.
choir	le chœur	La chorale a magnifiquement chanté.
chop	couper	Hachez les oignons en petits morceaux.
circuit	le circuit	Le coureur a terminé le circuit.
civilization	la civilisation	Une civilisation ancienne a façonné cette région.
clarify	clarifier	Veuillez clarifier le dernier point.
classify	classer	Les scientifiques classent les animaux par espèces.
clerk	l'employé	L'employé a imprimé le reçu.
cliff	la falaise	Le chemin se termine près d'une falaise.
clinic	la clinique	La clinique ouvre à huit heures.
clip	le clip	Elle a attaché le trombone au papier.
coincidence	la coïncidence	Le rencontrer là-bas était une coïncidence.
collector	le collectionneur	Le collectionneur a acheté des pièces rares.
colony	la colonie	Les fourmis ont construit une grande colonie.
colourful	coloré	Le marché était lumineux et coloré.
comic	la bande dessinée	La scène comique nous a fait rire.
commander	le commandant	Le commandant a donné des ordres clairs.
comparative	comparatif	L'essai utilise des données comparatives.
completion	l'achèvement	Le pont est presque achevé.
compose	composer	Il composera la musique du film.
composer	le compositeur	Le compositeur a écrit une nouvelle chanson.
compound	le composé	Le composé contient deux produits chimiques.
comprehensive	complet	Le guide donne des instructions complètes.
comprise	comprendre	L'équipe comprend cinq membres.
compulsory	obligatoire	La présence est obligatoire pour ce cours.
concrete	le béton	Le sol est en béton.
confess	avouer	Il a avoué son erreur à son professeur.
confusion	la confusion	Le retard a causé de la confusion.
consequently	par conséquent	Il a plu ; par conséquent, le match a été arrêté.
conservation	la conservation	La conservation protège les animaux rares.
considerable	considérable	La réparation a pris un temps considérable.
considerably	considérablement	Les prix ont considérablement augmenté cette année.
consistently	systématiquement	Elle réussit constamment bien.
conspiracy	le complot	La police a enquêté sur le complot.
consult	consulter	Consultez votre médecin avant de prendre des médicaments.
consultant	le consultant	Le consultant a suggéré une nouvelle stratégie.
consumption	la consommation	La consommation d'énergie a chuté le mois dernier.
controversial	controversé	La politique reste controversée.
controversy	la controverse	La décision a provoqué une controverse.
convenience	la commodité	Le magasin offre une grande commodité.
convention	la convention	Le congrès annuel commence lundi.
conventional	conventionnel	Il a choisi un design conventionnel.
convey	transmettre	Le message transmettait de la sympathie.
convincing	convaincant	Son explication était convaincante.
cope	faire face	Elle a appris à faire face au stress.
corporation	la société	La société a ouvert un nouveau bureau.
corridor	le couloir	Le couloir était étroit et calme.
counter (long flat surface)	le comptoir	Les clés sont sur le comptoir de la cuisine.
coverage	la couverture	La couverture médiatique a duré toute la soirée.
crack	la fissure	Une fissure est apparue dans le mur.
craft	le métier	Elle vend de l'artisanat fait main en ligne.
creativity	la créativité	La créativité aide à résoudre les problèmes.
critically	de manière critique	L'article était extrêmement important.
cruise	la croisière	Ils ont réservé une croisière en Grèce.
cue	le signal	L'acteur a raté sa réplique.
curious	curieux	L'enfant était curieux à propos de l'espace.
curriculum	le programme d'études	L'école a mis à jour son programme.
cute	mignon	Le chiot avait l'air mignon.
dairy	la laiterie	La ferme produit des produits laitiers.
dare	oser	Je te défie d'essayer.
darkness	l'obscurité	La pièce s'est remplie d'obscurité.
database	la base de données	La base de données stocke les dossiers des clients.
deadline	la date limite	La date limite est vendredi.
deadly	mortel	Le serpent a un venin mortel.
dealer	le concessionnaire	Le concessionnaire automobile a offert une réduction.
deck	le pont	Les chaises sont sur la terrasse.
defender	le défenseur	Le défenseur a bloqué le tir.
delete	supprimer	Supprimez l'ancien message.
democracy	la démocratie	La démocratie dépend d'élections libres.
democratic	démocratique	Le vote a suivi les règles démocratiques.
demonstration	la manifestation	Les étudiants ont rejoint une manifestation.
depart	partir	Le train partira à midi.
dependent	dépendant	L'enfant est dépendant des adultes.
deposit	le dépôt	Elle a payé une caution pour l'appartement.
depression	la dépression	La dépression nécessite un soutien professionnel.
derive	dériver	Beaucoup de mots dérivent du latin.
desperately	désespérément	Il avait désespérément besoin d'eau.
destruction	la destruction	La tempête a causé une destruction généralisée.
determination	la détermination	Sa détermination a impressionné l'entraîneur.
devote	consacrer	Elle consacre ses week-ends à étudier.
differ	différer	Leurs opinions diffèrent nettement.
disability	le handicap	Le bâtiment a un accès pour les personnes handicapées.
disabled	handicapé	L'athlète handicapé a remporté une médaille.
disagreement	le désaccord	La réunion s'est terminée par un désaccord.
disappoint	décevoir	Le résultat risque de décevoir les fans.
disappointment	la déception	Il a ressenti une profonde déception.
discourage	décourager	Ne découragez pas les jeunes apprenants.
disorder	le trouble	Le médecin a diagnostiqué un trouble du sommeil.
distant	distant	Les montagnes semblaient lointaines.
distinct	distinct	Les deux sons sont distincts.
distinguish	distinguer	Pouvez-vous distinguer ces couleurs ?
distract	distraire	Le bruit peut distraire les élèves.
disturb	déranger	Veuillez ne pas déranger le patient.
dive	plonger	Ils plongeront près du récif.
diverse	divers	La ville a des cultures diverses.
diversity	la diversité	Nous célébrons la diversité culturelle.
divorce	le divorce	Le divorce a été difficile pour tout le monde.
dominant	dominant	L'équipe dominante a contrôlé le match.
donation	le don	L'association a reçu un don.
dot	le point	Mettez un point après le chiffre.
downtown	le centre-ville	Nous nous sommes rencontrés au centre-ville après le travail.
dramatically	de façon spectaculaire	Le prix a considérablement baissé.
drought	la sécheresse	La sécheresse a endommagé les cultures.
dull	ennuyeux	La conférence était ennuyeuse.
dump	jeter	Ne déposez pas de déchets ici.
duration	la durée	La durée du vol est de trois heures.
dynamic	dynamique	La salle de classe semblait dynamique.
economics	l'économie	Elle étudie l'économie à l'université.
economist	l'économiste	L'économiste a prédit un ralentissement de la croissance.
editorial	éditorial	L'éditorial a critiqué la loi.
efficiently	efficacement	L'équipe a travaillé efficacement.
elbow	le coude	Il s'est blessé au coude.
electronics	l'électronique	Le magasin vend des appareils électroniques.
elegant	élégant	La robe paraissait élégante.
elementary	élémentaire	Le livre explique la grammaire élémentaire.
eliminate	éliminer	L'équipe a éliminé plusieurs erreurs.
embrace	adopter	Elle a adopté la nouvelle idée.
emission	l'émission	Le niveau des émissions automobiles a baissé.
emotionally	émotionnellement	Il a parlé avec émotion de sa famille.
empire	l'empire	L'empire a duré des siècles.
enjoyable	agréable	Le voyage était agréable.
entertaining	divertissant	Le spectacle était divertissant.
entrepreneur	l'entrepreneur	L'entrepreneur a ouvert un café.
envelope	l'enveloppe	Mets la lettre dans une enveloppe.
equip	équiper	L'école va équiper le laboratoire.
equivalent	l'équivalent	Un dollar n'est pas équivalent ici.
era	l'ère	La découverte a marqué le début d'une nouvelle ère.
erupt	éclater	Le volcan pourrait bientôt entrer en éruption.
essentially	essentiellement	Les deux méthodes sont essentiellement identiques.
ethic	l'éthique	Son éthique de travail est forte.
ethnic	ethnique	Le festival célèbre les traditions ethniques.
evaluation	l'évaluation	Le cours comprend une évaluation finale.
evident	évident	Sa nervosité était évidente.
evolution	l'évolution	L'évolution explique de nombreux changements biologiques.
evolve	évoluer	Les langues évoluent avec le temps.
