source_headword	RO	example_RO
absorb	a absorbi	Prosopul absoarbe apa rapid.
abstract	abstract	Prelegerea a discutat idei abstracte.
accent	un accent	Accentul ei este ușor de înțeles.
accidentally	accidental	Am șters fișierul din greșeală.
accommodate	a acomoda	Hotelul poate găzdui familii mari.
accomplish	a realiza	Ea și-a îndeplinit obiectivul înainte de iunie.
accountant	un contabil	Contabilul a verificat factura.
accuracy	precizie	Testul măsoară acuratețea citirii.
accurately	precis	Harta arată traseul cu precizie.
acid	un acid	Acidul a deteriorat suprafața metalică.
activate	a activa	Apăsați butonul pentru a activa alarma.
addiction	o dependență	Dependența i-a afectat munca.
additionally	în plus	În plus, avem nevoie de mai multe scaune.
adequate	adecvat	Camera are lumină adecvată.
adequately	adecvat	Raportul a explicat problema în mod adecvat.
adjust	a ajusta	Reglați scaunul înainte de a conduce.
affordable	accesibil	Apartamentul este accesibil pentru studenți.
agriculture	agricultură	Agricultura susține multe familii din mediul rural.
AIDS	SIDA	Medicii tratează SIDA cu medicamente moderne.
alien	un extraterestru	Filmul arată o planetă extraterestră.
alongside	alături	Pista de biciclete merge pe lângă râu.
altogether	cu totul	În total, proiectul a durat șase săptămâni.
ambulance	o ambulanță	Ambulanța a ajuns în câteva minute.
amusing	amuzant	Povestea a fost amuzantă și ușoară.
analyst	un analist	Analistul a revizuit datele de vânzări.
ancestor	un strămoș	Strămoșul meu a trăit lângă acest sat.
animation	o animație	Animația a făcut lecția mai clară.
annually	anual	Festivalul are loc anual.
anticipate	a anticipa	Anticipăm trafic intens mâine.
anxiety	anxietate	Anxietatea poate îngreuna somnul.
apology	o scuză	Ea a oferit o scuză sinceră.
applicant	un solicitant	Candidatul a trimis un CV nou.
appropriately	în mod corespunzător	Vă rugăm să vă îmbrăcați adecvat pentru interviu.
arrow	o săgeată	Săgeata indică spre ieșire.
artwork	o operă de artă	Muzeul a expus opere de artă locale.
aside	deoparte	Ea a făcut un pas deoparte pentru a-l lăsa să treacă.
asset	un activ	Experiența este un atu valoros.
assign	a atribui	Profesorul a dat teme astăzi.
assistance	asistență	Vă rugăm să cereți asistență personalului.
assumption	o presupunere	Acea presupunere ar putea fi greșită.
assure	a asigura	Vă asigur că ușa este încuiată.
