simplified	AZ	example_AZ
挨	dözmək	O, bütün gecə dözdü və nəhayət səhəri gözlədi.
癌症	xərçəng	Xərçəngi erkən aşkar etmək çox vacibdir.
暧昧	qeyri-müəyyən	Onun cavabı çox qeyri-müəyyən idi.
爱不释手	əlindən yerə qoya bilməmək	O, bu kitabı əlindən yerə qoya bilmirdi.
爱戴	sevmək və hörmət etmək	Şagirdlər bu müəllimi çox sevir və ona hörmət edirlər.
安宁	sakitlik	Burada gecələr çox sakitdir.
安详	sakit	Qocanın üz ifadəsi çox sakit idi.
安置	yerləşdirmək	Hökumət fəlakətdən zərər çəkənləri yerləşdirdi.
按摩	masaj	Mən masaj üçün vaxt aldım.
暗示	işarə etmək	O, mənə daha soruşmamağı işarə etdi.
案件	iş; məhkəmə işi	Polis bu işi araşdırır.
案例	nümunə hal	Bu nümunə hal çox xarakterikdir.
昂贵	bahalı	Bu avadanlıq çox bahalıdır.
凹凸	kələ-kötür	Bu yolun səthi kələ-kötürdür.
熬	dözmək	O, hesabatı bitirmək üçün üç gün çətinliyə dözdü.
奥秘	sirr	Alim bu sirri açmaq istəyir.
巴不得	səbirsizliklə istəmək	Mən dərhal yola düşməyi səbirsizliklə istəyirəm.
巴结	yaltaqlanmaq	O, rəhbərlərə yaltaqlanmaq istəmir.
扒	yapışmaq	Uşaq qapıya yapışıb bayıra baxdı.
疤	çapıq	Onun qolunda bir çapıq var.
拔苗助长	həddindən artıq tələsməklə işi korlamaq	Uşağı belə oxumağa məcbur etmək yalnız işi korlayar.
把关	yoxlamaq	Bu müqaviləni hüquqşünas yoxlamalıdır.
把手	dəstək	Qapının dəstəyi sınıb.
罢工	tətil	İşçilər sabah tətil etməyə qərar verdilər.
霸道	hökmran	O, çox hökmran danışır.
掰	iki yerə bölmək	O, çörəyi iki yerə böldü.
摆脱	qurtulmaq	O, nəhayət pis vərdişdən qurtuldu.
拜访	ziyarət etmək	Həftəsonu müəllimi ziyarət edəcəyik.
拜年	yeni il təbrikinə getmək	Çin Yeni ili zamanı nənə-babamızı təbrik etməyə gedirik.
拜托	xahiş etmək	Bu işi sənə tapşırıram, xahiş edirəm.
败坏	korlamaq	Bu davranış şirkətin nüfuzunu korlayar.
斑	ləkə	Pişiyin üstündə qara ləkə var.
颁布	elan etmək	Yeni qaydalar gələn həftə elan ediləcək.
颁发	təqdim etmək	Məktəb yaxşı şagirdlərə sertifikat təqdim etdi.
版本	versiya	Bu proqramın yeni versiyası var.
伴侣	yoldaş	O, iti öz yoldaşı hesab edir.
伴随	müşayiət etmək	Uğur çox vaxt təzyiqlə müşayiət olunur.
半途而废	yarımçıq qoymaq	Araşdırmanı yarımçıq qoymaq olmaz.
扮演	rol oynamaq	O, filmdə həkim rolunu oynayır.
榜样	nümunə	Valideynlər uşaqlar üçün nümunədir.
绑架	oğurlamaq	Polis bir adam oğurluğu işinin qarşısını aldı.
磅	funt	Bu qutu iyirmi funt çəkir.
包庇	gizlətmək	Heç kim cinayəti gizlədə bilməz.
包袱	yük	O, yükünü yerə qoyanda xeyli yüngülləşdi.
包围	mühasirəyə almaq	Jurnalistlər aktyoru mühasirəyə aldılar.
包装	qablaşdırma	Bu hədiyyənin qablaşdırması çox gözəldir.
保管	saxlamaq	Bu sənədləri mən saxlayıram.
保密	gizli saxlamaq	İclasın məzmunu gizli saxlanmalıdır.
保姆	dayə	Onlar bir dayə tutdular.
保守	mühafizəkar	Onun fikirləri nisbətən mühafizəkardır.
保卫	müdafiə etmək	Əsgərlər sərhədi müdafiə edir.
保养	texniki qulluq	Bu maşına müntəzəm texniki qulluq lazımdır.
保障	təmin etmək	Qanun vətəndaş hüquqlarını təmin edir.
保重	özünə yaxşı baxmaq	Evdən uzaqda olanda özünə yaxşı bax.
饱和	doyma	Bu bazar artıq doymaya yaxındır.
饱经沧桑	çox dəyişiklik görmüş	Bu qoca çox çətinlik və dəyişiklik görüb.
报酬	haqq	O, ədalətli haqq aldı.
报仇	qisas almaq	O, qisas almaq yox, yenidən başlamaq istəyir.
报答	əvəzini ödəmək	Yardımının əvəzini əməyimlə ödəyəcəyəm.
报复	qisas	Qisas münaqişəni yalnız dərinləşdirər.
报警	polisə xəbər vermək	Yanğın görəndə dərhal polisə və yanğınsöndürənlərə xəbər vermək lazımdır.
报销	xərci geri almaq	Səfər xərclərini geri almaq olar.
抱负	böyük məqsəd	Onun uşaqlıqdan böyük məqsədləri var.
暴力	zorakılıq	Biz zorakılığın hər formasına qarşıyıq.
暴露	üzə çıxmaq	Bu problem tədricən üzə çıxdı.
曝光	ifşa etmək	Bu foto yayılandan sonra diqqət çəkdi.
爆发	püskürmək	Vulkan qəfildən püskürdü.
爆炸	partlayış	Laboratoriyada partlayış baş verdi.
卑鄙	alçaq	Bu alçaq üsul insanı qəzəbləndirir.
悲哀	kədərli	Xəbəri eşidəndə o, çox kədərləndi.
悲惨	faciəli	Bu, faciəli bir tarix dövrü idi.
北极	Şimal qütbü	Alimlər Şimal qütbündə araşdırma aparırlar.
备份	ehtiyat nüsxə	Vacib faylların əvvəlcə ehtiyat nüsxəsini çıxarın.
