source_headword	LO	example_LO
fridge	ຕູ້ເຢັນ	ນົມຢູ່ໃນຕູ້ເຢັນ.
frog	ກົບ	ກົບໂດດເຂົ້າໜອງ.
furniture	ເຟີນິເຈີ	ເຟີນິເຈີນີ້ເກົ່າແຕ່ແຂງແຮງ.
further	ເພີ່ມເຕີມ;ໄກກວ່າ	ພວກເຮົາຕ້ອງການຂໍ້ມູນເພີ່ມເຕີມ.
gallery	ຫໍສິນລະປະ	ຫໍສິນລະປະເປີດມື້ນີ້.
gap	ຊ່ອງວ່າງ	ມີຊ່ອງວ່າງຢູ່ໃນຝາ.
gas	ນ້ຳມັນ;ອາຍແກັສ	ລົດຕ້ອງການນ້ຳມັນ.
gate	ປະຕູຮົ້ວ	ກະລຸນາປິດປະຕູຮົ້ວ.
general	ທົ່ວໄປ	ນີ້ແມ່ນກົດທົ່ວໄປ.
gift	ຂອງຂວັນ	ນາງຊື້ຂອງຂວັນ.
goal	ເປົ້າໝາຍ	ເປົ້າໝາຍຂອງພວກເຮົາງ່າຍດາຍ.
god	ພະເຈົ້າ	ຫຼາຍຄົນອະທິຖານຫາພະເຈົ້າ.
gold	ຄຳ;ສີຄຳ	ແຫວນນີ້ເປັນຄຳ.
golf	ກອຟ	ລາວຫຼິ້ນກອຟມື້ນີ້.
government	ລັດຖະບານ	ລັດຖະບານປ່ຽນກົດໝາຍ.
grass	ຫຍ້າ	ຫຍ້າປຽກ.
greet	ທັກທາຍ	ທັກທາຍແຂກທຸກຄົນຢ່າງສຸພາບ.
ground	ພື້ນດິນ	ນັ່ງຢູ່ເທິງພື້ນດິນ.
guest	ແຂກ	ແຂກຂອງພວກເຮົາມາຮອດໄວ.
guide	ຜູ້ນຳທ່ຽວ;ແນະນຳ	ຜູ້ນຳທ່ຽວພາພວກເຮົາເບິ່ງພິພິດທະພັນ.
gun	ປືນ	ຕຳຫຼວດພົບປືນໜຶ່ງ.
guy	ຜູ້ຊາຍຄົນນັ້ນ	ຜູ້ຊາຍຄົນນັ້ນເປັນອ້າຍຂ້ອຍ.
habit	ນິໄສ	ການອ່ານທຸກມື້ເປັນນິໄສດີ.
hall	ຫ້ອງໂຖງ;ທາງເດີນ	ລໍຖ້າຢູ່ໃນຫ້ອງໂຖງ.
happily	ຢ່າງມີຄວາມສຸກ	ພວກເຂົາຢູ່ນຳກັນຢ່າງມີຄວາມສຸກ.
headache	ປວດຫົວ	ຂ້ອຍປວດຫົວ.
heart	ຫົວໃຈ	ຫົວໃຈຂອງນາງເຕັ້ນໄວ.
heat	ຄວາມຮ້ອນ;ອຸ່ນ	ອຸ່ນແກງຊ້າໆ.
heavy	ໜັກ	ຖົງນີ້ໜັກ.
height	ຄວາມສູງ	ວັດຄວາມສູງຂອງໂຕະ.
helpful	ມີປະໂຫຍດ	ຄຳແນະນຳຂອງເຈົ້າມີປະໂຫຍດ.
hero	ວິລະບຸລຸດ	ລາວເປັນວິລະບຸລຸດຂອງຂ້ອຍ.
hers	ຂອງນາງ	ເສື້ອສີຟ້າແມ່ນຂອງນາງ.
herself	ຕົວນາງເອງ	ນາງເຮັດອາຫານແລງດ້ວຍຕົວນາງເອງ.
hide	ເຊື່ອງ	ເຊື່ອງກະແຈໄວ້ໃຕ້ກ່ອງ.
hill	ເນີນພູ	ພວກເຮົາປີນເນີນພູ.
himself	ຕົວລາວເອງ	ລາວແກ້ໄຂມັນດ້ວຍຕົວລາວເອງ.
hit	ຕີ;ຊົນ	ຢ່າຕີປະຕູ.
hockey	ຮັອກກີ	ພວກເຮົາເບິ່ງຮັອກກີຄືນກ່ອນ.
hold	ຖື	ຖືມືຂ້ອຍ.
hole	ຮູ	ມີຮູຢູ່ໃນຖົງຕີນຂ້ອຍ.
huge	ໃຫຍ່ຫຼາຍ	ຫ້ອງນີ້ໃຫຍ່ຫຼາຍ.
human	ມະນຸດ	ມະນຸດທຸກຄົນຕ້ອງການນ້ຳ.
hurt	ເຈັບ;ເຮັດໃຫ້ເຈັບ	ຫົວເຂົ່າຂ້ອຍເຈັບ.
ideal	ເໝາະສົມທີ່ສຸດ	ຫ້ອງນີ້ເໝາະສົມສຳລັບຮຽນ.
identify	ລະບຸ	ເຈົ້າລະບຸນົກນີ້ໄດ້ບໍ.
ill	ປ່ວຍ	ນາງຮູ້ສຶກປ່ວຍມື້ນີ້.
illness	ພະຍາດ	ພະຍາດນີ້ກິນເວລາໜຶ່ງອາທິດ.
image	ຮູບພາບ	ຮູບພາບນີ້ຊັດເຈນ.
immediately	ທັນທີ	ມາທີ່ນີ້ທັນທີ.
impossible	ເປັນໄປບໍ່ໄດ້	ປິດສະໜານີ້ເບິ່ງເປັນໄປບໍ່ໄດ້.
included	ລວມຢູ່	ອາຫານເຊົ້າລວມຢູ່.
including	ລວມທັງ	ສິບຄົນມາລວມທັງຂ້ອຍ.
increase	ເພີ່ມຂຶ້ນ	ລາຄາເພີ່ມຂຶ້ນໃນລະດູຮ້ອນ.
incredible	ໜ້າທຶ່ງ	ວິວນີ້ໜ້າທຶ່ງ.
independent	ເປັນອິດສະລະ	ເອື້ອຍຂ້ອຍເປັນອິດສະລະ.
individual	ບຸກຄົນ	ບຸກຄົນແຕ່ລະຄົນມີເລກ.
industry	ອຸດສາຫະກຳ	ອຸດສາຫະກຳທ້ອງຖິ່ນກຳລັງເຕີບໂຕ.
informal	ບໍ່ເປັນທາງການ	ອີເມວນີ້ບໍ່ເປັນທາງການ.
injury	ການບາດເຈັບ	ການບາດເຈັບຂອງລາວບໍ່ຮ້າຍແຮງ.
insect	ແມງໄມ້	ແມງໄມ້ໂຕໜຶ່ງລົງໃສ່ຈອກ.
inside	ຂ້າງໃນ	ລໍຖ້າຂ້າງໃນເຮືອນ.
instead	ແທນ	ດື່ມນ້ຳແທນ.
instruction	ຄຳແນະນຳ	ອ່ານຄຳແນະນຳແຕ່ລະຂໍ້ຢ່າງລະວັງ.
instructor	ຜູ້ສອນ	ຜູ້ສອນອະທິບາຍການຝຶກ.
instrument	ເຄື່ອງດົນຕີ	ນາງຫຼິ້ນເຄື່ອງດົນຕີ.
intelligent	ສະຫຼາດ	ລາວເປັນນັກຮຽນສະຫຼາດ.
international	ສາກົນ	ນີ້ແມ່ນສະໜາມບິນສາກົນ.
introduction	ການແນະນຳ	ການແນະນຳນັ້ນສັ້ນ.
invent	ປະດິດ	ເດັກນ້ອຍສາມາດປະດິດເກມໃໝ່.
invention	ສິ່ງປະດິດ	ສິ່ງປະດິດນັ້ນຊ່ວຍປະຢັດເວລາ.
invitation	ຄຳເຊີນ	ຂ້ອຍໄດ້ຮັບຄຳເຊີນ.
invite	ເຊີນ	ເຊີນໝູ່ຂອງເຈົ້າດ້ວຍ.
involve	ກ່ຽວຂ້ອງກັບ	ວຽກນີ້ຈະກ່ຽວຂ້ອງກັບການເດີນທາງ.
item	ສິ່ງຂອງ	ເລືອກສິ່ງຂອງໜຶ່ງຢ່າງ.
itself	ຕົວມັນເອງ	ເຄື່ອງປິດຕົວມັນເອງ.
jam	ແຈມ	ທາແຈມໃສ່ເຂົ້າຈີ່.
jazz	ແຈສ	ເພງແຈສຟັງດີຄືນນີ້.
jewellery	ເຄື່ອງປະດັບ	ນາງເກັບເຄື່ອງປະດັບໃນກ່ອງ.
joke	ຕະຫຼົກ	ເລົ່າຕະຫຼົກໃຫ້ຂ້ອຍຟັງ.
journalist	ນັກຂ່າວ	ນັກຂ່າວຖາມຄຳຖາມ.
jump	ໂດດ	ໂດດຂ້າມເສັ້ນ.
kid	ເດັກນ້ອຍ	ເດັກນ້ອຍກຳລັງຫົວ.
kill	ຂ້າ	ຢ່າຂ້າແມງໄມ້.
king	ກະສັດ	ກະສັດຢູ່ໃນພະລາຊະວັງ.
knee	ຫົວເຂົ່າ	ຫົວເຂົ່າຂ້ອຍເຈັບ.
knife	ມີດ	ໃຊ້ມີດຄົມ.
knock	ເຄາະ	ເຄາະກ່ອນເຂົ້າ.
knowledge	ຄວາມຮູ້	ຄວາມຮູ້ເຕີບໂຕດ້ວຍການຝຶກ.
lab	ຫ້ອງທົດລອງ	ຫ້ອງທົດລອງປິດ.
lady	ຜູ້ຍິງ	ຜູ້ຍິງຄົນນັ້ນຍິ້ມໃຫ້ພວກເຮົາ.
lake	ທະເລສາບ	ທະເລສາບສະຫງົບ.
lamp	ໂຄມໄຟ	ເປີດໂຄມໄຟ.
laptop	ແລັບທັອບ	ແລັບທັອບຂອງຂ້ອຍໃໝ່.
last1 (taking time)	ໃຊ້ເວລາ	ຮູບເງົາໃຊ້ເວລາສອງຊົ່ວໂມງ.
laughter	ສຽງຫົວ	ພວກເຮົາໄດ້ຍິນສຽງຫົວຂ້າງນອກ.
law	ກົດໝາຍ	ກົດໝາຍປ່ຽນມື້ວານນີ້.
lawyer	ທະນາຍຄວາມ	ທະນາຍຄວາມໂທຫາຂ້ອຍ.
lazy	ຂີ້ຄ້ານ	ຢ່າຂີ້ຄ້ານ.
lead1	ນຳພາ	ຜູ້ນຳທີ່ດີນຳພາດ້ວຍຕົວຢ່າງ.
leader	ຜູ້ນຳ	ນາງເປັນຜູ້ນຳທີມ.
learning	ການຮຽນຮູ້	ການຮຽນຮູ້ໃຊ້ເວລາ.
least	ໜ້ອຍທີ່ສຸດ	ເລືອກອັນທີ່ຖືກທີ່ສຸດ.
lecture	ການບັນຍາຍ	ການບັນຍາຍເລີ່ມເວລາສິບໂມງ.
lemon	ໝາກນາວ	ເພີ່ມໝາກນາວໃສ່ຊາ.
lend	ໃຫ້ຢືມ	ເຈົ້າໃຫ້ຂ້ອຍຢືມຫ້າດອລລາໄດ້ບໍ.
less	ໜ້ອຍກວ່າ	ກິນນ້ຳຕານໜ້ອຍກວ່າ.
level	ລະດັບ	ລະດັບນີ້ງ່າຍ.
lifestyle	ວິຖີຊີວິດ	ລາວມີວິຖີຊີວິດສຸຂະພາບດີ.
lift	ຍົກ	ຍົກກ່ອງຢ່າງລະວັງ.
light	ຈຸດໄຟ	ຈຸດທຽນຢ່າງລະວັງ.
light (not heavy)	ເບົາ	ຖົງນີ້ເບົາ.
likely	ອາດຈະ	ຝົນອາດຈະຕົກມື້ອື່ນ.
link	ລິ້ງ	ສົ່ງລິ້ງໃຫ້ຂ້ອຍ.
listener	ຜູ້ຟັງ	ເປັນຜູ້ຟັງທີ່ດີ.
lock	ລັອກ	ລັອກປະຕູ.
lorry	ລົດບັນທຸກ	ລົດບັນທຸກຂົນກ່ອງ.
lost	ຫຼົງທາງ	ພວກເຮົາຫຼົງທາງ.
loud	ດັງ	ດົນຕີດັງ.
loudly	ຢ່າງດັງ	ກະລຸນາຢ່າເວົ້າດັງ.
lovely	ໜ້າຮັກ	ສວນນີ້ໜ້າຮັກ.
low	ຕ່ຳ	ຕັ່ງນີ້ຕ່ຳ.
luck	ໂຊກ	ໂຊກດີກັບການສອບເສັງ.
lucky	ໂຊກດີ	ເຈົ້າໂຊກດີມື້ນີ້.
mail	ຈົດໝາຍ	ຂ້ອຍໄດ້ຮັບຈົດໝາຍເຊົ້ານີ້.
