source_headword	ES	example_ES
abandon	abandonar	Ayer abandonaron el plan.
absolute	absoluto	Necesitamos honestidad absoluta aquí.
acceptable	aceptable	Su respuesta fue aceptable.
accompany	acompañar	Su hermano la acompañó a casa.
accurate	preciso	El informe parece preciso.
accuse	acusar	Lo acusaron de mentir.
acknowledge	reconocer	Por favor, reconoce el error.
acquire	adquirir	Ella adquirió nuevas habilidades rápidamente.
actual	real; efectivo	El costo real fue menor.
adapt	adaptarse	Nos adaptamos al cambio.
additional	adicional	Hoy llegó ayuda adicional.
administration	la administración	La administración cambió la política.
adopt	adoptar	Adoptaron un método nuevo.
advance	el avance	Logramos un pequeño avance.
affair	el asunto; el escándalo	El escándalo dañó la confianza pública.
afterwards	después	Después, todos se sintieron tranquilos.
agency	la agencia	La agencia contrató a tres traductores.
agenda	la agenda	La seguridad está en la agenda.
aggressive	agresivo	Su tono sonaba agresivo.
aid	la ayuda	La ayuda médica llegó rápido.
aircraft	la aeronave	La aeronave aterrizó sin problemas.
alter	alterar	No alteres el acuerdo.
anger	la ira	Su ira sorprendió a todos.
angle	el ángulo	Prueba otro ángulo de cámara.
anniversary	el aniversario	Su aniversario es mañana.
annual	anual	La reunión anual empieza el lunes.
anxious	ansioso	Ella se sintió ansiosa antes de la cirugía.
apparent	evidente	Su decepción era evidente.
apparently	al parecer	Al parecer, el tren llega tarde.
appeal	la apelación; el atractivo	La decisión puede recibir una apelación.
approach	el enfoque	Su enfoque resolvió el problema.
appropriate	apropiado	Elige una respuesta apropiada.
approval	la aprobación	El proyecto necesita aprobación.
approve	aprobar	La junta aprobó el presupuesto.
arise	surgir	Pueden surgir problemas más tarde.
armed	armado	Había guardias armados afuera.
arms	las armas	Depusieron las armas.
artificial	artificial	Las flores parecían artificiales.
artistic	artístico	Ella tiene talento artístico.
ashamed	avergonzado	Después se sintió avergonzado.
aspect	el aspecto	Considera cada aspecto con cuidado.
assess	evaluar	Debemos evaluar el daño.
assessment	la evaluación	La evaluación tomó dos horas.
associate	asociar	La gente asocia el humo con el peligro.
associated	asociado	El estrés está asociado con enfermedades.
association	la asociación	La asociación apoya a artistas jóvenes.
assume	suponer	Supongo que estás de acuerdo.
attempt	el intento	Su primer intento fracasó.
bacteria	las bacterias	Las bacterias pueden propagarse rápido.
barrier	la barrera	El idioma fue una barrera.
basically	básicamente	Básicamente, necesitamos más tiempo.
bear (deal with)	soportar	No puedo soportar este ruido.
beg	rogar	Por favor, ruega por ayuda.
being	el ser	Todo ser necesita agua.
bent	doblado	La barra de metal estaba doblada.
bet	apostar	Apuesto a que él sabe.
beyond	más allá de	El pueblo está más allá del río.
bitter	amargo	La medicina sabía amarga.
blame	culpar	No culpes al conductor.
blind	ciego	Se quedó ciego de joven.
bond	el vínculo	La confianza crea un vínculo fuerte.
breast	el pecho	Ella sintió dolor en el pecho.
brief	breve	Mantén tu respuesta breve.
broad	ancho	El río es ancho aquí.
broadcast	transmitir	El discurso se transmitió en vivo.
budget	el presupuesto	El presupuesto está muy ajustado.
bullet	la bala	La bala golpeó la pared.
bunch	el manojo; el grupo	Ella llevaba un manojo de llaves.
bush	el arbusto	Un pájaro se escondió en el arbusto.
cable	el cable	El cable está roto.
calculate	calcular	Calcula el costo total.
cancel	cancelar	Cancelaron la reunión.
cancer	el cáncer	El tratamiento del cáncer puede ser difícil.
capable	capaz	Ella es capaz de más.
capacity	la capacidad	La sala alcanzó su capacidad.
capture	capturar; captar	La foto capta el ambiente.
cast	el elenco	El elenco está listo.
cell	la celda; la célula	Cada celda contiene datos.
chairman	el presidente	El presidente abrió la reunión.
characteristic	la característica	La paciencia es su característica principal.
chief	principal	El ingeniero principal llegó tarde.
circumstance	la circunstancia	Considera cada circunstancia con cuidado.
cite	citar	Por favor, cita tu fuente.
citizen	el ciudadano	Cada ciudadano puede votar.
civil	civil; educado	La protesta siguió siendo pacífica.
classic	clásico	Esta película es un clásico.
closely	de cerca	Observa el proceso de cerca.
collapse	colapsar	El puente viejo puede colapsar.
combination	la combinación	La combinación funcionó bien.
comfort	el consuelo; la comodidad	Sus palabras dieron consuelo.
command	la orden	El oficial dio una orden.
commission	la comisión	La comisión revisó el caso.
commitment	el compromiso	El trabajo necesita compromiso.
committee	el comité	El comité se reúne cada semana.
commonly	comúnmente	Esta planta se cultiva comúnmente.
complicated	complicado	Las instrucciones son complicadas.
component	el componente	Un componente falló.
concentration	la concentración	El ruido rompe mi concentración.
concept	el concepto	El concepto es simple.
concern	la preocupación	La seguridad es nuestra principal preocupación.
concerned	preocupado	Los padres estaban muy preocupados.
conduct	realizar	Ellos realizan investigación localmente.
confidence	la confianza	La práctica desarrolla confianza.
