hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
1004:安检	安检	安检	സുരക്ഷാ പരിശോധന	സ്റ്റേഷനിൽ പ്രവേശിക്കുന്നതിന് മുമ്പ് യാത്രക്കാരെല്ലാം സുരക്ഷാ പരിശോധനയ്ക്ക് കടക്കണം.	қауіпсіздік тексерісі	Станцияға кірер алдында жолаушылардың бәрі қауіпсіздік тексерісінен өтуі керек.
1006:按	按	按	അമർത്തുക; പ്രകാരം	വാതിൽ തുറക്കാൻ ദയവായി പച്ച ബട്ടൺ അമർത്തുക.	басу; бойынша	Есікті ашу үшін жасыл батырманы басыңыз.
1009:白酒	白酒	白酒	ബൈജിയു; ചൈനീസ് മദ്യം	അവൻ ബൈജിയു കുടിക്കില്ല, ചായ മാത്രം കുടിക്കും.	байцзю; қытай арағы	Ол байцзю ішпейді, тек шай ішеді.
1010:办公	办公	办公	ഓഫീസ് ജോലി ചെയ്യുക	അവൾ ഇന്ന് വീട്ടിൽ നിന്ന് ജോലി ചെയ്യുന്നു.	кеңсе жұмысын істеу	Ол бүгін үйден жұмыс істеп жатыр.
1012:办事	办事	办事	കാര്യങ്ങൾ നടത്തുക	ഇന്ന് ഉച്ചയ്ക്ക് ഞാൻ ചില കാര്യങ്ങൾക്കായി ബാങ്കിലേക്ക് പോകുന്നു.	іс бітіру; шаруаны рәсімдеу	Мен бүгін түстен кейін банкке шаруаларымды бітіру үшін барамын.
1017:报考	报考	报考	പരീക്ഷയ്ക്ക് അപേക്ഷിക്കുക	അവൻ ചൈനീസ് പരീക്ഷയ്ക്ക് അപേക്ഷിക്കാൻ തയ്യാറെടുക്കുന്നു.	емтиханға тіркелу	Ол қытай тілі емтиханына тіркелуге дайындалып жатыр.
1021:背包	背包	背包	ബാക്ക്പാക്ക്	എന്റെ ബാക്ക്പാക്ക് വാതിലിനരികിലാണ്.	арқа сөмке	Менің арқа сөмкем есіктің жанында тұр.
1022:北部	北部	北部	വടക്കൻ ഭാഗം	ഈ നഗരത്തിന്റെ വടക്കൻ ഭാഗത്ത് ഒരു മല ഉണ്ട്.	солтүстік бөлік	Бұл қаланың солтүстік бөлігінде бір тау бар.
1028:笔试	笔试	笔试	എഴുത്തുപരീക്ഷ	നാളെ രാവിലെ ഒരു എഴുത്തുപരീക്ഷയുണ്ട്.	жазбаша емтихан	Ертең таңертең жазбаша емтихан бар.
1030:毕业生	毕业生	毕业生	ബിരുദധാരി	പല ബിരുദധാരികളും ജോലി തിരയുകയാണ്.	түлек	Көп түлек жұмыс іздеп жүр.
1033:表	表	表	ഫോം; പട്ടിക; വാച്ച്	ദയവായി ഈ ഫോം പൂർണ്ണമായി പൂരിപ്പിക്കുക.	форма; кесте; сағат	Мына форманы толық толтырыңыз.
1039:并	并	并	കൂടാതെ; കൂടിയും; വാസ്തവത്തിൽ	എനിക്ക് വാസ്തവത്തിൽ ക്ഷീണമില്ല.	әрі; және; шын мәнінде	Мен шын мәнінде шаршаған жоқпын.
1043:不必	不必	不必	ആവശ്യമില്ല	നീ ഇപ്പോൾ തന്നെ മറുപടി പറയേണ്ട ആവശ്യമില്ല.	қажет емес	Саған дәл қазір жауап берудің қажеті жоқ.
1044:不便	不便	不便	അസൗകര്യമുള്ള	ഇവിടെ കാർ പാർക്ക് ചെയ്യുന്നത് അസൗകര്യമാണു.	ыңғайсыз	Мұнда көлік қою ыңғайсыз.
1046:不够	不够	不够	മതി വരാത്ത	ഈ കസേരകൾ എല്ലാവർക്കും ഇരിക്കാൻ മതി വരില്ല.	жеткіліксіз	Бұл орындықтар бәрінің отыруына жеткіліксіз.
1048:不论	不论	不论	എങ്ങനെയായാലും; പരിഗണിക്കാതെ	കാലാവസ്ഥ എങ്ങനെയായാലും ഞങ്ങൾ പുറപ്പെടും.	қандай болса да; қарамастан	Ауа райы қандай болса да, біз жолға шығамыз.
1049:步	步	步	ചുവട്	അവൻ മുന്നോട്ട് ഒരു ചുവട് വച്ചു.	қадам	Ол алға бір қадам басты.
1050:部	部	部	സിനിമകൾക്കും പുസ്തകങ്ങൾക്കും അളവുപദം; വകുപ്പ്	ഈ സിനിമ വളരെ രസകരമാണ്.	фильмдер мен кітаптарға есептік сөз; бөлім	Бұл фильм өте қызықты.
1054:不光	不光	不光	മാത്രമല്ല	കുട്ടികൾ മാത്രമല്ല, മുതിർന്നവർക്കും ഈ കളി ഇഷ്ടമാണ്.	ғана емес	Бұл ойын балаларға ғана емес, ересектерге де ұнайды.
1056:不满	不满	不满	അസന്തുഷ്ടനായ	ഈ ഫലത്തിൽ അവൻ വളരെ അസന്തുഷ്ടനാണ്.	разы емес	Ол бұл нәтижеге қатты разы емес.
