source_headword	ET	example_ET
abolish	tühistama	Seadus tühistab vana tasu.
abortion	abort	Abort jääb tundlikuks meditsiiniliseks teemaks.
absence	puudumine	Tema puudumine viivitas lõplikku otsust.
absent	puuduv	Kaks liiget puudusid tunnist.
absurd	absurdne	Väide kõlas kõigile absurdsena.
abundance	küllus	Orus on vee küllus.
abuse	kuritarvitamine	Aruanne kirjeldas kuritarvitamist töökohal.
academy	akadeemia	Akadeemia koolitab noori muusikuid.
accelerate	kiirendama	Uus rahastus kiirendab uurimistööd.
acceptance	aktsepteerimine	Tema kriitika aktsepteerimine avaldas mulle muljet.
accessible	ligipääsetav	Muuseum on ratastoolikasutajatele ligipääsetav.
accomplishment	saavutus	Raamatu lõpetamine oli tõeline saavutus.
accordance	kooskõla	Töö tehti kooskõlas poliitikaga.
accordingly	vastavalt	Tõendid muutusid ja me tegutsesime vastavalt.
accountability	vastutus	Poliitika suurendab juhtide vastutust.
accountable	vastutav	Juhid on vastutavad ohutuse eest.
accumulate	kogunema	Ekraani taha võib koguneda tolmu.
accumulation	kogunemine	Andmete kogunemine võttis kuid.
accusation	süüdistus	Süüdistus šokeeris komiteed.
accused	süüdistatav	Süüdistatav ilmus kohtusse.
acquisition	omandamine	Omandamine laiendas ettevõtet kiiresti.
acre	aaker	Talu katab ühe aakri.
activation	aktiveerimine	Kaardi aktiveerimine võtab minuteid.
activist	aktivist	Aktivist rääkis meeleavaldusel.
acute	äge	Ta tundis pärast jooksmist ägedat valu.
adaptation	kohandamine	Kohandamine muutis romaani lõppu.
adhere	kinni pidama	Töötajad peavad kinni pidama ohutusreeglitest.
adjacent	külgnev	Hotell asub jaamaga külgnevalt.
adjustment	kohandus	Väike kohandus lahendas probleemi.
administer	manustama	Õed manustavad vaktsiini hoolikalt.
administrative	administratiivne	Administratiivne personal tegeleb vormidega.
administrator	administraator	Administraator lähtestas minu parooli.
admission	sissepääs	Sissepääs muuseumi on tasuta.
adolescent	nooruk	Nooruk vajas lisatuge.
adoption	lapsendamine	Lapsendamine andis lapsele stabiilse kodu.
adverse	ebasoodne	Ravim põhjustas ebasoodsaid kõrvaltoimeid.
advocate	kaitsja	Kaitsja seisis üürnike õiguste eest.
aesthetic	esteetiline	Toal on rahulik esteetiline stiil.
affection	kiindumus	Ta näitas välja kiindumust oma perekonna vastu.
aftermath	järelmõju	Tormi järelmõju oli raske.
aggression	agressioon	Õpetaja märkas vahetunnis agressiooni.
agricultural	põllumajanduslik	Põllumajanduslik eksport tõusis sel aastal.
aide	abiline	Abiline korraldas ministri graafikut.
