simplified	LO	example_LO
爱	ຮັກ; ມັກ	ຂ້ອຍຮັກແມ່.
八	ແປດ	ຂ້ອຍມີປຶ້ມແປດເຫຼັ້ມ.
爸爸	ພໍ່	ພໍ່ຢູ່ເຮືອນ.
杯子	ຈອກ; ແກ້ວ	ຈອກນີ້ໃຫຍ່.
北京	ປັກກິ່ງ	ຂ້ອຍເຮັດວຽກຢູ່ປັກກິ່ງ.
本	ລັກສະນະນາມສຳລັບປຶ້ມ; ເຫຼັ້ມ	ຂ້ອຍມີປຶ້ມໜຶ່ງເຫຼັ້ມ.
不	ບໍ່	ຂ້ອຍບໍ່ກິນເຂົ້າ.
不客气	ບໍ່ເປັນຫຍັງ; ບໍ່ເປັນຫຍັງດອກ	ຂອບໃຈ. ບໍ່ເປັນຫຍັງ.
菜	ອາຫານ; ຜັກ; ກັບເຂົ້າ	ອາຫານນີ້ແຊບ.
茶	ຊາ	ຂ້ອຍດື່ມຊາ.
吃	ກິນ	ຂ້ອຍກິນໝາກໂປມ.
出租车	ລົດແທັກຊີ	ຂ້ອຍຂີ່ລົດແທັກຊີໄປໂຮງຮຽນ.
打电话	ໂທລະສັບ; ໂທຫາ	ຂ້ອຍໂທລະສັບ.
大	ໃຫຍ່	ໂຮງຮຽນນີ້ໃຫຍ່.
的	ຂອງ; ຄຳຊ່ວຍບອກຄວາມເປັນເຈົ້າຂອງ	ນີ້ແມ່ນປຶ້ມຂອງຂ້ອຍ.
点	ໂມງ; ຈຸດ; ໜ້ອຍໜຶ່ງ	ດຽວນີ້ແປດໂມງ.
电脑	ຄອມພິວເຕີ	ຄອມພິວເຕີຂອງຂ້ອຍຢູ່ເທິງໂຕະ.
电视	ໂທລະພາບ; ທີວີ	ຂ້ອຍເບິ່ງໂທລະພາບ.
电影	ຮູບເງົາ; ໜັງ	ຂ້ອຍມັກຮູບເງົາ.
东西	ສິ່ງຂອງ; ຂອງ	ສິ່ງນີ້ແມ່ນຫຍັງ?
都	ທັງໝົດ; ທັງສອງ	ພວກເຮົາທັງໝົດເປັນນັກຮຽນ.
读	ອ່ານ; ຮຽນ	ຂ້ອຍອ່ານປຶ້ມ.
对不起	ຂໍໂທດ	ຂໍໂທດ, ຂ້ອຍບໍ່ຮູ້ຈັກເຈົ້າ.
多	ຫຼາຍ	ຂ້ອຍມີເພື່ອນຫຼາຍ.
多少	ຈັກ; ເທົ່າໃດ	ຈອກນີ້ລາຄາເທົ່າໃດ?
儿子	ລູກຊາຍ	ລູກຊາຍຂອງຂ້ອຍເປັນນັກຮຽນ.
二	ສອງ	ເດືອນກຸມພາໜາວ.
饭馆	ຮ້ານອາຫານ	ຮ້ານອາຫານຢູ່ຂ້າງໜ້າໂຮງຮຽນ.
飞机	ເຮືອບິນ	ຂ້ອຍຂີ່ເຮືອບິນໄປປັກກິ່ງ.
分钟	ນາທີ	ຂ້ອຍຮຽນຫ້ານາທີ.
高兴	ດີໃຈ; ມີຄວາມສຸກ	ມື້ນີ້ຂ້ອຍດີໃຈຫຼາຍ.
个	ລັກສະນະນາມທົ່ວໄປ; ອັນ	ຂ້ອຍມີເພື່ອນໜຶ່ງຄົນ.
工作	ເຮັດວຽກ; ວຽກ	ຂ້ອຍເຮັດວຽກຢູ່ປັກກິ່ງ.
狗	ໝາ	ຂ້ອຍມັກໝາ.
汉语	ພາສາຈີນ	ຂ້ອຍຮຽນພາສາຈີນ.
好	ດີ	ມື້ນີ້ອາກາດດີຫຼາຍ.
喝	ດື່ມ	ຂ້ອຍດື່ມນ້ຳ.
和	ແລະ; ກັບ	ຂ້ອຍໄປໂຮງຮຽນກັບເພື່ອນ.
很	ຫຼາຍ	ນາງງາມຫຼາຍ.
后面	ຂ້າງຫຼັງ; ຢູ່ຫຼັງ	ໂຮງຮຽນຢູ່ຂ້າງຫຼັງຮ້ານອາຫານ.
回	ກັບ; ກັບຄືນ	ຂ້ອຍກັບເຮືອນ.
会	ເປັນ; ສາມາດ	ຂ້ອຍເວົ້າພາສາຈີນໄດ້.
火车站	ສະຖານີລົດໄຟ	ສະຖານີລົດໄຟໃຫຍ່.
几	ຈັກ; ບາງ	ເຈົ້າມີເພື່ອນຈັກຄົນ?
家	ເຮືອນ; ຄອບຄົວ	ເຮືອນຂອງຂ້ອຍຢູ່ປັກກິ່ງ.
叫	ເອີ້ນ; ຊື່ວ່າ	ເຈົ້າຊື່ຫຍັງ?
今天	ມື້ນີ້	ມື້ນີ້ຮ້ອນ.
九	ເກົ້າ	ດຽວນີ້ເກົ້າໂມງ.
开	ເປີດ	ຂ້ອຍເປີດຄອມພິວເຕີ.
看	ເບິ່ງ; ອ່ານ	ຂ້ອຍອ່ານປຶ້ມ.
看见	ເຫັນ	ຂ້ອຍເຫັນຄູ.
块	ກ້ອນ; ຢວນ	ປຶ້ມນີ້ລາຄາສິບຢວນ.
来	ມາ	ລາວມາໂຮງຮຽນ.
老师	ຄູ; ອາຈານ	ຄູຢູ່ໂຮງຮຽນ.
了	ແລ້ວ; ຄຳຊ່ວຍບອກການກະທຳສຳເລັດ	ຂ້ອຍກິນເຂົ້າແລ້ວ.
冷	ໜາວ; ເຢັນ	ມື້ນີ້ໜາວ.
里	ຂ້າງໃນ; ໃນ	ມີນ້ຳຢູ່ໃນຈອກ.
零	ສູນ	ສູນບໍ່ແມ່ນໜຶ່ງ.
六	ຫົກ	ດຽວນີ້ຫົກໂມງ.
妈妈	ແມ່	ແມ່ດື່ມຊາ.
吗	ຄຳຊ່ວຍຄຳຖາມ	ເຈົ້າເປັນນັກຮຽນບໍ?
买	ຊື້	ຂ້ອຍຊື້ໝາກໂປມ.
猫	ແມວ	ແມວຢູ່ເທິງຕັ່ງ.
没	ບໍ່ມີ; ຍັງບໍ່	ຂ້ອຍບໍ່ມີເງິນ.
没关系	ບໍ່ເປັນຫຍັງ	ບໍ່ເປັນຫຍັງ.
米饭	ເຂົ້າ	ຂ້ອຍກິນເຂົ້າ.
名字	ຊື່	ຊື່ຂອງເຈົ້າແມ່ນຫຍັງ?
明天	ມື້ອື່ນ	ມື້ອື່ນຂ້ອຍໄປປັກກິ່ງ.
哪	ໃດ; ຢູ່ໃສ	ເຈົ້າໄປໃສ?
那	ນັ້ນ; ພວກນັ້ນ	ນັ້ນແມ່ນຄູຂອງຂ້ອຍ.
呢	ແລ້ວ...ເດ; ຄຳຊ່ວຍຄຳຖາມ	ແລ້ວເຈົ້າເດ?
能	ສາມາດ; ໄດ້	ຂ້ອຍໄປໄດ້ບໍ?
你	ເຈົ້າ; ທ່ານ	ເຈົ້າສະບາຍດີບໍ?
年	ປີ	ໜຶ່ງປີມີສິບສອງເດືອນ.
女儿	ລູກສາວ	ລູກສາວຂອງນາງງາມຫຼາຍ.
朋友	ເພື່ອນ	ລາວເປັນເພື່ອນຂອງຂ້ອຍ.
漂亮	ງາມ	ນາງງາມຫຼາຍ.
苹果	ໝາກໂປມ	ຂ້ອຍມັກໝາກໂປມ.
七	ເຈັດ	ດຽວນີ້ເຈັດໂມງ.
前面	ຂ້າງໜ້າ; ຢູ່ໜ້າ	ຮ້ານອາຫານຢູ່ຂ້າງໜ້າຮ້ານ.
钱	ເງິນ	ຂ້ອຍບໍ່ມີເງິນ.
请	ກະລຸນາ; ເຊີນ	ກະລຸນາດື່ມຊາ.
去	ໄປ	ຂ້ອຍໄປໂຮງຮຽນ.
热	ຮ້ອນ	ມື້ນີ້ຮ້ອນ.
人	ຄົນ	ມີຄົນຫຼາຍຢູ່ໂຮງຮຽນ.
认识	ຮູ້ຈັກ	ຂ້ອຍຮູ້ຈັກລາວ.
日	ວັນ; ວັນທີ	ມື້ນີ້ແມ່ນວັນທີໜຶ່ງ ເດືອນມີນາ.
三	ສາມ	ຂ້ອຍມີຈອກສາມໃບ.
商店	ຮ້ານ	ຮ້ານຢູ່ຂ້າງໜ້າໂຮງຮຽນ.
上	ເທິງ; ຂ້າງເທິງ	ປຶ້ມຢູ່ເທິງໂຕະ.
上午	ຕອນເຊົ້າ	ຕອນເຊົ້າຂ້ອຍຮຽນພາສາຈີນ.
少	ໜ້ອຍ	ມີນັກຮຽນໜ້ອຍ.
什么	ຫຍັງ	ນີ້ແມ່ນຫຍັງ?
十	ສິບ	ຂ້ອຍມີປຶ້ມສິບເຫຼັ້ມ.
时候	ເວລາ; ຕອນ	ເຈົ້າມາເມື່ອໃດ?
是	ເປັນ; ແມ່ນ	ຂ້ອຍເປັນນັກຮຽນ.
书	ປຶ້ມ	ຂ້ອຍອ່ານປຶ້ມ.
谁	ໃຜ	ລາວແມ່ນໃຜ?
水	ນ້ຳ	ຂ້ອຍດື່ມນ້ຳ.
水果	ໝາກໄມ້	ຂ້ອຍຊື້ໝາກໄມ້.
睡觉	ນອນ; ໄປນອນ	ຂ້ອຍໄປນອນ.
说话	ເວົ້າ	ຄູກຳລັງເວົ້າ.
四	ສີ່	ຂ້ອຍມີເພື່ອນສີ່ຄົນ.
岁	ອາຍຸ ... ປີ	ຂ້ອຍອາຍຸສິບປີ.
他	ລາວ; ເຂົາ	ລາວເປັນຄູ.
她	ນາງ; ລາວ	ນາງເປັນນັກຮຽນຍິງ.
太	ເກີນໄປ; ຫຼາຍ	ຈອກນີ້ໃຫຍ່ເກີນໄປ.
天气	ອາກາດ; ສະພາບອາກາດ	ມື້ນີ້ອາກາດດີຫຼາຍ.
听	ຟັງ; ໄດ້ຍິນ	ຂ້ອຍຟັງຄູເວົ້າ.
同学	ເພື່ອນຮ່ວມຫ້ອງ	ລາວເປັນເພື່ອນຮ່ວມຫ້ອງຂອງຂ້ອຍ.
喂	ຮາໂຫຼ	ຮາໂຫຼ, ສະບາຍດີ.
我	ຂ້ອຍ	ຂ້ອຍເປັນໝໍ.
我们	ພວກເຮົາ; ເຮົາ	ພວກເຮົາໄປໂຮງຮຽນ.
五	ຫ້າ	ຂ້ອຍມີໝາກໂປມຫ້າໜ່ວຍ.
喜欢	ມັກ	ຂ້ອຍມັກດື່ມຊາ.
下	ລຸ່ມ; ຂ້າງລຸ່ມ; ຕໍ່ໄປ	ປຶ້ມຢູ່ລຸ່ມໂຕະ.
下午	ຕອນບ່າຍ	ຕອນບ່າຍຂ້ອຍໄປຮ້ານ.
下雨	ຝົນຕົກ	ມື້ນີ້ຝົນຕົກ.
先生	ທ່ານ; ສາມີ	ສະບາຍດີ, ທ່ານ.
现在	ດຽວນີ້; ຕອນນີ້	ດຽວນີ້ຂ້ອຍຢູ່ໂຮງຮຽນ.
想	ຢາກ; ຄິດ; ຄິດຮອດ	ຂ້ອຍຢາກດື່ມນ້ຳ.
小	ນ້ອຍ	ຈອກນີ້ນ້ອຍ.
小姐	ນາງສາວ; ຍິງສາວ	ສະບາຍດີ, ນາງສາວ.
些	ບາງ; ໜ້ອຍໜຶ່ງ	ຂ້ອຍມີປຶ້ມບາງເຫຼັ້ມ.
写	ຂຽນ	ຂ້ອຍຂຽນຕົວອັກສອນ.
