source_headword	KA	example_KA
incur	გამოწვევა	დაგვიანებამ შეიძლება დამატებითი ხარჯები გამოიწვიოს.
indicator	მაჩვენებელი	უმუშევრობა ერთ-ერთი ეკონომიკური მაჩვენებელია.
indictment	საბრალდებო დასკვნა	საბრალდებო დასკვნაში სამი ბრალდება იყო ჩამოთვლილი.
indigenous	ადგილობრივი	ადგილობრივი მცენარეები აქ კარგად იზრდება.
induce	გამოწვევა	წამალმა შეიძლება ძილი გამოიწვიოს.
indulge	აყოლა	ის ძვირადღირებულ ჩვევებს არ ჰყვება.
inequality	უთანასწორობა	შემოსავლების უთანასწორობა მთავარ პრობლემად რჩება.
infamous	ცნობილი	ციხე მთელ მსოფლიოში ცნობილი გახდა.
infant	ჩვილი	ჩვილს საწოლში ეძინა.
infect	დაინფიცირება	ვირუსს ჯანსაღი უჯრედების დაინფიცირება შეუძლია.
inflict	მიყენება	ცხოველებს ტკივილი არ მიაყენოთ.
influential	გავლენიანი	ის გავლენიანი იურისტია.
inherent	დამახასიათებელი	დიზაინს დამახასიათებელი რისკები აქვს.
inhibit	შეფერხება	შიშმა შეიძლება გულწრფელი დისკუსია შეაფერხოს.
initiate	დაწყება	მენეჯერი შემოწმებას დაიწყებს.
inject	შეყვანა	ექთანი ვაქცინას შეიყვანს.
injection	ინექცია	ინექციამ ტკივილი შეამცირა.
injustice	უსამართლობა	გადაწყვეტილებამ აშკარა უსამართლობა გამოავლინა.
inmate	პატიმარი	პატიმარმა იურიდიული კონსულტაცია მოითხოვა.
insertion	ჩასმა	ფორმას ტექსტის ერთი ჩასმა სჭირდება.
insider	ინსაიდერი	ინსაიდერმა ანგარიში გაავრცელა.
inspect	შემოწმება	ოფიციალური პირები ხიდს ყოველწლიურად ამოწმებენ.
inspection	შემოწმება	შემოწმებამ სერიოზული დაზიანება აღმოაჩინა.
inspiration	შთაგონება	მისმა გამოსვლამ შთაგონება მომცა.
instinct	ინსტინქტი	მისი პირველი ინსტინქტი დახმარება იყო.
institutional	ინსტიტუციონალური	ინსტიტუციონალურმა წესებმა გადაწყვეტილება ჩამოაყალიბა.
instruct	სწავლება	სახელმძღვანელო ახალ თანამშრომლებს ასწავლის.
instrumental	გადამწყვეტი	მისი რჩევა მოლაპარაკებებში გადამწყვეტი იყო.
insufficient	არასაკმარისი	მტკიცებულებები ბრალდებისთვის არასაკმარისი აღმოჩნდა.
insult	შეურაცხყოფა	მისმა შეურაცხყოფამ საუბარი დაასრულა.
intact	ხელუხლებელი	უძველესი კედელი ხელუხლებელი დარჩა.
intake	მოხმარება	შაქრის მოხმარება ზომიერი უნდა იყოს.
integral	განუყოფელი	ნდობა გუნდის განუყოფელი ნაწილია.
integrated	ინტეგრირებული	სკოლა ინტეგრირებულ მხარდაჭერას სთავაზობს.
integration	ინტეგრაცია	ინტეგრაციამ მთელი სისტემა გააუმჯობესა.
integrity	კეთილსინდისიერება	მოსამართლემ დიდი კეთილსინდისიერება გამოიჩინა.
intensify	გაძლიერება	ქარიშხალი შეიძლება ღამით გაძლიერდეს.
intensity	ინტენსივობა	ვარჯიშის ინტენსივობა გაიზარდა.
intensive	ინტენსიური	მათ ენის ინტენსიური ტრენინგი დაასრულეს.
intent	განზრახვა	მისი განზრახვის დამტკიცება რთული იყო.
interactive	ინტერაქტიული	მუზეუმს ინტერაქტიული ეკრანები აქვს.
interface	ინტერფეისი	ინტერფეისის ნავიგაცია მარტივია.
interfere	ჩარევა	გამოძიებაში არ ჩაერიოთ.
interference	ჩარევა	სიგნალის ჩარევამ ზარი შეწყვიტა.
interim	დროებითი	დროებითი ანგარიში ხვალ იქნება.
interior	შიდა	შიდა კედლებს შეღებვა სჭირდება.
intermediate	საშუალო	ის საშუალო კლასს შეუერთდა.
intervene	ჩარევა	პოლიციას სწრაფად ჩარევა მოუწია.
intervention	ჩარევა	ადრეულმა ჩარევამ პაციენტს დაეხმარა.
intimate	ვიწრო	მათ ვიწრო ოჯახური ცერემონია გამართეს.
intriguing	დამაინტრიგებელი	მონაცემებმა დამაინტრიგებელი კანონზომიერება გამოავლინა.
investigator	გამომძიებელი	გამომძიებელმა თითოეული მოწმე დაკითხა.
invisible	უხილავი	გაზი უხილავი და საშიშია.
invoke	მოშველიება	ადვოკატი პრეცედენტის მოშველიებას ცდილობდა.
involvement	მონაწილეობა	მისი მონაწილეობა გაურკვეველი დარჩა.
ironic	ირონიული	ირონიულმა კომენტარმა ყველას გააცინა.
ironically	ირონიულად	ირონიულად, მარშრუტმა მეტი დრო წაიღო.
irony	ირონია	ირონია ყველასთვის აშკარა იყო.
irrelevant	შეუსაბამო	ეს დეტალი აქ შეუსაბამოა.
isolation	იზოლაცია	იზოლაციამ შეიძლება ფსიქიკური ჯანმრთელობა დააზიანოს.
judicial	სასამართლო	სასამართლო განხილვა ორშაბათს იწყება.
junction	გზაჯვარედინი	გზაჯვარედინზე მარცხნივ მოუხვიეთ.
jurisdiction	იურისდიქცია	სასამართლოს შეზღუდული იურისდიქცია აქვს.
just	სამართლიანი	მოსამართლემ სამართლიანი გადაწყვეტილება მიიღო.
justification	გამართლება	ხარჯებისთვის ნათელი გამართლება გვჭირდება.
kidnap	გატაცება	დამნაშავეები დიპლომატის გატაცებას ცდილობდნენ.
kidney	თირკმელი	მისი თირკმლის ფუნქცია გაუმჯობესდა.
kingdom	სამეფო	სამეფო მისი მმართველობისას გაფართოვდა.
lad	ბიჭი	ახალგაზრდა ბიჭმა ჩანთები წაიღო.
landlord	მესაკუთრე	მესაკუთრემ გათბობა შეაკეთა.
landmark	ღირსშესანიშნაობა	კოშკი ქალაქის ღირსშესანიშნაობად იქცა.
lap	კალთა	ბავშვი მის კალთაში იჯდა.
large-scale	ფართომასშტაბიანი	ქალაქმა ფართომასშტაბიანი რემონტი დაგეგმა.
laser	ლაზერი	ლაზერმა მანძილი გაზომა.
latter	ბოლო	ბოლო ვარიანტი უფრო უსაფრთხოდ გამოიყურება.
lawn	გაზონი	ბავშვები გაზონზე თამაშობდნენ.
lawsuit	სარჩელი	კომპანიამ სარჩელი დააკმაყოფილა.
layout	განლაგება	გვერდის განლაგება უფრო ნათელი ჩანს.
leak	გაჟონვა	მილის გაჟონვამ სამზარეულო დატბორა.
leap	ნახტომი	გაყიდვებმა უეცარი ნახტომი გააკეთა.
legacy	მემკვიდრეობა	მისმა მემკვიდრეობამ უნივერსიტეტი ჩამოაყალიბა.
legendary	ლეგენდარული	ლეგენდარული მომღერალი სცენაზე დაბრუნდა.
legislation	კანონმდებლობა	ახალი კანონმდებლობა მდგმურებს იცავს.
legislative	საკანონმდებლო	საკანონმდებლო კომიტეტი დღეს შეიკრიბა.
legislature	საკანონმდებლო ორგანო	საკანონმდებლო ორგანომ ბიუჯეტი დაამტკიცა.
legitimate	ლეგიტიმური	მათ ლეგიტიმური შეშფოთება გამოთქვეს.
lengthy	ხანგრძლივი	ხანგრძლივმა დებატებმა კენჭისყრა გადადო.
lesbian	ლესბოსელი	ლესბოსელმა აქტივისტმა ფორუმზე ისაუბრა.
lesser	ნაკლები	ნაკლები რისკი აირჩიეთ.
lethal	სასიკვდილო	ქიმიკატი შეიძლება სასიკვდილო იყოს.
liable	პასუხისმგებელი	მძღოლები ზარალზე პასუხისმგებელნი არიან.
liberal	ლიბერალური	ის ლიბერალურ სოციალურ პოლიტიკას უჭერს მხარს.
liberation	გათავისუფლება	გათავისუფლებამ ქვეყნის მომავალი შეცვალა.
liberty	თავისუფლება	კანონი პირად თავისუფლებას იცავს.
license	ლიცენზირება	სახელმწიფომ შეიძლება ახალი კლინიკების ლიცენზირება მოახდინოს.
lifelong	მთელი სიცოცხლის	მან იქ მთელი სიცოცხლის მეგობრები შეიძინა.
likelihood	ალბათობა	წვიმის ალბათობა გაიზარდა.
limb	კიდური	დაზიანებული კიდური ნელა შეხორცდა.
linear	წრფივი	გრაფიკი წრფივ ტენდენციას აჩვენებს.
line-up	შემადგენლობა	ფესტივალის შემადგენლობაში ადგილობრივი ჯგუფები შედიან.
linger	დარჩენა	სუნი შეიძლება საათობით დარჩეს.
listing	განცხადება	ბინის განცხადება ზუსტი ჩანდა.
literacy	წიგნიერება	მოზრდილთა წიგნიერების პროგრამები გაფართოვდა.
liver	ღვიძლი	ღვიძლი ფილტრავს მავნე ნივთიერებებს.
lobby	ფოიე	შუადღის შემდეგ ფოიე ხალხმრავალი იყო.
log	ჟურნალი	სისტემა ინახავს ყოველდღიურ ჟურნალს.
logic	ლოგიკა	მისი არგუმენტის ლოგიკამ არ გაამართლა.
long-standing	დიდი ხნის	მათ დიდი ხნის დავა მოაგვარეს.
