source_headword	JA	example_JA
strengthen	強化する	新しい方針はオンラインの安全性を強化します。
strictly	厳密に	チケットは1人2枚までに厳しく制限されています。
striking	印象的な	その絵は印象的な色をしています。
stroke	一筆	彼女は紙に一筆描きました。
stunning	驚くほど美しい	山の景色は驚くほど美しかったです。
subsequent	その後の	その後の会議で予算が確認されました。
subsequently	その後	道路が閉鎖され、その後渋滞で進みが遅くなりました。
suburb	郊外	彼らは静かな郊外に住んでいます。
suffering	苦しみ	その薬は彼の苦しみを和らげました。
sufficient	十分な	チームには十分な時間があります。
sufficiently	十分に	部屋は十分に暖かいです。
super	とても	新しいタブレットはとても速いです。
surgeon	外科医	外科医は怪我をした膝を治しました。
survival	生存	きれいな水は生存に不可欠です。
survivor	生存者	生存者は洪水の様子を説明しました。
suspend	中止する	学校は旅行を一時中止するかもしれません。
sustainable	持続可能な	その農場は持続可能な方法を用いています。
swallow	飲み込む	錠剤を水で飲み込んでください。
sympathetic	同情的な	マネージャーは彼女の問題に同情的でした。
tackle	取り組む	私たちは住宅問題に取り組む必要があります。
tag	値札	バッグには値札が付いていました。
tap	蛇口	彼女は蛇口を閉めました。
technological	技術的な	技術的な変化はすべての職場に影響を与えます。
teens	10代の若者	多くの10代の若者が毎日ソーシャルメディアを使用しています。
temple	寺	寺院は川の近くに建っていました。
temporarily	一時的に	オフィスは一時的に閉鎖されています。
tendency	傾向	彼には遅刻する傾向があります。
tension	緊張	議論の間に緊張が高まりました。
terms	条件	契約条件は明確でした。
terribly	ひどく	その子供はひどく動揺していました。
terrify	怖がらせる	大きな音は犬を怖がらせます。
territory	領土	地図には新しい領土が示されています。
terror	恐怖	攻撃の後、恐怖が広がりました。
terrorism	テロリズム	テロリズムは公共の安全を脅かします。
terrorist	テロリスト	警察は昨日テロリストを逮捕しました。
testing	テスト	製品テストは月曜日に始まります。
textbook	教科書	彼女は生物の教科書を忘れました。
theft	盗難	その地域で盗難が増加しました。
therapist	セラピスト	セラピストは彼の不安を和らげるのを助けました。
thesis	論文	彼女の論文はオンライン学習について調査しています。
thorough	徹底的な	徹底的な見直しでエラーは見つかりませんでした。
thoroughly	徹底的に	傷口を徹底的に洗ってください。
thumb	親指	彼は親指を立てて賛成の合図をしました。
timing	タイミング	電話のタイミングは完璧でした。
tissue	ティッシュ	彼女はティッシュでグラスを拭きました。
ton	トン	トラックは1トンの砂を運びました。
tonne	トン	その積荷の重さは1トンでした。
tournament	大会	テニスの大会は明日始まります。
trace	突き止める	科学者はウイルスの発生源を突き止めることができます。
trading	取引	株式取引は正午に停止しました。
tragedy	悲劇	その事故は恐ろしい悲劇でした。
tragic	悲惨な	その衝突事故は悲惨な結果を招きました。
trait	特徴	忍耐は役に立つ特徴です。
transmit	伝染させる	蚊は病気を媒介することがあります。
transportation	交通機関	今日の公共交通機関は混雑しています。
trap	捕らえる	その箱は昆虫を安全に捕らえることができます。
treasure	宝物	その古い箱には宝物が入っていました。
tribe	部族	その部族は伝統を守りました。
trigger	作動させる	煙が警報を作動させることがあります。
trillion	1兆	借金は1兆ドルに達しました。
troop	部隊	部隊は国境に向かって移動しました。
tsunami	津波	津波は沿岸の家々を破壊しました。
ultimate	最終的な	最終的な目標は平和です。
unacceptable	受け入れられない	その遅延は乗客にとって受け入れられないものでした。
uncertainty	不確実性	不確実性が投資家を不安にさせました。
undergo	受ける	その患者は明日手術を受けます。
undertake	実施する	チームは調査を実施します。
unfold	展開する	ドラマはゆっくりと展開し始めました。
unfortunate	残念な	その間違いは残念でしたが、修正可能でした。
unite	団結させる	リーダーたちは党を団結させようとしました。
unity	団結	その演説は国民の団結を呼びかけました。
universal	普遍的な	そのアプリはユニバーサルデザインを採用しています。
urgent	緊急の	病院は緊急の電話を受けました。
usage	使い方	そのガイドでは正しい使い方を説明しています。
useless	役に立たない	壊れた充電器は役に立ちません。
valid	有効な	あなたのパスポートはまだ有効です。
variation	ばらつき	価格には大きなばらつきがあります。
vertical	垂直の	そのグラフには垂直軸があります。
viewpoint	視点	議論の後、彼女の視点は変わりました。
visa	ビザ	彼は学生ビザを申請しました。
visible	見える	標識はここから見えます。
voluntary	任意の	そのコースには任意のワークショップが含まれています。
voting	投票	期日前投票は来週始まります。
wander	歩き回る	観光客が古い市場を歩き回ります。
warming	温暖化	地球温暖化は海面に影響を与えます。
weekly	毎週の	チームは毎週会議を開きます。
weird	変な	その音は変に聞こえました。
welfare	福祉	そのプログラムは児童福祉を支援しています。
wheat	小麦	その農家は小麦を栽培しています。
whoever	誰でも	最初に着いた人は誰でも外で待つべきです。
widespread	広範囲にわたる	嵐は広範囲にわたる被害をもたらしました。
wisdom	知恵	彼女の祖母は実践的な知恵を共有しました。
withdraw	取り下げる	彼は申請を取り下げることにしました。
workforce	労働力	労働力には新しいスキルが必要です。
workplace	職場	その職場には明確な安全規則があります。
workshop	ワークショップ	ワークショップは10時に始まります。
worm	ミミズ	ミミズが土の上を移動しました。
wrist	手首	彼女は手首を痛めました。
