hsk_key	source_word	simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
3606:白白	白白	白白	အချည်းနှီး; အလကား	သူ တစ်နာရီလုံး အချည်းနှီး စောင့်ခဲ့သည်။	ឥតប្រយោជន៍; ទទេៗ	គាត់បានរង់ចាំមួយម៉ោងដោយឥតប្រយោជន៍។	ເປົ່າປະໂຫຍດ; ສູນເສຍແຮງ	ລາວລໍຖ້າໜຶ່ງຊົ່ວໂມງແບບເປົ່າປະໂຫຍດ.	व्यर्थमा; खेर	उसले एक घण्टा व्यर्थमा पर्खियो।
3607:白领	白领	白领	ရုံးဝန်ထမ်း; ကော်လာဖြူအလုပ်သမား	ဤမြို့တွင် လူငယ်ရုံးဝန်ထမ်းများ အများကြီးရှိသည်။	បុគ្គលិកការិយាល័យ; អ្នកធ្វើការកអាវស	ទីក្រុងនេះមានបុគ្គលិកការិយាល័យវ័យក្មេងជាច្រើន។	ພະນັກງານຫ້ອງການ; ຄົນເຮັດວຽກຄໍຂາວ	ເມືອງນີ້ມີພະນັກງານຫ້ອງການໜຸ່ມສາວຫຼາຍຄົນ.	कार्यालय कर्मचारी; सेतो-कॉलर कामदार	यो सहरमा धेरै युवा कार्यालय कर्मचारी छन्।
3609:摆放	摆放	摆放	နေရာချထားသည်; စီထားသည်	ကျေးဇူးပြု၍ စာရွက်စာတမ်းများကို စားပွဲပေါ်တွင် သပ်သပ်ရပ်ရပ် စီထားပါ။	ដាក់តម្រៀប; រៀបចំដាក់	សូមដាក់ឯកសារឱ្យរៀបរយលើតុ។	ຈັດວາງ; ວາງໃຫ້ເປັນລະບຽບ	ກະລຸນາຈັດວາງເອກະສານໃຫ້ເປັນລະບຽບເທິງໂຕະ.	मिलाएर राख्नु; सजाउनु	कृपया सामग्रीहरू टेबुलमा मिलाएर राख्नुहोस्।
3610:百分点	百分点	百分点	ရာခိုင်နှုန်းမှတ်	အလုပ်လက်မဲ့နှုန်းသည် ရာခိုင်နှုန်းမှတ် နှစ်မှတ် ကျဆင်းခဲ့သည်။	ចំណុចភាគរយ	អត្រាគ្មានការងារធ្វើបានធ្លាក់ចុះពីរចំណុចភាគរយ។	ຈຸດເປີເຊັນ	ອັດຕາວ່າງງານຫຼຸດລົງສອງຈຸດເປີເຊັນ.	प्रतिशत बिन्दु	बेरोजगारी दर दुई प्रतिशत बिन्दुले घट्यो।
3611:百货	百货	百货	ကုန်စုံပစ္စည်းများ; ဌာနဆိုင်ကုန်ပစ္စည်းများ	ဤဌာနဆိုင်သည် စနေ၊ တနင်္ဂနွေတွင် လူအလွန်များသည်။	ទំនិញទូទៅ; ទំនិញផ្សារទំនើប	ហាងទំនិញនេះមានមនុស្សច្រើនណាស់នៅចុងសប្តាហ៍។	ສິນຄ້າທົ່ວໄປ; ຂອງຂາຍໃນຫ້າງ	ຫ້າງສິນຄ້ານີ້ມີຄົນຫຼາຍໃນທ້າຍອາທິດ.	विभागीय पसलका सामान; सामान्य मालसामान	यो विभागीय पसल सप्ताहन्तमा धेरै भीड हुन्छ।
3613:败	败	败	ရှုံးသည်; အနိုင်ခံရသည်	ကျွန်ုပ်တို့အသင်းသည် နောက်ဆုံးတွင် တစ်မှတ်အကွာဖြင့် ရှုံးခဲ့သည်။	ចាញ់; ត្រូវបានផ្ដួល	ក្រុមរបស់យើងចុងក្រោយចាញ់ដោយខុសគ្នាមួយពិន្ទុ។	ແພ້; ຖືກຊະນະ	ທີມຂອງພວກເຮົາສຸດທ້າຍແພ້ຫ່າງກັນໜຶ່ງຄະແນນ.	हार्नु; पराजित हुनु	हाम्रो टोली अन्ततः एक अंकले हार्यो।
3616:版	版	版	ဗားရှင်း; ထုတ်ဝေမှု	ဤစာအုပ်၏ ထုတ်ဝေမှုအသစ် ထွက်လာပြီ။	កំណែ; លើកបោះពុម្ព	សៀវភៅនេះមានកំណែថ្មីចេញហើយ។	ສະບັບ; ລຸ້ນ	ປຶ້ມເຫຼັ້ມນີ້ອອກສະບັບໃໝ່ແລ້ວ.	संस्करण; अंक	यो किताबको नयाँ संस्करण निस्किएको छ।
3621:棒球	棒球	棒球	ဘေ့စ်ဘော	ကလေးများသည် ပန်းခြံတွင် ဘေ့စ်ဘော ကစားနေကြသည်။	បេស្បល	ក្មេងៗកំពុងលេងបេស្បលនៅសួនច្បារ។	ເບສບອນ	ເດັກນ້ອຍກຳລັງຫຼິ້ນເບສບອນຢູ່ສວນສາທາລະນະ.	बेसबल	बालबालिकाहरू पार्कमा बेसबल खेलिरहेका छन्।
3623:保健	保健	保健	ကျန်းမာရေးစောင့်ရှောက်မှု; ကျန်းမာရေးထိန်းသိမ်းမှု	သက်ကြီးရွယ်အိုများသည် ကျန်းမာရေးထိန်းသိမ်းမှုကို ပို၍ပို၍ အလေးထားလာကြသည်။	ការថែទាំសុខភាព; ការរក្សាសុខភាព	មនុស្សចាស់កាន់តែយកចិត្តទុកដាក់លើការថែទាំសុខភាព។	ການດູແລສຸຂະພາບ; ການຮັກສາສຸຂະພາບ	ຜູ້ສູງອາຍຸໃຫ້ຄວາມສຳຄັນກັບການດູແລສຸຂະພາບຫຼາຍຂຶ້ນເລື້ອຍໆ.	स्वास्थ्य हेरचाह; स्वास्थ्य संरक्षण	ज्येष्ठ मानिसहरूले स्वास्थ्य हेरचाहलाई झन् बढी महत्व दिन थालेका छन्।
3624:保暖	保暖	保暖	နွေးအောင်ထားသည်	ဆောင်းရာသီ အပြင်ထွက်လျှင် နွေးအောင်ထားရန် သတိထားပါ။	រក្សាកម្ដៅ; ឱ្យកក់ក្តៅ	ចេញក្រៅនៅរដូវរងា ត្រូវប្រយ័ត្នឱ្យកក់ក្តៅ។	ຮັກສາໃຫ້ອົບອຸ່ນ	ເວລາອອກໄປຂ້າງນອກໃນລະດູໜາວ ຄວນຮັກສາໃຫ້ອົບອຸ່ນ.	न्यानो राख्नु	जाडोमा बाहिर निस्कँदा न्यानो रहन ध्यान दिनुपर्छ।
