source_headword	TL	example_TL
heal	gumaling	Nakakatulong ang pahinga para gumaling ang katawan.
healthcare	pangangalagang pangkalusugan	Tumaas ang gastos sa pangangalagang pangkalusugan ngayong taon.
helmet	helmet	Magsuot ng helmet sa bisikleta.
hence	kaya	Kaya, binago namin ang iskedyul.
herb	halamang-gamot	Ang basil ay isang kapaki-pakinabang na halamang-gamot.
hidden	nakatago	Nakatago ang susi sa ilalim ng doormat.
highway	highway	Isinara ang highway pagkatapos umulan ng yelo.
hilarious	nakakatawa	Sobrang nakakatawa ang pelikula.
hip	balakang	Nasaktan niya ang kanyang balakang habang nagsasanay.
historian	historyador	Pinag-aralan ng historyador ang mga lumang liham.
homeless	walang tirahan	Tumutulong ang kanlungan sa mga pamilyang walang tirahan.
honesty	katapatan	Bumubuo ng tiwala ang katapatan.
hook	sabitan	Isabit ang coat sa sabitan.
hopefully	sana	Sana, dumating na agad ang tren.
hunger	gutom	Maaaring maapektuhan ng gutom ang konsentrasyon.
hypothesis	hipotesis	Sinubok ng eksperimento ang hipotesis.
icon	icon	Nagbago ang icon ng app ngayon.
ID	ID	Ipakita ang iyong ID sa reception.
identical	magkapareho	Nagsuot ang kambal ng magkaparehong jacket.
illusion	ilusyon	Lumilikha ang salamin ng ilusyon.
immigration	imigrasyon	Nagbago ang patakaran sa imigrasyon noong nakaraang taon.
immune	immune	Maaaring gawing immune ng bakuna ang mga tao.
implement	ipatupad	Ipatutupad ng paaralan ang patakaran.
implication	implikasyon	Malinaw ang implikasyon.
incentive	insentibo	Nagbigay ng insentibo sa mga manggagawa ang bonus.
incorporate	isama	Isama ang mas maraming gulay sa mga pagkain.
incorrect	mali	Mali ang sagot.
independence	kalayaan	Ipinagdiwang ng bansa ang kalayaan.
index	index	Suriin ang index para sa paksa.
indication	palatandaan	Ang ngiti ay isang palatandaan ng ginhawa.
inevitable	hindi maiiwasan	Hindi maiiwasan ang ilang pagkaantala.
inevitably	hindi maiiwasan	Hindi maiiwasan na tumaas ang presyo pagkatapos ng mga kakulangan.
infer	hinuha	Maaari nating hinuha ang sagot mula sa konteksto.
inflation	implasyon	Tinaasan ng implasyon ang presyo ng pagkain.
info	impormasyon	Naglilista ang website ng kapaki-pakinabang na impormasyon.
infrastructure	imprastraktura	Nasira ng bagyo ang lokal na imprastraktura.
inhabitant	naninirahan	Tumanggap ng malinis na tubig ang bawat naninirahan.
inherit	manahin	Mamanahin niya ang bahay ng pamilya.
ink	tinta	Kailangan ng printer ng itim na tinta.
innovation	inobasyon	Pinapasulong ng inobasyon ang industriya.
innovative	makabago	Naglunsad ang kumpanya ng makabagong produkto.
input	input	Humingi ng input ang manager.
insert	ipasok	Ipasok ang card sa makina.
inspector	inspektor	Sinuri ng inspektor ang gusali.
installation	pag-install	Tumagal ng dalawang oras ang pag-install.
instant	mabilis	Nagpadala ang app ng mabilis na tugon.
instantly	agad	Agad na bumukas ang screen.
integrate	isama	Maaaring isama ng software ang mga bagong tool.
intellectual	intelektwal	Intelektwal ngunit palakaibigan ang debate.
interact	makipag-ugnayan	Nakikipag-ugnayan ang mga mag-aaral sa pangkatang gawain.
interaction	interaksyon	Naging magalang ang interaksyon.
interpretation	interpretasyon	Orihinal ang kanyang interpretasyon sa tula.
interval	patlang	May maikling patlang sa pagitan ng mga yugto.
invade	sakupin	Sinubukan ng hukbo na sakupin ang isla.
invasion	pagsalakay	Napinsala ng pagsalakay ang maraming bayan.
investor	mamumuhunan	Pinondohan ng mamumuhunan ang isang bagong startup.
isolate	ihiwalay	Ihihiwalay ng mga doktor ang mga pasyenteng may malubhang impeksyon.
isolated	nakahiwalay	Nahiwalay ang nayon dahil sa yelo.
jail	kulungan	Napunta ang magnanakaw sa kulungan.
jet	jet	Lumapag ang jet nang tanghali.
joint	pinagsama	Nag-anunsyo sila ng pinagsamang proyekto.
journalism	pamamahayag	Nangangailangan ng mga tumpak na katotohanan ang pamamahayag.
jury	hurado	Umabot sa isang desisyon ang hurado.
kit	kit	Kasama sa repair kit ang mga turnilyo.
ladder	hagdan	Nakasandal ang hagdan sa pader.
landing	paglapag	Maayos ang paglapag ng eroplano.
lane	linya	Manatili sa kanang linya.
lately	kamakailan	Masama ang tulog ko kamakailan.
leaflet	polyeto	Ipinapaliwanag ng polyeto ang serbisyo.
legend	alamat	Sinasabi ng alamat ang tungkol sa isang nakatagong lungsod.
lens	lens	Linisin nang mabuti ang lens ng camera.
lifetime	habambuhay	Nag-ipon siya ng pera sa buong habambuhay niya.
lighting	ilaw	Pinapaganda ng maayos na ilaw ang silid.
likewise	gayundin	Ngumiti siya; gayundin ang ginawa nito.
limitation	limitasyon	May isang limitasyon ang plano.
literally	literal	Literal siyang tumakbo papunta sa bus.
literary	pampanitikan	Pinararangalan ng pagdiriwang ang mga akdang pampanitikan.
litre	litro	Bumili ng isang litro ng gatas.
litter	kalat	Huwag magtapon ng kalat.
logo	logo	Lumalabas ang logo sa bawat pahina.
lottery	lotto	Nanalo siya ng maliit na premyo sa lotto.
loyal	tapat	Tapat ang aso sa may-ari nito.
lyric	liriko	Inulit ng liriko ang pangunahing ideya.
magnificent	kamangha-mangha	Kamangha-mangha ang palasyo.
make-up	make-up	Nagsuot siya ng simpleng make-up.
making	paggawa	Naging mahirap ang paggawa ng pelikula.
manufacture	gumawa	Gagawa ng mga telepono ang pabrika.
manufacturing	pagmamanupaktura	Tumaas nang lokal ang mga trabaho sa pagmamanupaktura.
marathon	marapon	Natapos niya ang marapon.
margin	margin	Sumulat ng mga tala sa margin.
marker	pananda	Gumamit ng pananda para sa label.
martial	martial	Nag-aaral siya ng martial arts.
mate	kaibigan	Tumawag kahapon ang dati kong kaibigan sa paaralan.
mayor	alkalde	Binuksan ng alkalde ang aklatan.
mechanic	mekaniko	Inayos ng mekaniko ang bus.
mechanical	mekanikal	May mekanikal na sira ang orasan.
mechanism	mekanismo	Simple ang mekanismo ng kandado.
medal	medalya	Nanalo siya ng gintong medalya.
medication	gamot	Uminom ng gamot kasama ang tubig.
membership	membership	Mas mura ang membership sa gym kapag online.
memorable	memorable	Naging memorable ang biyahe.
metaphor	metapora	Gumagamit ng malakas na metapora ang tula.
