source_headword	NL	example_NL
heal	genezen	Rust helpt het lichaam te genezen.
healthcare	de gezondheidszorg	De kosten voor de gezondheidszorg stegen dit jaar.
helmet	de helm	Draag een helm op de fiets.
hence	vandaar	Vandaar dat we het schema hebben gewijzigd.
herb	het kruid	Basilicum is een nuttig kruid.
hidden	verborgen	De sleutel was verborgen onder de mat.
highway	de snelweg	De snelweg was gesloten na de sneeuwval.
hilarious	hilarisch	De film was hilarisch.
hip	de heup	Ze bezeerde haar heup tijdens de training.
historian	de historicus	De historicus bestudeerde oude brieven.
homeless	dakloos	De opvang helpt dakloze gezinnen.
honesty	de eerlijkheid	Eerlijkheid bouwt vertrouwen op.
hook	de haak	Hang de jas aan de haak.
hopefully	hopelijk	Hopelijk komt de trein snel aan.
hunger	de honger	Honger kan de concentratie beïnvloeden.
hypothesis	de hypothese	Het experiment testte de hypothese.
icon	het icoon	Het app-icoon is vandaag veranderd.
ID	het ID	Laat uw ID zien bij de receptie.
identical	identiek	De tweeling droeg identieke jassen.
illusion	de illusie	De spiegel creëert een illusie.
immigration	de immigratie	Het immigratiebeleid is vorig jaar gewijzigd.
immune	immuun	Vaccinatie kan mensen immuun maken.
implement	implementeren	De school zal het beleid implementeren.
implication	de implicatie	De implicatie was duidelijk.
incentive	de stimulans	De bonus gaf werknemers een stimulans.
incorporate	verwerken	Verwerk meer groenten in maaltijden.
incorrect	onjuist	Het antwoord was onjuist.
independence	de onafhankelijkheid	Het land vierde de onafhankelijkheid.
index	de index	Controleer de index voor het onderwerp.
indication	de indicatie	De glimlach was een indicatie van opluchting.
inevitable	onvermijdelijk	Enige vertraging was onvermijdelijk.
inevitably	onvermijdelijk	Onvermijdelijk stegen de prijzen na tekorten.
infer	afleiden	We kunnen het antwoord uit de context afleiden.
inflation	de inflatie	De inflatie verhoogde de voedselprijzen.
info	de info	De website vermeldt nuttige info.
infrastructure	de infrastructuur	De storm beschadigde de lokale infrastructuur.
inhabitant	de inwoner	Elke inwoner kreeg schoon water.
inherit	erven	Ze zal het ouderlijk huis erven.
ink	de inkt	De printer heeft zwarte inkt nodig.
innovation	de innovatie	Innovatie drijft de industrie vooruit.
innovative	innovatief	Het bedrijf lanceerde een innovatief product.
input	de input	De manager vroeg om input.
insert	invoeren	Steek de kaart in de automaat.
inspector	de inspecteur	De inspecteur controleerde het gebouw.
installation	de installatie	De installatie duurde twee uur.
instant	direct	De app stuurde een direct antwoord.
instantly	onmiddellijk	Het scherm ging onmiddellijk aan.
integrate	integreren	De software kan nieuwe tools integreren.
intellectual	intellectueel	Het debat was intellectueel maar vriendelijk.
interact	interageren	Studenten interageren tijdens groepswerk.
interaction	de interactie	De interactie was beleefd.
interpretation	de interpretatie	Haar interpretatie van het gedicht was origineel.
interval	het interval	Er was een kort interval tussen de akten.
invade	binnenvallen	Het leger probeerde het eiland binnen te vallen.
invasion	de invasie	De invasie beschadigde veel steden.
investor	de investeerder	De investeerder financierde een nieuwe startup.
isolate	isoleren	Artsen isoleren patiënten met ernstige infecties.
isolated	geïsoleerd	Het dorp was geïsoleerd door sneeuw.
jail	de gevangenis	De dief ging naar de gevangenis.
jet	de jet	De jet landde om twaalf uur 's middags.
joint	gezamenlijk	Ze kondigden een gezamenlijk project aan.
journalism	de journalistiek	Journalistiek vereist nauwkeurige feiten.
jury	de jury	De jury kwam tot een besluit.
kit	de kit	De reparatiekit bevat schroeven.
ladder	de ladder	De ladder leunde tegen de muur.
landing	de landing	Het vliegtuig maakte een vlotte landing.
lane	de rijstrook	Blijf op de rechter rijstrook.
lately	de laatste tijd	Ik heb de laatste tijd slecht geslapen.
leaflet	de folder	De folder legt de service uit.
legend	de legende	De legende vertelt over een verborgen stad.
lens	de lens	Maak de cameralens voorzichtig schoon.
lifetime	de levensduur	Hij spaarde geld voor een leven lang.
lighting	de verlichting	Goede verlichting verbetert de kamer.
likewise	eveneens	Zij glimlachte; hij deed dat eveneens.
limitation	de beperking	Het plan heeft één beperking.
literally	letterlijk	Ze rende letterlijk naar de bus.
literary	literair	Het festival eert literair werk.
litre	de liter	Koop een liter melk.
litter	het zwerfvuil	Laat geen zwerfvuil achter.
logo	het logo	Het logo verschijnt op elke pagina.
lottery	de loterij	Hij won een kleine loterijprijs.
loyal	trouw	De hond was trouw aan zijn baasje.
lyric	de songtekst	De songtekst herhaalde het hoofdidee.
magnificent	prachtig	Het paleis zag er prachtig uit.
make-up	de make-up	Ze droeg eenvoudige make-up.
making	de totstandkoming	De totstandkoming van de film was moeilijk.
manufacture	produceren	De fabriek zal telefoons produceren.
manufacturing	de productie	De banen in de productie namen lokaal toe.
marathon	de marathon	Ze liep de marathon uit.
margin	de marge	Schrijf aantekeningen in de marge.
marker	de stift	Gebruik een stift voor het label.
martial	vecht-	Hij bestudeert vechtsporten.
mate	de maat	Mijn oude schoolkameraad belde gisteren.
mayor	de burgemeester	De burgemeester opende de bibliotheek.
mechanic	de monteur	De monteur repareerde de bus.
mechanical	mechanisch	De klok heeft een mechanische fout.
mechanism	het mechanisme	Het vergrendelingsmechanisme is eenvoudig.
medal	de medaille	Ze won een gouden medaille.
medication	de medicatie	Neem de medicatie met water in.
membership	het lidmaatschap	Een lidmaatschap van de sportschool kost online minder.
memorable	gedenkwaardig	De reis was gedenkwaardig.
metaphor	de metafoor	Het gedicht gebruikt een sterke metafoor.
miner	de mijnwerker	De mijnwerker werkte ondergronds.
miserable	ellendig	De regen maakte de picknick ellendig.
mode	de modus	Zet de camera in de nachtmodus.
modest	bescheiden	Ze wonen in een bescheiden huis.
monster	het monster	Het verhaal heeft een eng monster.
monthly	maandelijks	We betalen maandelijks huur.
monument	het monument	Het monument staat vlakbij de rivier.
moreover	bovendien	Bovendien bespaart het plan geld.
mortgage	de hypotheek	Ze vroegen een hypotheek aan.
mosque	de moskee	De moskee is vlakbij de markt.
motion	de beweging	De sensor detecteert beweging.
motivate	motiveren	Lof kan studenten motiveren.
motivation	de motivatie	Haar motivatie bleef sterk.
moving	ontroerend	De toespraak was ontroerend.
myth	de mythe	De mythe verklaart de naam van de berg.
naked	naakt	De baby was naakt na het bad.
nasty	lelijk	De snee zag er lelijk uit.
navigation	de navigatie	De app verbetert de navigatie.
nearby	nabijgelegen	Een nabijgelegen café gaat vroeg open.
necessity	de noodzaak	Schoon water is een noodzaak.
negotiate	onderhandelen	Ze onderhandelen morgen over het contract.
negotiation	de onderhandeling	De onderhandeling duurde de hele ochtend.
neutral	neutraal	De rechter bleef neutraal.
newly	pas	De pas geverfde deur zag er helder uit.
norm	de norm	Thuiswerken werd de norm.
notebook	het notitieboek	Schrijf notities in je notitieboek.
novelist	de romanschrijver	De romanschrijver signeerde haar boek.
nowadays	tegenwoordig	Tegenwoordig werken veel mensen online.
nursing	de verpleegkunde	Ze studeert verpleegkunde.
nutrition	de voeding	Goede voeding ondersteunt de gezondheid.
obesity	de obesitas	Obesitas verhoogt gezondheidsrisico's.
observer	de waarnemer	De waarnemer noteerde de resultaten.
obstacle	het obstakel	De omgevallen boom was een obstakel.
occupation	het beroep	Schrijf hier uw beroep op.
occupy	betrekken	De familie zal het appartement betrekken.
offender	de dader	De dader verontschuldigde zich in de rechtbank.
ongoing	lopend	Het onderzoek is lopend.
openly	openlijk	Ze sprak openlijk over haar angsten.
opera	de opera	We zagen een opera in Milaan.
operator	de operator	De operator verbond de oproep door.
optimistic	optimistisch	Ze is optimistisch over de toekomst.
orchestra	het orkest	Het orkest speelde zachtjes.
organic	biologisch	Ze kochten biologische groenten.
outfit	de outfit	Haar outfit paste bij de gelegenheid.
output	de output	De output van de machine nam toe.
outstanding	uitstekend	Zijn optreden was uitstekend.
overcome	overwinnen	Samen overwinnen ze problemen.
overnight	's nachts	Het pakket is 's nachts aangekomen.
overseas	in het buitenland	Hij vond werk in het buitenland.
ownership	het eigendom	Het eigendom van de grond is gewijzigd.
oxygen	de zuurstof	Planten produceren zuurstof.
packet	het pakje	Open het pakje voorzichtig.
palm	de handpalm	Houd de munt in je handpalm.
panic	de paniek	Paniek verspreidde zich door de menigte.
parade	de parade	De parade begon om twaalf uur 's middags.
parallel	parallel	De wegen lopen parallel.
participation	de deelname	De deelname in de klas is verbeterd.
partnership	het partnerschap	Het partnerschap hielp beide bedrijven.
part-time	parttime	Ze vond een parttime baan.
passionate	gepassioneerd	Hij is gepassioneerd door muziek.
password	het wachtwoord	Kies een sterk wachtwoord.
patience	het geduld	Jonge kinderen lesgeven vereist geduld.
pause	pauzeren	Pauzeer de video nu.
peer	de leeftijdsgenoot	Groepsdruk beïnvloedde zijn keuze.
penalty	de straf	De speler kreeg een straf.
perceive	waarnemen	Mensen nemen risico's verschillend waar.
perception	de perceptie	Zijn perceptie van gevaar veranderde.
permanently	permanent	De winkel is permanent gesloten.
pill	de pil	Neem één pil na het ontbijt.
pity	jammer	Het is jammer.
placement	de plaatsing	De plaatsing van de bank is belangrijk.
portion	de portie	Serveer een kleine portie rijst.
potentially	potentieel	Deze verandering is potentieel nuttig.
precede	voorafgaan aan	Donkere wolken gaan vaak vooraf aan regen.
precious	kostbaar	De ring is kostbaar.
precise	precies	De instructies waren precies.
precisely	precies	Meet de afstand precies.
predictable	voorspelbaar	Het einde was voorspelbaar.
preference	de voorkeur	Ze sprak een voorkeur uit voor thee.
pride	de trots	Hij voelde trots na de finish.
primarily	voornamelijk	De cursus is voornamelijk online.
principal	de directeur	De directeur begroette de nieuwe leerlingen.
prior	voorafgaand	We hebben voorafgaande goedkeuring nodig.
probability	de waarschijnlijkheid	De waarschijnlijkheid op regen is groot.
probable	waarschijnlijk	Regen is vanavond waarschijnlijk.
proceed	doorgaan	Ga alstublieft door naar de volgende kamer.
programming	het programmeren	Programmeren vergt oefening.
progressive	vooruitstrevend	Het beleid was vooruitstrevend voor zijn tijd.
prohibit	verbieden	De regels verbieden roken.
promising	veelbelovend	De resultaten zien er veelbelovend uit.
promotion	de promotie	Ze kreeg een promotie op haar werk.
prompt	vlot	De vlotte reactie bespaarde tijd.
proportion	het deel	Een groot deel stemde ja.
protein	het eiwit	Bonen bevatten eiwit.
protester	de demonstrant	De demonstrant hield een bord vast.
psychological	psychologisch	Het ongeluk veroorzaakte psychologische stress.
publicity	de publiciteit	Het evenement kreeg publiciteit.
publishing	de uitgeverij	Ze werkt in de uitgeverij.
punk	de punk	Punkmuziek werd daar populair.
purely	puur	De keuze was puur praktisch.
pursuit	het streven	Hij zette zijn streven naar gerechtigheid voort.
puzzle	de puzzel	De puzzel duurde een uur.
questionnaire	de vragenlijst	Vul de vragenlijst in.
racial	raciaal	Het rapport besprak raciale ongelijkheid.
racism	het racisme	Racisme schaadt gemeenschappen.
racist	racistisch	De opmerking was racistisch.
radiation	de straling	Straling kan cellen beschadigen.
rail	de leuning	Houd de leuning vast op de trap.
random	willekeurig	De computer koos een willekeurig getal.
rat	de rat	Een rat rende achter de bakken langs.
rating	de beoordeling	Het hotel heeft een hoge beoordeling.
reasonably	redelijk	De kamer was redelijk schoon.
rebuild	herbouwen	Ze zullen de brug herbouwen.
receiver	de ontvanger	De ontvanger ving de bal.
recession	de recessie	De recessie verminderde de uitgaven.
reckon	denken	Ik denk dat de trein te laat is.
recognition	de erkenning	Ze kreeg erkenning voor haar werk.
