source_headword	SI	example_SI
prey	ගොදුර	බකමූණෝ රාත්‍රියේ ගොදුරු දඩයම් කරති.
privatization	පෞද්ගලීකරණය	පෞද්ගලීකරණය විසින් දුම්රිය පද්ධතිය වෙනස් කරන ලදී.
privilege	වරප්‍රසාදය	අධ්‍යාපනය වරප්‍රසාදයක් නොවිය යුතුය.
probe	විමර්ශනය	විමර්ශනය මගින් බරපතල දෝෂ අනාවරණය විය.
problematic	ගැටලුකාරී	ගිවිසුම තවමත් ගැටලුකාරීව පවතී.
proceedings	නඩු විභාගය	උසාවි නඩු විභාගය සඳුදා ආරම්භ විය.
proceeds	ආදායම	ආදායම ප්‍රාදේශීය පාසල්වලට සහාය වනු ඇත.
processing	සැකසීම	පින්තූර සැකසීමට කාලය ගතවේ.
processor	සකසනය	පරීක්ෂා කිරීමේදී සකසනය අසමත් විය.
proclaim	ප්‍රකාශ කිරීම	නායකයින් ජයග්‍රහණය ඉතා ඉක්මනින් ප්‍රකාශ කරති.
productive	ඵලදායී	රැස්වීම ඵලදායී විය.
productivity	ඵලදායිතාව	පුහුණුවෙන් පසු ඵලදායිතාව වැඩිදියුණු විය.
profitable	ලාභදායී	මෙම වසරේ සාප්පුව ලාභදායී විය.
profound	ගැඹුරු	කතාවෙන් ගැඹුරු බලපෑමක් ඇති විය.
projection	ප්‍රක්ෂේපණය	ප්‍රක්ෂේපණය මගින් ස්ථාවර වර්ධනයක් පෙන්නුම් කරයි.
prominent	කැපී පෙනෙන	ඇය කැපී පෙනෙන විද්‍යාඥවරියක් වූවාය.
pronounced	පැහැදිලි	ඔහුගේ උච්චාරණය වඩාත් කැපී පෙනුණි.
propaganda	ප්‍රචාරණය	ව්‍යාපාරය අන්තර්ජාලය හරහා ප්‍රචාරණය භාවිතා කළේය.
proposition	යෝජනාව	මෙම යෝජනාව අවදානම් සහගත යෝජනාවකි.
prosecute	නඩු පැවරීම	නිලධාරීහු බරපතල වංචා නඩු පවරති.
prosecution	පැමිණිල්ල	පැමිණිල්ල නව සාක්ෂි ඉදිරිපත් කළේය.
