simplified	HY	example_HY
啊	հաստատման մասնիկ; ա	Լավ, հիմա գնանք։
阿姨	մորաքույր; դայակ	Մորաքույրը աշխատում է մեծ խանութում։
矮	ցածր; կարճահասակ	Այս սեղանը մի քիչ ցածր է։
爱好	հոբբի; հետաքրքրություն	Իմ հոբբին երաժշտություն լսելն է։
安静	հանգիստ; լուռ	Գրադարանում շատ լուռ է։
把	բռնել; վերցնել; ուղիղ խնդիր ցույց տվող մասնիկ	Խնդրում եմ, դուռը փակիր։
搬	տեղափոխվել; տեղափոխել	Մենք վաղը տեղափոխվում ենք։
班	դասարան; խումբ	Մեր դասարանում քսան աշակերտ կա։
办法	մեթոդ; միջոց	Այս մեթոդը շատ լավն է։
办公室	գրասենյակ; աշխատանքային սենյակ	Մենեջերը գրասենյակում է։
半	կես	Ես կես ժամ սպասեցի։
帮忙	օգնել	Կարո՞ղ եք օգնել։
包	պայուսակ; փաթաթել	Նա նոր պայուսակ գնեց։
饱	կուշտ; կշտանալ	Ես արդեն կշտացել եմ։
北方	հյուսիս; հյուսիսային կողմ	Հյուսիսում ձմեռը շատ ցուրտ է։
被	կրավորական մասնիկ; կողմից	Իմ հեծանիվը ընկերս տարել է։
鼻子	քիթ	Նրա քիթը մի քիչ կարմրել է։
比较	համեմատել; բավական	Այսօր բավական շոգ է։
比赛	մրցում; խաղ	Այս մրցումը շատ կարևոր է։
笔记本	տետր; նոթատետր	Ես տետրը դրեցի սեղանի վրա։
必须	պարտադիր; պետք է	Դու անպայման պետք է ուշադիր կրկնես։
变化	փոփոխություն; փոխվել	Այս քաղաքը շատ է փոխվել։
别人	ուրիշներ	Ուրիշների իրերը մի վերցրու։
冰箱	սառնարան	Մրգերը սառնարանում են։
不但…而且…	ոչ միայն... այլև...	Նա ոչ միայն խելացի է, այլև շատ աշխատասեր։
菜单	ճաշացանկ	Խնդրում եմ, ինձ մեկ ճաշացանկ տվեք։
参加	մասնակցել	Ես ուզում եմ մասնակցել այս հանդիպմանը։
草	խոտ; մարգագետին	Շնիկը վազում է խոտի վրա։
层	հարկ; շերտ	Այս շենքը երեք հարկ ունի։
差	վատ; տարբերություն; պակաս	Այսօր եղանակը վատ է։
超市	մեծ խանութ	Ես գնում եմ մեծ խանութ՝ հաց գնելու։
衬衫	վերնաշապիկ	Այս վերնաշապիկը շատ մաքուր է։
城市	քաղաք	Պեկինը մեծ քաղաք է։
成绩	արդյունք; գնահատական	Նրա մաթեմատիկայի գնահատականները լավ են։
迟到	ուշանալ	Դասից մի ուշացիր։
除了	բացի; հավելյալ	Սուրճից բացի, ես նաև թեյ եմ ուզում։
船	նավ; նավակ	Մենք այդ քաղաք նավով ենք գնում։
春	գարուն	Գարնանը շատ ծաղիկներ կան։
词典	բառարան	Այս բառարանը շատ օգտակար է։
聪明	խելացի	Այս երեխան շատ խելացի է։
打扫	մաքրել; ավլել	Շաբաթավերջին ես սենյակը մաքրում եմ։
打算	պլան; պլանավորել	Վաղվա համար ի՞նչ պլան ունես։
带	բերել; հետը վերցնել	Խնդրում եմ, բերեք ձեր անձնագիրը։
担心	անհանգստանալ	Մի անհանգստացեք, ես ձեզ կօգնեմ։
蛋糕	տորթ	Այս տորթը շատ քաղցր է։
当然	իհարկե	Իհարկե կարելի է։
地	ձևի մակբայական մասնիկ	Նա ուրախ ժպտաց։
灯	լամպ; լույս	Խնդրում եմ, լույսը միացրու։
地方	տեղ; վայր	Այս տեղը շատ հանգիստ է։
地铁	մետրո	Ես ամեն օր աշխատանքի մետրոյով եմ գնում։
地图	քարտեզ	Ես քարտեզում դպրոցն եմ փնտրում։
电梯	վերելակ	Վերելակը ձախ կողմում է։
电子邮件	էլեկտրոնային նամակ	Ես ուսուցչին էլեկտրոնային նամակ եմ ուղարկում։
东	արևելք	Արևը ծագում է արևելքից։
冬	ձմեռ	Ձմռանը սիրում եմ տաք թեյ խմել։
动物	կենդանի	Պանդան Չինաստանում հայտնի կենդանի է։
短	կարճ	Այս տաբատը չափազանց կարճ է։
段	պարբերություն; հատված	Խնդրում եմ, կարդացեք այս պարբերությունը։
锻炼	մարզվել; վարժվել	Ես ամեն առավոտ մարզվում եմ։
多么	ինչքան; որքան	Այստեղի միջավայրը որքան լավն է։
饿	քաղցած լինել; քաղցած	Ես քաղցած եմ և ուզում եմ հաց ուտել։
耳朵	ականջ	Ականջս մի քիչ ցավում է։
发	ուղարկել; արձակել	Երեկոյան էլեկտրոնային նամակ եմ ուղարկում։
发烧	ջերմություն ունենալ	Նա ջերմություն ունի և չի կարող դպրոց գնալ։
发现	գտնել; հայտնաբերել	Ես հայտնաբերեցի, որ այս մեթոդը լավն է։
方便	հարմար	Մետրոյով գնալը շատ հարմար է։
放	դնել; բաց թողնել	Խնդրում եմ, գիրքը դիր սեղանի վրա։
放心	հանգիստ լինել; չանհանգստանալ	Հանգիստ եղեք, ես ժամանակին կհասնեմ։
分	բաժանել; բաշխել	Խնդրում եմ, տորթը բոլորին բաժանեք։
复习	կրկնել; վերանայել	Քննությունից առաջ պետք է դասերը կրկնեմ։
