hsk_key	source_word	simplified	PT-BR	example_PT-BR	ES-419	example_ES-419
3606:白白	白白	白白	em vão; à toa	Ele esperou uma hora à toa.	en vano; de balde	Esperó una hora en vano.
3607:白领	白领	白领	profissional de escritório; trabalhador de colarinho branco	Esta cidade tem muitos jovens profissionais de escritório.	trabajador de oficina; empleado de cuello blanco	Esta ciudad tiene muchos jóvenes empleados de oficina.
3609:摆放	摆放	摆放	colocar; organizar	Por favor, organize os materiais em ordem sobre a mesa.	colocar; ordenar	Por favor, ordena los materiales sobre la mesa.
3610:百分点	百分点	百分点	ponto percentual	A taxa de desemprego caiu dois pontos percentuais.	punto porcentual	La tasa de desempleo bajó dos puntos porcentuales.
3611:百货	百货	百货	artigos de loja de departamentos; mercadorias gerais	Esta loja de departamentos fica muito cheia nos fins de semana.	artículos de tienda departamental; mercancía general	Esta tienda departamental se llena mucho los fines de semana.
3613:败	败	败	perder; ser derrotado	Nosso time perdeu por um ponto no fim.	perder; ser derrotado	Nuestro equipo perdió por un punto al final.
3616:版	版	版	edição; versão	Saiu uma nova edição deste livro.	edición; versión	Salió una nueva edición de este libro.
3621:棒球	棒球	棒球	beisebol	As crianças estão jogando beisebol no parque.	béisbol	Los niños están jugando béisbol en el parque.
3623:保健	保健	保健	cuidados com a saúde; manutenção da saúde	Os idosos dão cada vez mais atenção aos cuidados com a saúde.	cuidado de la salud; mantenimiento de la salud	Las personas mayores prestan cada vez más atención al cuidado de la salud.
3624:保暖	保暖	保暖	manter-se aquecido	Ao sair no inverno, é preciso se manter aquecido.	mantenerse abrigado	Al salir en invierno, hay que mantenerse abrigado.
3625:保修	保修	保修	conserto na garantia	Este computador tem conserto gratuito na garantia por um ano.	reparación en garantía	Esta computadora tiene reparación gratuita en garantía por un año.
3627:爆	爆	爆	estourar; explodir	O balão estourou de repente.	reventar; explotar	El globo reventó de repente.
3629:报刊	报刊	报刊	jornais e revistas	Na biblioteca há muitos jornais e revistas em chinês.	periódicos y revistas	En la biblioteca hay muchos periódicos y revistas en chino.
3635:悲剧	悲剧	悲剧	tragédia	Esse acidente foi uma tragédia.	tragedia	Ese accidente fue una tragedia.
3636:悲伤	悲伤	悲伤	triste; muito triste	Ao ouvir a notícia, ele ficou muito triste.	triste; apenado	Al escuchar la noticia, se puso muy triste.
3638:北美洲	北美洲	北美洲	América do Norte	O Canadá fica na América do Norte.	América del Norte	Canadá está en América del Norte.
3640:被迫	被迫	被迫	ser obrigado; ser forçado	Por causa da chuva forte, a partida teve que ser cancelada.	verse obligado; ser forzado	Por la lluvia fuerte, el partido tuvo que cancelarse.
3641:背心	背心	背心	regata; camiseta sem mangas	No verão, ele costuma usar regata.	camiseta sin mangas	En verano, suele usar camiseta sin mangas.
3642:备用	备用	备用	reserva; para uso emergencial	Por favor, prepare uma chave reserva.	de repuesto; de reserva	Por favor, prepara una llave de repuesto.
3643:倍增	倍增	倍增	multiplicar; aumentar muito	O número de pedidos aumentou muito este ano.	multiplicarse; aumentar mucho	La cantidad de pedidos aumentó mucho este año.
3644:奔跑	奔跑	奔跑	correr	A criança corre no pátio da escola.	correr	El niño corre en el patio de la escuela.
3647:本土	本土	本土	local; terra natal	Esta empresa valoriza a cultura local.	local; tierra natal	Esta empresa valora la cultura local.
3648:逼	逼	逼	forçar; pressionar	Não force a criança a fazer coisas de que ela não gosta.	forzar; presionar	No fuerces al niño a hacer cosas que no le gustan.
3651:闭	闭	闭	fechar	Por favor, feche a porta.	cerrar	Por favor, cierra la puerta.
3652:避	避	避	evitar	Ao dirigir, evite o horário de pico.	evitar	Al manejar, evita la hora pico.
3653:必修	必修	必修	obrigatório	Esta disciplina é obrigatória no primeiro ano da universidade.	obligatorio	Esta materia es obligatoria en el primer año de la universidad.
3654:编	编	编	compilar; editar	Ele está compilando um livro didático de chinês.	compilar; editar	Está compilando un libro de texto de chino.
