simplified	IT	example_IT	PT	example_PT
吧	la particella di suggerimento; dai; vero?	Andiamo.	a partícula de sugestão; vamos; não é?	Vamos.
白	bianco	Questo capo di abbigliamento è bianco.	branco	Esta peça de roupa é branca.
百	cento	Questo cellulare costa cento yuan.	cem	Este telemóvel custa cem yuans.
帮助	aiutare; l'aiuto	Per favore, aiutami.	ajudar; a ajuda	Por favor, ajuda-me.
报纸	il giornale	Papà legge il giornale.	o jornal	O pai lê o jornal.
比	di; rispetto a; confrontare	Oggi fa più caldo di ieri.	do que; comparar	Hoje está mais calor do que ontem.
别	non; altro	Non andare via.	não; outro	Não vás embora.
长	lungo	Questa strada è lunga.	comprido; longo	Esta estrada é comprida.
唱歌	cantare	A mia sorella minore piace cantare.	cantar	A minha irmã mais nova gosta de cantar.
出	uscire; venire fuori	Lui è uscito.	sair; sair para fora	Ele saiu.
穿	indossare; mettersi	Indosso vestiti bianchi.	vestir; pôr	Eu visto roupa branca.
船	la barca; la nave	La barca è sull'acqua.	o barco; o navio	O barco está na água.
次	la volta	Sono stato a Pechino una volta.	a vez	Estive em Pequim uma vez.
从	da	Vado da casa alla scuola.	de; desde	Vou de casa para a escola.
错	sbagliato; l'errore	Ti sbagli.	errado; o erro	Estás enganado.
打篮球	giocare a pallacanestro	Mio fratello maggiore gioca a pallacanestro.	jogar basquetebol	O meu irmão mais velho está a jogar basquetebol.
大家	tutti; tutti quanti	Sono venuti tutti.	todos; toda a gente	Toda a gente veio.
但是	ma; tuttavia	Sono molto occupato, ma molto contento.	mas; contudo	Estou muito ocupado, mas muito contente.
到	arrivare; arrivare a	Sono arrivato a scuola.	chegar; chegar a	Cheguei à escola.
得	la particella del complemento di grado	Lui corre molto veloce.	a partícula de complemento de grau	Ele corre muito depressa.
等	aspettare	Ti aspetto.	esperar	Estou à tua espera.
弟弟	il fratello minore	Il fratello minore è a casa.	o irmão mais novo	O irmão mais novo está em casa.
第一	primo	Lui è primo.	primeiro	Ele é o primeiro.
懂	capire	Adesso capisco.	entender; compreender	Agora compreendo.
对	corretto; verso	Hai ragione.	correto; para; em direção a	Tens razão.
