source_headword	HU	example_HU
strengthen	megerősít	Az új irányelv megerősíti az online biztonságot.
strictly	szigorúan	A jegyek szigorúan személyenként kettőre vannak korlátozva.
striking	feltűnő	A festménynek feltűnő színei vannak.
stroke	vonás	Festett egy vonást a papírra.
stunning	lenyűgöző	A hegyi kilátás lenyűgöző volt.
subsequent	későbbi	A későbbi találkozó megerősítette a költségvetést.
subsequently	ezt követően	Az utat lezárták, ezt követően a forgalom lassan haladt.
suburb	külváros	Egy csendes külvárosban élnek.
suffering	szenvedés	A gyógyszer enyhítette a szenvedését.
sufficient	elegendő	A csapatnak elegendő ideje van.
sufficiently	kellőképpen	A szoba kellőképpen meleg.
super	szuper	Az új táblagép szuper gyors.
surgeon	sebész	A sebész megműtötte a sérült térdet.
survival	túlélés	A tiszta víz elengedhetetlen a túléléshez.
survivor	túlélő	A túlélő leírta az árvizet.
suspend	felfüggeszt	Az iskola felfüggesztheti az utazást.
sustainable	fenntartható	A farm fenntartható módszereket használ.
swallow	lenyel	Nyelje le a tablettát vízzel.
sympathetic	együttérző	A menedzser együttérző volt a problémájával kapcsolatban.
tackle	megbirkózik	Meg kell birkóznunk a lakhatási problémával.
tag	címke	A táskán volt egy árcédula.
tap	csap	Elzárta a csapot.
technological	technológiai	A technológiai változás minden munkahelyet érint.
teens	tinédzserek	Sok tinédzser naponta használja a közösségi médiát.
temple	templom	A templom a folyó közelében állt.
temporarily	ideiglenesen	Az iroda ideiglenesen zárva van.
tendency	hajlam	Hajlamos késni.
tension	feszültség	A vita során nőtt a feszültség.
terms	feltételek	A szerződés feltételei egyértelműek voltak.
terribly	szörnyen	A gyerek szörnyen zaklatott volt.
terrify	megrettent	A hangos zajok megrettentik a kutyát.
territory	terület	A térkép az új területet mutatja.
terror	rettegés	A támadás után rettegés terjedt el.
terrorism	terrorizmus	A terrorizmus fenyegeti a közbiztonságot.
terrorist	terrorista	A rendőrség tegnap letartóztatta a terroristát.
testing	tesztelés	A terméktesztelés hétfőn kezdődik.
textbook	tankönyv	Otthon felejtette a biológia tankönyvét.
theft	lopás	A lopások száma megnőtt a környéken.
therapist	terapeuta	A terapeuta segített neki kezelni a szorongást.
thesis	szakdolgozat	Szakdolgozata az online tanulást vizsgálja.
thorough	alapos	Egy alapos felülvizsgálat nem talált hibát.
thoroughly	alaposan	Alaposan tisztítsa meg a sebet.
thumb	hüvelykujj	Felemelte a hüvelykujját, hogy jelezze a jóváhagyást.
timing	időzítés	A hívás időzítése tökéletes volt.
tissue	zsebkendő	Zsebkendővel törölte le a poharat.
ton	tonna	A teherautó egy tonna homokot szállított.
tonne	tonna	A szállítmány egy tonnát nyomott.
tournament	bajnokság	A teniszbajnokság holnap kezdődik.
trace	lenyomoz	A tudósok vissza tudják követni a vírus forrását.
trading	kereskedés	A tőzsdei kereskedés délben leállt.
tragedy	tragédia	A baleset szörnyű tragédia volt.
tragic	tragikus	Az ütközésnek tragikus következményei lettek.
trait	jellemvonás	A türelem hasznos jellemvonás.
transmit	terjeszt	A szúnyogok betegséget terjeszthetnek.
transportation	közlekedés	A tömegközlekedés ma zsúfolt.
trap	csapdába ejt	A doboz biztonságosan képes csapdába ejteni a rovarokat.
treasure	kincs	A régi láda kincset rejtett.
tribe	törzs	A törzs megvédte hagyományait.
trigger	kivált	A füst kiválthatja a riasztót.
trillion	billió	Az adósság elérte az egybillió dollárt.
troop	csapat	A csapat a határ felé vonult.
tsunami	cunami	A cunami elpusztította a tengerparti otthonokat.
ultimate	végső	A végső cél a béke.
unacceptable	elfogadhatatlan	A késés elfogadhatatlan volt az utasok számára.
uncertainty	bizonytalanság	A bizonytalanság idegessé tette a befektetőket.
undergo	átesik (vmin)	A beteg holnap műtéten esik át.
undertake	elvállal	A csapat egy felmérést fog végezni.
unfold	kibontakozik	A dráma lassan kezdett kibontakozni.
unfortunate	sajnálatos	A hiba sajnálatos volt, de javítható.
unite	egyesít	A vezetők megpróbálták egyesíteni a pártot.
unity	egység	A beszéd nemzeti egységre szólított fel.
universal	univerzális	Az alkalmazás univerzális dizájnt használ.
urgent	sürgős	A kórház sürgős hívást kapott.
usage	használat	Az útmutató elmagyarázza a helyes használatot.
useless	haszontalan	Az elromlott töltő haszontalan.
valid	érvényes	Az útlevele még mindig érvényes.
variation	eltérés	Nagy az eltérés az árakban.
vertical	függőleges	A diagramnak van egy függőleges tengelye.
viewpoint	nézőpont	A vita után megváltozott a nézőpontja.
visa	vízum	Diákvízumot igényelt.
visible	látható	A tábla innen is látható.
voluntary	önkéntes	A kurzus önkéntes műhelymunkákat is tartalmaz.
voting	szavazás	Az előrehozott szavazás jövő héten kezdődik.
wander	bolyong	A turisták a régi piacon bolyonganak.
warming	felmelegedés	A globális felmelegedés befolyásolja a tengerszintet.
weekly	heti	A csapat heti megbeszélést tart.
weird	furcsa	A zaj furcsán hangzott.
welfare	jólét	A program támogatja a gyermekjólétet.
wheat	búza	A gazda búzát termeszt.
whoever	bárki	Bárki is érkezik elsőnek, kint kell várnia.
widespread	széleskörű	A vihar széleskörű károkat okozott.
wisdom	bölcsesség	A nagymamája gyakorlati bölcsességet osztott meg.
withdraw	visszavon	Úgy döntött, hogy visszavonja a jelentkezését.
workforce	munkaerő	A munkaerőnek új készségekre van szüksége.
workplace	munkahely	A munkahelynek világos biztonsági szabályai vannak.
workshop	műhelymunka	A műhelymunka tízkor kezdődik.
worm	féreg	Egy giliszta mozgott a talajon.
wrist	csukló	Megütötte a csuklóját.
