absorb	The towel absorbs water quickly.
abstract	The lecture discussed abstract ideas.
accent	Her accent is easy to understand.
accidentally	I accidentally deleted the file.
accommodate	The hotel can accommodate large families.
accomplish	She accomplished her goal before June.
accountant	The accountant checked the invoice.
accuracy	The test measures reading accuracy.
accurately	The map shows the route accurately.
acid	The acid damaged the metal surface.
activate	Press the button to activate the alarm.
addiction	His addiction affected his work.
additionally	Additionally, we need more chairs.
adequate	The room has adequate light.
adequately	The report explained the problem adequately.
adjust	Adjust the seat before driving.
affordable	The apartment is affordable for students.
agriculture	Agriculture supports many rural families.
AIDS	Doctors treat AIDS with modern medicine.
alien	The film shows an alien planet.
alongside	The bike path runs alongside the river.
altogether	Altogether, the project took six weeks.
ambulance	The ambulance arrived within minutes.
amusing	The story was amusing and light.
analyst	The analyst reviewed the sales data.
ancestor	My ancestor lived near this village.
animation	The animation made the lesson clearer.
annually	The festival is held annually.
anticipate	We anticipate heavy traffic tomorrow.
anxiety	Anxiety can make sleep difficult.
apology	She offered a sincere apology.
applicant	The applicant sent a new resume.
appropriately	Please dress appropriately for the interview.
arrow	The arrow points to the exit.
artwork	The museum displayed local artwork.
aside	She stepped aside to let him pass.
asset	Experience is a valuable asset.
assign	The teacher assigned homework today.
assistance	Please ask staff for assistance.
assumption	That assumption may be wrong.
assure	I assure you the door is locked.
astonishing	The view from the cliff was astonishing.
attachment	The email includes an attachment.
auction	The painting sold at auction.
audio	The audio recording sounds clear.
automatic	The door has an automatic lock.
automatically	The lights turn on automatically.
awareness	The campaign raised public awareness.
awkward	The silence felt awkward.
badge	Visitors must wear a badge.
balanced	A balanced diet includes vegetables.
ballet	She studies ballet after school.
balloon	The balloon floated above the table.
barely	He barely heard the announcement.
bargain	That jacket was a real bargain.
basement	The boxes are in the basement.
basket	She put apples in the basket.
bat	The bat flew out of the cave.
beneficial	Regular exercise is beneficial for health.
beside	The lamp stands beside the sofa.
besides	Besides math, he studies chemistry.
bias	The article showed clear bias.
bid	The company made a higher bid.
biological	The biological test confirmed the result.
blanket	The child slept under a blanket.
blow	The strong blow broke the window.
bold	The headline used bold letters.
bombing	The bombing damaged several buildings.
booking	I confirmed the hotel booking.
boost	The win boosted the team's confidence.
bound	The parcel was bound with string.
brick	The wall is made of brick.
briefly	She spoke briefly after lunch.
broadcaster	The broadcaster interviewed the mayor.
broadly	The two plans are broadly similar.
bug	The app crashed because of a bug.
cabin	We stayed in a small cabin.
canal	Boats moved slowly along the canal.
candle	The candle burned on the table.
carbon	Trees absorb carbon from the air.
casual	He wore casual clothes to work.
cave	The hikers entered the cave.
certainty	We cannot know with certainty.
certificate	She received a training certificate.
challenging	The course was challenging but useful.
championship	Our team reached the championship final.
charming	The old street looked charming.
chase	The dog chased the ball.
cheek	A tear ran down her cheek.
cheer	The crowd began to cheer loudly.
choir	The choir sang beautifully.
chop	Chop the onions into small pieces.
circuit	The runner completed the circuit.
civilization	Ancient civilization shaped this region.
clarify	Please clarify the last point.
classify	Scientists classify animals by species.
clerk	The clerk printed the receipt.
cliff	The path ends near a cliff.
clinic	The clinic opens at eight.
clip	She attached the clip to the paper.
coincidence	Meeting him there was a coincidence.
collector	The collector bought rare coins.
colony	The ants built a large colony.
colourful	The market was bright and colourful.
comic	The comic scene made us laugh.
commander	The commander gave clear orders.
comparative	The essay uses comparative data.
completion	The bridge is near completion.
compose	He will compose music for the film.
composer	The composer wrote a new song.
compound	The compound contains two chemicals.
comprehensive	The guide gives comprehensive instructions.
comprise	The team comprises five members.
compulsory	Attendance is compulsory for this class.
concrete	The floor is made of concrete.
confess	He confessed the mistake to his teacher.
confusion	The delay caused confusion.
consequently	Rain fell; consequently, the match stopped.
conservation	Conservation protects rare animals.
considerable	The repair took considerable time.
considerably	Prices rose considerably this year.
consistently	She performs consistently well.
conspiracy	The police investigated the conspiracy.
consult	Consult your doctor before taking medicine.
consultant	The consultant suggested a new strategy.
consumption	Energy consumption fell last month.
controversial	The policy remains controversial.
controversy	The decision caused controversy.
convenience	The store offers great convenience.
convention	The annual convention starts Monday.
conventional	He chose a conventional design.
convey	The message conveyed sympathy.
convincing	Her explanation was convincing.
cope	She learned to cope with stress.
corporation	The corporation opened a new office.
corridor	The corridor was narrow and quiet.
counter (long flat surface)	The keys are on the kitchen counter.
coverage	The news coverage lasted all evening.
crack	A crack appeared in the wall.
craft	She sells handmade craft online.
creativity	Creativity helps solve problems.
critically	The article was critically important.
cruise	They booked a cruise to Greece.
cue	The actor missed his cue.
curious	The child was curious about space.
curriculum	The school updated its curriculum.
cute	The puppy looked cute.
dairy	The farm produces dairy products.
dare	I dare you to try it.
darkness	The room filled with darkness.
database	The database stores customer records.
deadline	The deadline is Friday.
deadly	The snake has deadly venom.
dealer	The car dealer offered a discount.
deck	The chairs are on the deck.
defender	The defender blocked the shot.
delete	Delete the old message.
democracy	Democracy depends on free elections.
democratic	The vote followed democratic rules.
demonstration	The students joined a demonstration.
depart	The train will depart at noon.
dependent	The child is dependent on adults.
deposit	She paid a deposit for the apartment.
depression	Depression requires professional support.
derive	Many words derive from Latin.
desperately	He desperately needed water.
destruction	The storm caused widespread destruction.
determination	Her determination impressed the coach.
devote	She devotes weekends to study.
differ	Their opinions differ sharply.
disability	The building has disability access.
disabled	The disabled athlete won a medal.
disagreement	The meeting ended in disagreement.
disappoint	The result may disappoint fans.
disappointment	He felt deep disappointment.
discourage	Do not discourage young learners.
disorder	The doctor diagnosed a sleep disorder.
distant	The mountains looked distant.
distinct	The two sounds are distinct.
distinguish	Can you distinguish these colors?
distract	Noise can distract students.
disturb	Please do not disturb the patient.
dive	They will dive near the reef.
diverse	The city has diverse cultures.
diversity	We celebrate cultural diversity.
divorce	The divorce was difficult for everyone.
dominant	The dominant team controlled the game.
donation	The charity received a donation.
dot	Put a dot after the number.
downtown	We met downtown after work.
dramatically	The price dropped dramatically.
drought	The drought damaged the crops.
dull	The lecture was dull.
dump	Do not dump trash here.
duration	The flight duration is three hours.
dynamic	The classroom felt dynamic.
economics	She studies economics at university.
economist	The economist predicted slower growth.
editorial	The editorial criticized the law.
efficiently	The team worked efficiently.
elbow	He hurt his elbow.
electronics	The store sells electronics.
elegant	The dress looked elegant.
elementary	The book explains elementary grammar.
eliminate	The team eliminated several errors.
embrace	She embraced the new idea.
emission	Car emission levels fell.
emotionally	He spoke emotionally about his family.
empire	The empire lasted for centuries.
enjoyable	The trip was enjoyable.
entertaining	The show was entertaining.
entrepreneur	The entrepreneur opened a cafe.
envelope	Put the letter in an envelope.
