simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV
爱情	романтична љубав; љубав	Ово је дирљива љубавна прича.	romantična ljubezen; ljubezen	To je ganljiva ljubezenska zgodba.	romantinė meilė; meilė	Tai jaudinanti meilės istorija.	romantiska mīlestība; mīlestība	Šis ir aizkustinošs mīlas stāsts.
安排	организовати; планирати	Какве планове имаш за овај викенд?	urediti; načrtovati	Kakšne načrte imaš za ta konec tedna?	suplanuoti; susitarti	Kokių planų turi šiam savaitgaliui?	plānot; iekārtot	Kādi tev ir plāni šai nedēļas nogalei?
安全	безбедан; безбедност	Молим вас, пазите на безбедност.	varen; varnost	Prosimo, pazite na varnost.	saugus; sauga	Prašome pasirūpinti saugumu.	drošs; drošība	Lūdzu, ievērojiet drošību.
按时	на време; у року	Задатак сам завршио на време.	pravočasno; v roku	Nalogo sem opravil pravočasno.	laiku; pagal grafiką	Užduotį atlikau laiku.	laikus; pēc grafika	Es pabeidzu uzdevumu laikā.
按照	према; у складу са	Овај план је веома добар, само га следи.	po; v skladu z	Ta načrt je zelo dober, kar ravnaj se po njem.	pagal; laikantis	Šis planas labai geras, tiesiog jo laikykis.	pēc; saskaņā ar	Šis plāns ir ļoti labs, vienkārši rīkojies pēc tā.
百分之	проценат	Задатак је завршен осамдесет одсто.	odstotek	Osemdeset odstotkov naloge je opravljenih.	procentas	Užduotis atlikta aštuoniasdešimt procentų.	procents	Uzdevums ir izpildīts par astoņdesmit procentiem.
棒	одличан; сјајан	Твој рукопис је стварно сјајан!	odličen; krasen	Tvoja pisava je res odlična!	puikus; šaunus	Tavo rašysena tikrai puiki!	lielisks; izcils	Tavs rokraksts ir tiešām lielisks!
包子	пуњена лепиња на пари	Пуњене лепиње у овом ресторану имају веома добар укус.	parjen polnjen kruhek	Polnjeni kruhki v tej restavraciji so zelo okusni.	garuose virtas įdarytas pyragėlis	Šio restorano įdaryti garuose virti pyragėliai yra labai skanūs.	tvaicēta pildīta bulciņa	Šī restorāna tvaicētās pildītās bulciņas garšo ļoti labi.
保护	штитити; чувати	Људи треба да штите животну средину.	varovati; zaščititi	Ljudje bi morali varovati okolje.	saugoti; ginti	Žmonės turėtų saugoti aplinką.	aizsargāt; sargāt	Cilvēkiem vajadzētu aizsargāt vidi.
保证	обећање; гарантовати	Обећавам да убудуће нећу каснити.	jamčiti; obljubiti	Obljubim, da v prihodnje ne bom več zamujal.	garantija; garantuoti	Pažadu, kad daugiau nevėluosiu.	garantija; garantēt	Es apsolu, ka turpmāk vairs nekavēšu.
报名	пријавити се; пријава	Која документа су потребна за пријаву?	prijaviti se; prijava	Kateri dokumenti so potrebni za prijavo?	registruotis; registracija	Kokių dokumentų reikia registracijai?	pieteikties; pieteikšanās	Kādi materiāli ir vajadzīgi pieteikšanai?
抱	држати у наручју; загрлити	Подигао је дете у наручје.	držati v naročju; objeti	Otroka je dvignil v naročje.	laikyti glėbyje; apkabinti	Jis pakėlė vaiką ant rankų.	turēt rokās; apskaut	Viņš pacēla bērnu rokās.
抱歉	извинити се; жао ми је	Веома ми је жао што сте тако дуго чекали.	opravičiti se; žal mi je	Zelo mi je žal, da ste tako dolgo čakali.	atsiprašyti; apgailestauti	Labai atsiprašau, kad teko taip ilgai laukti.	atvainoties; žēl	Ļoti atvainojos, ka liku jums tik ilgi gaidīt.
倍	пута; двоструко	Број страних студената у нашој школи се удвостручио у односу на прошлу годину.	krat; dvojno	Število tujih študentov na naši šoli se je v primerjavi z lani podvojilo.	kartas; dvigubai	Tarptautinių studentų skaičius mūsų mokykloje, palyginti su pernai, padvigubėjo.	reize; divkārši	Ārvalstu studentu skaits mūsu skolā salīdzinājumā ar pagājušo gadu ir dubultojies.
本来	првобитно; у почетку	Првобитно сам хтео да гледам представу, али ми је изненада нешто искрсло.	prvotno; sprva	Prvotno sem hotel gledati predstavo, vendar je nenadoma nekaj prišlo vmes.	iš pradžių; pirminis	Iš pradžių ketinau žiūrėti pasirodymą, bet staiga atsirado reikalų.	sākotnēji; sākumā	Sākotnēji gribēju skatīties izrādi, bet pēkšņi radās darīšanas.
笨	глуп; неспретан	Ниси глуп, само треба више да се трудиш.	neumen; neroden	Nisi neumen, samo bolj se moraš potruditi.	kvailas; nerangus	Tu nesi kvailas, tau tik reikia labiau stengtis.	muļķīgs; neveikls	Tu neesi muļķīgs, tev tikai vairāk jācenšas.
比如	на пример; као што је	Имам много хобија, на пример пливање и читање.	na primer; denimo	Imam veliko hobijev, na primer plavanje in branje.	pavyzdžiui; kaip antai	Turiu daug pomėgių, pavyzdžiui, plaukimą ir skaitymą.	piemēram; kā	Man ir daudz vaļasprieku, piemēram, peldēšana un lasīšana.
毕业	дипломирати; завршити школу	Ове године сам на трећој години, а следеће ћу дипломирати.	diplomirati; končati šolo	Letos sem v tretjem letniku, naslednje leto pa bom diplomiral.	baigti mokslus; baigimas	Šiemet esu trečiame kurse, o kitais metais baigsiu studijas.	absolvēt; pabeigt skolu	Šogad esmu trešajā kursā, bet nākamgad absolvēšu.
遍	једном; пут	Поново је испричао ствар још једном.	enkrat; krat	Zadevo je še enkrat ponovil.	kartas	Jis dar kartą papasakojo tą reikalą.	reize	Viņš vēlreiz izstāstīja šo lietu.
标准	стандард; стандардни	Твој мандарински је веома стандардан.	standard; merilo	Tvoja mandarinščina je zelo pravilna.	standartas; taisyklingas	Tavo mandarinų kalba labai taisyklinga.	standarts; pareizs	Tava mandarīnu valoda ir ļoti pareiza.
表格	образац; табела	Молимо вас, упишите своје име у образац.	obrazec; tabela	Prosimo, v obrazec vpišite svoje ime.	forma; lentelė	Prašome įrašyti savo vardą į formą.	veidlapa; tabula	Lūdzu, ierakstiet savu vārdu veidlapā.
表示	изразити; показати	Молим те, захвали му се.	izraziti; pokazati	Prosim, izrazi mu zahvalo.	išreikšti; parodyti	Prašau jam padėkoti.	izteikt; parādīt	Lūdzu, izsaki viņam pateicību.
表演	наступати; представа	Коју тачку ћете извести?	nastopati; predstava	Katero točko boste izvedli?	pasirodyti; pasirodymas	Kokį numerį jūs atliksite?	uzstāties; priekšnesums	Kādu priekšnesumu jūs rādīsiet?
表扬	похвалити; похвала	Директор га често похваљује.	pohvaliti; pohvala	Ravnatelj ga pogosto pohvali.	pagirti; pagyrimas	Jį dažnai pagiria direktorius.	paslāvēšana; slavēt	Direktors viņu bieži slavē.
饼干	кекс; крекер	Купио сам кекс, хајде да поједемо мало.	piškot; kreker	Kupil sem piškote, pojejmo jih malo.	sausainis; krekeris	Nupirkau sausainių, suvalgykime šiek tiek.	cepums; krekeris	Es nopirku cepumus, apēdīsim mazliet.
并且	и; осим тога	Веома је паметна и много се труди.	in; poleg tega	Zelo je pametna in zelo se trudi.	ir; be to	Ji labai protinga ir labai stengiasi.	un; turklāt	Viņa ir ļoti gudra un ļoti cenšas.
博士	доктор наука; доктор	Да представим, ово је доктор Ли.	doktor znanosti; doktor	Naj predstavim, to je doktor Li.	daktaras; mokslų daktaras	Leiskite pristatyti, čia daktaras Li.	doktors; zinātņu doktors	Ļaujiet iepazīstināt, tas ir doktors Li.
不过	али; само	Он је одличан, али не испуњава услове компаније за запошљавање.	vendar; samo	Odličen je, vendar ne izpolnjuje pogojev podjetja za zaposlitev.	tačiau; tik	Jis puikus, tačiau neatitinka įmonės įdarbinimo sąlygų.	tomēr; tikai	Viņš ir izcils, tomēr neatbilst uzņēmuma pieņemšanas nosacījumiem.
不得不	морати; немати избора	Напољу пада јака киша, па морам да останем код куће.	morati; ne imeti druge izbire	Zunaj močno dežuje, zato moram ostati doma.	neturėti kitos išeities; privalėti	Lauke smarkiai lyja, todėl turiu likti namie.	nebūt citas izvēles kā; nākties	Ārā stipri līst, tāpēc man jāpaliek mājās.
不管	без обзира на; ма шта	Без обзира на време, морам да се попнем на планину.	ne glede na; naj bo kar koli	Ne glede na vreme moram iti v hribe.	nesvarbu; kad ir kas būtų	Koks bebūtų oras, turiu kopti į kalną.	neatkarīgi no; lai kāds būtu	Lai kāds būtu laiks, man jākāpj kalnā.
不仅	не само	Не само да сам био у том граду, већ сам био много пута.	ne samo	V tistem mestu nisem bil samo enkrat, bil sem že velikokrat.	ne tik	Aš ne tik esu buvęs tame mieste, bet ir buvęs daugybę kartų.	ne tikai	Es ne tikai esmu bijis tajā pilsētā, bet esmu tur bijis daudzas reizes.
部分	део; одељак	Најважнији део чланка је трећи пасус.	del; odsek	Najpomembnejši del članka je tretji odstavek.	dalis; skyrius	Svarbiausia straipsnio dalis yra trečia pastraipa.	daļa; sadaļa	Raksta svarīgākā daļa ir trešā rindkopa.
擦	брисати; обрисати	Већ сам очистио прозоре.	obrisati; drgniti	Okna sem že očistil.	valyti; nušluostyti	Aš jau nuvaliau langus.	slaucīt; notīrīt	Es jau notīrīju logus.
猜	погодити; нагађати	Погоди какав сам ти рођендански поклон припремио.	uganiti; ugibati	Ugani, kakšno rojstnodnevno darilo sem ti pripravil.	spėti; atspėti	Atspėk, kokią gimtadienio dovaną tau paruošiau.	minēt; uzminēt	Uzmini, kādu dzimšanas dienas dāvanu tev sagatavoju.
材料	материјал; документи	Која документа су потребна за пријаву?	gradivo; dokumenti	Kateri dokumenti so potrebni za prijavo?	medžiaga; dokumentai	Kokių dokumentų reikia registracijai?	materiāli; dokumenti	Kādi materiāli ir vajadzīgi pieteikšanai?
参观	посетити; разгледати	Желим да за викенд посетим Велики зид.	obiskati; ogledati si	Za konec tedna si želim ogledati Veliki zid.	aplankyti; apžiūrėti	Savaitgalį noriu aplankyti Didžiąją sieną.	apmeklēt; apskatīt	Nedēļas nogalē gribu apmeklēt Lielo mūri.
餐厅	ресторан; трпезарија	У близини школе отворен је нови ресторан.	restavracija; jedilnica	Blizu šole se je odprla nova restavracija.	restoranas; valgomasis	Netoli mokyklos atsidarė naujas restoranas.	restorāns; ēdamzāle	Pie skolas atvērts jauns restorāns.
