source_headword	ZH	example_ZH
abolish	废除	这项法律将废除旧的收费。
abortion	堕胎	堕胎仍然是一个敏感的医学问题。
absence	缺席	她的缺席推迟了最终决定。
absent	缺席的	有两名成员缺席了课程。
absurd	荒谬的	这种说法在所有人听来都很荒谬。
abundance	丰富	这个山谷有丰富的水源。
abuse	虐待	报告描述了工作场所的虐待行为。
academy	学院	这所学院培养年轻音乐家。
accelerate	加速	新的资金将加速这项研究。
acceptance	接受	他对批评的接受给我留下了深刻的印象。
accessible	无障碍的	这家博物馆对轮椅使用者是无障碍的。
accomplishment	成就	完成这本书是一项真正的成就。
accordance	一致	这项工作是按照政策完成的。
accordingly	相应地	证据变了，我们采取了相应的行动。
accountability	问责制	该政策增加了管理者的问责制。
accountable	负有责任的	管理者对安全负有责任。
accumulate	积累	屏幕后面会积聚灰尘。
accumulation	积累	数据的积累花了几个月的时间。
accusation	指控	这一指控震惊了委员会。
accused	被告	被告出庭了。
acquisition	收购	这次收购迅速扩大了公司的规模。
acre	英亩	这个农场占地一英亩。
activation	激活	激活卡片只需几分钟。
activist	积极分子	这位积极分子在集会上发表了讲话。
acute	剧烈的	跑步后她感到了剧烈的疼痛。
adaptation	改编	这部改编作品改变了小说的结局。
adhere	遵守	员工必须遵守安全规定。
adjacent	邻近的	这家酒店紧邻车站。
adjustment	调整	一个小小的调整就解决了这个问题。
administer	施用	护士仔细地施用疫苗。
administrative	行政的	行政人员处理这些表格。
administrator	管理员	管理员重置了我的密码。
admission	入场	博物馆免费入场。
adolescent	青少年	这名青少年需要额外的支持。
adoption	收养	收养给了这个孩子一个稳定的家。
adverse	不良的	这种药物引起了不良反应。
advocate	倡导者	这位倡导者捍卫了租户的权利。
aesthetic	审美的	房间有一种平静的审美风格。
affection	喜爱	她表达了对家人的喜爱。
aftermath	后果	风暴过后的情况很艰难。
aggression	攻击性	老师注意到在课间休息时有攻击性行为。
agricultural	农业的	今年的农业出口有所增长。
aide	助手	助手安排了部长的日程。
albeit	尽管	这个计划奏效了，尽管比较缓慢。
alert	提醒	请立即提醒工作人员。
align	使一致	箭头与道路对齐。
alignment	定位	车轮定位改善了汽车的操控性。
alike	相似地	这对双胞胎在周末穿得很像。
allegation	指控	这项指控出现在报纸上。
allege	宣称	他们宣称资金丢失了。
allegedly	据称	据称司机无视了警告。
alliance	联盟	各政党结成了临时联盟。
allocate	分配	城市将为学校分配资金。
allocation	分配	座位的分配是不公平的。
allowance	零用钱	她的零用钱包括午餐和交通费。
ally	盟友	加拿大成为了一个亲密的盟友。
aluminium	铝	框架是由铝制成的。
amateur	业余的	一位业余摄影师拍了这张照片。
ambassador	大使	大使会见了当地学生。
amend	修改	议会投票通过了修改该法律的决定。
amendment	修正案	这项修正案更改了一个段落。
amid	在...之中	这次讲话是在日益紧张的局势中进行的。
analogy	类比	老师使用了一个简单的类比。
anchor	锚	船在岛附近抛了锚。
angel	天使	孩子穿了一套天使服装。
anonymous	匿名的	这项投诉是匿名的。
apparatus	仪器	实验室的仪器需要清洗。
appealing	吸引人的	这个提议对学生很有吸引力。
appetite	食欲	运动增加了他的食欲。
applaud	鼓掌	观众开始热烈鼓掌。
applicable	适用的	该折扣今天适用。
appoint	任命	董事会将任命一名董事。
appreciation	感谢	她对他们的帮助表示感谢。
arbitrary	随意的	这个截止日期让员工觉得很随意。
architectural	建筑的	这座城市保护其建筑遗产。
archive	档案馆	档案馆保存着旧照片。
arena	领域	辩论进入了公众领域。
arguably	可以说	这可以说是他最好的小说。
arm	武装	守卫将武装车队。
array	一系列	这家商店提供一系列工具。
articulate	清楚表达	她能清楚表达复杂的想法。
ash	灰烬	火灾后，灰烬覆盖了汽车。
aspiration	抱负	她的抱负是成为一名外科医生。
aspire	渴望	许多学生渴望出国留学。
assassination	暗杀	这次暗杀改变了国家的政治。
assault	袭击	袭击发生在车站附近。
assemble	组装	工人们手工组装家具。
assembly	集会	学校的集会九点开始。
assert	主张	他试图维护自己的权威。
assertion	主张	她的主张让专家组感到惊讶。
assurance	保证	经理给出了支持的保证。
asylum	庇护	这家人在边境寻求庇护。
atrocity	暴行	这部电影描述了战时的暴行。
attain	达到	很少有跑步者能达到那个速度。
attendance	出勤率	宣布之后，出勤率有所提高。
attorney	律师	律师质问了证人。
attribute	归因于	科学家将上升归因于污染。
audit	审计	审计发现了几个错误。
authentic	正宗的	这家餐厅提供正宗的当地美食。
authorize	授权	只有经理才能授权退款。
auto	汽车	汽车工业发展迅速。
autonomy	自治	该地区希望获得更大的自治权。
availability	可用性	座位的可用性有限。
await	等待	有几条消息等待您的回复。
backdrop	背景	群山形成了引人注目的背景。
