source_headword	SW	example_SW
clothes	nguo	Nguo zangu ni safi.
club	klabu	Anaenda kwenye klabu ya muziki.
coat	koti	Koti langu ni la joto.
coffee	kahawa	Ninakunywa kahawa asubuhi.
cold	baridi	Maji ni baridi.
college	chuo	Dada yangu yuko chuoni.
colour	rangi	Rangi ninayoipenda zaidi ni buluu.
come	kuja	Tafadhali njoo hapa.
common	kawaida	Jina hili ni la kawaida.
company	kampuni	Mama yangu anafanya kazi katika kampuni.
compare	kulinganisha	Linganisha picha hizi mbili.
complete	kamili; kukamilisha	Fomu imekamilika.
computer	kompyuta	Kompyuta hii ni mpya.
concert	tamasha la muziki	Tunaenda kwenye tamasha la muziki leo usiku.
conversation	mazungumzo	Tulikuwa na mazungumzo mafupi.
cook	kupika; mpishi	Ninapika chakula cha jioni nyumbani.
cooking	upishi	Ninapenda kupika pamoja na baba yangu.
cool	baridi; poa	Chumba ni baridi.
correct	sahihi	Jibu lako ni sahihi.
cost	gharama; kugharimu	Inagharimu kiasi gani?
could modal	kuweza; ningeweza	Ningeweza kukusaidia.
country	nchi	Kanada ni nchi kubwa.
course	kozi	Ninasoma kozi ya Kiingereza.
cousin	binamu	Binamu yangu anaishi karibu nami.
cow	ng'ombe	Ng'ombe anakula majani.
cream	krimu	Ninaweka krimu kwenye kahawa.
create	kuunda	Wanaunda mchezo mpya.
culture	utamaduni	Tunajifunza kuhusu utamaduni wa eneo.
cup	kikombe	Kikombe hiki ni tupu.
customer	mteja	Mteja anauliza swali.
cut	kukata	Kata tufaha katikati.
dad	baba	Baba yangu yuko kazini.
dance	kucheza dansi	Tunacheza dansi baada ya chakula cha jioni.
dancer	mchezaji dansi	Mchezaji dansi anatembea haraka.
dancing	kucheza dansi	Kucheza dansi kunafurahisha.
dangerous	hatari	Barabara hii ni hatari.
dark	giza	Chumba ni giza.
date	tarehe	Tarehe ya leo ni nini?
daughter	binti	Binti yake ana miaka sita.
day	siku	Uwe na siku njema.
dear	mpendwa	Rafiki mpendwa, asante.
December	Desemba	Siku yangu ya kuzaliwa ni Desemba.
decide	kuamua	Amua sasa, tafadhali.
delicious	tamu	Supu hii ni tamu.
describe	kuelezea	Eleza chumba chako.
description	maelezo	Soma maelezo mafupi.
design	muundo; kubuni	Ninabuni kadi rahisi.
desk	dawati	Kitabu kiko juu ya dawati langu.
detail	kipengele; undani	Kipengele kimoja kinakosekana.
dialogue	mazungumzo	Soma mazungumzo sasa.
dictionary	kamusi	Tumia kamusi darasani.
die	kufa	Maua hufa bila maji.
diet	lishe	Lishe yangu inajumuisha matunda.
difference	tofauti	Kuna tofauti moja.
different	tofauti	Tuna majina tofauti.
difficult	ngumu	Swali hili ni gumu.
dinner	chakula cha jioni	Chakula cha jioni kiko tayari.
dirty	chafu	Viatu vyangu ni vichafu.
discuss	kujadili	Tunajadili mpango.
dish	chakula; sahani	Chakula hiki ni cha moto.
do1	kufanya	Unafanya nini?
doctor	daktari	Daktari ana shughuli nyingi.
dog	mbwa	Mbwa anakimbia nje.
dollar	dola	Inagharimu dola moja.
door	mlango	Funga mlango, tafadhali.
down	kushuka; chini	Keti hapa chini.
downstairs	ghorofa ya chini	Jiko liko ghorofa ya chini.
draw	kuchora	Chora nyumba ndogo.
dress	gauni	Anavaa gauni jekundu.
drink	kinywaji; kunywa	Ninakunywa maji.
drive	kuendesha gari	Ninaendesha gari kwenda kazini.
driver	dereva	Dereva anasimama hapa.
during	wakati wa	Ninalala wakati wa safari ya ndege.
DVD	DVD	DVD hii ni ya zamani.
each	kila	Kila mtoto ana kitabu.
ear	sikio	Sikio langu linauma.
early	mapema	Ninaamka mapema.
east	mashariki	Jua huchomoza mashariki.
easy	rahisi	Mtihani huu ni rahisi.
eat	kula	Tunakula chakula cha mchana pamoja.
egg	yai	Ninakula yai.
eight	nane	Nina kadi nane.
eighteen	kumi na nane	Ana miaka kumi na nane.
eighty	themanini	Babu yangu ana miaka themanini.
elephant	tembo	Tembo ni mkubwa.
eleven	kumi na moja	Nina kadi kumi na moja.
else	kingine	Unahitaji nini kingine?
email	barua pepe	Nitumie barua pepe.
end	mwisho	Huu ndio mwisho.
enjoy	kufurahia	Ninafurahia wimbo huu.
enough	ya kutosha	Tuna muda wa kutosha.
euro	euro	Inagharimu euro moja.
even	hata	Hata kaka yangu anajua.
evening	jioni	Tunakutana jioni hii.
event	tukio	Tukio linaanza leo.
ever	wahi	Je, huwa unapika?
every	kila	Ninasoma kila siku.
everybody	kila mtu	Kila mtu yuko hapa.
everyone	kila mtu	Kila mtu anapenda muziki.
everything	kila kitu	Kila kitu kiko tayari.
exam	mtihani	Mtihani unaanza karibuni.
example	mfano	Huu ni mfano mzuri.
excited	mwenye msisimko	Nina msisimko leo.
exciting	ya kusisimua	Mchezo unasisimua.
exercise	mazoezi; kufanya mazoezi	Ninafanya mazoezi kabla ya kifungua kinywa.
expensive	ghali	Koti hili ni ghali.
explain	kueleza	Tafadhali eleza neno hili.
extra	ziada	Nahitaji muda wa ziada.
eye	jicho	Jicho langu ni jekundu.
face	uso	Osha uso wako.
fact	ukweli	Ukweli huu ni muhimu.
fall	kuanguka	Majani huanguka wakati wa vuli.
false	si sahihi; uongo	Jibu hilo si sahihi.
family	familia	Familia yangu ni ndogo.
famous	maarufu	Yeye ni mwimbaji maarufu.
fantastic	nzuri sana	Tamasha lilikuwa zuri sana.
far	mbali	Shule iko mbali.
farm	shamba	Wanaishi shambani.
farmer	mkulima	Mkulima hulima chakula.
fast	haraka; ya kasi	Treni hii inaenda haraka.
fat	mnene	Paka ni mnene.
father	baba	Baba yangu ni mrefu.
favourite	kipendwa	Huu ni wimbo ninaoupenda zaidi.
February	Februari	Februari ni baridi hapa.
feel	kujisikia	Ninahisi furaha.
feeling	hisia	Ninaijua hisia hiyo.
