source_headword	HR	example_HR
crawl	puzati	Beba je počela puzati po tepihu.
creator	tvorac	Tvorac je svima zahvalio na podršci.
credibility	vjerodostojnost	Svjedok je izgubio vjerodostojnost tijekom ispitivanja.
credible	vjerodostojan	Izvješće je ponudilo vjerodostojne dokaze.
creep	šuljati se	Magla se počela šuljati dolinom.
critique	kritika	Profesor je dao detaljnu kritiku.
crown	kruna	Kraljica je nosila srebrnu krunu.
crude	grub	Crtež je bio grub, ali jasan.
crush	zgnječiti	Teško kamenje može zgnječiti cijev.
crystal	kristal	Kristal je reflektirao jutarnje svjetlo.
cult	kult	Kult je izolirao svoje članove.
cultivate	uzgajati	Poljoprivrednici uzgajaju rižu u ovoj regiji.
curiosity	znatiželja	Znatiželja ju je uvela u znanost.
custody	skrbništvo	Dijete je ostalo pod očevim skrbništvom.
cutting	isječak	Novine su objavile isječak o njemu.
cynical	ciničan	Njegova cinična primjedba uzrujala je tim.
dam	brana	Brana zadržava riječnu vodu.
damaging	štetan	Štetan članak naštetio je kampanji.
dawn	zora	Napustili smo selo u zoru.
debris	krhotine	Krhotine od oluje blokirale su cestu.
debut	debi	Njezin debi privukao je nacionalnu pozornost.
decision-making	donošenje odluka	Dobro donošenje odluka zahtijeva jasne informacije.
decisive	odlučan	Njezina odlučna akcija spriječila je daljnju štetu.
declaration	deklaracija	Ministar je pročitao službenu deklaraciju.
dedicated	predan	Predana medicinska sestra radila je preko noći.
dedication	predanost	Njegova predanost inspirirala je mlađe igrače.
deed	djelo	Hrabro djelo spasilo je dva života.
deem	smatrati	Sud može smatrati ugovor nevažećim.
default	zadano	Za sada koristite zadanu postavku.
defect	nedostatak	Inspektori su pronašli ozbiljan nedostatak.
defensive	obrambeni	Njegov obrambeni ton iznenadio je sve.
deficiency	nedostatak	Nedostatak željeza može utjecati na zdravlje.
deficit	deficit	Proračunski deficit zabrinuo je dužnosnike.
defy	prkositi	Prosvjednici su odlučili prkositi zabrani.
delegate	delegat	Svaki delegat je dobio glasački listić.
delegation	delegacija	Delegacija je stigla prije podneva.
delicate	osjetljiv	Osjetljivo staklo se lako razbilo.
demon	demon	Priča opisuje drevnog demona.
denial	poricanje	Njegovo poricanje razljutilo je žrtve.
denounce	osuditi	Lideri osuđuju nasilje u školama.
dense	gust	Gusta šuma blokirala je sunčevu svjetlost.
density	gustoća	Gustoća naseljenosti je velika u centru.
dependence	ovisnost	Ovisnost zemlje o nafti se smanjila.
depict	prikazivati	Mural prikazuje seoski život.
deploy	rasporediti	Vojska će rasporediti dodatno osoblje.
deployment	raspoređivanje	Raspoređivanje trupa počelo je u ponedjeljak.
deprive	lišiti	Nedostatak sna može lišiti studente fokusa.
deputy	zamjenik	Zamjenik je potpisao sporazum.
descend	spuštati se	Staza se počela oštro spuštati.
descent	spuštanje	Avion je započeo spuštanje.
designate	odrediti	Grad će odrediti novi park.
desirable	poželjan	Dobro osvjetljenje je poželjno u učionicama.
desktop	radna površina	Datoteka je na mojoj radnoj površini.
destructive	razoran	Oluja je imala razornu silu.
detain	zadržati	Policija može zadržati osumnjičene preko noći.
detection	otkrivanje	Rano otkrivanje poboljšava liječenje raka.
detention	pritvor	Učenici su prosvjedovali protiv uvjeta u pritvoru.
deteriorate	pogoršati se	Njegovo zdravlje se počelo pogoršavati.
devastate	opustošiti	Potres može opustošiti obalne gradove.
devil	vrag	Dijete je nacrtalo nasmiješenog vraga.
devise	osmisliti	Inženjeri osmišljavaju sigurnije transportne sustave.
diagnose	dijagnosticirati	Liječnici dijagnosticiraju bolest krvnim pretragama.
diagnosis	dijagnoza	Dijagnoza je objasnila njezine simptome.
dictate	diktirati	Ugovor će diktirati uvjete plaćanja.
dictator	diktator	Diktator je kontrolirao medije.
differentiate	razlikovati	Možete li razlikovati činjenicu od mišljenja?
dignity	dostojanstvo	Svi zaslužuju dostojanstvo na poslu.
dilemma	dilema	Menadžer se suočio s ozbiljnom dilemom.
dimension	dimenzija	Problem ima političku dimenziju.
diminish	smanjiti se	Bol bi se trebala polako smanjivati.
dip	spustiti se	Temperature bi mogle pasti ispod nule.
diplomat	diplomat	Diplomat se sastao sa stranim liderima.
diplomatic	diplomatski	Diplomatski pregovori nastavljeni su preko noći.
directory	imenik	Potražite njegov broj u imeniku.
disastrous	katastrofalan	Katastrofalna poplava uništila je nekoliko mostova.
discard	odbaciti	Ne odbacujte korisne zapise.
discharge	otpustiti	Bolnica će ga otpustiti sutra.
disclose	otkriti	Dužnosnici su odbili otkriti brojke.
disclosure	otkriće	Otkriće je šokiralo upravni odbor.
discourse	diskurs	Javni diskurs postao je pristojniji.
discretion	diskrecija	Koristite svoju diskreciju kod osjetljivih slučajeva.
discrimination	diskriminacija	Zakon zabranjuje diskriminaciju pri zapošljavanju.
dismissal	otkaz	Njegov otkaz izazvao je bijes javnosti.
displace	raseliti	Rat bi mogao raseliti tisuće.
disposal	odlaganje	Odlaganje otpada ostaje lokalni problem.
dispose	odložiti	Tvrtka mora sigurno odložiti kemikalije.
dispute	spor	Spor je trajao mjesecima.
disrupt	ometati	Buka može ometati koncentraciju.
disruption	poremećaj	Štrajk je uzrokovao veliki poremećaj.
dissolve	otopiti se	Šećer će se otopiti u vrućem čaju.
distinction	razlika	Razlika između njih je važna.
distinctive	prepoznatljiv	Ona ima prepoznatljiv glas.
distort	izobličiti	Ogledalo može izobličiti vaš odraz.
distress	tjeskoba	Poziv je izazvao ozbiljnu tjeskoba.
disturbing	uznemirujući	Dokumentarac je prikazao uznemirujuće scene.
divert	preusmjeriti	Policija je morala preusmjeriti promet.
divine	božanski	Kapelica ima božansku atmosferu.
doctrine	doktrina	Stranka je odbacila staru doktrinu.
documentation	dokumentacija	Ispunite dokumentaciju prije pokretanja.
domain	domena	Web stranica koristi sigurnu domenu.
dominance	dominacija	Dominacija tima trajala je desetljeće.
donor	donor	Donor je danas dao krv.
dose	doza	Uzmite jednu dozu nakon doručka.
drain	otjecati	Voda će otjecati u rijeku.
drift	lebdjeti	Dim je počeo lebdjeti preko ceste.
driving	pokretački	Kiša je bila pokretački faktor kašnjenja.
drown	utopiti se	Nikada ne plivajte tamo gdje vas struje mogu utopiti.
dual	dvostruk	Uređaj ima dvostruku funkciju.
dub	nazvati	Kritičari nazivaju grad kulturnom prijestolnicom.
dumb	glup	To je bila glupa pogreška.
duo	duo	Komičarski duo bio je na turneji po Europi.
eager	željan	Studenti su bili željni početka.
earnings	zarada	Zarada tvrtke naglo je porasla.
ease	olakšati	Nova cesta će olakšati promet.
echo	odjekivati	Njezin glas odjekivao je dvoranom.
ecological	ekološki	Ekološki utjecaj ostaje neizvjestan.
educator	edukator	Edukator je osmislio novi tečaj.
effectiveness	učinkovitost	Studija je mjerila učinkovitost cjepiva.
efficiency	efikasnost	Bolji softver poboljšao je efikasnost.
ego	ego	Njegov ego uzrokovao je probleme na poslu.
elaborate	složen	Za složen kostim trebali su tjedni.
electoral	izborni	Izborni sustav promijenio se prošle godine.
elevate	podići	Nagrada će podići njezin profil.
eligible	prihvatljiv	Samo stanovnici imaju pravo na popuste.
elite	elita	Elita je trenirala na privatnoj akademiji.
embark	krenuti	Krenut će na dugo putovanje.
embarrassment	neugodnost	Nasmijao se kako bi sakrio neugodnost.
embassy	veleposlanstvo	Veleposlanstvo je izdalo novi savjet za putovanja.
embed	pridružiti	Novinar će se pridružiti jedinici.
embody	utjeloviti	Čini se da kip utjelovljuje hrabrost.
emergence	pojava	Pojava telefona promijenila je svakodnevni život.
empirical	empirijski	Rad se oslanja na empirijske dokaze.
empower	osnažiti	Obrazovanje može osnažiti lokalne zajednice.
enact	donijeti	Parlament je izglasao donošenje reforme.
encompass	obuhvatiti	Tečaj će obuhvatiti modernu povijest.
encouragement	ohrabrenje	Njeno ohrabrenje pomoglo mu je da nastavi.
encouraging	ohrabrujući	Rani rezultati izgledaju ohrabrujuće.
endeavour	poduhvat	Spašavanje je bilo težak poduhvat.
endless	beskrajan	Pustinja se činila beskrajnom.
endorse	podržati	Sindikat je odbio podržati kandidata.
endorsement	podrška	Njegova podrška ojačala je njenu kampanju.
endure	izdržati	Biljke mogu izdržati oštre zime.
enforce	provoditi	Policija provodi ograničenje brzine.
enforcement	provođenje	Strože provođenje smanjilo je ilegalno odlaganje otpada.
engagement	angažman	Angažman studenata poboljšao se ovog semestra.
engaging	zanimljiv	Govornik je održao zanimljivo predavanje.
enquire	raspitati se	Molimo raspitajte se na recepciji.
enrich	obogatiti	Putovanja mogu obogatiti vaše razumijevanje.
enrol	upisati se	Studenti se moraju upisati prije rujna.
ensue	uslijediti	Nakon najave mogao bi uslijediti kaos.
enterprise	poduzeće	Poduzeće zapošljava lokalne umjetnike.
enthusiast	entuzijast	Svaki biciklistički entuzijast zna ovu rutu.
entitle	dati pravo	Ulaznica će vam dati pravo na ulazak.
entity	entitet	Tvrtka je zaseban pravni entitet.
epidemic	epidemija	Epidemija se proširila kroz nekoliko regija.
equality	jednakost	Pokret se borio za jednakost.
equation	jednadžba	Jednadžba sadrži dvije nepoznanice.
erect	postaviti	Radnici će postaviti novu ogradu.
escalate	eskalirati	Sukob bi mogao brzo eskalirati.
essence	suština	Pjesma bilježi suštinu djetinjstva.
establishment	establišment	Establišment se usprotivio reformi.
eternal	vječan	Obećali su vječno prijateljstvo.
evacuate	evakuirati	Vatrogasci su pomogli stanovnicima da se sigurno evakuiraju.
evoke	pobuditi	Pjesma može pobuditi snažna sjećanja.
evolutionary	evolucijski	Fosil pokazuje evolucijsku promjenu.
exaggerate	pretjerivati	Nemojte pretjerivati o svom iskustvu.
excellence	izvrsnost	Škola nagrađuje akademsku izvrsnost.
exceptional	izuzetan	Pokazala je izuzetnu vještinu.
excess	višak	Višak vode poplavio je podrum.
exclusion	isključenost	Socijalna isključenost šteti mladima.
exclusive	ekskluzivan	Klub nudi ekskluzivan pristup.
exclusively	isključivo	Ovu sobu isključivo koristi osoblje.
execute	izvršiti	Tim će pažljivo izvršiti plan.
execution	izvršenje	Izvršenje strategije trajalo je mjesecima.
exert	uložiti	Morate uložiti veći pritisak.
exile	egzil	Pisac je živio u egzilu.
expenditure	potrošnja	Javna potrošnja porasla je prošle godine.
experimental	eksperimentalni	Liječenje je još uvijek eksperimentalno.
expire	isteći	Moja putovnica će uskoro isteći.
explicit	izričit	Upute su bile izričite.
explicitly	izričito	Pravila izričito zabranjuju pušenje.
exploitation	iskorištavanje	Izvješće je razotkrilo iskorištavanje radnika.
explosive	eksplozivan	Eksplozivna naprava sigurno je uklonjena.
extremist	ekstremist	Ekstremistička grupa izgubila je podršku.
facilitate	olakšati	Aplikacija će olakšati učenje na daljinu.
faction	frakcija	Jedna frakcija suprotstavila se vođi.
faculty	fakultet	Fakultet je odobrio prijedlog.
fade	izblijedjeti	Boja će izblijedjeti na suncu.
fairness	pravednost	Pravednost je važna u svakom natjecanju.
fatal	smrtonosan	Nesreća je prouzročila smrtonosne ozljede.
fate	sudbina	Nitko nije znao njegovu sudbinu.
favourable	povoljan	Recenzija je bila povoljna.
feat	podvig	Penjanje na taj vrh bio je podvig.
feminist	feministički	Feministički pokret promijenio je javnu raspravu.
fibre	vlakno	Ovaj kruh sadrži dodatna vlakna.
fierce	žestok	Žestoka oluja oštetila je krovove.
film-maker	filmski stvaratelj	Filmski stvaratelj poslije je odgovarao na pitanja.
filter	filter	Filter uklanja prašinu iz zraka.
fine	novčana kazna	Tvrtka je platila novčanu kaznu.
firearm	vatreno oružje	Policajac je pronašao ukradeno vatreno oružje.
fit	pristajanje	Nove cipele savršeno pristaju.
fixture	fiksni dio	Svjetiljka je fiksni dio.
flaw	mana	Dizajn ima jednu ozbiljnu manu.
flawed	manjkav	Manjkava studija dala je pogrešne rezultate.
flee	pobjeći	Obitelji su morale pobjeći od sukoba.
fleet	flota	Zrakoplovna tvrtka je obnovila svoju flotu.
flesh	meso	Trn mu je probio meso.
flexibility	fleksibilnost	Rad na daljinu nudi više fleksibilnosti.
flourish	napredovati	Mala poduzeća ovdje mogu napredovati.
fluid	tekućina	Pijte puno tekućine nakon vježbanja.
footage	snimka	Snimka je prikazala sudar.
foreigner	stranac	U obrascu se pita jeste li stranac.
forge	iskovati	Pokušali su iskovati novi savez.
formula	formula	Formula je riješila problem.
formulate	formulirati	Znanstvenici formuliraju novu teoriju.
forth	naprijed	Rijeka je nosila čamac naprijed.
forthcoming	nadolazeći	Nadolazeće izvješće će sve objasniti.
foster	poticati	Program pomaže u poticanju neovisnosti.
fragile	krhak	Krhkom vazom treba pažljivo rukovati.
franchise	franšiza	Restoran je postao globalna franšiza.
frankly	iskreno	Iskreno, treba nam više vremena.
frustrated	frustriran	Radnici su se osjećali frustrirano zbog kašnjenja.
frustrating	frustrirajući	Spora veza bila je frustrirajuća.
frustration	frustracija	Frustracija je rasla tijekom sastanka.
functional	funkcionalan	Stara kuhinja još je uvijek funkcionalna.
fundraising	prikupljanje sredstava	Prikupljanje sredstava počinje sljedeći tjedan.
funeral	sprovod	Sprovod se održao u petak.
gallon	galon	Spremnik prima jedan galon.
gambling	kockanje	Kockanje je ograničeno zakonom.
gathering	okupljanje	Okupljanje je završilo mirno.
gaze	pogled	Nakratko je zadržala njegov pogled.
gear	oprema	Spakirajte sigurnosnu opremu prije penjanja.
generic	generički	Generička verzija košta manje.
genocide	genocid	Genocid je ostavio duboku nacionalnu traumu.
glance	pogled	Bacio je brz pogled.
glimpse	kratak pogled	Uhvatio sam kratak pogled na more.
glorious	veličanstven	Momčad je uživala u veličanstvenoj pobjedi.
glory	slava	Sanjala je o olimpijskoj slavi.
governance	upravljanje	Dobro upravljanje zahtijeva transparentnost.
grace	gracioznost	Prihvatila je poraz s gracioznošću.
grasp	shvatiti	Nije uspio shvatiti koncept.
grave (for dead person)	grob	Grob je bio prekriven cvijećem.
grave (serious)	ozbiljan	Situacija je i dalje ozbiljna.
gravity	gravitacija	Gravitacija privlači predmete prema Zemlji.
grid	mreža	Karta koristi jednostavnu mrežu.
grief	tuga	Tuga je promijenila cijelu njegovu obitelj.
grin	osmijeh	Dječak se široko nasmiješio.
grind	mljeti	Radnici svako jutro melju zrna.
grip	stisak	Zadržite čvrst stisak na užetu.
gross	bruto	Bruto prihod je naglo porastao.
guerrilla	gerila	Gerilski borci skrivali su se u brdima.
guidance	smjernice	Vodič pruža praktične smjernice.
guilt	krivnja	Osjećala je krivnju nakon laganja.
gut	instinkt	Vjerujte svom instinktu u teškim izborima.
hail	slaviti	Seljani slave liječnika kao heroja.
halfway	napola	Zaustavili smo se na pola puta uz brdo.
halt	zaustavljanje	Vlak se iznenada zaustavio.
handful	šačica	Šačica volontera ostala je do kasno.
handling	rukovanje	Pravilno rukovanje sprječava oštećenja.
handy	praktičan	Ovaj alat je praktičan za popravke.
harassment	uznemiravanje	Tvrtka je istražila pritužbe na uznemiravanje.
hardware	hardver	Trgovina prodaje računalni hardver.
harmony	harmonija	Zbor je pjevao u savršenoj harmoniji.
harsh	strog	Sudac je izrekao strogu kaznu.
harvest	žetva	Žetva počinje u rujnu.
haunt	proganjati	Sjećanje ga je nastavilo proganjati.
hazard	opasnost	Led je ozbiljna opasnost na cesti.
heighten	pojačati	Govor bi mogao pojačati napetosti.
heritage	baština	Dvorac je dio lokalne baštine.
hierarchy	hijerarhija	Uredska hijerarhija je jasno definirana.
high-profile	istaknut	Istaknuto suđenje privuklo je novinare.
hint	nagovještaj	Dala mi je koristan nagovještaj.
homeland	domovina	Vratio se u svoju domovinu.
hopeful	pun nade	Liječnici su puni nade u vezi s oporavkom.
horizon	horizont	Sunce je nestalo ispod horizonta.
horn	truba	Automobilska truba je sve probudila.
hostage	talac	Talac se vratio kući.
hostile	neprijateljski	Gomila je postala neprijateljska.
hostility	neprijateljstvo	Otvoreno neprijateljstvo okončalo je pregovore.
humanitarian	humanitaran	Humanitarna misija dostavila je hranu.
humanity	čovječanstvo	Čovječanstvo se suočava sa zajedničkim izazovima.
humble	skroman	Ostala je skromna i nakon uspjeha.
hydrogen	vodik	Vodik vrlo lako gori.
