source_headword	JA	example_JA
heal	治る	休息は体が治るのを助けます。
healthcare	医療	今年の医療費は上がりました。
helmet	ヘルメット	自転車ではヘルメットをかぶってください。
hence	したがって	したがって、私たちは予定を変更しました。
herb	ハーブ	バジルは便利なハーブです。
hidden	隠された	鍵はマットの下に隠されていました。
highway	高速道路	雪の後に高速道路が閉鎖されました。
hilarious	とても面白い	その映画はとても面白かったです。
hip	股関節	彼女は練習中に股関節を痛めました。
historian	歴史家	その歴史家は古い手紙を研究しました。
homeless	ホームレスの	避難所はホームレスの家族を助けます。
honesty	正直さ	正直さは信頼を築きます。
hook	フック	フックにコートを掛けてください。
hopefully	うまくいけば	うまくいけば、電車はすぐに到着します。
hunger	空腹	空腹は集中力に影響する可能性があります。
hypothesis	仮説	実験で仮説を検証しました。
icon	アイコン	アプリのアイコンが今日変わりました。
ID	身分証明書	受付で身分証明書を見せてください。
identical	全く同じ	双子は全く同じジャケットを着ていました。
illusion	錯覚	鏡は錯覚を生み出します。
immigration	移民	移民政策が昨年変わりました。
immune	免疫がある	ワクチン接種は人々を免疫にすることができます。
implement	実施する	学校はその方針を実施します。
implication	暗示	その暗示は明確でした。
incentive	励み	ボーナスは労働者に励みを与えました。
incorporate	取り入れる	食事にもっと野菜を取り入れてください。
incorrect	不正解の	その答えは不正解でした。
independence	独立	国は独立を祝いました。
index	索引	そのトピックについて索引を確認してください。
indication	兆候	その笑顔は安堵の兆候でした。
inevitable	避けられない	多少の遅れは避けられませんでした。
inevitably	必然的に	不足の後、必然的に価格が上昇しました。
infer	推測する	文脈から答えを推測できます。
inflation	インフレ	インフレで食料品の価格が上がりました。
info	情報	そのウェブサイトには役立つ情報が載っています。
infrastructure	インフラ	嵐が地元のインフラに被害を与えました。
inhabitant	住民	各住民はきれいな水を受け取りました。
inherit	受け継ぐ	彼女は家族の家を受け継ぎます。
ink	インク	プリンターには黒いインクが必要です。
innovation	革新	革新が業界を前進させます。
innovative	革新的な	会社は革新的な製品を発売しました。
input	意見	マネージャーは意見を求めました。
insert	挿入する	カードを機械に挿入してください。
inspector	検査官	検査官が建物を調べました。
installation	設置	設置には2時間かかりました。
instant	即座の	アプリから即座の返信がありました。
instantly	すぐに	画面がすぐにオンになりました。
integrate	統合する	そのソフトウェアは新しいツールを統合できます。
intellectual	知的な	議論は知的でしたが友好的でした。
interact	交流する	学生はグループワーク中に交流します。
interaction	交流	交流は丁寧なものでした。
interpretation	解釈	彼女の詩の解釈は独創的でした。
interval	休憩	幕の間に短い休憩がありました。
invade	侵略する	軍隊はその島を侵略しようとしました。
invasion	侵略	侵略は多くの町に被害を与えました。
investor	投資家	投資家は新しいスタートアップに資金を提供しました。
isolate	隔離する	医師は重度の感染症患者を隔離します。
isolated	孤立した	その村は雪で孤立していました。
jail	刑務所	泥棒は刑務所に行きました。
jet	ジェット機	ジェット機は正午に着陸しました。
joint	共同の	彼らは共同プロジェクトを発表しました。
journalism	ジャーナリズム	ジャーナリズムには正確な事実が必要です。
jury	陪審	陪審が決定を下しました。
kit	キット	修理キットにはネジが含まれています。
ladder	はしご	はしごが壁に立てかけられていました。
landing	着陸	飛行機はスムーズに着陸しました。
lane	車線	右側の車線を維持してください。
lately	最近	私は最近よく眠れていません。
leaflet	チラシ	そのチラシはサービスを説明しています。
legend	伝説	その伝説は隠された都市について語っています。
lens	レンズ	カメラのレンズを慎重に拭いてください。
lifetime	一生	彼は一生お金を貯めました。
lighting	照明	良い照明は部屋を良くします。
likewise	同様に	彼女は微笑み、彼も同様にしました。
limitation	制限	その計画には1つ制限があります。
literally	文字通り	彼女は文字通りバスに向かって走りました。
literary	文学の	その祭りは文学作品を称えます。
litre	リットル	牛乳を1リットル買ってください。
litter	ゴミ	ゴミを落とさないでください。
logo	ロゴ	ロゴはすべてのページに表示されます。
lottery	宝くじ	彼は宝くじで小さな賞品を当てました。
loyal	忠実な	その犬は飼い主に忠実でした。
lyric	歌詞	歌詞は主なアイデアを繰り返しました。
magnificent	壮大な	その宮殿は壮大に見えました。
make-up	化粧	彼女はシンプルな化粧をしていました。
making	制作	その映画の制作は困難でした。
manufacture	製造する	その工場は携帯電話を製造します。
manufacturing	製造業	製造業の仕事が地元で増えました。
marathon	マラソン	彼女はマラソンを完走しました。
margin	余白	余白にメモを書いてください。
marker	マーカー	ラベルにはマーカーを使用してください。
martial	武道の	彼は武道を学んでいます。
mate	仲間	昨日、古い学校の仲間から電話がありました。
mayor	市長	市長が図書館を開館しました。
mechanic	整備士	整備士がバスを修理しました。
mechanical	機械的な	時計に機械的な欠陥があります。
mechanism	仕組み	鍵の仕組みは簡単です。
medal	メダル	彼女は金メダルを獲得しました。
medication	薬	薬は水で飲んでください。
membership	会員	ジムの会員はオンラインの方が安いです。
memorable	記憶に残る	その旅行は記憶に残るものでした。
metaphor	隠喩	その詩は強い隠喩を使っています。
miner	鉱夫	鉱夫は地下で働いていました。
miserable	惨めな	雨のせいでピクニックは惨めなものになりました。
mode	モード	カメラをナイトモードに切り替えてください。
modest	質素な	彼らは質素な家に住んでいます。
monster	怪物	その物語には怖い怪物が登場します。
monthly	毎月の	私たちは家賃を毎月払っています。
monument	記念碑	記念碑は川の近くに立っています。
moreover	さらに	さらに、その計画はお金を節約します。
mortgage	住宅ローン	彼らは住宅ローンを申請しました。
mosque	モスク	モスクは市場の近くにあります。
motion	動き	センサーが動きを感知します。
motivate	やる気にさせる	褒めることは学生をやる気にさせることができます。
motivation	モチベーション	彼女のモチベーションは高いままでした。
moving	感動的な	そのスピーチは感動的でした。
myth	神話	その神話は山の名前の由来を説明しています。
naked	裸の	赤ちゃんはお風呂上がりで裸でした。
nasty	ひどい	その切り傷はひどく見えました。
navigation	ナビゲーション	アプリはナビゲーションを改善します。
nearby	近くの	近くのカフェは朝早くから開いています。
necessity	必需品	きれいな水は必需品です。
negotiate	交渉する	彼らは明日契約の交渉をします。
negotiation	交渉	交渉は午前中ずっと続きました。
neutral	中立の	裁判官は中立を保ちました。
newly	新たに	新たに塗られたドアは明るく見えました。
norm	標準	リモートワークが標準になりました。
notebook	ノート	ノートにメモを書いてください。
