source_headword	HR	example_HR
rock (music)	rock glazba	Volim rock glazbu.
role	uloga	Njezina uloga je važna.
roof	krov	Krov treba popraviti.
round	okrugao	Stol je okrugao.
route	ruta	Ova ruta je kraća.
rubbish	smeće	Iznesi smeće van.
rude	nepristojan	Ta primjedba je bila nepristojna.
runner	trkač	Trkač izgleda umorno.
running	trčanje	Trčanje me održava zdravim.
sadly	nažalost	Nažalost, propustili smo vlak.
safe	siguran	Ova ulica izgleda sigurno.
sail	ploviti; jedriti	U subotu ćemo jedriti.
sailing	jedrenje	Jedrenje je ovdje popularno.
salary	plaća	Njegova plaća je sada viša.
sale	rasprodaja	Rasprodaja počinje sutra.
sauce	umak	Dodaj umak riži.
save	spremiti; spasiti	Spremi svoj rad sada.
scared	uplašen	Dijete je uplašeno.
scary	strašan	Ova priča je strašna.
scene	scena	Zadnja scena je bila smiješna.
schedule	raspored	Provjeri raspored danas.
score	rezultat	Koji je rezultat?
screen	zaslon	Pažljivo očisti zaslon.
search	pretraživati; tražiti	Traži slike na internetu.
season	sezona	Ljeto je prometna sezona.
seat	sjedalo	Zauzmi ovo sjedalo, molim te.
second1 (next after the first)	drugi	Drugo, operi ruke.
secondly	drugo	Drugo, provjeri odgovor.
secret	tajna	Čuvaj ovu tajnu.
secretary	tajnik; tajnica	Tajnica je danas nazvala.
seem	činiti se	Činiš se umorno.
sense	smisao	Ovaj plan ima smisla.
separate	odvojen	Drži papire odvojeno.
series	serija	Ova serija je popularna.
serious	ozbiljan	Ovaj problem je ozbiljan.
serve	poslužiti	Ručak poslužuju u podne.
service	usluga	Usluga je bila brza.
several	nekoliko	Nekoliko učenika došlo je rano.
shake	protresti	Prvo protresi bocu.
shall modal	da	Da počnemo sada?
shape	oblik	Nacrtaj četvrtasti oblik.
sheet	plahta	Stavi plahtu na krevet.
ship	brod	Brod je danas isplovio.
shoulder	rame	Boli me rame.
shout	vikati	Nemoj vikati u razredu.
shut	zatvoriti	Zatvori prozor, molim te.
side	strana	Sjedni na ovu stranu.
sign	znak	Pažljivo pročitaj znak.
silver	srebro	Srebro je svijetao metal.
simple	jednostavan	Ova vježba je jednostavna.
since	od	Čekam od podneva.
singing	pjevanje	Pjevanje mi pomaže da se opustim.
single	jedan; jedini	Kupio sam jednu kartu.
sir	gospodine	Gospodine, vaša torba je spremna.
site	web-stranica	Ova web-stranica je sigurna.
size	veličina	Koja ti veličina treba?
ski	skijati	Zimi skijamo.
skiing	skijanje	Skijanje je zimi zabavno.
skin	koža	Njezina koža je suha.
sky	nebo	Nebo je vedro.
slowly	polako	Hodaj polako po ledu.
smartphone	pametni telefon	Moj pametni telefon je nov.
smell	miris; mirisati	Juha dobro miriše.
