hsk_key	source_word	simplified	TE	example_TE	KN	example_KN
2002:哎呀	哎呀	哎呀	అయ్యో; అరే	అయ్యో, నేను తాళాలు ఇంట్లో మర్చిపోయాను.	ಅಯ್ಯೋ; ಅರೆ	ಅಯ್ಯೋ, ನಾನು ಕೀಲಿಗಳನ್ನು ಮನೆಯಲ್ಲಿ ಮರೆತಿದ್ದೇನೆ.
2005:安	安	安	ప్రశాంతం; నిశ్చింత	పిల్లవాడు నిద్రపోయిన తర్వాత గది ప్రశాంతమైంది.	ಶಾಂತ; ನೆಮ್ಮದಿಯ	ಮಗು ನಿದ್ರಿಸಿದ ನಂತರ ಕೊಠಡಿ ಶಾಂತವಾಯಿತು.
2006:安全带	安全带	安全带	భద్రతా బెల్ట్	వాహనం నడిపే ముందు దయచేసి భద్రతా బెల్ట్ కట్టుకోండి.	ಸುರಕ್ಷತಾ ಬೆಲ್ಟ್	ವಾಹನ ಓಡಿಸುವ ಮೊದಲು ದಯವಿಟ್ಟು ಸುರಕ್ಷತಾ ಬೆಲ್ಟ್ ಕಟ್ಟಿಕೊಳ್ಳಿ.
2013:半夜	半夜	半夜	అర్ధరాత్రి; రాత్రి మధ్యలో	రాత్రి మధ్యలో ఎవరో అతనికి ఫోన్ చేశారు.	ಮಧ್ಯರಾತ್ರಿ; ರಾತ್ರಿ ಮಧ್ಯದಲ್ಲಿ	ಮಧ್ಯರಾತ್ರಿ ಯಾರೋ ಅವನಿಗೆ ಕರೆ ಮಾಡಿದರು.
2020:宝	宝	宝	ఖజానా; ముద్దుబిడ్డ	ఈ పాత పచ్చరాయి కుటుంబ ఖజానా.	ಖಜಾನೆ; ಮುದ್ದಿನವನು	ಈ ಹಳೆಯ ಹಸಿರು ರತ್ನ ಕುಟುಂಬದ ಖಜಾನೆ.
2021:保	保	保	కాపాడటం; నిలుపుకోవడం	మనం ఈ అడవి భూమిని కాపాడాలి.	ರಕ್ಷಿಸುವುದು; ಉಳಿಸಿಕೊಳ್ಳುವುದು	ನಾವು ಈ ಕಾಡುಭೂಮಿಯನ್ನು ರಕ್ಷಿಸಬೇಕು.
2022:保安	保安	保安	భద్రతా సిబ్బంది; భద్రత	ప్రవేశద్వారం వద్ద ఉన్న భద్రతా సిబ్బంది నా గుర్తింపు కార్డును పరిశీలించారు.	ಭದ್ರತಾ ಸಿಬ್ಬಂದಿ; ಭದ್ರತೆ	ಪ್ರವೇಶದ್ವಾರದ ಭದ್ರತಾ ಸಿಬ್ಬಂದಿ ನನ್ನ ಗುರುತಿನ ಚೀಟಿಯನ್ನು ಪರಿಶೀಲಿಸಿದರು.
2029:保质期	保质期	保质期	నిల్వ గడువు; గడువు కాలం	పాలు కొనడానికి ముందు నిల్వ గడువును చూడండి.	ಶೇಖರಣಾ ಅವಧಿ; ಅವಧಿ	ಹಾಲು ಖರೀದಿಸುವ ಮೊದಲು ಅದರ ಶೇಖರಣಾ ಅವಧಿಯನ್ನು ನೋಡಿ.
2034:暴雨	暴雨	暴雨	భారీ వర్షం; ముంచెత్తే వర్షం	భారీ వర్షం తర్వాత రోడ్డుపై చాలా నీరు నిలిచింది.	ಭಾರೀ ಮಳೆ; ಮಳೆಗಾಳಿ	ಭಾರೀ ಮಳೆಯ ನಂತರ ರಸ್ತೆಯಲ್ಲಿ ತುಂಬಾ ನೀರು ನಿಂತಿತು.
2037:背后	背后	背后	వెనుక; నేపథ్యం	విజయానికి వెనుక చాలా కృషి ఉంటుంది.	ಹಿಂದೆ; ಹಿನ್ನೆಲೆ	ಯಶಸ್ಸಿನ ಹಿಂದೆ ಬಹಳ ಪರಿಶ್ರಮ ಇರುತ್ತದೆ.
