source_headword	BN	example_BN
absorb	গ্রহণ করা	তোয়ালেটি দ্রুত জল শোষণ করে।
abstract	বিমূর্ত	বক্তৃতায় বিমূর্ত ধারণা নিয়ে আলোচনা করা হয়েছে।
accent	উচ্চারণ	তার উচ্চারণভঙ্গি বোঝা সহজ।
accidentally	ভুলবশত	আমি দুর্ঘটনাক্রমে ফাইলটি মুছে ফেলেছি।
accommodate	মানিয়ে নেওয়া	হোটেলটি বড় পরিবারগুলিকে জায়গা দিতে পারে।
accomplish	সম্পন্ন করা	সে জুনের আগেই তার লক্ষ্য সম্পন্ন করেছে।
accountant	হিসাবরক্ষক	হিসাবরক্ষক চালানটি পরীক্ষা করেছেন।
accuracy	নির্ভুলতা	পরীক্ষাটি পড়ার নির্ভুলতা পরিমাপ করে।
accurately	নির্ভুলভাবে	মানচিত্রটি নির্ভুলভাবে পথটি দেখায়।
acid	অ্যাসিড	অ্যাসিডটি ধাতব পৃষ্ঠের ক্ষতি করেছে।
activate	সক্রিয় করা	অ্যালার্মটি সক্রিয় করতে বোতাম টিপুন।
addiction	আসক্তি	তার আসক্তি তার কাজকে প্রভাবিত করেছে।
additionally	উপরন্তু	অতিরিক্তভাবে, আমাদের আরও চেয়ার প্রয়োজন।
adequate	পর্যাপ্ত	ঘরটিতে পর্যাপ্ত আলো আছে।
adequately	পর্যাপ্তভাবে	প্রতিবেদনটিতে সমস্যাটি পর্যাপ্তভাবে ব্যাখ্যা করা হয়েছে।
adjust	সমন্বয় করা	গাড়ি চালানোর আগে আসনটি সমন্বয় করুন।
affordable	সাশ্রয়ী	অ্যাপার্টমেন্টটি শিক্ষার্থীদের জন্য সাশ্রয়ী।
agriculture	কৃষি	কৃষি অনেক গ্রামীণ পরিবারকে সহায়তা করে।
AIDS	এইডস	ডাক্তাররা আধুনিক ওষুধ দিয়ে এইডস-এর চিকিৎসা করেন।
alien	ভিনগ্রহী	চলচ্চিত্রটিতে একটি ভিনগ্রহী গ্রহ দেখানো হয়েছে।
alongside	পাশাপাশি	সাইকেলের পথটি নদীর পাশাপাশি চলে।
altogether	পুরোপুরি	সব মিলিয়ে, প্রকল্পটিতে ছয় সপ্তাহ সময় লেগেছিল।
