source_headword	HU	example_HU
abandon	elhagyni	Tegnap elhagyták a tervet.
absolute	abszolút	Abszolút őszinteségre van szükségünk.
acceptable	elfogadható	A válasza elfogadható volt.
accompany	elkísér	A bátyja hazakísérte.
accurate	pontos	A jelentés pontos.
accuse	vádol	Hazugsággal vádolták.
acknowledge	elismer	Kérlek, ismerd el a hibát.
acquire	megszerez	Gyorsan új készségeket szerzett.
actual	tényleges	A tényleges költség alacsonyabb volt.
adapt	alkalmazkodik	Alkalmazkodtunk a változáshoz.
additional	további	További segítség ma érkezett.
administration	igazgatás	Az igazgatás megváltoztatta a szabályokat.
adopt	elfogad	Elfogadtak egy új módszert.
advance	előrelépés	Kis előrelépést tettünk.
affair	ügy	Ez az ügy ártott a közbizalomnak.
afterwards	utána	Utána mindenki megnyugodott.
agency	ügynökség	Az ügynökség három fordítót vett fel.
agenda	napirend	A biztonság szerepel a napirenden.
aggressive	agresszív	A hangja agresszívnak tűnt.
aid	segítség	Az orvosi segítség gyorsan megérkezett.
aircraft	repülőgép	A repülőgép biztonságosan leszállt.
alter	megváltoztat	Ne változtasd meg a szerződést.
anger	harag	A haragja mindenkit meglepett.
angle	szög	Próbálj más kameraállást.
anniversary	évforduló	Az évfordulójuk holnap lesz.
annual	éves	Az éves ülés hétfőn kezdődik.
anxious	szorongó	A műtét előtt szorongott.
apparent	nyilvánvaló	A csalódása nyilvánvaló volt.
apparently	nyilvánvalóan	Nyilvánvalóan késik a vonat.
appeal	fellebbezés	A döntés fellebbezéshez vezethet.
approach	megközelítés	Az ő megközelítése megoldotta a problémát.
appropriate	megfelelő	Válassz megfelelő választ.
approval	jóváhagyás	A projekt jóváhagyást igényel.
approve	jóváhagy	A tanács jóváhagyta a költségvetést.
arise	felmerül	A problémák később merülhetnek fel.
armed	fegyveres	Fegyveres őrök álltak kint.
arms	fegyverek	Letették a fegyvereket.
artificial	mesterséges	A virágok mesterségesnek tűntek.
artistic	művészi	Művészi tehetsége van.
ashamed	szégyenkező	Később szégyenkezve érezte magát.
aspect	szempont	Minden szempontot gondosan mérlegelj.
assess	felmér	Fel kell mérnünk a kárt.
assessment	felmérés	A felmérés két óráig tartott.
associate	társít	Az emberek a füstöt veszéllyel társítják.
associated	kapcsolódó	A stressz betegséggel kapcsolódik.
association	egyesület	Az egyesület fiatal művészeket támogat.
assume	feltételez	Feltételezem, hogy egyetértesz.
attempt	kísérlet	Az első kísérlete kudarcot vallott.
bacteria	baktérium	A baktériumok gyorsan terjedhetnek.
