source_headword	MY	example_MY
fridge	ရေခဲသေတ္တာ	နို့က ရေခဲသေတ္တာထဲမှာ ရှိတယ်။
frog	ဖား	ဖားတစ်ကောင်က ရေကန်ထဲကို ခုန်ဝင်တယ်။
furniture	ပရိဘောဂ	ဒီပရိဘောဂက ဟောင်းပေမယ့် ခိုင်မာတယ်။
further	ထပ်ဆောင်းသော; ပိုမိုသော	ထပ်ဆောင်း အချက်အလက် လိုတယ်။
gallery	ပြခန်း	ပြခန်းက ဒီနေ့ ဖွင့်တယ်။
gap	ကွာဟချက်; အပေါက်	နံရံမှာ ကွာဟချက်တစ်ခု ရှိတယ်။
gas	ဓာတ်ဆီ; ဓာတ်ငွေ့	ကားက ဓာတ်ဆီ လိုတယ်။
gate	တံခါးမကြီး	ကျေးဇူးပြု၍ တံခါးမကြီးကို ပိတ်ပါ။
general	ယေဘုယျ	ဒါက ယေဘုယျ စည်းမျဉ်းတစ်ခုပါ။
gift	လက်ဆောင်	သူမ လက်ဆောင်တစ်ခု ဝယ်တယ်။
goal	ရည်မှန်းချက်	ကျွန်တော်တို့ရဲ့ ရည်မှန်းချက်က ရိုးရှင်းတယ်။
god	ဘုရား	လူများစွာက ဘုရားကို ဆုတောင်းကြတယ်။
gold	ရွှေ; ရွှေရောင်	လက်စွပ်က ရွှေရောင်ပါ။
golf	ဂေါက်	သူ ဒီနေ့ ဂေါက်ကစားတယ်။
government	အစိုးရ	အစိုးရက ဥပဒေကို ပြောင်းလဲတယ်။
grass	မြက်	မြက်က စိုနေတယ်။
greet	နှုတ်ဆက်သည်	ဧည့်သည်တိုင်းကို ယဉ်ကျေးစွာ နှုတ်ဆက်ပါ။
ground	မြေပြင်	မြေပြင်ပေါ်မှာ ထိုင်ပါ။
guest	ဧည့်သည်	ကျွန်တော်တို့ရဲ့ ဧည့်သည်က စောစော ရောက်လာတယ်။
guide	လမ်းညွှန်; လမ်းပြ	လမ်းညွှန်က ကျွန်တော်တို့ကို ပြတိုက်ကို ပြတယ်။
gun	သေနတ်	ရဲက သေနတ်တစ်လက် တွေ့တယ်။
guy	လူ; ကောင်လေး	အဲဒီလူက ကျွန်တော့် အစ်ကိုပါ။
habit	အကျင့်	နေ့တိုင်း စာဖတ်တာက ကောင်းတဲ့ အကျင့်ပါ။
hall	ခန်းမ; လမ်းမကြီး	ခန်းမထဲမှာ စောင့်ပါ။
happily	ပျော်ရွှင်စွာ	သူတို့က အတူတူ ပျော်ရွှင်စွာ နေထိုင်ခဲ့တယ်။
headache	ခေါင်းကိုက်ခြင်း	ကျွန်တော် ခေါင်းကိုက်နေတယ်။
heart	နှလုံး	သူမရဲ့ နှလုံးက မြန်မြန် ခုန်တယ်။
heat	အပူ; အပူပေးသည်	စွပ်ပြုတ်ကို ဖြည်းဖြည်း အပူပေးပါ။
heavy	လေးသော	ဒီအိတ်က လေးတယ်။
height	အမြင့်	စားပွဲရဲ့ အမြင့်ကို တိုင်းပါ။
helpful	အကူအညီဖြစ်သော	မင်းရဲ့ အကြံဉာဏ်က အကူအညီ ဖြစ်ခဲ့တယ်။
hero	သူရဲကောင်း	သူက ကျွန်တော့် သူရဲကောင်းပါ။
hers	သူမ၏ဟာ	အပြာရောင် ကုတ်အင်္ကျီက သူမရဲ့ဟာပါ။
herself	သူမကိုယ်တိုင်	သူမကိုယ်တိုင် ညစာ ချက်တယ်။
hide	ဖုံးကွယ်သည်	သော့ကို သေတ္တာအောက်မှာ ဖုံးထားပါ။
hill	တောင်ကုန်း	ကျွန်တော်တို့ တောင်ကုန်းကို တက်ခဲ့တယ်။
himself	သူကိုယ်တိုင်	သူကိုယ်တိုင် အဲဒါကို ပြင်ခဲ့တယ်။
hit	ရိုက်သည်; ထိသည်	တံခါးကို မရိုက်ပါနဲ့။
hockey	ဟော်ကီ	မနေ့ညက ဟော်ကီ ကြည့်ခဲ့တယ်။
hold	ကိုင်သည်	ကျွန်တော့် လက်ကို ကိုင်ပါ။
hole	အပေါက်	ကျွန်တော့် ခြေအိတ်မှာ အပေါက်ရှိတယ်။
huge	အလွန်ကြီးသော	အခန်းက အလွန်ကြီးတယ်။
human	လူသား	လူသားတိုင်း ရေ လိုအပ်တယ်။
hurt	နာသည်; ထိခိုက်သည်	ကျွန်တော့် ဒူး နာတယ်။
ideal	အကောင်းဆုံး; သင့်တော်သော	ဒီအခန်းက စာလေ့လာရန် သင့်တော်တယ်။
identify	ခွဲခြားသိသည်	ဒီငှက်ကို ခွဲခြားသိနိုင်လား။
ill	ဖျားသော; နေမကောင်းသော	သူမ ဒီနေ့ နေမကောင်းဘူး။
illness	ရောဂါ	ရောဂါက တစ်ပတ် ကြာတယ်။
image	ပုံရိပ်; ပုံ	ပုံက ရှင်းလင်းတယ်။
immediately	ချက်ချင်း	ဒီကို ချက်ချင်း လာပါ။
impossible	မဖြစ်နိုင်သော	ဒီပဟေဠိက မဖြစ်နိုင်သလို ထင်ရတယ်။
included	ပါဝင်သော	မနက်စာ ပါဝင်တယ်။
including	အပါအဝင်	ကျွန်တော်အပါအဝင် လူဆယ်ယောက် လာတယ်။
increase	တိုးသည်; တိုးမြှင့်သည်	နွေရာသီမှာ စျေးတွေ တိုးတယ်။
