source_headword	HY	example_HY
fridge	սառնարան	Կաթը սառնարանում է։
frog	գորտ	Գորտը նստած է լճակի մոտ։
furniture	կահույք	Սենյակի կահույքը նոր է։
further	ավելի հեռու	Մենք ճանապարհով ավելի հեռու գնացինք։
gallery	պատկերասրահ	Նկարները կախված են պատկերասրահում։
gap	բացատ	Պատում փոքր բացատ կա։
gas	գազ	Խոհանոցում գազի հոտ կար։
gate	դարպաս	Դպրոցի դարպասը բաց է։
general	ընդհանուր	Սա ընդհանուր կանոն է։
gift	նվեր	Նա մորը նվեր տվեց։
goal	նպատակ	Նրա նպատակը պարզ է։
god	Աստված	Նա Աստծուն շնորհակալություն ասաց։
gold	ոսկի	Մատանին ոսկուց է։
golf	գոլֆ	Նա կիրակի օրը գոլֆ խաղաց։
government	կառավարություն	Կառավարությունը նոր ծրագիր հայտարարեց։
grass	խոտ	Անձրևից հետո խոտը կանաչ է։
greet	ողջունել	Նա հյուրին ողջունեց։
ground	գետին	Երեխաները նստեցին գետնին։
guest	հյուր	Հյուրը շուտ եկավ։
guide	ուղեցույց	Ուղեցույցը խոսեց քաղաքի մասին։
gun	զենք	Ոստիկանությունը զենքը դրեց անվտանգ տեղում։
guy	տղա	Այս տղան շատ բարի է։
habit	սովորություն	Առավոտյան կարդալը լավ սովորություն է։
hall	դահլիճ	Ժողովը մեծ դահլիճում էր։
happily	ուրախությամբ	Նրանք ուրախությամբ տուն վերադարձան։
headache	գլխացավ	Այսօր նա գլխացավ ունի։
heart	սիրտ	Նրա սիրտը արագ էր բաբախում։
heat	շոգ	Կեսօրին շոգը ուժեղացավ։
heavy	ծանր	Այս տուփը շատ ծանր է։
height	բարձրություն	Շենքի բարձրությունը մեծ է։
helpful	օգտակար	Այս խորհուրդը շատ օգտակար է։
hero	հերոս	Պատմության հերոսը քաջ է։
hers	նրանը	Այս պայուսակը նրանն է։
herself	ինքը	Նա դուռը ինքնուրույն բացեց։
hide	թաքցնել	Նա բանալին թաքցրեց։
hill	բլուր	Տունը բլրի վրա է։
himself	ինքը	Նա ուտելիքը ինքնուրույն պատրաստեց։
hit	հարվածել	Գնդակը հարվածեց պատուհանին։
hockey	հոկեյ	Նրանք երեկոյան հոկեյ խաղացին։
hold	պահել	Խնդրում եմ, պահեք այս պարանը։
hole	անցք	Ճանապարհին մեծ անցք կա։
huge	հսկայական	Այնտեղ հսկայական ծառ կա։
human	մարդ	Մարդը առանց ջրի չի կարող ապրել։
hurt	ցավեցնել	Նրա խոսքերը ինձ ցավեցրին։
ideal	իդեալական	Սա կարդալու համար իդեալական տեղ է։
identify	նույնականացնել	Նա փորձեց նույնականացնել թռչունը։
ill	հիվանդ	Երեխան երեկ հիվանդ էր։
illness	հիվանդություն	Այս հիվանդությունը արագ է տարածվում։
image	պատկեր	Էկրանին պարզ պատկեր է երևում։
immediately	անմիջապես	Նա անմիջապես պատասխանեց։
impossible	անհնար	Սա մենակ անել անհնար է։
included	ներառված	Հարկը ներառված է գնի մեջ։
including	ներառյալ	Բոլորը, ներառյալ ուսուցիչը, եկան։
increase	աճել	Այս ամիս գինը աճեց։
incredible	անհավատալի	Տեսարանը անհավատալի էր։
independent	անկախ	Նա անկախ որոշում ընդունեց։
individual	անհատական	Յուրաքանչյուր աշակերտին անհատական օգնություն է պետք։
industry	արդյունաբերություն	Այս քաղաքում մեծ արդյունաբերություն կա։
informal	ոչ պաշտոնական	Սա ոչ պաշտոնական զրույց է։
injury	վնասվածք	Խաղացողը թեթև վնասվածք ստացավ։
insect	միջատ	Տերևի վրա փոքր միջատ կար։
inside	ներսում	Երեխաները տան ներսում խաղում են։
instead	փոխարենը	Նա թեյի փոխարեն ջուր խմեց։
instruction	հրահանգ	Խնդրում եմ, ուշադիր կարդացեք հրահանգը։
instructor	հրահանգիչ	Հրահանգիչը բացատրեց կանոնները։
instrument	գործիք	Նա նոր երաժշտական գործիք գնեց։
