source_headword	SL	example_SL
stranger	neznanec	Neznanec je vprašal za pot.
strength	moč	Njena moč je pomagala ekipi.
string	vrvica	Zavežite škatlo z vrvico.
strongly	močno	S to idejo se močno ne strinjam.
studio	studio	Umetnik dela v majhnem studiu.
stuff	stvari	Odloži svoje stvari na polico.
substance	snov	Policija je našla čudno snov.
successfully	uspešno	Uspešno so končali projekt.
sudden	nenaden	Nenaden hrup nas je prebudil.
suffer	trpeti	Mnoge rastline v suhem vremenu trpijo.
suitable	primeren	Ta jakna je primerna za šolo.
summarize	povzeti	Lahko povzamete članek?
summary	povzetek	Nocoj napiši kratek povzetek.
supply	oskrba	Mesto potrebuje oskrbo s čisto vodo.
supporter	navijač	Vsak navijač je glasno navijal.
surely	zagotovo	Zagotovo lahko to rešimo.
surface	površina	Površina je bila na otip hladna in gladka.
survive	preživeti	Te živali preživijo mrzle zime.
switch	preklopiti	Ugasni kuhinjsko luč.
symptom	simptom	Kašelj je lahko simptom.
tail	rep	Pes ima dolg rep.
talent	talent	Ima talent za glasbo.
talented	nadarjen	On je nadarjen mlad igralec.
tape	lepilni trak	Za zapiranje škatle uporabi lepilni trak.
tax	davek	Vsi morajo plačati ta davek.
technical	tehničen	Imeli smo tehnično težavo.
technique	tehnika	Ta tehnika prihrani čas.
tend	nagibati se	Otroci se ponavadi hitro učijo.
tent	šotor	Spali smo v majhnem šotoru.
theirs	njihov	Modra kolesa so njihova.
theme	tema	Zabava je imela temo plaže.
theory	teorija	Njegova teorija pojasnjuje težavo.
therefore	zato	Deževalo je, zato smo ostali notri.
though	čeprav	Čeprav je bila utrujena, je delala naprej.
throat	grlo	Zjutraj me boli grlo.
throughout	skozi ves	Ljudje so plesali ves večer.
tight	tesen	Ti čevlji so pretesni.
till	dokler	Počakaj tukaj, dokler se ne vrnem.
tin	pločevinka	Odpri pločevinko fižola.
tiny	droben	Droben ptiček je pristal v bližini.
toe	prst na nogi	Včeraj sem si poškodoval prst na nogi.
tongue	jezik	Opekla si je jezik s čajem.
total	skupen	Skupni stroški so bili nizki.
totally	popolnoma	Popolnoma razumem tvojo skrb.
trade	trgovina	Mednarodna trgovina ustvarja delovna mesta.
translate	prevesti	Prosim, prevedite ta stavek.
translation	prevod	Prevod zveni naravno.
treat	ravnati	Z vsemi ravnaj spoštljivo.
treatment	zdravljenje	Pacient danes potrebuje zdravljenje.
trend	trend	Ta trend narašča po vsem svetu.
trick	trik	Tisti trik s kartami me je presenetil.
truth	resnica	Prosim, povej resnico.
tube	tuba	Nežno stisnite tubo.
typically	običajno	Študenti običajno pridejo pred deveto.
tyre	pnevmatika	Avto potrebuje novo pnevmatiko.
ugly	grd	Tista barva stene je videti grda.
unable	nezmožen	Bil je nezmožen odgovoriti.
uncomfortable	neudoben	Ta stol je neudoben.
underwear	spodnje perilo	Za potovanje spakiraj čisto spodnje perilo.
unemployed	brezposeln	Dva meseca je bila brezposelna.
unemployment	brezposelnost	Brezposelnost je pozimi narasla.
unfair	nepravičen	Odločitev se je zdela nepravična.
union	sindikat	Sindikat je zahteval varnejše delo.
unless	razen če	Ne hodi, razen če te pokličem.
unlike	v nasprotju z	V nasprotju s Tomom, Ana obožuje zimo.
unlikely	malo verjeten	Ta teden je sneg malo verjeten.
unnecessary	nepotreben	Dodatne vrečke so nepotrebne.
unpleasant	neprijeten	Soba je imela neprijeten vonj.
update	posodobiti	Posodobiti moram svoj telefon.
upon	na	Nekoč je živel kralj.
upset	razburjen	Po klicu je bila razburjena.
used1	uporabljen	Ta soba se uporablja za sestanke.
used2	navajen	Navajen sem na zgodnja jutra.
valuable	dragocen	Ta ura je dragocena.
value	vrednost	Hiša je lani izgubila vrednost.
various	različen	Poskusili smo različne lokalne jedi.
version	različica	Ta različica deluje bolje.
victim	žrtev	Žrtev je poklicala policijo.
viewer	gledalec	En gledalec je postavil vprašanje.
violent	nasilen	Film je bil preveč nasilen.
volunteer	prostovoljec	Kot prostovoljec delam v knjižnici.
vote	glasovati	Jutri ne pozabite glasovati.
warn	opozoriti	Poskušal sem ga opozoriti.
warning	opozorilo	Na zaslonu se je pojavilo opozorilo.
waste	zapravljati	Ne zapravljajte čiste vode.
weapon	orožje	Nož je postal orožje.
weigh	tehtati	Moko previdno stehtajte.
western	zahodni	Gledali so vestern film.
whatever	karkoli	Izberi, karkoli ti je všeč.
whenever	kadarkoli	Pokliči, kadarkoli potrebuješ pomoč.
whether	ali	Ne vem, ali se strinja.
wing	krilo	Ptica si je poškodovala eno krilo.
within	znotraj	Prosimo, odgovorite v dveh dneh.
wonder	spraševati se	Sprašujem se, kaj se je zgodilo.
wool	volna	Ta plašč je narejen iz volne.
worldwide	po vsem svetu	Pesem je postala priljubljena po vsem svetu.
worth	vreden	To knjigo je vredno prebrati.
written	pisen	Prosimo, pošljite pisna navodila.
yard	dvorišče	Otroci so se igrali na dvorišču.
youth	mladina	Mladinski klubi podpirajo lokalne najstnike.
