source_headword	RU	example_RU
absolutely	абсолютно	Я абсолютно с тобой согласен.
academic	академический	Учебный год начинается в сентябре.
access	доступ	Студентам нужен доступ к библиотеке.
accommodation	жилье	Мы забронировали жилье рядом со станцией.
account	счет	Она открыла новый банковский счет.
achievement	достижение	Окончание курса стало большим достижением.
ad	реклама	В рекламе показали новый телефон.
addition	дополнение	Бассейн стал полезным дополнением.
admire	восхищаться	Я восхищаюсь ее спокойным отношением.
admit	признать	Он признал свою ошибку.
advanced	продвинутый	Это продвинутый курс английского.
advise	советовать	Врачи советуют регулярно заниматься.
afford	позволить себе	Мы не можем позволить себе такси.
aged	в возрасте	Курс для детей в возрасте десяти лет.
agent	агент	Турагент изменил наши билеты.
agreement	соглашение	Сегодня они достигли соглашения.
ahead	впереди	Дорога впереди свободна.
aim	стремиться	Мы стремимся скоро закончить.
alarm	будильник	Будильник зазвонил в шесть.
album	альбом	В этом альбоме десять песен.
alcohol	алкоголь	В отеле не подают алкоголь.
alcoholic	алкогольный	Этот напиток не алкогольный.
amazed	пораженный	Она была поражена результатом.
ambition	цель	Его цель — стать пилотом.
ambitious	амбициозный	У нее амбициозный план.
analyse	анализировать	Нам нужно проанализировать результаты.
analysis	анализ	Ее анализ был ясным и аккуратным.
announce	объявить	Завтра они объявят победителя.
announcement	объявление	Объявление всех удивило.
annoy	раздражать	Громкая музыка может раздражать соседей.
annoyed	раздраженный	После задержки он выглядел раздраженным.
annoying	раздражающий	Этот звук очень раздражает.
apart	друг от друга	Дома стоят в двух метрах друг от друга.
apologize	извиниться	Я извиняюсь за опоздание.
application	заявка	Пожалуйста, заполните заявку онлайн.
appointment	встреча	Завтра у меня прием у стоматолога.
appreciate	ценить	Я ценю твою помощь.
approximately	примерно	Прогулка занимает примерно двадцать минут.
arrest	арестовать	Полиция арестовала водителя.
arrival	прибытие	Наше прибытие было позже ожидаемого.
assignment	задание	Задание нужно сдать в пятницу.
assist	помогать	Медсестры помогают врачу.
atmosphere	атмосфера	В кафе спокойная атмосфера.
attach	прикрепить	Прикрепите файл к письму.
attitude	отношение	Ее отношение изменилось после встречи.
attract	привлекать	Яркие цветы привлекают пчел.
attraction	достопримечательность	Замок — популярная достопримечательность.
authority	власть	Местные власти отремонтировали дорогу.
aware	осведомленный	Она осведомлена о риске.
backwards	назад	Он осторожно шел назад.
bake	печь	Я пеку хлеб каждое воскресенье.
balance	равновесие	Хорошая обувь помогает держать равновесие.
ban	запретить	Город запретит автомобили.
bank (river)	берег	Мы сидели на берегу реки.
base	база	Команда вернулась на базу.
basic	базовый	Всем нужны базовые компьютерные навыки.
basis	основа	Доверие — основа дружбы.
battery	батарея	Батарея телефона почти разряжена.
battle	битва	Битва длилась всю ночь.
beauty	красота	Горы обладают большой красотой.
bee	пчела	Пчела села на цветок.
belief	убеждение	Его убеждение придало ему смелости.
bell	звонок	Школьный звонок громко прозвенел.
bend	сгибать	Сгибайте колени, когда поднимаете груз.
bite	кусать	Собака может укусить незнакомцев.
block	блокировать	Упавшее дерево заблокировало дорогу.
bomb	бомба	Бомба повредила несколько зданий.
border	граница	Они пересекли границу ночью.
bother	беспокоить	Пожалуйста, не беспокой сестру.
branch	ветка	Ветка сломалась во время бури.
brand	бренд	Этот бренд популярен среди студентов.
brave	смелый	Смелый мужчина спас ребенка.
breath	дыхание	Сделай глубокий вдох.
breathe	дышать	Я не могу дышать в этом дыму.
breathing	дыхание	Ее дыхание было медленным.
bride	невеста	Невеста была в белом платье.
bubble	пузырь	Пузырь поднялся над стаканом.
bury	зарыть	Они зарыли коробку в песок.
calm	спокойный	Сохраняй спокойствие во время экзамена.
campaign	кампания	Кампания собрала деньги для школ.
campus	кампус	Студенты живут рядом с кампусом.
candidate	кандидат	Каждый кандидат ответил на три вопроса.
cap	кепка	Он носил бейсболку.
captain	капитан	Капитан поговорил с командой.
careless	небрежный	Небрежная ошибка стоила нам времени.
category	категория	Выберите правильную категорию.
ceiling	потолок	Потолок покрасили в белый цвет.
celebration	празднование	Празднование длилось весь вечер.
central	центральный	У отеля центральное расположение.
ceremony	церемония	Церемония началась в полдень.
chain	цепочка	На ней была серебряная цепочка.
challenge	вызов	Этот проект — настоящий вызов.
champion	чемпион	Чемпион поблагодарил тренера.
channel	канал	Переключи канал, пожалуйста.
chapter	глава	Прочитай следующую главу сегодня вечером.
charge	плата	Для детей платы нет.
cheat	жульничать	Не жульничай на тесте.
cheerful	веселый	Сегодня утром она звучала весело.
chemical	химический	Химический запах был сильным.
chest	грудь	После бега у него болела грудь.
childhood	детство	Я помню дом своего детства.
claim	утверждать	Они утверждают, что продукт безопасен.
clause	пункт	Этот пункт меняет смысл.
click	нажать	Нажмите синюю кнопку.
client	клиент	Клиент попросил больше деталей.
cloth	ткань	Протрите стол этой тканью.
clue	подсказка	Подсказка помогла нам решить задачу.
coal	уголь	Старый поезд использовал уголь.
