hunt	They hunt for mushrooms in autumn.
hurricane	The hurricane damaged many homes.
hurry	There is no hurry today.
identity	Her identity remained secret.
ignore	Do not ignore this warning.
illegal	It is illegal to park here.
imaginary	The story has an imaginary island.
immediate	We need an immediate answer.
immigrant	The immigrant learned English quickly.
impact	The news had a strong impact.
import	The country will import more rice.
importance	She understood the importance of sleep.
impression	His first impression was positive.
impressive	The museum has an impressive entrance.
improvement	There was clear improvement this month.
incredibly	The test was incredibly difficult.
indeed	It was indeed a strange day.
indicate	The sign will indicate the exit.
indirect	She gave an indirect answer.
indoor	The hotel has an indoor pool.
indoors	We stayed indoors during the storm.
influence	His teacher had a strong influence.
ingredient	Flour is the main ingredient.
injure	Do not injure your back.
injured	The injured player left the field.
innocent	The child looked completely innocent.
intelligence	She showed great intelligence in class.
intend	I intend to study abroad.
intention	His intention was to help.
invest	They invest money in education.
investigate	Police will investigate the accident.
involved	Several students were involved.
iron	The gate is made of iron.
issue	This is a serious issue.
IT	She works in IT.
journal	He writes in a journal.
judge	The judge listened carefully.
keen	She is keen to learn.
keyboard	My keyboard stopped working.
kick	Kick the ball gently.
killing	The killing shocked the village.
kind (caring)	That was a kind thing to do.
kiss	She gave the baby a kiss.
label	Read the label before use.
laboratory	The laboratory is closed today.
lack	A lack of sleep hurts memory.
latest	Have you read the latest report?
lay	Lay the book on the table.
layer	Add another layer of paint.
leading	She is a leading scientist.
leaf	A leaf fell on my coat.
leather	His bag is made of leather.
legal	We need legal advice.
leisure	Reading is my favourite leisure activity.
length	Measure the length of the room.
lie2 (tell a lie)	Do not lie to your parents.
limit	The speed limit is fifty.
lip	She bit her lip.
liquid	Water is a clear liquid.
literature	She studies French literature.
live2	The band played live last night.
living	Living plants need light.
locate	Can you locate the file?
located	The office is located downtown.
location	This is a good location.
lonely	He felt lonely after moving.
loss	The loss was hard for everyone.
luxury	The hotel offers real luxury.
mad	She was mad about the delay.
magic	The show was full of magic.
mainly	The group is mainly students.
mall	We met at the mall.
management	Good management saves time.
marketing	Marketing helps sell the product.
marriage	Their marriage lasted thirty years.
meanwhile	I cooked dinner meanwhile.
measure	Measure the table carefully.
medium	I ordered a medium pizza.
mental	Stress affects mental health.
mess	Clean up this mess.
mild	The soup has a mild taste.
mine (hole in the ground)	The mine closed last year.
mix	Mix the eggs with milk.
mixture	The mixture became thick.
mood	Music changed her mood.
mud	His shoes were covered in mud.
murder	The murder happened at night.
muscle	Exercise builds muscle.
mystery	The old house is a mystery.
nail	I broke a nail.
narrative	The novel has a clear narrative.
nation	The whole nation celebrated.
native	Spanish is her native language.
naturally	Children learn naturally through play.
necessarily	Expensive food is not necessarily better.
needle	The needle is very sharp.
neighbourhood	They live in a quiet neighbourhood.
net	The fisherman repaired his net.
nor	He neither smiled nor spoke.
northern	They visited the northern coast.
nuclear	The debate was about nuclear power.
obvious	The answer was obvious.
obviously	Obviously, we need more time.
occasion	This is a special occasion.
occur	Accidents can occur anywhere.
odd	That was an odd question.
official	The official result arrived today.
old-fashioned	Her phone looks old-fashioned.
operation	The operation lasted two hours.
organized	Her desk is very organized.
organizer	The organizer welcomed the guests.
originally	She originally came from Canada.
ought modal	You ought to rest.
ours	This table is ours.
outdoor	We bought outdoor furniture.
outdoors	Children should play outdoors.
package	The package arrived this morning.
painful	The cut was painful.
pale	His face looked pale.
pan	Heat the pan first.
participate	Everyone can participate.
particularly	I particularly like this song.
passion	Music is her passion.
path	Follow the path through the park.
payment	Payment is due tomorrow.
peaceful	The garden is peaceful.
percentage	A small percentage agreed.
perfectly	The plan worked perfectly.
performance	Her performance was excellent.
personally	I personally prefer tea.
persuade	Can you persuade him to join?
photographer	The photographer took many pictures.
photography	Photography is his favourite hobby.
pin	Put a pin on the map.
pipe	The pipe carries water.
planning	Planning takes time.
pleasant	We had a pleasant evening.
