simplified	VI	example_VI
挨	chịu đựng	Anh ấy chịu đựng suốt đêm và cuối cùng đợi đến trời sáng.
癌症	ung thư	Phát hiện ung thư sớm rất quan trọng.
暧昧	mơ hồ	Câu trả lời của anh ấy rất mơ hồ.
爱不释手	không nỡ rời tay	Cô ấy thích cuốn sách này đến mức không nỡ rời tay.
爱戴	yêu quý và kính trọng	Thầy giáo này được học sinh yêu quý và kính trọng.
安宁	yên bình	Ban đêm ở đây rất yên bình.
安详	thanh thản	Vẻ mặt của cụ già rất thanh thản.
安置	sắp xếp chỗ ở	Chính phủ đã sắp xếp chỗ ở cho người dân bị thiên tai.
按摩	mát-xa	Tôi đã đặt một buổi mát-xa.
暗示	ám chỉ	Cô ấy ám chỉ rằng tôi đừng hỏi nữa.
案件	vụ án	Cảnh sát đang điều tra vụ án này.
案例	trường hợp	Trường hợp này rất tiêu biểu.
昂贵	đắt đỏ	Thiết bị này rất đắt đỏ.
凹凸	gồ ghề	Mặt đường này gồ ghề không bằng phẳng.
熬	chịu đựng	Anh ấy chịu đựng ba ngày mới hoàn thành báo cáo.
奥秘	bí ẩn	Nhà khoa học muốn khám phá bí ẩn này.
巴不得	nóng lòng	Tôi nóng lòng muốn xuất phát ngay.
巴结	nịnh bợ	Anh ấy không muốn nịnh bợ lãnh đạo.
扒	bám vào	Đứa trẻ bám vào cửa nhìn ra ngoài.
疤	vết sẹo	Trên cánh tay anh ấy có một vết sẹo.
拔苗助长	đốt cháy giai đoạn	Ép trẻ học như vậy chỉ là đốt cháy giai đoạn.
把关	kiểm tra chặt chẽ	Hợp đồng này cần luật sư kiểm tra chặt chẽ.
把手	tay nắm	Tay nắm cửa bị hỏng rồi.
罢工	đình công	Công nhân quyết định ngày mai đình công.
霸道	hách dịch	Anh ấy nói chuyện quá hách dịch.
掰	bẻ	Cô ấy bẻ ổ bánh mì thành hai nửa.
摆脱	thoát khỏi	Cuối cùng anh ấy đã thoát khỏi thói quen xấu.
拜访	thăm	Chúng tôi sẽ đi thăm thầy giáo vào cuối tuần.
拜年	chúc Tết	Vào dịp Tết, chúng tôi đến chúc Tết ông bà.
拜托	nhờ vả	Việc này tôi nhờ bạn vậy.
败坏	làm hỏng	Hành vi này sẽ làm hỏng danh tiếng của công ty.
斑	vết đốm	Trên mình con mèo có một vết đốm đen.
颁布	ban hành	Quy định mới sẽ được ban hành vào tuần sau.
颁发	trao	Trường trao giấy khen cho học sinh xuất sắc.
版本	phiên bản	Phần mềm này có phiên bản mới.
伴侣	bạn đời	Cô ấy coi con chó là bạn đồng hành của mình.
伴随	đi kèm	Thành công thường đi kèm với áp lực.
半途而废	bỏ dở giữa chừng	Làm nghiên cứu thì không thể bỏ dở giữa chừng.
扮演	đóng vai	Anh ấy đóng vai bác sĩ trong bộ phim.
榜样	tấm gương	Cha mẹ là tấm gương cho con cái.
绑架	bắt cóc	Cảnh sát đã ngăn chặn một vụ bắt cóc.
磅	pao	Chiếc hộp này nặng hai mươi pao.
包庇	bao che	Không ai được bao che tội phạm.
包袱	gánh nặng	Sau khi bỏ được gánh nặng, anh ấy thấy nhẹ nhõm hơn nhiều.
包围	bao vây	Các phóng viên bao vây diễn viên.
包装	bao bì	Bao bì của món quà này rất đẹp.
保管	bảo quản	Những tài liệu này do tôi bảo quản.
保密	giữ bí mật	Nội dung cuộc họp phải được giữ bí mật.
保姆	bảo mẫu	Họ đã thuê một bảo mẫu.
保守	bảo thủ	Suy nghĩ của anh ấy khá bảo thủ.
