source_headword	ET	example_ET
rock (music)	rokkmuusika	Mulle meeldib rokkmuusika.
role	roll	Tema roll on tähtis.
roof	katus	Katus vajab parandamist.
round	ümmargune	Laud on ümmargune.
route	marsruut	See marsruut on lühem.
rubbish	prügi	Vii prügi välja.
rude	ebaviisakas	See märkus oli ebaviisakas.
runner	jooksja	Jooksja näeb väsinud välja.
running	jooksmine	Jooksmine aitab mul terve püsida.
sadly	kahjuks	Kahjuks jäime rongist maha.
safe	ohutu	See tänav tundub ohutu.
sail	purjetama	Laupäeval purjetame.
sailing	purjetamine	Purjetamine on siin populaarne.
salary	palk	Tema palk on nüüd suurem.
sale	soodusmüük	Soodusmüük algab homme.
sauce	kaste	Lisa riisile kastet.
save	salvestama; päästma	Salvesta oma töö nüüd.
scared	hirmunud	Laps on hirmunud.
scary	hirmutav	See lugu on hirmutav.
scene	stseen	Viimane stseen oli naljakas.
schedule	ajakava	Kontrolli täna ajakava.
score	skoor; tulemus	Mis on tulemus?
screen	ekraan	Puhasta ekraani ettevaatlikult.
search	otsima	Otsi internetist pilte.
season	hooaeg	Suvi on kiire hooaeg.
seat	iste	Palun võta see iste.
second1 (next after the first)	teine	Teiseks, pese käed.
secondly	teiseks	Teiseks, kontrolli vastust.
secret	saladus	Hoia seda saladust.
secretary	sekretär	Sekretär helistas täna.
seem	paistma	Sa paistad väsinud.
sense	mõte	Sellel plaanil on mõte.
separate	eraldi	Hoia paberid eraldi.
series	sari	See sari on populaarne.
serious	tõsine	See probleem on tõsine.
serve	serveerima	Lõuna serveeritakse keskpäeval.
service	teenus	Teenus oli kiire.
several	mitu	Mitu õpilast tuli vara.
shake	raputama	Raputa pudelit kõigepealt.
shall modal	kas peaksime	Kas peaksime nüüd alustama?
shape	kuju	Joonista ruudukujuline kuju.
sheet	lina	Pane lina voodile.
ship	laev	Laev lahkus täna.
shoulder	õlg	Mu õlg valutab.
shout	karjuma	Ära karju klassis.
shut	sulgema	Palun sulge aken.
side	pool	Istu sellele poolele.
sign	märk	Loe märki hoolikalt.
silver	hõbe	Hõbe on hele metall.
simple	lihtne	See harjutus on lihtne.
since	alates	Ootan alates keskpäevast.
singing	laulmine	Laulmine aitab mul lõõgastuda.
single	üksik	Ostsin ühe pileti.
sir	härra	Härra, teie kott on valmis.
site	veebisait	See veebisait on turvaline.
size	suurus	Mis suurust sul vaja on?
ski	suusatama	Talvel suusatame.
skiing	suusatamine	Suusatamine on talvel lõbus.
skin	nahk	Tema nahk on kuiv.
sky	taevas	Taevas on selge.
slowly	aeglaselt	Kõnni jääl aeglaselt.
smartphone	nutitelefon	Mu nutitelefon on uus.
smell	lõhn; lõhnama	Supp lõhnab hästi.
smile	naeratus; naeratama	Naerata kaamerale.
smoke	suits	Suits täitis toa.
smoking	suitsetamine	Suitsetamine ei ole lubatud.
soap	seep	Kasuta seepi ja vett.
soccer	jalgpall	Jalgpall on siin populaarne.
social	sotsiaalne	See on sotsiaalne üritus.
society	ühiskond	Ühiskond muutub aja jooksul.
sock	sokk	Üks sokk on kadunud.
soft	pehme	See tekk on pehme.
soldier	sõdur	Sõdur naasis koju.
solution	lahendus	Leidsime lahenduse.
solve	lahendama	Lahenda see mõistatus.
somewhere	kusagil	Pane see kuskile turvalisse kohta.
sort	liik	Millist liiki sa soovid?
source	allikas	Kontrolli kõigepealt allikat.
speaker	kõneleja; kõlar	Kõlar oli vali.
specific	konkreetne	Vajan konkreetset vastust.
speech	kõne	Tema kõne oli lühike.
speed	kiirus	Vähenda siin kiirust.
spider	ämblik	Seinal on ämblik.
spoon	lusikas	Kasuta supi jaoks lusikat.
square	ruudukujuline	Joonista ruudukujuline kast.
stage	lava	Bänd on laval.
stair	aste	Aste on katki.
stamp	postmark	Kleebi kirjale postmark.
state	teatama	Ütle oma nimi selgelt.
steal	varastama	Ära varasta raha.
step	samm	Astu üks samm edasi.
stomach	kõht	Mu kõht valutab.
stone	kivi	Kivi on raske.
store	pood	Pood suletakse vara.
storm	torm	Torm on tulemas.
straight	otse	Mine otse koju.
strange	kummaline	See heli on kummaline.
strategy	strateegia	Meil on vaja strateegiat.
stress	stress	Töö võib stressi tekitada.
structure	struktuur	See struktuur on tugev.
stupid	rumal	See oli rumal viga.
succeed	õnnestuma	Sul võib siin õnnestuda.
successful	edukas	Ta sai edukaks.
such	selline	Selline abi on kasulik.
suddenly	äkki	Äkki jooksis koer ära.
suggest	soovitama	Soovitan lühikest pausi.
suggestion	soovitus	Sinu soovitus on kasulik.
suit	ülikond	See ülikond on kallis.
support	toetama	Toetame oma meeskonda.
suppose	arvama	Arvan, et sul on õigus.
surprise	üllatus	Üllatus rõõmustas teda.
surprised	üllatunud	Ta oli täna üllatunud.
surprising	üllatav	Tulemus oli üllatav.
survey	küsitlus	Palun täida küsitlus.
sweet	magus	See tee on magus.
symbol	sümbol	See sümbol tähendab ohtu.
system	süsteem	Süsteem töötab hästi.
tablet	tahvelarvuti	Mu tahvelarvuti on laual.
target	sihtmärk	Taba sihtmärki ettevaatlikult.
task	ülesanne	See ülesanne on lihtne.
taste	maitse; maitsma	Maitse kõigepealt suppi.
teaching	õpetamine	Õpetamine on raske töö.
technology	tehnoloogia	Tehnoloogia muutub kiiresti.
teenage	teismeline	Mu teismeline vend õpib usinalt.
temperature	temperatuur	Temperatuur on madal.
term	tähtaeg; semester	See semester lõpeb varsti.
themselves	nad ise	Nad tegid ise õhtusöögi.
thick	paks	See raamat on paks.
thief	varas	Varas põgenes.
thin	õhuke	Paber on õhuke.
thinking	mõtlemine	Mõtlemine võtab aega.
thought	mõte	Mul oli kummaline mõte.
throw	viskama	Viska pall õrnalt.
tidy	korras	Hoia oma tuba korras.
tie	siduma	Seo nüüd kingad kinni.
tip	nõuanne; jootraha	Jäta teenuse eest jootraha.
tool	tööriist	Kasuta õiget tööriista.
top	ülemine osa; tipp	Ülemine riiul on täis.
touch	puudutama	Ära puuduta klaasi.
tour	ekskursioon	Käisime linnaekskursioonil.
tourism	turism	Turism aitab seda linna.
towards	suunas	Mine jaama suunas.
towel	rätik	Võta puhas rätik.
tower	torn	Torn on väga vana.
toy	mänguasi	Mänguauto on punane.
track	rööbas; jälg	Rööbas viib põhja poole.
tradition	traditsioon	See traditsioon on vana.
traditional	traditsiooniline	Ta kandis traditsioonilisi riideid.
trainer	treener	Mu treener on abivalmis.
training	treening	Treening algab homme.
transport	transport	Ühistransport hilineb.
traveller	reisija	Reisija palus abi.
trouble	probleem	Eile oli meil probleem.
truck	veoauto	Veoauto on väljas.
twin	kaksik	Mu kaksikõde on pikem.
typical	tüüpiline	See on tüüpiline päev.
underground	maa-alune	Rong sõidab maa all.
understanding	arusaam	Sinu arusaam on õige.
unfortunately	kahjuks	Kahjuks on pood suletud.
unhappy	õnnetu	Ta näeb õnnetu välja.
uniform	vorm	Ta kannab koolivormi.
unit	üksus	See üksus on väike.
united	ühinenud	Meeskond jäi ühtseks.
unusual	ebatavaline	See heli on ebatavaline.
used to modal	varem	Varem elasime siin.
user	kasutaja	Igal kasutajal on number.
usual	tavaline	Istusin oma tavalisele kohale.
valley	org	Org on roheline.
van	kaubik	Kaubik on täis.
variety	mitmekesisus	Vajame rohkem mitmekesisust.
vehicle	sõiduk	See sõiduk on aeglane.
view	vaade	Vaade on ilus.
virus	viirus	Viirus tegi ta haigeks.
voice	hääl	Tema hääl on vaikne.
war	sõda	Sõda lõppes aastaid tagasi.
washing	pesu	Pesu on väljas.
wave	laine	Laine tabas laeva.
weak	nõrk	Mu jalad on nõrgad.
web	veeb	Veebileht on avatud.
wedding	pulm	Pulm algab varsti.
weight	kaal	Kontrolli kõigepealt kaalu.
wet	märg	Mu kingad on märjad.
wheel	ratas	Ratas on katki.
while	mõnda aega	Oota siin mõnda aega.
whole	terve	Sõin terve õuna.
whose	kelle	Kelle telefon see on?
wide	lai	Tee on lai.
wild	metsik	Siin elavad metsikud loomad.
wind1	tuul	Tuul on tugev.
winner	võitja	Võitja naeratas.
wish	soov	Soovi midagi.
wood	puit	Tool on puidust.
wooden	puidust	Puidust kast on raske.
working	tööalane	Tööpäev on lõppenud.
worried	mures	Olen täna mures.
worry	muretsema	Ära nüüd muretse.
worse	halvem	See valu on hullem.
worst	halvim	See oli halvim päev.
wow	vau	Vau, see on uskumatu!
yet	veel; juba	Kas oleme juba kohal?
yours	sinu; teie	See raamat on sinu.
zero	null	Loenda tagasi nullini.
