source_headword	KO	example_KO
prey	먹이	부엉이는 밤에 먹이를 사냥한다.
privatization	민영화	민영화가 철도 시스템을 바꾸었다.
privilege	특권	교육은 특권이 되어서는 안 된다.
probe	조사	조사를 통해 심각한 오류가 드러났다.
problematic	문제가 있는	그 합의는 여전히 문제가 많다.
proceedings	소송 절차	법적 절차는 월요일에 시작되었다.
proceeds	수익금	수익금은 지역 학교를 지원할 것이다.
processing	처리	이미지 처리에는 시간이 걸린다.
processor	프로세서	테스트 중에 프로세서에 오류가 발생했다.
proclaim	선언하다	지도자들은 너무 일찍 승리를 선언한다.
productive	생산적인	그 회의는 생산적이었다.
productivity	생산성	교육 후 생산성이 향상되었다.
profitable	수익성이 있는	그 가게는 올해 수익이 났다.
profound	심오한	그 연설은 엄청난 영향을 미쳤다.
projection	예상	예상치는 꾸준한 성장을 보여준다.
prominent	저명한	그녀는 저명한 과학자가 되었다.
pronounced	뚜렷한	그의 억양이 더 뚜렷해졌다.
propaganda	선전	그 캠페인은 온라인 선전을 이용했다.
proposition	제안	그 제안은 위험한 일이다.
prosecute	기소하다	당국은 심각한 사기 사건을 기소한다.
prosecution	기소	검찰측은 새로운 증거를 제시했다.
prosecutor	검사	검사가 증인을 심문했다.
prospective	유망한	예비 학생들이 캠퍼스를 견학했다.
prosperity	번영	무역은 그 지역에 번영을 가져왔다.
protective	보호하는	그녀는 보호 장갑을 끼었다.
protocol	절차	절차상 서면 승인이 필요하다.
province	도	그 도는 교통에 투자했다.
provincial	지방의	지방 관리들이 계획을 발표했다.
provision	조항	그 계약에는 안전 조항이 포함되어 있다.
provoke	유발하다	그 연설은 강한 반응을 유발할 수 있다.
psychiatric	정신과의	그 병원은 정신과 병동을 열었다.
pulse	맥박	간호사가 그의 맥박을 확인했다.
pump	펌프	펌프가 물을 위로 끌어올린다.
punch	주먹질	그는 화가 나서 주먹을 날렸다.
query	문의	문의 사항은 고객 지원팀에 보내세요.
quest	추구	정의를 향한 그들의 추구는 계속되었다.
quota	할당량	그 팀은 판매 할당량을 채웠다.
radar	레이더	폭풍이 레이더에 나타났다.
radical	급진적인	그 단체는 급진적인 개혁을 제안했다.
rage	분노	그의 분노는 금방 사그라들었다.
raid	급습	경찰이 새벽에 급습을 벌였다.
rally	집회	지지자들이 시내 집회에 참가했다.
ranking	순위	그 대학은 순위를 높였다.
rape	성폭행	성폭행 사건은 세심한 조사가 필요하다.
ratio	비율	그 학급은 교사 비율이 낮다.
rational	합리적인	그녀의 결정은 합리적이었다.
ray	광선	한 줄기 햇빛이 들어왔다.
readily	선뜻	그는 선뜻 그 제안을 수락했다.
realization	깨달음	그 깨달음이 그녀의 계획을 바꾸었다.
realm	영역	이 질문은 다른 영역에 속한다.
rear	뒤쪽의	오늘은 뒷문을 이용하세요.
reasoning	추론	그의 논리는 명확했다.
reassure	안심시키다	의사는 그녀를 안심시키려 했다.
rebel	반군	반군 지도자는 포획을 피했다.
