source_headword	NE	example_NE
absolutely	पूर्ण रूपमा	म तिमीसँग पूर्ण रूपमा सहमत छु।
academic	शैक्षिक	शैक्षिक वर्ष सेप्टेम्बरमा सुरु हुन्छ।
access	पहुँच	विद्यार्थीलाई पुस्तकालयमा पहुँच चाहिन्छ।
accommodation	बसोबास	हामीले स्टेशन नजिक बसोबास बुक गर्‍यौँ।
account	खाता	उनले नयाँ बैंक खाता खोलिन्।
achievement	उपलब्धि	पाठ्यक्रम सक्नु ठूलो उपलब्धि थियो।
ad	विज्ञापन	विज्ञापनले नयाँ फोन देखायो।
addition	थप	पोखरी उपयोगी थप हो।
admire	प्रशंसा गर्नु	म उनको शान्त व्यवहारको प्रशंसा गर्छु।
admit	स्वीकार गर्नु	उसले आफ्नो गल्ती स्वीकार गर्‍यो।
advanced	उन्नत	यो उन्नत अंग्रेजी कक्षा हो।
advise	सल्लाह दिनु	डाक्टरहरूले नियमित व्यायामको सल्लाह दिन्छन्।
afford	धन्न सक्नु	हामी ट्याक्सी खर्च धन्न सक्दैनौँ।
aged	उमेरको	यो पाठ्यक्रम दस वर्षका बालबालिकाका लागि हो।
agent	एजेन्ट	यात्रा एजेन्टले हाम्रो टिकट बदल्यो।
agreement	सम्झौता	उनीहरू आज सम्झौतामा पुगे।
ahead	अगाडि	अगाडिको सडक सफा छ।
aim	लक्ष्य राख्नु	हामी चाँडै सक्ने लक्ष्य राख्छौँ।
alarm	अलार्म	अलार्म छ बजे बज्यो।
album	एल्बम	यस एल्बममा दस गीत छन्।
alcohol	मदिरा	होटलले मदिरा बेच्दैन।
alcoholic	मादक	यो पेय मादक छैन।
amazed	चकित	उनी नतिजाले चकित भइन्।
ambition	महत्त्वाकांक्षा	उसको महत्त्वाकांक्षा पाइलट बन्नु हो।
ambitious	महत्त्वाकांक्षी	उनको महत्त्वाकांक्षी योजना छ।
analyse	विश्लेषण गर्नु	हामीले नतिजा विश्लेषण गर्नुपर्छ।
analysis	विश्लेषण	उनको विश्लेषण स्पष्ट र सावधान थियो।
announce	घोषणा गर्नु	उनीहरूले भोलि विजेता घोषणा गर्नेछन्।
announcement	घोषणा	घोषणाले सबैलाई छक्क पार्‍यो।
annoy	झर्को लगाउनु	ठूलो संगीतले छिमेकीलाई झर्को लगाउन सक्छ।
annoyed	झर्किएको	ढिलाइपछि ऊ झर्किएको देखियो।
annoying	झर्कोलाग्दो	त्यो आवाज साँच्चै झर्कोलाग्दो छ।
apart	अलग	ती घरहरू दुई मिटर अलग छन्।
apologize	माफी माग्नु	म ढिला आएकोमा माफी माग्छु।
application	आवेदन	कृपया आवेदन अनलाइन पूरा गर्नुहोस्।
appointment	भेटघाट	मेरो भोलि दन्त चिकित्सकसँग भेटघाट छ।
appreciate	कदर गर्नु	म तिम्रो सहयोगको कदर गर्छु।
approximately	लगभग	हिँड्न लगभग बीस मिनेट लाग्छ।
arrest	पक्राउ गर्नु	प्रहरीले चालकलाई पक्राउ गर्‍यो।
arrival	आगमन	हाम्रो आगमन अपेक्षाभन्दा ढिलो भयो।
assignment	कार्यभार	कार्यभार शुक्रबार बुझाउनुपर्छ।
assist	सहयोग गर्नु	नर्सहरूले डाक्टरलाई सहयोग गर्छन्।
atmosphere	वातावरण	क्याफेको वातावरण आरामदायी छ।
attach	संलग्न गर्नु	फाइल आफ्नो ईमेलमा संलग्न गर।
attitude	रवैया	बैठकपछि उनको रवैया बदलियो।
attract	आकर्षित गर्नु	चम्किला फूलहरूले मौरी आकर्षित गर्छन्।
attraction	आकर्षण	किल्ला लोकप्रिय आकर्षण हो।
authority	प्राधिकरण	स्थानीय प्राधिकरणले सडक मर्मत गर्‍यो।
