simplified	LT	example_LT
哎	ei; oi	Ei, kas tave čia atvedė?
唉	ai; atodūsis	Ak, vėl vėluoju.
爱护	saugoti; rūpintis	Turėtume saugoti aplinką.
爱惜	branginti; tausoti	Prašau branginti savo laiką.
爱心	atjauta; gera širdis	Ji labai rūpestinga.
安慰	guosti; paguosti	Draugas mane paguodė.
安装	įrengti; sumontuoti; įdiegti	Darbininkas montuoja oro kondicionierių.
岸	krantas	Laivas lėtai artėja prie kranto.
暗	tamsus; niūrus; slaptas	Kambaryje labai tamsu.
熬夜	nemiegoti iki vėlumos	Nemiegoti iki vėlumos kenkia sveikatai.
把握	užtikrintumas; sugriebti; pasinaudoti	Nesu tikras, kad galiu tai gerai padaryti.
摆	išdėlioti; sustatyti; siūbuoti	Prašau tvarkingai sustatyti kėdes.
办理	tvarkyti; atlikti formalumus	Einu į banką tvarkyti reikalų.
傍晚	pavakarys; vakaras	Vakare eisime pasivaikščioti.
包裹	siuntinys; suvynioti	Gavau siuntinį.
包含	apimti; turėti savyje	Kaina apima pusryčius.
包括	įskaitant; apimti	Mokestis apima pietus.
薄	plonas	Ši knyga labai plona.
保持	išlaikyti; palaikyti	Prašau laikytis tylos.
保存	išsaugoti; saugoti	Prašau išsaugoti šį failą.
保留	pasilikti; išsaugoti; rezervuoti	Prašau rezervuoti man vietą.
保险	draudimas; saugus	Nusipirkau kelionės draudimą.
宝贝	lobis; brangenybė; brangusis	Tai mano lobis.
宝贵	brangus; vertingas	Laikas labai brangus.
报到	registruotis; prisistatyti	Šiandien nauji studentai atvyksta registruotis į mokyklą.
报道	pranešti; reportažas	Naujienos pranešė apie šį įvykį.
报告	pranešimas; ataskaita; pranešti	Jis skaito pranešimą.
报社	laikraščio redakcija	Ji dirba laikraščio redakcijoje.
抱怨	skųstis	Jis vis skundžiasi, kad darbo per daug.
悲观	pesimistiškas	Nebūk per daug pesimistiškas.
背	nugara	Jis sėdi nugara į duris.
背景	fonas; aplinkybės; kontekstas	Prašau trumpai pristatyti savo aplinkybes.
被子	antklodė	Antklodė labai šilta.
本科	bakalauro studijos; bakalauro	Jis yra bakalauro studentas.
本领	gebėjimas; įgūdis; sugebėjimas	Jis išmoko naujo įgūdžio.
本质	esmė; prigimtis	Problemos esmė labai paprasta.
彼此	vienas kitą; tarpusavyje	Turėtume gerbti vieni kitus.
比例	proporcija; santykis	Vyrų ir moterų santykis maždaug toks pats.
必然	neišvengiamas; būtinai	Sunkus darbas neišvengiamai duos rezultatų.
必要	būtinas; reikalingas	Nėra reikalo nerimauti.
毕竟	vis dėlto; galų gale	Vis dėlto jis dar vaikas.
避免	vengti; išvengti	Prašau nevėluoti.
编辑	redaguoti; redaktorius	Jis atsakingas už šio straipsnio redagavimą.
鞭炮	petardos; fejerverkų juosta	Per Pavasario šventę kai kurie žmonės leidžia petardas.
便	tada; patogus	Pavalgęs jis nuėjo į pamoką.
辩论	debatai; ginčytis	Jie diskutuoja šiuo klausimu.
标点	skyryba; skyrybos ženklas	Prašau atkreipti dėmesį į skyrybą.
标志	ženklas; simbolis	Raudona šviesa yra ženklas sustoti.
表达	išreikšti; perteikti	Jis išreiškė savo nuomonę.
表面	paviršius; išorė	Stalo paviršius labai švarus.
表明	parodyti; aiškiai nurodyti	Rezultatas rodo, kad jis teisus.
表情	veido išraiška	Jos veido išraiška labai rimta.
表现	pasirodyti; elgesys	Šiandien jis pasirodė labai gerai.
冰激凌	ledai	Vaikai mėgsta valgyti ledus.
病毒	virusas	Šis virusas plinta labai greitai.
播放	groti; leisti; transliuoti	Prašau paleisti šią dainą.
玻璃	stiklas	Stiklinė sudužo.
博物馆	muziejus	Šį savaitgalį eisime į muziejų.
脖子	kaklas	Man šiek tiek skauda kaklą.
不断	nuolat; be perstojo	Kainos nuolat kyla.
不见得	nebūtinai	Tai nebūtinai blogas dalykas.
不耐烦	nekantrus; nekantrumas	Ilgai laukęs jis tapo šiek tiek nekantrus.
不要紧	nieko tokio; nesvarbu	Viskas gerai, nieko tokio.
补充	papildyti	Norėčiau pridėti vieną nuomonę.
不安	neramus; nesaugus	Išgirdusi šią naujieną ji pasijuto nerami.
不得了	labai rimtas; baisus	Šis reikalas tikrai rimtas.
不然	kitaip; antraip	Greitai eik, antraip pavėluosi.
不如	geriau; neprilygti	Geriau eiti pėsčiomis, nei važiuoti transportu.
不足	nepakankamas; trūkumas	Čia nepakanka vandens.
布	audinys; skelbti	Šis audinys labai minkštas.
步骤	žingsnis; etapas	Prašau veikti pagal žingsnius.
部门	skyrius; departamentas	Dirbu pardavimų skyriuje.
财产	turtas	Šis namas yra jo turtas.
彩虹	vaivorykštė	Po lietaus pasirodė vaivorykštė.
踩	užminti; trypti	Nelipkite ant žolės.
采访	interviu imti; apklausti	Žurnalistas ima interviu iš gydytojo.
采取	imtis; taikyti	Pritaikėme naują metodą.
参考	remtis; pasikonsultuoti; nuoroda	Prašau remtis šia knyga.
参与	dalyvauti	Jis aktyviai dalyvauja veiklose.
惭愧	gėdytis	Man gėda dėl savo klaidos.
操场	sporto aikštė; žaidimų aikštelė	Mokiniai bėga sporto aikštėje.
操心	nerimauti; rūpintis	Nesirūpink dėl manęs.
册	tomas; knygelė; knygų skaitiklis	Nusipirkau vieną knygos tomą.
测验	testas; patikrinti	Rytoj bus nedidelis testas.
曾经	kadaise; kažkada	Kažkada gyvenau Pekine.
叉子	šakutė	Salotas valgau šakute.
差距	skirtumas; atotrūkis	Tarp miestų ir kaimo vietovių yra atotrūkis.
插	įkišti; įstatyti	Prašau įdėti gėles į vazą.
拆	griauti; ardyti; išpakuoti	Darbininkai griauna seną namą.
产品	produktas; gaminys	Šio produkto kokybė labai gera.
产生	atsirasti; sukelti	Šis klausimas sukėlė naują poveikį.
常识	bendros žinios; sveikas protas	Tai pagrindinės bendros žinios.
长途	ilgas atstumas	Tolima kelionė vargina.
抄	nurašyti; kopijuoti	Prašau nenurašinėti kitų žmonių namų darbų.
超级	super; aukščiausio lygio	Tai yra prekybos centras.
朝	dinastija; dvaras	Tangų dinastija labai garsi.
潮湿	drėgnas	Pietuose vasaros labai drėgnos.
吵	triukšmingas; triukšmauti	Lauke labai triukšminga.
吵架	pyktis; bartis	Jie vėl susipyko.
炒	kepti keptuvėje	Mama kepa maistą keptuvėje.
车库	garažas	Automobilis pastatytas garaže.
车厢	vagonas	Šis traukinio vagonas labai tylus.
彻底	kruopštus; visiškai	Jis visiškai suprato.
沉默	tylus; tylėti	Jis visą laiką tylėjo.
趁	pasinaudoti proga	Išeikime, kol dar nesutemo.
称	sverti; vadinti	Prašau pasverti šį siuntinį.
称呼	kreiptis; vadinti	Nežinau, kaip į jį kreiptis.
称赞	girti	Učytojas pagyrė jo pažangą.
成分	sudėtis; ingredientas	Šio vaisto sudėtis paprasta.
成果	rezultatas; pasiekimas	Šis projektas davė rezultatų.
成就	pasiekimas; laimėjimas	Karjeroje jis turi daug pasiekimų.
成立	įsteigti; būti pagrįstam	Įmonė buvo įsteigta pernai.
成人	suaugęs	Suaugusiųjų bilietai brangesni už vaikų bilietus.
成熟	subrendęs; prinokęs	Obuoliai jau prinokę.
成语	kinų idioma; posakis	Ši idioma dažnai vartojama.
成长	augti; bręsti	Vaikas pamažu auga.
承担	prisiimti; imtis	Jis nori prisiimti atsakomybę.
承认	pripažinti	Jis pripažino, kad klydo.
承受	pakelti; atlaikyti	Negaliu pakelti tokio didelio spaudimo.
程度	laipsnis; lygis	Jo kinų kalbos lygis labai aukštas.
程序	procedūra; seka; tvarka	Prašau tvarkyti tai pagal procedūrą.
诚恳	nuoširdus; atviras	Jo požiūris labai nuoširdus.
