source_headword	NE	example_NE
abandon	त्याग्नु	हिजो उनीहरूले योजना त्यागे.
absolute	पूर्ण	यो नियममा पूर्ण स्पष्टता चाहिन्छ.
acceptable	स्वीकार्य	तिम्रो उत्तर कक्षाका लागि स्वीकार्य छ.
accompany	साथ दिनु	म बैठकमा उनलाई साथ दिन्छु.
accurate	सही	प्रतिवेदनमा सही तथ्यहरू छन्.
accuse	आरोप लगाउनु	उनीहरूले उसलाई गल्तीको आरोप लगाए.
acknowledge	स्वीकार गर्नु	उसले आफ्नो गल्ती स्वीकार गर्‍यो.
acquire	प्राप्त गर्नु	विद्यार्थीहरूले नयाँ सीप प्राप्त गर्छन्.
actual	वास्तविक	वास्तविक लागत अपेक्षाभन्दा बढी थियो.
adapt	अनुकूल बनाउनु	टोलीले नयाँ नियममा आफूलाई अनुकूल बनायो.
additional	अतिरिक्त	हामीलाई थप अतिरिक्त समय चाहिन्छ.
administration	प्रशासन	प्रशासनले नयाँ तालिका सार्वजनिक गर्‍यो.
adopt	अपनाउनु	कम्पनीले नयाँ नीति अपनायो.
advance	अगाडि बढ्नु	अनुसन्धान छिटो अगाडि बढिरहेको छ.
affair	मामिला	यो मामिला गोप्य राखिएको थियो.
afterwards	पछि	हामीले खाना खायौं र पछि कुरा गर्‍यौं.
agency	निकाय	सरकारी निकायले सूचना प्रकाशित गर्‍यो.
agenda	कार्यसूची	बैठकको कार्यसूची छोटो थियो.
aggressive	आक्रामक	उनको आक्रामक शैलीले समस्या बढायो.
aid	सहायता	गाउँलेहरूले तुरुन्त सहायता पाए.
aircraft	विमान	विमान समयमै अवतरण गर्‍यो.
alter	परिवर्तन गर्नु	उनीहरूले अन्तिम क्षणमा योजना परिवर्तन गरे.
anger	रिस	उसको रिस छिट्टै शान्त भयो.
angle	कोण	फोटो फरक कोणबाट खिचिएको थियो.
anniversary	वार्षिकोत्सव	उनीहरूले आफ्नो वार्षिकोत्सव मनाए.
annual	वार्षिक	वार्षिक प्रतिवेदन आज प्रकाशित भयो.
anxious	चिन्तित	परीक्षाअघि उनी धेरै चिन्तित थिइन्.
apparent	स्पष्ट	उनको थकान सबैलाई स्पष्ट थियो.
apparently	देखिन्छ	देखिन्छ, बैठक रद्द भएको छ.
appeal	अपिल गर्नु	समूहले निर्णयविरुद्ध अपिल गर्‍यो.
approach	दृष्टिकोण	हामीले समस्यामा नयाँ दृष्टिकोण अपनायौं.
appropriate	उपयुक्त	यो कामका लागि उपयुक्त समय हो.
approval	स्वीकृति	परियोजनालाई अन्तिम स्वीकृति चाहिन्छ.
approve	स्वीकृत गर्नु	समितिले योजना स्वीकृत गर्‍यो.
arise	उत्पन्न हुनु	नयाँ समस्या अचानक उत्पन्न भयो.
armed	सशस्त्र	सशस्त्र प्रहरी सडकमा थिए.
arms	हतियार	ती हतियार सुरक्षित रूपमा राखिए.
artificial	कृत्रिम	बगैंचामा कृत्रिम फूलहरू थिए.
artistic	कलात्मक	उनको चित्रमा कलात्मक शैली देखिन्छ.
ashamed	लज्जित	आफ्नो व्यवहार सम्झेर ऊ लज्जित भयो.
aspect	पक्ष	यो विषयको आर्थिक पक्ष महत्त्वपूर्ण छ.
assess	मूल्याङ्कन गर्नु	शिक्षकले विद्यार्थीको प्रगति मूल्याङ्कन गरे.
assessment	मूल्याङ्कन	अन्तिम मूल्याङ्कन अर्को हप्ता हुनेछ.
associate	सम्बन्धित गर्नु	मानिसहरूले त्यो गीतलाई बाल्यकालसँग सम्बन्धित गर्छन्.
associated	सम्बन्धित	यो जोखिम धूम्रपानसँग सम्बन्धित छ.
association	संघ	स्थानीय संघले कार्यक्रम आयोजना गर्‍यो.
assume	मान्नु	हामीले उनी आउँछिन् भनेर मान्यौं.
attempt	प्रयास	उनको पहिलो प्रयास सफल भयो.
bacteria	ब्याक्टेरिया	ब्याक्टेरिया सफा पानीमा कम हुन्छ.
barrier	अवरोध	भाषा कहिलेकाहीँ ठूलो अवरोध हुन्छ.
basically	मूल रूपमा	मूल रूपमा, योजना उस्तै रह्यो.
bear (deal with)	सहनु	उसले लामो प्रतीक्षा सहनुपर्‍यो.
beg	बिन्ती गर्नु	बच्चाले अर्को मौका दिन बिन्ती गर्‍यो.
being	अस्तित्व	मानव अस्तित्व प्रकृतिसँग जोडिएको छ.
bent	बाङ्गिएको	बाङ्गिएको तार फेरि सीधा गरियो.
bet	शर्त लगाउनु	मैले ऊ जित्छ भनेर शर्त लगाएँ.
beyond	भन्दा पर	पहाडभन्दा पर सानो गाउँ छ.
bitter	तीतो	औषधि धेरै तीतो थियो.
blame	दोष दिनु	सबैले चालकलाई दोष दिए.
blind	अन्धो	अन्धो विद्यार्थीले ब्रेल पढ्यो.
bond	सम्बन्ध	दुई दाजुभाइबीच बलियो सम्बन्ध छ.
breast	छाती	डाक्टरले छातीको जाँच गरे.
brief	संक्षिप्त	उनले संक्षिप्त जवाफ दिइन्.
broad	फराकिलो	फराकिलो बाटो बजारसम्म जान्छ.
broadcast	प्रसारण गर्नु	रेडियोले समाचार प्रसारण गर्‍यो.
budget	बजेट	परिवारले महिनाको बजेट बनायो.
bullet	गोली	भित्तामा गोलीको चिन्ह देखियो.
bunch	गुच्छा	टेबलमा फूलको गुच्छा थियो.
bush	झाडी	चराहरू झाडीभित्र लुकेका थिए.
cable	केबल	इन्टरनेट केबल फेरि जोडियो.
calculate	गणना गर्नु	उसले कुल खर्च गणना गर्‍यो.
cancel	रद्द गर्नु	वर्षाका कारण खेल रद्द भयो.
cancer	क्यान्सर	क्यान्सरको उपचार लामो हुन सक्छ.
capable	सक्षम	उनी टोली चलाउन सक्षम छिन्.
capacity	क्षमता	हलको क्षमता पाँच सय जना हो.
capture	समात्नु	क्यामेराले सुन्दर क्षण समात्यो.
cast	पात्रदल	नाटकको पात्रदल धेरै बलियो थियो.
cell	कोषिका	वैज्ञानिकले कोषिका माइक्रोस्कोपमा हेरे.
chairman	अध्यक्ष	अध्यक्षले बैठक सुरु गरे.
characteristic	विशेषता	धैर्य उनको मुख्य विशेषता हो.
chief	प्रमुख	प्रमुख अधिकारीले निर्णय सुनाए.
circumstance	परिस्थिति	कठिन परिस्थितिमा पनि उनी शान्त रहे.
cite	उल्लेख गर्नु	लेखले धेरै स्रोतहरू उल्लेख गर्छ.
citizen	नागरिक	हरेक नागरिकले नियम पालना गर्नुपर्छ.
civil	नागरिक	नागरिक अधिकारको संरक्षण आवश्यक छ.
classic	क्लासिक	यो पुरानो क्लासिक उपन्यास हो.
closely	नजिकबाट	डाक्टरले बिरामीलाई नजिकबाट हेरे.
collapse	ढल्नु	पुरानो पुल अचानक ढल्यो.
combination	संयोजन	रंगहरूको संयोजन आकर्षक थियो.
comfort	सान्त्वना	साथीको शब्दले उनलाई सान्त्वना दियो.
command	आदेश	अधिकारीले स्पष्ट आदेश दिए.
commission	आयोग	आयोगले छानबिन सुरु गर्‍यो.
commitment	प्रतिबद्धता	उनको कामप्रतिको प्रतिबद्धता बलियो छ.
committee	समिति	समितिले नयाँ नियम तयार गर्‍यो.
commonly	सामान्यतया	यो शब्द सामान्यतया विद्यालयमा प्रयोग हुन्छ.
complicated	जटिल	समस्या सोचेभन्दा जटिल थियो.
component	घटक	यो मेसिनको मुख्य घटक हो.
concentration	एकाग्रता	पढाइका लागि एकाग्रता चाहिन्छ.
