source_headword	PT-BR	example_PT-BR
prey	a presa	Corujas caçam presas à noite.
privatization	a privatização	A privatização mudou o sistema ferroviário.
privilege	o privilégio	A educação não deve ser um privilégio.
probe	a investigação	A investigação revelou erros graves.
problematic	problemático	O acordo continua problemático.
proceedings	o processo judicial	O processo judicial começou na segunda-feira.
proceeds	a receita	A receita apoiará escolas locais.
processing	o processamento	O processamento de imagem leva tempo.
processor	o processador	O processador falhou durante os testes.
proclaim	proclamar	Os líderes proclamam a vitória cedo demais.
productive	produtivo	A reunião foi produtiva.
productivity	a produtividade	A produtividade melhorou após o treinamento.
profitable	lucrativo	A loja se tornou lucrativa este ano.
profound	profundo	O discurso teve um efeito profundo.
projection	a projeção	A projeção mostra um crescimento constante.
prominent	proeminente	Ela se tornou uma cientista proeminente.
pronounced	acentuado	Seu sotaque ficou mais acentuado.
propaganda	a propaganda	A campanha usou propaganda online.
proposition	a proposição	A proposta é uma proposição arriscada.
prosecute	processar	As autoridades processam casos graves de fraude.
prosecution	a promotoria	A promotoria apresentou novas evidências.
prosecutor	o promotor	O promotor questionou a testemunha.
prospective	futuro	Futuros estudantes visitaram o campus.
prosperity	a prosperidade	O comércio trouxe prosperidade à região.
protective	protetor	Ela usava luvas protetoras.
protocol	o protocolo	O protocolo exige aprovação por escrito.
province	a província	A província investiu em transporte.
provincial	provincial	Autoridades provinciais anunciaram o plano.
provision	a cláusula	O contrato inclui uma cláusula de segurança.
provoke	provocar	O discurso pode provocar reações fortes.
psychiatric	psiquiátrico	O hospital abriu uma unidade psiquiátrica.
pulse	o pulso	A enfermeira verificou o pulso dele.
pump	a bomba	A bomba empurra a água para cima.
punch	o soco	Ele deu um soco com raiva.
query	a dúvida	Envie sua dúvida para o suporte.
quest	a busca	A busca deles por justiça continuou.
quota	a cota	A equipe bateu sua cota de vendas.
radar	o radar	A tempestade apareceu no radar.
radical	radical	O grupo propôs reformas radicais.
rage	a raiva	A raiva dele passou rápido.
raid	a batida	A polícia realizou uma batida de madrugada.
rally	o comício	Apoiadores participaram do comício no centro.
ranking	a classificação	A universidade melhorou sua classificação.
rape	o estupro	Casos de estupro exigem investigação cuidadosa.
ratio	a proporção	A turma tem uma baixa proporção de professores.
rational	racional	A decisão dela foi racional.
ray	o raio	Um raio de sol entrou.
readily	prontamente	Ele aceitou a oferta prontamente.
realization	a constatação	A constatação mudou os planos dela.
realm	o domínio	Esta questão pertence a outro domínio.
rear	traseiro	Use a entrada traseira hoje.
reasoning	o raciocínio	O raciocínio dele era claro.
reassure	tranquilizar	O médico tentou tranquilizá-la.
rebel	o rebelde	O líder rebelde escapou da captura.
rebellion	a rebelião	A rebelião acabou após negociações.
recipient	o destinatário	O destinatário assinou o formulário.
reconstruction	a reconstrução	A reconstrução começou após a enchente.
recount1	narrar	Ela consegue narrar os eventos com clareza.
referendum	o referendo	O referendo dividiu o país.
reflection	a reflexão	O ensaio precisava de uma reflexão mais profunda.
reform	a reforma	A reforma melhorou os serviços públicos.
refuge	o refúgio	A família buscou refúgio no exterior.
refusal	a recusa	A recusa dela surpreendeu o comitê.
regain	recuperar	Ele trabalhou duro para recuperar a confiança.
regardless	independentemente	Eles continuaram independentemente das críticas.
regime	o regime	O regime restringiu a liberdade de expressão.
regulator	o órgão regulador	O órgão regulador multou a empresa.
regulatory	regulatório	A aprovação regulatória levou meses.
rehabilitation	a reabilitação	A reabilitação o ajudou a andar novamente.
reign	o reinado	O reinado do rei durou décadas.
rejection	a rejeição	A rejeição machucou a confiança dela.
relevance	a relevância	Os dados têm relevância limitada.
reliability	a confiabilidade	A confiabilidade é importante em sistemas de emergência.
reluctant	relutante	Ele estava relutante em falar.
remainder	o restante	O restante foi para a caridade.
remains	os restos mortais	Os restos mortais foram examinados cuidadosamente.
remedy	a solução	A lei prevê uma solução.
reminder	o lembrete	O e-mail foi um lembrete útil.
removal	a remoção	A remoção de barreiras ajudou o comércio.
render	tornar	O erro tornou o contrato inválido.
renew	renovar	Renove seu passaporte em breve.
renowned	renomado	Ela é renomada por sua pesquisa.
rental	o aluguel	O aluguel inclui seguro.
replacement	a peça de reposição	A peça de reposição chegou hoje.
reportedly	supostamente	O ministro supostamente renunciou ontem.
representation	a representação	Uma representação justa continua sendo importante.
reproduce	reproduzir	Estas plantas se reproduzem rapidamente.
reproduction	a reprodução	A reprodução digital melhorou o acesso.
republic	a república	A república realizou eleições.
resemble	assemelhar-se	Os dois designs se assemelham muito.
reside	residir	Eles residem perto da fronteira.
residence	a residência	A residência oficial dele é guardada.
residential	residencial	A área é predominantemente residencial.
residue	o resíduo	O produto de limpeza deixou um resíduo pegajoso.
resignation	a renúncia	A renúncia dela chocou o conselho.
resistance	a resistência	A resistência à mudança foi forte.
respective	respectivo	Eles voltaram aos seus respectivos escritórios.
respectively	respectivamente	As pontuações foram 80 e 90, respectivamente.
restoration	a restauração	A restauração do prédio levou anos.
restraint	a contenção	A polícia demonstrou contenção.
resume	recomeçar	As aulas recomeçam na próxima semana.
retreat	a retirada	O exército começou uma retirada.
retrieve	recuperar	Ela recuperou o arquivo.
revelation	a revelação	A revelação prejudicou a reputação dele.
revenge	a vingança	Ele queria vingança pelo insulto.
reverse	reverter	O tribunal reverteu a decisão.
revival	a retomada	A cidade viu uma retomada econômica.
revive	reviver	O festival ajudou a reviver as tradições locais.
revolutionary	revolucionário	A invenção foi revolucionária.
rhetoric	a retórica	A retórica dele soou agressiva.
rifle	o rifle	O rifle estava guardado de forma segura.
riot	o motim	O motim durou várias horas.
rip	rasgar	Rasgue o papel com cuidado.
ritual	o ritual	O ritual marca a colheita.
robust	robusto	O sistema é robusto.
rock	abalar	A explosão abalou a vila.
rod	o varão	A cortina fica pendurada em um varão.
rotate	girar	Gire a maçaneta lentamente.
rotation	a rotação	A rotação de culturas protege o solo.
ruling	a decisão	O tribunal emitiu uma decisão.
rumour	o boato	O boato se espalhou rapidamente.
sack	demitir	A diretoria pode demitir o treinador.
sacred	sagrado	O templo é sagrado.
sacrifice	o sacrifício	Os pais frequentemente fazem sacrifícios.
saint	o santo	A igreja homenageia um santo local.
sake	o bem	Ele ficou para o bem dela.
sanction	a sanção	A sanção afetou o comércio internacional.
say	a voz	Os funcionários tiveram voz na programação.
scattered	espalhado	Papéis espalhados cobriam a mesa.
sceptical	cético	Ela continuou cética sobre a afirmação.
scope	o escopo	O escopo do projeto se expandiu.
screw	o parafuso	Aperte o parafuso com cuidado.
scrutiny	o escrutínio	O acordo enfrentou escrutínio público.
seal	selar	Sele o envelope antes de postar.
secular	laico	A escola segue um currículo laico.
seemingly	aparentemente	A tarefa era aparentemente simples.
segment	o segmento	O segmento final foi mais curto.
seize	apreender	A polícia apreendeu os documentos.
seldom	raramente	Ela raramente perde uma aula.
selective	seletivo	O programa é altamente seletivo.
senator	o senador	O senador apoiou o projeto de lei.
sensation	a sensação	A descoberta causou sensação.
sensitivity	a sensibilidade	A questão exige sensibilidade.
sentiment	o sentimento	O sentimento público mudou rapidamente.
separation	a separação	A separação foi difícil.
serial	de série	O número de série está faltando.
settlement	o acordo	O acordo encerrou a disputa.
set-up	a montagem	A montagem levou a manhã toda.
sexuality	a sexualidade	O curso discute identidade e sexualidade.
shareholder	o acionista	Um acionista questionou o conselho.
shatter	despedaçar / destruir	As notícias destruíram a confiança dele.
shed	cortar / livrar-se de	A empresa cortará empregos.
sheer	puro / absoluto	O puro tamanho surpreendeu a todos.
shipping	o envio / o frete	Os custos de frete aumentaram.
shoot	a sessão de fotos / a filmagem	A sessão de fotos terminou cedo.
shrink	encolher	A camisa pode encolher.
shrug	dar de ombros	Ela deu de ombros levemente.
sigh	suspirar / o suspiro	Ele suspirou de alívio.
simulate	simular	O software pode simular o trânsito.
simulation	a simulação	A simulação previu inundações.
simultaneously	simultaneamente	Dois alarmes tocaram simultaneamente.
sin	o pecado	O orgulho é considerado um pecado.
situated	situado	O hotel está situado no centro.
sketch	o esboço	Ela fez um esboço rápido.
skip	pular / omitir	Não pule o café da manhã.
slam	bater com força	Ele pode bater a porta.
slap	dar um tapa / bater	Não dê um tapa na mesa.
slavery	a escravidão	A escravidão moldou a história da região.
slot	a vaga / o horário	Reserve um horário online.
smash	espatifar / quebrar	O copo se espatifou no chão.
snap	estalar / quebrar	O galho quebrou com o vento.
soak	deixar de molho / ensopar	Deixe o feijão de molho durante a noite.
soar	disparar / subir muito	Os preços dos combustíveis podem disparar.
socialist	socialista	O partido apoia políticas socialistas.
sole	único	Ele foi o único sobrevivente.
solely	exclusivamente	A decisão foi exclusivamente dele.
solicitor	o advogado / o solicitador	O advogado preparou o contrato.
solidarity	a solidariedade	Os trabalhadores expressaram solidariedade.
solo	solo / individual	Ela lançou um álbum solo.
sound	sensato / sólido	O plano é sensato e prático.
sovereignty	a soberania	O tratado protegeu a soberania nacional.
spam	o spam / o lixo eletrônico	O spam encheu a caixa de entrada.
span	atravessar / abranger	A ponte atravessa o rio.
spark	desencadear / provocar	Um pequeno comentário provocou debate.
specialized	especializado	A clínica fornece atendimento especializado.
specification	a especificação	O design atende a todas as especificações.
specimen	o espécime / a amostra	O espécime foi armazenado com segurança.
spectacle	o espetáculo	O desfile foi um espetáculo vívido.
spectrum	o espectro	As opiniões cobrem um amplo espectro.
