source_headword	UZ	example_UZ
machine	mashina	Bu mashina qahva tayyorlaydi.
magazine	jurnal	U musiqa jurnalini o'qiydi.
main	asosiy	Bu asosiy eshik.
make	qilmoq; tayyorlamoq	Men uyda tushlik tayyorlayman.
man	erkak; odam	U erkak mening o'qituvchim.
many	ko'p	Bu yerda ko'p talabalar bor.
map	xarita	Xaritaga qarang.
March	mart	Mening tug'ilgan kunim martda.
market	bozor	Biz bozorda meva sotib olamiz.
married	turmush qurgan	Opam turmush qurgan.
May	may	Maktab may oyida tugaydi.
maybe	balki	Balki yomg'ir yog'ar.
me	meni; menga	Iltimos, menga yordam bering.
meal	ovqat	Bu ovqat issiq.
mean	anglatmoq	Bu belgi nimani anglatadi?
meaning	ma'no	Ma'nosi nima?
meat	go'sht	Men kechki ovqatga go'sht yeyman.
meet	uchrashmoq	Biz darsdan keyin uchrashamiz.
meeting	yig'ilish	Yig'ilish hozir boshlanadi.
member	a'zo	U klub a'zosi.
menu	menyu	Iltimos, menyuni o'qing.
message	xabar	Men qisqa xabar yuboraman.
metre	metr	Bir metr oldinga yuring.
midnight	yarim tun	Poyezd yarim tunda jo'naydi.
mile	milya	Biz bir milya yuramiz.
milk	sut	Men nonushta bilan sut ichaman.
million	million	Bu yerda million odam yashaydi.
minute1	daqiqa	Iltimos, bir daqiqa kuting.
miss	sog'inmoq; o'tkazib yubormoq	Men eski maktabimni sog'inaman.
mistake	xato	Bu javobda xato bor.
model	model	Bu kichik model.
modern	zamonaviy	Oshxona zamonaviy.
moment	lahza	Iltimos, bir lahza kuting.
Monday	dushanba	Biz dushanba kuni ish boshlaymiz.
money	pul	Menga biroz pul kerak.
month	oy	Iyun issiq oy.
more	ko'proq	Menga ko'proq vaqt kerak.
morning	ertalab	Men ertalab o'qiyman.
most	ko'pchilik	Ko'pchilik talabalar musiqani yoqtiradi.
mother	ona	Onam bugun ishlaydi.
mountain	tog'	Tog' baland.
mouse	sichqon	Sichqon stul ostida.
mouth	og'iz	Iltimos, og'zingizni oching.
move	siljimoq; ko'chirmoq	Stulni bu yerga ko'chiring.
movie	kino	Biz bugun kechqurun kino ko'ramiz.
much	qancha	Bu qancha turadi?
mum	oyi	Oyim uyda.
museum	muzey	Muzey soat o'nda ochiladi.
music	musiqa	Men musiqa tinglayman.
must modal	shart	Siz bu yerda to'xtashingiz shart.
my	mening	Bu mening kitobim.
name	ism	Ismingizni bu yerga yozing.
natural	tabiiy	Bu sharbat tabiiy.
near	yaqin	Bank bu yerga yaqin.
need	kerak	Menga ruchka kerak.
negative	salbiy	Bu javob salbiy.
neighbour	qo'shni	Qo'shnim do'stona.
never	hech qachon	Men hech qachon qahva ichmayman.
new	yangi	Bu telefon yangi.
news	yangilik	Bugungi yangilik yaxshi.
newspaper	gazeta	U gazeta o'qiydi.
next	keyingi	Keyingi avtobus kechikdi.
next to	yonida	Mening yonimga o'tiring.
nice	yaxshi	Xona yaxshi.
night	tun	Men tunda uxlayman.
nine	to'qqiz	Bu yerda to'qqiz talaba bor.
nineteen	o'n to'qqiz	U o'n to'qqiz yoshda.
ninety	to'qson	Bobom to'qson yoshda.
no	yo'q	Yo'q, rahmat.
no one	hech kim	Xonada hech kim yo'q.
nobody	hech kim	Uyda hech kim yo'q.
north	shimol	Bekat bu yerdan shimolda.
nose	burun	Burunim sovuq.
not	emas	Men charchagan emasman.
note	eslatma	Hozir eslatma yozing.
nothing	hech narsa	Qutida hech narsa yo'q.
November	noyabr	Kursim noyabrda boshlanadi.
now	hozir	Hozir bu yerga keling.
number	raqam	Raqamni bu yerga yozing.
nurse	hamshira	Hamshira mehribon.
object	narsa	Narsani stol ustiga qo'ying.
o’clock	soat	Dars soat to'qqizda boshlanadi.
October	oktabr	Biz oktabrda sayohat qilamiz.
of	ning	Bu choy piyolasi.
off	o'chirilgan; uzoqda	Chiroqni o'chiring.
office	ofis	Mening ofisim kichik.
often	tez-tez	Men tez-tez maktabga piyoda boraman.
oh	oh	Oh, endi tushundim.
OK	yaxshi	Bu yaxshimi?
old	eski	Bu uy eski.
on	ustida	Kitob stol ustida.
once	bir marta	Men haftada bir marta qo'ng'iroq qilaman.
one	bir	Mening bir opam bor.
onion	piyoz	Bir piyozni kesing.
online	onlayn	Men onlayn o'qiyman.
only	faqat	Menda faqat bitta sumka bor.
open	ochmoq; ochiq	Iltimos, derazani oching.
opinion	fikr	Sizning fikringiz nima?
opposite	qarshisida	Do'kon bank qarshisida.
or	yoki	Choy yoki qahva?
orange	apelsin; to'q sariq	Bu apelsin shirin.
order	buyurtma; tartib	Men sho'rva buyurtma qilaman.
other	boshqa	Boshqa eshikdan foydalaning.
our	bizning	Bu bizning sinfxonamiz.
out	tashqariga	Tushlikdan keyin tashqariga chiqing.
outside	tashqarida	Bolalar tashqarida o'ynaydi.
over	ustidan	Samolyot shahar ustidan uchadi.
own	o'z	Mening o'z xonam bor.
page	sahifa	O'ninchi sahifani oching.
paint	bo'yamoq	Devorni ko'k rangga bo'yang.
painting	rasm	Bu rasm chiroyli.
pair	juft	Menga bir juft paypoq kerak.
paper	qog'oz	Bu qog'ozga yozing.
paragraph	xatboshi	Birinchi xatboshini o'qing.
parent	ota-ona	Ota-ona tashqarida kutmoqda.
park	park; to'xtatmoq	Biz bekat yaqinida mashinani to'xtatamiz.
part	qism	Bu qism oson.
partner	sherik	Sherik bilan ishlang.
party	bazm	Bazm soat yettida boshlanadi.
passport	pasport	Iltimos, pasportingizni ko'rsating.
past	o'tgan; o'tib	Soat olti yarim bo'ldi.
pay	to'lamoq	Men karta bilan to'layman.
pen	ruchka	Bu ruchka ko'k.
pencil	qalam	Men qalam bilan yozaman.
people	odamlar	Bu yerda ko'p odam bor.
pepper	murch	Sho'rvaga murch qo'shing.
perfect	mukammal	Javobingiz mukammal.
period	davr; dars vaqti	Dars vaqti qisqa.
person	shaxs	Bir kishi kutmoqda.
personal	shaxsiy	Bu mening shaxsiy telefonim.
phone	telefon	Telefonim sumkamda.
photo	foto	Bu yerda foto oling.
photograph	fotosurat	Bu fotosurat eski.
phrase	ibora	Iltimos, iborani takrorlang.
piano	pianino	U pianino chaladi.
picture	rasm	Bu rasmga qarang.
piece	bo'lak	Tortdan bir bo'lak oling.
pig	cho'chqa	Cho'chqa fermada.
pink	pushti	Uning sumkasi pushti.
place	joy	Bu joy tinch.
plan	reja	Bizga reja kerak.
plane	samolyot	Samolyot kechikdi.
plant	o'simlik	Bugun o'simlikka suv bering.
play	o'ynamoq	Bolalar parkda o'ynaydi.
player	o'yinchi	O'yinchi tez yuguradi.
please	iltimos	Iltimos, bu yerda o'tiring.
point	nuqta; fikr	Bu fikr muhim.
police	politsiya	Politsiya tashqarida.
policeman	politsiyachi	Politsiyachi bizga yordam beradi.
pool	havuz	Havuz sovuq.
poor	kambag'al	Kambag'al bola och.
popular	mashhur	Bu qo'shiq mashhur.
positive	ijobiy	Bu ijobiy natija.
possible	mumkin	Bu bugun mumkinmi?
post	post; pochta	Men uning postini onlayn o'qiyman.
potato	kartoshka	Men kartoshka yeyman.
pound	funt	Bu bir funt turadi.
practice	mashq	Mashq har kuni yordam beradi.
practise	mashq qilmoq	Men har kuni ingliz tilini mashq qilaman.
prefer	afzal ko'rmoq	Men choyni afzal ko'raman.
prepare	tayyorlamoq	Bu kecha sumkangizni tayyorlang.
present	hozir; hozir bo'lgan	U bugun darsda bor.
pretty	chiroyli	Bog' chiroyli.
price	narx	Narx past.
probably	ehtimol	U ehtimol biladi.
problem	muammo	Bu muammo kichik.
product	mahsulot	Bu mahsulot yangi.
programme	dastur	Dastur hozir boshlanadi.
project	loyiha	Loyihamiz tayyor.
purple	binafsha rang	Ko'ylak binafsha rang.
put	qo'ymoq	Kitobni bu yerga qo'ying.
quarter	chorak; o'n besh daqiqa	Hozir soat ikkiyu o'n besh.
question	savol	Bitta savol so'rang.
quick	tez	Bu tez test.
quickly	tez	Iltimos, tez yuring.
quiet	tinch	Kutubxona tinch.
quite	ancha	Bu xona ancha kichik.
radio	radio	Radio ovozi baland.
rain	yomg'ir	Yomg'ir hozir boshlanadi.
read	o'qimoq	Bu gapni o'qing.
reader	o'quvchi	O'quvchi hikoyani yoqtiradi.
reading	o'qish	O'qish menga o'rganishga yordam beradi.
ready	tayyor	Kechki ovqat tayyor.
real	haqiqiy	Bu haqiqiy muammo.
really	haqiqatan	Men bu qo'shiqni haqiqatan yoqtiraman.
reason	sabab	Menga sababini ayting.
red	qizil	Eshik qizil.
relax	dam olmoq	Ishdan keyin dam oling.
remember	eslamoq	Pasportingizni eslang.
repeat	takrorlamoq	Iltimos, gapni takrorlang.
report	hisobot	Bu kecha hisobotni o'qing.
restaurant	restoran	Restoran gavjum.
result	natija	Natija yaxshi.
return	qaytarmoq; qaytmoq	Ertaga kitobni qaytaring.
rice	guruch	Men tushlikka guruch yeyman.
rich	boy	Bu shahar boy.
ride	minmoq	Men velosipedimni minaman.
right	o'ng; to'g'ri	Bu yerda o'ngga buriling.
river	daryo	Daryo keng.
road	yo'l	Bu yo'l uzun.
room	xona	Mening xonam toza.
routine	kun tartibi	Kun tartibim erta boshlanadi.
rule	qoida	Bu qoida oddiy.
run	yugurmoq	Men har ertalab yuguraman.
sad	xafa	U bugun xafa.
salad	salat	Bu salat yangi.
salt	tuz	Ozgina tuz qo'shing.
same	bir xil	Bizda bir xil sumka bor.
sandwich	sendvich	Men sendvich yeyman.
Saturday	shanba	Biz shanba kuni uchrashamiz.
say	aytmoq	Iltimos, ismingizni ayting.
