source_headword	FI	example_FI
prey	saalis	Pöllöt metsästävät saalista öisin.
privatization	yksityistäminen	Yksityistäminen muutti rautatiejärjestelmää.
privilege	etuoikeus	Koulutuksen ei pitäisi olla etuoikeus.
probe	tutkinta	Tutkinta paljasti vakavia virheitä.
problematic	ongelmallinen	Sopimus on edelleen ongelmallinen.
proceedings	oikeudenkäynti	Oikeudenkäynti alkoi maanantaina.
proceeds	tuotto	Tuotto tukee paikallisia kouluja.
processing	käsittely	Kuvankäsittely vie aikaa.
processor	prosessori	Prosessori vioittui testauksen aikana.
proclaim	julistaa	Johtajat julistavat voittoa liian aikaisin.
productive	tuottava	Kokous oli tuottava.
productivity	tuottavuus	Tuottavuus parani koulutuksen jälkeen.
profitable	kannattava	Kaupasta tuli kannattava tänä vuonna.
profound	syvällinen	Puheella oli syvällinen vaikutus.
projection	ennuste	Ennuste osoittaa tasaista kasvua.
prominent	merkittävä	Hänestä tuli merkittävä tiedemies.
pronounced	selvä	Hänen aksenttinsa muuttui selvemmäksi.
propaganda	propaganda	Kampanjassa käytettiin propagandaa verkossa.
proposition	ehdotus	Ehdotus on riskialtis hanke.
prosecute	syyttää	Viranomaiset syyttävät vakavista petostapauksista.
prosecution	syyttäjä	Syyttäjä esitti uusia todisteita.
prosecutor	syyttäjä	Syyttäjä kuulusteli todistajaa.
prospective	tuleva	Tulevat opiskelijat kiersivät kampuksella.
prosperity	vauraus	Kauppa toi vaurautta alueelle.
protective	suojaava	Hänellä oli suojakäsineet.
protocol	protokolla	Protokolla edellyttää kirjallista hyväksyntää.
province	maakunta	Maakunta sijoitti liikenteeseen.
provincial	alueellinen	Alueelliset viranomaiset julkistivat suunnitelman.
provision	ehto	Sopimus sisältää turvallisuusehdon.
provoke	provosoida	Puhe saattaa provosoida voimakkaita reaktioita.
psychiatric	psykiatrinen	Sairaala avasi psykiatrisen osaston.
pulse	pulssi	Sairaanhoitaja tarkisti hänen pulssinsa.
pump	pumppu	Pumppu siirtää vettä ylöspäin.
punch	lyönti	Hän iski vihoissaan.
query	kysely	Lähetä kyselysi tukeen.
quest	etsintä	Heidän oikeuden etsintänsä jatkui.
quota	kiintiö	Tiimi saavutti myyntikiintiönsä.
radar	tutka	Myrsky näkyi tutkassa.
radical	radikaali	Ryhmä ehdotti radikaaleja uudistuksia.
