source_headword	IT	example_IT
heal	guarire	Il riposo aiuta il corpo a guarire.
healthcare	l'assistenza sanitaria	I costi dell'assistenza sanitaria sono aumentati quest'anno.
helmet	il casco	Indossa un casco sulla bici.
hence	perciò	Perciò, abbiamo cambiato il programma.
herb	l'erba	Il basilico è un'erba utile.
hidden	nascosto	La chiave era nascosta sotto lo zerbino.
highway	l'autostrada	L'autostrada è stata chiusa dopo la neve.
hilarious	esilarante	Il film era esilarante.
hip	l'anca	Si è fatta male all'anca durante l'allenamento.
historian	lo storico	Lo storico ha studiato vecchie lettere.
homeless	senzatetto	Il rifugio aiuta le famiglie senzatetto.
honesty	l'onestà	L'onestà crea fiducia.
hook	il gancio	Appendi il cappotto al gancio.
hopefully	speriamo	Speriamo che il treno arrivi presto.
hunger	la fame	La fame può influenzare la concentrazione.
hypothesis	l'ipotesi	L'esperimento ha testato l'ipotesi.
icon	l'icona	L'icona dell'app è cambiata oggi.
ID	il documento d'identità	Mostra il tuo documento d'identità alla reception.
identical	identico	I gemelli indossavano giacche identiche.
illusion	l'illusione	Lo specchio crea un'illusione.
immigration	l'immigrazione	La politica sull'immigrazione è cambiata l'anno scorso.
immune	immune	La vaccinazione può rendere le persone immuni.
implement	attuare	La scuola attuerà la politica.
implication	l'implicazione	L'implicazione era chiara.
incentive	l'incentivo	Il bonus ha dato un incentivo ai lavoratori.
incorporate	includere	Includi più verdure nei pasti.
incorrect	incorretto	La risposta era incorretta.
independence	l'indipendenza	Il paese ha celebrato l'indipendenza.
index	l'indice	Controlla l'indice per l'argomento.
indication	l'indicazione	Il sorriso era un'indicazione di sollievo.
inevitable	inevitabile	Un certo ritardo era inevitabile.
inevitably	inevitabilmente	Inevitabilmente, i prezzi sono aumentati dopo la carenza.
infer	dedurre	Possiamo dedurre la risposta dal contesto.
inflation	l'inflazione	L'inflazione ha aumentato i prezzi del cibo.
info	le info	Il sito web elenca info utili.
infrastructure	l'infrastruttura	La tempesta ha danneggiato l'infrastruttura locale.
inhabitant	l'abitante	Ogni abitante ha ricevuto acqua pulita.
inherit	ereditare	Lei erediterà la casa di famiglia.
ink	l'inchiostro	La stampante ha bisogno di inchiostro nero.
innovation	l'innovazione	L'innovazione fa progredire l'industria.
innovative	innovativo	L'azienda ha lanciato un prodotto innovativo.
input	il contributo	Il manager ha chiesto un contributo.
insert	inserire	Inserisci la carta nella macchina.
inspector	l'ispettore	L'ispettore ha controllato l'edificio.
installation	l'installazione	L'installazione è durata due ore.
instant	istantaneo	L'app ha inviato una risposta istantanea.
instantly	all'istante	Lo schermo si è acceso all'istante.
integrate	integrare	Il software può integrare nuovi strumenti.
intellectual	intellettuale	Il dibattito è stato intellettuale ma amichevole.
interact	interagire	Gli studenti interagiscono durante i lavori di gruppo.
interaction	l'interazione	L'interazione è stata cortese.
interpretation	l'interpretazione	La sua interpretazione della poesia era originale.
interval	l'intervallo	C'è stato un breve intervallo tra gli atti.
invade	invadere	L'esercito ha cercato di invadere l'isola.
invasion	l'invasione	L'invasione ha danneggiato molte città.
investor	l'investitore	L'investitore ha finanziato una nuova startup.
isolate	isolare	I medici isolano i pazienti con gravi infezioni.
isolated	isolato	Il villaggio era isolato dalla neve.
jail	la prigione	Il ladro è andato in prigione.
jet	il jet	Il jet è atterrato a mezzogiorno.
joint	congiunto	Hanno annunciato un progetto congiunto.
journalism	il giornalismo	Il giornalismo richiede fatti accurati.
jury	la giuria	La giuria ha preso una decisione.
kit	il kit	Il kit di riparazione include viti.
ladder	la scala	La scala era appoggiata al muro.
landing	l'atterraggio	L'aereo ha fatto un atterraggio morbido.
lane	la corsia	Rimani nella corsia di destra.
lately	ultimamente	Ho dormito male ultimamente.
leaflet	il volantino	Il volantino spiega il servizio.
legend	la leggenda	La leggenda parla di una città nascosta.
lens	l'obiettivo	Pulisci l'obiettivo della fotocamera con attenzione.
lifetime	la vita intera	Ha risparmiato denaro per una vita intera.
lighting	l'illuminazione	Una buona illuminazione migliora la stanza.
likewise	allo stesso modo	Lei ha sorriso; lui ha fatto allo stesso modo.
limitation	la limitazione	Il piano ha una limitazione.
literally	letteralmente	Ha letteralmente corso verso l'autobus.
literary	letterario	Il festival onora il lavoro letterario.
litre	il litro	Compra un litro di latte.
litter	i rifiuti	Non gettare i rifiuti.
logo	il logo	Il logo appare su ogni pagina.
lottery	la lotteria	Ha vinto un piccolo premio alla lotteria.
loyal	fedele	Il cane era fedele al suo padrone.
lyric	il testo	Il testo ripeteva l'idea principale.
magnificent	magnifico	Il palazzo sembrava magnifico.
make-up	il trucco	Indossava un trucco semplice.
making	la realizzazione	La realizzazione del film è stata difficile.
manufacture	fabbricare	La fabbrica produrrà telefoni.
manufacturing	la manifattura	I lavori di manifattura sono aumentati localmente.
marathon	la maratona	Ha finito la maratona.
margin	il margine	Scrivi gli appunti a margine.
marker	il pennarello	Usa un pennarello per l'etichetta.
martial	marziale	Lui studia arti marziali.
mate	il compagno	Il mio vecchio compagno di scuola ha chiamato ieri.
mayor	il sindaco	Il sindaco ha aperto la biblioteca.
mechanic	il meccanico	Il meccanico ha riparato l'autobus.
mechanical	meccanico	L'orologio ha un guasto meccanico.
mechanism	il meccanismo	Il meccanismo della serratura è semplice.
medal	la medaglia	Ha vinto una medaglia d'oro.
medication	la medicina	Prendi la medicina con acqua.
membership	l'abbonamento	L'abbonamento in palestra costa meno online.
memorable	memorabile	Il viaggio è stato memorabile.
metaphor	la metafora	La poesia usa una forte metafora.
miner	il minatore	Il minatore ha lavorato sottoterra.
miserable	infelice	La pioggia ha reso il picnic infelice.
mode	la modalità	Cambia la fotocamera in modalità notturna.
modest	modesto	Vivono in una casa modesta.
monster	il mostro	La storia ha un mostro spaventoso.
monthly	mensile	Paghiamo l'affitto mensilmente.
monument	il monumento	Il monumento si trova vicino al fiume.
moreover	inoltre	Inoltre, il piano fa risparmiare denaro.
mortgage	il mutuo	Hanno richiesto un mutuo.
mosque	la moschea	La moschea è vicino al mercato.
motion	il movimento	Il sensore rileva il movimento.
motivate	motivare	Le lodi possono motivare gli studenti.
motivation	la motivazione	La sua motivazione è rimasta forte.
moving	commovente	Il discorso è stato commovente.
myth	il mito	Il mito spiega il nome della montagna.
naked	nudo	Il bambino era nudo dopo il bagno.
nasty	brutto	Il taglio sembrava brutto.
navigation	la navigazione	L'app migliora la navigazione.
nearby	vicino	Un bar vicino apre presto.
necessity	la necessità	L'acqua pulita è una necessità.
negotiate	negoziare	Negozieranno il contratto domani.
negotiation	la negoziazione	La negoziazione è durata tutta la mattina.
neutral	neutrale	Il giudice è rimasto neutrale.
newly	appena	La porta appena dipinta sembrava luminosa.
norm	la norma	Il lavoro a distanza è diventato la norma.
notebook	il quaderno	Scrivi gli appunti nel tuo quaderno.
novelist	il romanziere	Il romanziere ha autografato il suo libro.
nowadays	al giorno d'oggi	Al giorno d'oggi, molte persone lavorano online.
nursing	l'infermieristica	Lei sta studiando infermieristica.
nutrition	la nutrizione	Una buona nutrizione supporta la salute.
obesity	l'obesità	L'obesità aumenta i rischi per la salute.
observer	l'osservatore	L'osservatore ha registrato i risultati.
obstacle	l'ostacolo	L'albero caduto era un ostacolo.
