source_headword	BN	example_BN
stranger	অপরিচিত ব্যক্তি	একজন অপরিচিত ব্যক্তি রাস্তা সম্পর্কে জিজ্ঞেস করলেন।
strength	শক্তি	তার শক্তি দলকে সাহায্য করেছিল।
string	সুতো	সুতো দিয়ে বাক্সটি বাঁধুন।
strongly	দৃঢ়ভাবে	আমি সেই ধারণার সাথে দৃঢ়ভাবে দ্বিমত পোষণ করি।
studio	স্টুডিও	শিল্পী একটি ছোট স্টুডিওতে কাজ করেন।
stuff	জিনিসপত্র	তোমার জিনিসপত্র তাকে রাখো।
substance	পদার্থ	পুলিশ একটি অদ্ভুত পদার্থ খুঁজে পেয়েছে।
successfully	সফলভাবে	তারা সফলভাবে প্রকল্পটি শেষ করেছে।
sudden	আকস্মিক	একটি আকস্মিক শব্দ আমাদের জাগিয়ে তুলল।
suffer	ভোগা	শুষ্ক আবহাওয়ায় অনেক গাছপালা ভোগে।
suitable	উপযুক্ত	এই জ্যাকেটটি স্কুলের জন্য উপযুক্ত।
summarize	সারসংক্ষেপ করা	আপনি কি প্রবন্ধটির সারসংক্ষেপ করতে পারবেন?
summary	সারসংক্ষেপ	আজ রাতে একটি ছোট সারসংক্ষেপ লিখুন।
supply	সরবরাহ	শহরের একটি বিশুদ্ধ জলের সরবরাহ প্রয়োজন।
supporter	সমর্থক	প্রতিটি সমর্থক জোরে চিৎকার করে উঠল।
surely	নিশ্চয়ই	নিশ্চয়ই আমরা এটি সমাধান করতে পারি।
surface	পৃষ্ঠ	পৃষ্ঠটি ঠান্ডা এবং মসৃণ অনুভূত হয়েছিল।
survive	বেঁচে থাকা	এই প্রাণীগুলো ঠান্ডা শীতে বেঁচে থাকে।
switch	চালু বা বন্ধ করা	রান্নাঘরের আলো বন্ধ করুন।
symptom	লক্ষণ	কাশি একটি লক্ষণ হতে পারে।
tail	লেজ	কুকুরটির একটি লম্বা লেজ আছে।
talent	প্রতিভা	তার সঙ্গীতের প্রতিভা আছে।
talented	প্রতিভাবান	সে একজন প্রতিভাবান তরুণ অভিনেতা।
tape	টেপ	বাক্সটি বন্ধ করতে টেপ ব্যবহার করুন।
tax	কর	সবাইকে অবশ্যই এই কর দিতে হবে।
technical	কারিগরি	আমাদের একটি কারিগরি সমস্যা ছিল।
technique	কৌশল	এই কৌশলটি সময় বাঁচায়।
tend	প্রবণতা থাকা	শিশুদের দ্রুত শেখার প্রবণতা থাকে।
tent	তাঁবু	আমরা একটি ছোট তাঁবুতে ঘুমিয়েছিলাম।
theirs	তাদের	নীল সাইকেলগুলো তাদের।
theme	থিম	পার্টিটির একটি সৈকত থিম ছিল।
theory	তত্ত্ব	তার তত্ত্ব সমস্যাটি ব্যাখ্যা করে।
therefore	তাই	বৃষ্টি হচ্ছিল, তাই আমরা ভিতরে থেকেছিলাম।
though	যদিও	যদিও ক্লান্ত, সে কাজ করতে থাকল।
throat	গলা	আজ সকালে আমার গলা ব্যথা করছে।
throughout	জুড়ে	লোকেরা সারা সন্ধ্যা জুড়ে নেচেছিল।
tight	আঁটসাঁট	এই জুতো জোড়া খুব আঁটসাঁট মনে হচ্ছে।
till	পর্যন্ত	আমি ফিরে না আসা পর্যন্ত এখানে অপেক্ষা করুন।
tin	টিন	একটি শিমের টিন খুলুন।
tiny	ছোট্ট	একটি ছোট্ট পাখি কাছাকাছি নামল।
toe	পায়ের আঙুল	আমি গতকাল আমার পায়ের আঙুলে ব্যথা পেয়েছি।
tongue	জিভ	সে চায়ে তার জিভ পুড়িয়ে ফেলেছে।
total	মোট	মোট খরচ কম ছিল।
totally	সম্পূর্ণভাবে	আমি আপনার উদ্বেগ সম্পূর্ণভাবে বুঝতে পারছি।
trade	বাণিজ্য	আন্তর্জাতিক বাণিজ্য কর্মসংস্থান সৃষ্টি করে।
translate	অনুবাদ করা	অনুগ্রহ করে এই বাক্যটি অনুবাদ করুন।
translation	অনুবাদ	অনুবাদটি স্বাভাবিক শোনাচ্ছে।
treat	আচরণ করা	সবার সাথে সম্মানের সাথে আচরণ করুন।
treatment	চিকিৎসা	রোগীর আজ চিকিৎসা প্রয়োজন।
trend	প্রবণতা	এই প্রবণতাটি বিশ্বজুড়ে বাড়ছে।
trick	চালাকি	সেই তাসের জাদু আমাকে অবাক করেছিল।
truth	সত্য	দয়া করে সত্য কথা বলুন।
tube	টিউব	টিউবটি আলতো করে চাপুন।
typically	সাধারণত	শিক্ষার্থীরা সাধারণত নয়টার আগে পৌঁছায়।
tyre	টায়ার	গাড়িটির একটি নতুন টায়ার দরকার।
ugly	কুৎসিত	সেই দেয়ালের রঙ কুৎসিত দেখাচ্ছে।
unable	অক্ষম	সে উত্তর দিতে অক্ষম ছিল।
