source_headword	PT	example_PT
abolish	abolir	A lei abolirá a antiga taxa.
abortion	o aborto	O aborto continua a ser um assunto médico sensível.
absence	a ausência	A ausência dela atrasou a decisão final.
absent	ausente	Dois membros estavam ausentes da aula.
absurd	absurdo	A alegação soou absurda para todos.
abundance	a abundância	O vale tem uma abundância de água.
abuse	o abuso	O relatório descreveu abusos no local de trabalho.
academy	a academia	A academia forma jovens músicos.
accelerate	acelerar	O novo financiamento irá acelerar a investigação.
acceptance	a aceitação	A sua aceitação da crítica impressionou-me.
accessible	acessível	O museu é acessível a utilizadores de cadeira de rodas.
accomplishment	a conquista	Terminar o livro foi uma verdadeira conquista.
accordance	a conformidade	O trabalho foi feito em conformidade com a política.
accordingly	em conformidade	As provas mudaram e nós agimos em conformidade.
accountability	a responsabilização	A política aumenta a responsabilização dos gestores.
accountable	responsável	Os gestores são responsáveis pela segurança.
accumulate	acumular	Pode acumular-se pó atrás do ecrã.
accumulation	a acumulação	A acumulação de dados demorou meses.
accusation	a acusação	A acusação chocou o comité.
accused	o acusado	O acusado compareceu em tribunal.
acquisition	a aquisição	A aquisição expandiu a empresa rapidamente.
acre	o acre	A quinta cobre um acre.
activation	a ativação	A ativação do cartão demora minutos.
activist	o ativista	O ativista discursou no comício.
acute	agudo	Ela sentiu uma dor aguda depois de correr.
adaptation	a adaptação	A adaptação mudou o final do romance.
adhere	aderir	Os funcionários devem aderir às regras de segurança.
adjacent	adjacente	O hotel é adjacente à estação.
adjustment	o ajuste	Um pequeno ajuste resolveu o problema.
administer	administrar	Os enfermeiros administram a vacina com cuidado.
administrative	administrativo	O pessoal administrativo trata dos formulários.
administrator	o administrador	O administrador redefiniu a minha palavra-passe.
admission	a entrada	A entrada no museu é gratuita.
adolescent	o adolescente	O adolescente precisava de apoio extra.
adoption	a adoção	A adoção deu à criança um lar estável.
adverse	adverso	O medicamento causou efeitos adversos.
advocate	o defensor	O defensor defendeu os direitos dos inquilinos.
aesthetic	estético	O quarto tem um estilo estético calmo.
affection	o afeto	Ela demonstrou afeto pela sua família.
aftermath	o rescaldo	O rescaldo da tempestade foi difícil.
aggression	a agressão	O professor notou agressão durante o recreio.
agricultural	agrícola	As exportações agrícolas subiram este ano.
aide	o assessor	O assessor organizou o horário do ministro.
albeit	embora	O plano funcionou, embora lentamente.
alert	alertar	Por favor, alerte os funcionários imediatamente.
align	alinhar	As setas alinham-se com a estrada.
alignment	o alinhamento	O alinhamento das rodas melhorou a condução do carro.
alike	de forma semelhante	Os gémeos vestem-se de forma semelhante aos fins de semana.
allegation	a alegação	A alegação apareceu no jornal.
allege	alegar	Eles alegam que os fundos foram perdidos.
allegedly	alegadamente	O condutor alegadamente ignorou o aviso.
alliance	a aliança	Os partidos formaram uma aliança temporária.
allocate	alocar	A cidade irá alocar dinheiro para as escolas.
allocation	a alocação	A alocação de lugares foi injusta.
allowance	a mesada	A mesada dela cobre o almoço e o transporte.
ally	o aliado	O Canadá tornou-se um aliado próximo.
aluminium	o alumínio	A moldura é feita de alumínio.
amateur	amador	Um fotógrafo amador tirou a fotografia.
ambassador	o embaixador	O embaixador encontrou-se com estudantes locais.
amend	emendar	O parlamento votou para emendar a lei.
amendment	a emenda	A emenda alterou um parágrafo.
amid	no meio de	O discurso ocorreu no meio de uma tensão crescente.
analogy	a analogia	O professor usou uma analogia simples.
anchor	a âncora	O barco lançou a âncora perto da ilha.
angel	o anjo	A criança vestiu um fato de anjo.
anonymous	anónimo	A queixa foi anónima.
apparatus	o aparelho	O aparelho do laboratório precisa de ser limpo.
appealing	atraente	A oferta parece atraente para os estudantes.
appetite	o apetite	O exercício aumentou o seu apetite.
applaud	aplaudir	O público começou a aplaudir ruidosamente.
applicable	aplicável	O desconto é aplicável hoje.
appoint	nomear	O conselho irá nomear um diretor.
appreciation	o apreço	Ela expressou o seu apreço pela ajuda deles.
arbitrary	arbitrário	O prazo pareceu arbitrário aos funcionários.
architectural	arquitetónico	A cidade protege o seu património arquitetónico.
archive	o arquivo	O arquivo guarda fotografias antigas.
arena	a arena	O debate passou para a arena pública.
arguably	possivelmente	Este é possivelmente o seu melhor romance.
arm	armar	Os guardas vão armar o comboio.
array	a variedade	A loja oferece uma variedade de ferramentas.
articulate	articular	Ela consegue articular ideias complexas claramente.
ash	a cinza	A cinza cobriu o carro após o incêndio.
aspiration	a aspiração	A aspiração dela é tornar-se cirurgiã.
aspire	aspirar	Muitos estudantes aspiram estudar no estrangeiro.
assassination	o assassinato	O assassinato mudou a política do país.
assault	a agressão	A agressão aconteceu perto da estação.
assemble	montar	Os trabalhadores montam os móveis à mão.
assembly	a assembleia	A assembleia escolar começa às nove.
assert	afirmar	Ele tentou afirmar a sua autoridade.
assertion	a afirmação	A afirmação dela surpreendeu o painel.
assurance	a garantia	O gestor deu a garantia de apoio.
asylum	o asilo	A família pediu asilo na fronteira.
atrocity	a atrocidade	O filme descreveu uma atrocidade em tempo de guerra.
attain	atingir	Poucos corredores atingem essa velocidade.
attendance	a assistência	A assistência melhorou após o anúncio.
attorney	o advogado	O advogado interrogou a testemunha.
attribute	atribuir	Os cientistas atribuem o aumento à poluição.
audit	a auditoria	A auditoria encontrou vários erros.
authentic	autêntico	O restaurante serve comida regional autêntica.
authorize	autorizar	Apenas os gestores podem autorizar reembolsos.
auto	o automóvel	A indústria automobilística mudou rapidamente.
autonomy	a autonomia	A região quer maior autonomia.
availability	a disponibilidade	A disponibilidade de assentos é limitada.
await	aguardar	Várias mensagens aguardam sua resposta.
backdrop	o pano de fundo	As montanhas formavam um pano de fundo dramático.
backing	o apoio	A proposta ganhou o apoio dos eleitores.
backup	o backup	O sistema cria um backup diariamente.
bail	a fiança	O juiz estipulou a fiança ao meio-dia.
ballot	a cédula	Cada eleitor recebeu uma cédula.
banner	a faixa	A faixa estava pendurada acima da entrada.
bare	nu	O quarto tinha paredes nuas.
barrel	o barril	O barril estava cheio de água.
bass1	o baixo	O baixo soava profundo e quente.
battlefield	o campo de batalha	O antigo campo de batalha tornou-se um memorial.
bay	a baía	A vila fica ao lado de uma baía tranquila.
beam	a viga	Uma viga de aço sustenta o telhado.
beast	a fera	A história descreve uma fera feroz.
behalf	o nome	Ela falou em nome de sua equipe.
beloved	amado	O amado professor se aposentou hoje.
bench	o banco	Eles se sentaram em um banco de madeira.
benchmark	a referência	O teste tornou-se uma referência na indústria.
beneath	sob	Os documentos estavam sob a pasta.
beneficiary	o beneficiário	O filho dela era o principal beneficiário.
betray	trair	Não traia a confiança do seu amigo.
bind	vincular	O acordo vinculará ambas as empresas.
biography	a biografia	A biografia dele vendeu muitos exemplares.
bishop	o bispo	O bispo visitou a igreja da vila.
bizarre	bizarro	O filme teve um final bizarro.
blade	a lâmina	A lâmina cortou a corda.
blast	a explosão	A explosão quebrou as janelas próximas.
bleed	sangrar	O corte começou a sangrar muito.
blend	misturar	Misture o molho até ficar homogêneo.
bless	abençoar	O padre abençoará a casa.
blessing	a bênção	Ter apoio foi uma bênção.
boast	gabar-se	Ele gosta de se gabar sobre dinheiro.
bonus	o bônus	Os funcionários receberam um bônus de feriado.
boom	o boom	A cidade passou por um boom de construção.
bounce	quicar	A bola pode quicar muito alto.
boundary	a fronteira	O rio marca a fronteira.
bow1	a reverência	O ator fez uma reverência profunda.
breach	a violação	A violação expôs dados privados.
breakdown	o detalhamento	O relatório inclui um detalhamento de custos.
breakthrough	o avanço	A descoberta foi um grande avanço.
breed	procriar	Esses pássaros procriam na primavera.
broadband	a banda larga	O escritório precisa de uma banda larga mais rápida.
browser	o navegador	Atualize seu navegador antes de fazer o login.
brutal	brutal	O ataque foi brutal e repentino.
buck	o dólar	O ingresso custa dez dólares.
buddy	o amigo	O amigo dele esperou do lado de fora.
buffer	o amortecedor	As árvores criam um amortecedor de ruído.
bulk	o volume	Eles compraram arroz a granel.
burden	o fardo	A dívida tornou-se um fardo pesado.
bureaucracy	a burocracia	A burocracia atrasou a licença.
burial	o enterro	O enterro ocorreu ao amanhecer.
burst	estourar	O cano pode estourar sob pressão.
cabinet	o gabinete	O gabinete aprovou o plano.
calculation	o cálculo	O cálculo levou vários minutos.
canvas	a tela	O artista pintou em uma grande tela.
capability	a capacidade	O dispositivo tem capacidade sem fio.
capitalism	o capitalismo	O capitalismo moldou a economia moderna.
capitalist	capitalista	O sistema capitalista recompensa o investimento privado.
cargo	a carga	O navio transportava carga médica.
carriage	o vagão	O vagão do trem estava quase vazio.
carve	esculpir	Ele esculpirá a madeira com cuidado.
casino	o cassino	O cassino abriu perto do hotel.
casualty	a vítima	O acidente causou uma vítima.
catalogue	o catálogo	O catálogo lista todos os produtos.
cater	servir	O restaurante pode servir grandes eventos.
cattle	o gado	O gado pastava perto do rio.
caution	a cautela	Tenha cautela nas estradas geladas.
cautious	cauteloso	Os investidores continuam cautelosos esta semana.
cease	cessar	A fábrica cessará a produção em breve.
cemetery	o cemitério	O cemitério tem vista para o mar.
chamber	a câmara	A câmara ficou em silêncio durante a votação.
chaos	o caos	O atraso causou caos no aeroporto.
characterize	caracterizar	Os especialistas caracterizam o plano como arriscado.
charm	o charme	A cidade tem um charme do velho mundo.
charter	a carta	A carta protege os direitos básicos.
chronic	crônico	Ele sofre de dor nas costas crônica.
chunk	o pedaço	Corte o queijo em um pedaço.
circulate	circular	Por favor, faça circular a agenda hoje.
