source_headword	ZH	example_ZH
absorb	吸收	毛巾吸水很快。
abstract	抽象的	讲座讨论了抽象的观点。
accent	口音	她的口音很容易听懂。
accidentally	意外地	我不小心删除了那个文件。
accommodate	容纳	这家酒店能容纳大家庭。
accomplish	完成	她在六月前完成了目标。
accountant	会计师	会计核对了发票。
accuracy	准确性	这个测试衡量阅读的准确性。
accurately	准确地	地图准确地标出了路线。
acid	酸	酸损坏了金属表面。
activate	激活	按下按钮来激活警报。
addiction	上瘾	他的瘾影响了他的工作。
additionally	此外	此外，我们需要更多的椅子。
adequate	充足的	房间有充足的光线。
adequately	充分地	报告充分地解释了这个问题。
adjust	调整	开车前请调整座位。
affordable	负担得起的	这间公寓学生负担得起。
agriculture	农业	农业养活了许多农村家庭。
AIDS	艾滋病	医生用现代医学治疗艾滋病。
alien	外星人	这部电影展示了一个外星的星球。
alongside	在...旁边	自行车道沿着河边延伸。
altogether	完全	这个项目总共花了六周时间。
ambulance	救护车	救护车几分钟内就到了。
amusing	有趣的	这个故事既有趣又轻松。
analyst	分析师	分析师审查了销售数据。
ancestor	祖先	我的祖先住在这个村庄附近。
animation	动画	动画让课程更清晰易懂。
annually	每年	音乐节每年举办一次。
anticipate	预期	我们预料明天交通会很拥挤。
anxiety	焦虑	焦虑会导致难以入睡。
apology	道歉	她进行了真诚的道歉。
applicant	申请人	申请人发送了新简历。
appropriately	适当地	请穿着得体去面试。
arrow	箭	箭头指向出口。
artwork	艺术品	博物馆展出了当地的艺术品。
aside	在旁边	她站到一边让他过去。
asset	资产	经验是一笔宝贵的财富。
assign	分配	老师今天分配了作业。
assistance	协助	请向工作人员寻求帮助。
assumption	假设	那个假设可能是错的。
assure	保证	我向你保证门锁好了。
astonishing	惊人的	悬崖上的景色令人惊讶。
attachment	附件	这封电子邮件包含一个附件。
auction	拍卖	那幅画在拍卖会上卖出了。
audio	音频的	音频录音听起来很清晰。
automatic	自动的	这扇门有自动锁。
automatically	自动地	灯自动亮了。
awareness	意识	这次活动提高了公众的意识。
awkward	尴尬的	这种沉默让人感到尴尬。
badge	徽章	访客必须佩戴胸牌。
balanced	平衡的	均衡的饮食包括蔬菜。
ballet	芭蕾舞	她放学后学习芭蕾舞。
balloon	气球	气球漂浮在桌子上方。
barely	几乎不	他几乎没听到广播。
bargain	便宜货 / 交易	那件夹克真是个便宜货。
basement	地下室	盒子在地下室里。
basket	篮子	她把苹果放进篮子里。
bat	蝙蝠 / 球棒	蝙蝠飞出了山洞。
beneficial	有益的	经常锻炼对健康有益。
beside	在...旁边	台灯放在沙发旁边。
besides	此外 / 除了	除了数学，他还学化学。
bias	偏见	这篇文章显示出明显的偏见。
bid	出价 / 投标	公司出了更高的价格。
biological	生物的	生物测试证实了这个结果。
blanket	毯子	孩子盖着毯子睡觉。
blow	打击 / 吹	那次猛击打破了窗户。
bold	大胆的	标题使用了粗体字。
bombing	轰炸	轰炸摧毁了几栋建筑。
booking	预订	我确认了酒店的预订。
boost	提升 / 促进	这场胜利提升了球队的信心。
bound	一定会 / 绑住的	包裹用绳子绑着。
brick	砖	这堵墙是用砖砌成的。
briefly	简短地	午饭后她简短地讲了话。
broadcaster	广播员 / 广播公司	播音员采访了市长。
broadly	大体上	这两个计划大体上相似。
bug	漏洞 / 虫子	应用程序因为一个漏洞而崩溃了。
cabin	小木屋 / 机舱	我们住在一个小木屋里。
canal	运河	船只沿着运河缓慢行驶。
candle	蜡烛	蜡烛在桌子上燃烧着。
carbon	碳	树木从空气中吸收碳。
casual	随便的 / 休闲的	他穿着休闲服装去上班。
cave	洞穴	徒步旅行者进入了山洞。
certainty	确定性	我们无法确定地知道。
certificate	证书	她收到了一份培训证书。
