source_headword	NL	example_NL
ability	het vermogen; de vaardigheid	Haar vermogen om te zwemmen is duidelijk.
able	in staat; kunnen	Hij kan vandaag komen.
abroad	in het buitenland	Zij wil in het buitenland studeren.
accept	accepteren; aannemen	Accepteer dit kleine cadeau.
accident	het ongeluk	Het ongeluk gebeurde bij school.
according to	volgens; naar aanleiding van	Volgens het rapport komt er regen.
achieve	bereiken	Je kunt je doel bereiken.
act	acteren; handelen	Hij acteert in een toneelstuk.
active	actief	Zij is elke dag actief.
actually	eigenlijk; in feite	Eigenlijk heb ik meer tijd nodig.
advantage	het voordeel	Dit plan heeft een voordeel.
adventure	het avontuur	Hun reis was een avontuur.
advertise	adverteren; reclame maken	Zij adverteren voor een nieuwe baan.
advertisement	de advertentie; de reclame	Ik zag de advertentie.
advertising	de reclame; het adverteren	Reclame helpt eten verkopen.
affect	beïnvloeden	Slaap kan de gezondheid beïnvloeden.
against	tegen; tegenaan	Leun niet tegen de muur.
ah	ah; aha	Aha, nu begrijp ik het.
airline	de luchtvaartmaatschappij	De luchtvaartmaatschappij is druk.
alive	levend; in leven	De kleine vis leeft nog.
all right	in orde; goed	Alles is nu in orde.
allow	toestaan; toelaten	Honden zijn hier toegestaan.
almost	bijna	Wij zijn bijna klaar.
alone	alleen	Zij woont alleen.
along	langs; mee	Loop langs deze weg.
already	al; al klaar	Ik weet het antwoord al.
alternative	het alternatief	Deze trein is een alternatief.
although	hoewel	Hoewel het laat is, kunnen we blijven.
among	onder; tussen	Hij stond tussen de bomen.
amount	de hoeveelheid; het bedrag	De hoeveelheid is te klein.
ancient	oud; uit de oudheid	Deze oude muur is beroemd.
ankle	de enkel	Mijn enkel doet vandaag pijn.
anybody	iemand; wie dan ook	Kan iemand dit beantwoorden?
any more	nog meer; niet meer	Ik heb niets meer nodig.
anyway	hoe dan ook; in elk geval	Hoe dan ook kunnen we nu beginnen.
anywhere	overal; ergens	Ga zitten waar je wilt.
app	de app	Deze app is handig.
appear	verschijnen; lijken	Haar naam verschijnt hier.
appearance	het uiterlijk; de verschijning	Zijn uiterlijk is anders.
apply	solliciteren; toepassen	Solliciteer vandaag voor de baan.
architect	de architect	De architect heeft een plan.
architecture	de architectuur	Ik hou van moderne architectuur.
argue	ruzie maken; discussiëren	Maak geen ruzie met je zus.
argument	de ruzie; het argument	De ruzie was kort.
army	het leger	Het leger is groot.
arrange	regelen; schikken	Regel alstublieft de vergadering.
arrangement	de afspraak; de regeling	Deze afspraak werkt goed.
asleep	in slaap; slapend	Het kind slaapt.
assistant	de assistent; de helper	De assistent hielp mij.
athlete	de atleet; de sporter	De atleet rent snel.
attack	de aanval; aanvallen	De hond kan aanvallen.
attend	bijwonen; naar toe gaan	Ik woon vandaag de les bij.
attention	de aandacht	Let nu goed op.
attractive	aantrekkelijk	De tuin is aantrekkelijk.
audience	het publiek	Het publiek was stil.
author	de auteur; de schrijver	De auteur schreef dit boek.
available	beschikbaar	Het eten is nu beschikbaar.
average	gemiddeld; het gemiddelde	Het gemiddelde cijfer was goed.
avoid	vermijden	Vermijd de drukke weg.
award	de prijs; bekronen	Zij won een prijs.
awful	verschrikkelijk; heel slecht	Het weer was verschrikkelijk.
background	de achtergrond	De foto heeft een donkere achtergrond.
badly	slecht	Hij speelde vandaag slecht.
bar	de bar; de reep	Wij ontmoetten elkaar in de hotelbar.
baseball	honkbal	Honkbal is hier populair.
based	gebaseerd op	De film is gebaseerd op een boek.
basketball	basketbal	Wij spelen basketbal na school.
bean	de boon	Deze boon is groen.
bear (animal)	de beer	De beer leeft in het bos.
beat	verslaan; slaan	Ons team kan hen verslaan.
beef	het rundvlees	Ik at rundvlees bij het avondeten.
behave	zich gedragen	Gedraag je goed in de klas.
behaviour	het gedrag	Zijn gedrag was beleefd.
belong	horen bij; toebehoren	Deze schoenen zijn van mij.
belt	de riem; de gordel	Zijn riem is zwart.
benefit	het voordeel; de baat	Beweging heeft echt voordeel.
billion	het miljard	Een miljard is een enorm getal.
bin	de afvalbak; de bak	Doe het papier in de bak.
biology	de biologie	Biologie is mijn beste vak.
birth	de geboorte	Haar geboorte was in mei.
biscuit	het koekje	Zij eet een koekje.
bit	een beetje; het stukje	Ik heb wat meer tijd nodig.
blank	blanco; leeg	Vul je naam in de lege ruimte in.
blood	het bloed	Bloed is rood.
blow	blazen; waaien	De wind kan hard waaien.
board	het bord; de plank	Schrijf het op het bord.
boil	koken; aan de kook brengen	Kook eerst het water.
bone	het bot	De hond heeft een bot.
borrow	lenen	Mag ik je pen lenen?
boss	de baas	De baas is vriendelijk.
bottom	de onderkant; beneden	Teken onderaan.
bowl	de kom; de schaal	De kom is vol.
brain	het brein; de hersenen	Je brein heeft rust nodig.
bridge	de brug	De brug is oud.
bright	helder; slim	De kamer is helder.
brilliant	geweldig; briljant	Dit idee is geweldig.
broken	kapot; gebroken	De stoel is kapot.
brush	de borstel; borstelen	Poets nu je tanden.
burn	branden; verbranden	Verbrand het brood niet.
businessman	de zakenman	De zakenman kwam vroeg aan.
button	de knop; de knoop	Druk op de rode knop.
camp	het kamp; kamperen	Wij kamperen bij het meer.
camping	het kamperen; de camping	Kamperen is leuk in de zomer.
can2	het blikje	Open het blikje voorzichtig.
care	de zorg; zorgen voor	Zorg goed voor je gezondheid.
careful	voorzichtig; zorgvuldig	Wees voorzichtig op de trap.
carefully	voorzichtig; zorgvuldig	Lees de vraag zorgvuldig.
carpet	het tapijt	Het tapijt is zacht.
cartoon	de tekenfilm; de strip	Deze tekenfilm is grappig.
case	het etui; het geval	Doe het in het etui.
cash	het contant geld	Ik betaalde contant.
castle	het kasteel	Het kasteel is heel oud.
catch	vangen; pakken	Vang de bal nu.
cause	de oorzaak; veroorzaken	Regen kan problemen veroorzaken.
celebrate	vieren	Wij vieren mijn verjaardag.
celebrity	de beroemdheid	De beroemdheid was heel aardig.
certain	zeker; bepaald	Ik ben er zeker van.
certainly	zeker; natuurlijk	Ik help je zeker.
chance	de kans	Je hebt een kans.
character	het personage; het karakter	Dit personage is moedig.
charity	het goede doel; de liefdadigheid	Het goede doel helpt kinderen.
chat	praten; de chat	Wij praten na de les.
chef	de chef-kok; de kok	De chef-kok maakte soep.
chemistry	de scheikunde	Scheikunde is moeilijk voor mij.
chip	de chip; het stukje	Deze chip is zout.
choice	de keuze	Deze keuze is belangrijk.
church	de kerk	De kerk is dichtbij.
cigarette	de sigaret	Een sigaret schaadt de gezondheid.
circle	de cirkel	Teken hier een cirkel.
classical	klassiek	Ik hou van klassieke muziek.
clear	duidelijk; helder	Het antwoord is duidelijk.
clearly	duidelijk	Spreek duidelijk, alstublieft.
clever	slim	Zij is een slim kind.
climate	het klimaat	Het klimaat verandert.
close2	dichtbij; nauw	Mijn school is dicht bij huis.
closed	gesloten	De winkel is gesloten.
clothing	de kleding	Warme kleding is handig.
cloud	de wolk	De wolk bedekt de zon.
coach	de coach; de trainer	De coach hielp het team.
coast	de kust	Wij reden langs de kust.
code	de code	Voer de code hier in.
colleague	de collega	Mijn collega belde mij.
collect	verzamelen	Ik verzamel oude kaarten.
column	de kolom	Lees de eerste kolom.
comedy	de komedie	Deze komedie is grappig.
comfortable	comfortabel; prettig	Deze stoel is comfortabel.
comment	de opmerking; reageren	Laat hieronder een opmerking achter.
communicate	communiceren	Wij communiceren per e-mail.
community	de gemeenschap	Onze gemeenschap is vriendelijk.
compete	meedoen; concurreren	Zij doen elk jaar mee.
competition	de wedstrijd; de competitie	De wedstrijd begint morgen.
complain	klagen	Klaag niet weer.
completely	helemaal; volledig	Ik ben het helemaal met je eens.
condition	de toestand; de voorwaarde	De auto is in goede staat.
conference	de conferentie	De conferentie begint om negen uur.
connect	verbinden; aansluiten	Sluit de telefoon op de computer aan.
connected	verbonden; samenhangend	Deze twee ideeën zijn verbonden.
consider	overwegen	Overweeg mijn idee alstublieft.
contain	bevatten	Deze doos bevat boeken.
context	de context	Context helpt bij het begrijpen.
continent	het continent	Het continent is heel groot.
continue	doorgaan; voortzetten	Ga door met lezen, alstublieft.
control	de controle; controleren	Houd de snelheid goed onder controle.
cooker	het fornuis	Het fornuis is schoon.
copy	de kopie; kopiëren	Maak een kopie voor mij.
corner	de hoek	Ga in de hoek zitten.
correctly	correct; juist	Schrijf het antwoord correct.
count	tellen; het aantal	Tel de boeken.
couple	het paar	Het paar kwam vroeg aan.
cover	bedekken; de omslag	Dek de kom af.
crazy	gek; dwaas	Dit idee klinkt gek.
creative	creatief	Zij heeft een creatief idee.
