source_headword	NE	example_NE
institute	संस्था	संस्थाले नयाँ अनुसन्धान कार्यक्रम सुरु गर्यो।
institution	संस्था	संस्थाले आफ्नो भर्ना नियमहरू परिवर्तन गर्यो।
insurance	बीमा	उनको बीमाले अस्पतालको खर्च समेट्यो।
intended	लक्षित	सन्देश आफ्नो लक्षित श्रोतासम्म पुग्यो।
intense	तीव्र	बहस धेरै छिटो तीव्र भयो।
internal	आन्तरिक	कम्पनीले आन्तरिक समीक्षा सुरु गर्यो।
interpret	व्याख्या गर्नु	कृपया परिणामहरू ध्यानपूर्वक व्याख्या गर्नुहोस्।
interrupt	अवरोध गर्नु	अहिले वक्तालाई अवरोध नगर्नुहोस्।
investigation	अनुसन्धान	अनुसन्धानले गम्भीर गल्तीहरू उजागर गर्यो।
investment	लगानी	लगानीले धेरै स्थानीय रोजगारीहरू सिर्जना गर्यो।
joy	आनन्द	उनीहरूको सफलताले ठूलो आनन्द ल्यायो।
judgement	निर्णय	अनुभवसँगै उसको निर्णय क्षमतामा सुधार आयो।
junior	कनिष्ठ	उनी कनिष्ठ विश्लेषकको रूपमा टोलीमा सामेल भइन्।
justice	न्याय	परीक्षण पछि परिवारले न्याय माग्यो।
justify	न्यायोचित ठहर्याउनु	तपाईंले त्यो निर्णयलाई स्पष्ट रूपमा न्यायोचित ठहर्याउनु पर्छ।
labour	श्रम	परियोजनालाई दक्ष श्रम आवश्यक छ।
landscape	परिदृश्य	आँधी पछि परिदृश्य परिवर्तन भयो।
largely	मुख्यतया	योजना मुख्यतया सफल भयो।
launch	सुरु गर्नु	उनीहरूले भोलि उत्पादन सुरु गर्नेछन्।
leadership	नेतृत्व	बलियो नेतृत्वले टोलीलाई पुनर्जीवित गर्न मद्दत गर्यो।
league	लिग	हाम्रो क्लब क्षेत्रीय लिगमा सामेल भयो।
lean	अडेस लाग्नु	भिजेको भित्तामा अडेस नलाग्नुहोस्।
licence	इजाजतपत्र	इजाजतपत्र अर्को महिना समाप्त हुन्छ।
limited	सीमित	हामीसँग आज सीमित समय छ।
lively	जीवन्त	बैठक दिउँसोको खाना पछि जीवन्त भयो।
load	भार	ट्रकले भारी भार बोकेको थियो।
loan	ऋण	बैंकले ऋण स्वीकृत गर्यो।
logical	तार्किक	उनको तर्क स्पष्ट र तार्किक थियो।
long-term	दीर्घकालीन	यो एक दीर्घकालीन समाधान हो।
loose	खुकुलो	ह्यान्डल खुकुलो महसुस हुन्छ।
lord	मालिक	मालिकको धेरै गाउँहरू थिए।
lower	घटाउनु	उनीहरू जाडोमा मूल्य घटाउँछन्।
lung	फोक्सो	धुम्रपानले फोक्सोलाई हानि पुर्याउन सक्छ।
maintain	कायम राख्नु	हामी नियमित सम्पर्क कायम राख्छौं।
majority	बहुमत	बहुमतले प्रस्तावलाई समर्थन गर्यो।
mass	द्रव्यमान	बादलको ठूलो समूहले आकाश ढाकेको थियो।
massive	ठूलो	भूकम्पले ठूलो क्षति पुर्यायो।
master	निपुण	उनी वार्तालापमा निपुण भइन्।
matching	मिल्दो	उनले मिल्दो जुत्ता र बेल्ट लगाएका थिए।
maximum	अधिकतम	कोठा अधिकतम क्षमतामा पुग्यो।
means	माध्यम	इमेल हाम्रो सम्पर्कको मुख्य माध्यम हो।
measurement	नाप	नाप अलिकति गलत थियो।
melt	पग्लनु	हिउँ दिउँसोसम्ममा पग्लनेछ।
military	सैन्य	सैन्य आधार गत वर्ष बन्द भयो।
mineral	खनिज	फलाम एक महत्त्वपूर्ण खनिज हो।
minimum	न्यूनतम	न्यूनतम उमेर अठार हो।
minister	मन्त्री	मन्त्रीले कठिन प्रश्नहरूको उत्तर दिए।
minor	सामान्य	दुर्घटनाले सामान्य क्षति पुर्यायो।
minority	अल्पसंख्यक	एक अल्पसंख्यकले नयाँ नियमको विरोध गरे।
mission	अभियाान	उनीहरूको अभियान सुरक्षित रूपमा समाप्त भयो।
mixed	मिश्रित	समाचारले मिश्रित प्रतिक्रियाहरू प्राप्त गर्यो।
modify	परिमार्जन गर्नु	हामी पछि डिजाइन परिमार्जन गर्न सक्छौं।
monitor	निगरानी गर्नु	नर्सले उनको अवस्थाको निगरानी गर्नेछिन्।
moral	नैतिक	यस कथामा नैतिक पाठ छ।
motor	मोटर	मोटर पूर्व सूचना बिना नै रोकियो।
mount	जडान गर्नु	उनीहरूले प्रवेशद्वार नजिक क्यामेरा जडान गर्छन्।
multiple	धेरै	धेरै कारणहरूले ढिलाइ भयो।
multiply	गुणन गर्नु	संख्यालाई दसले गुणन गर्नुहोस्।
mysterious	रहस्यमय	बाहिर एउटा रहस्यमय प्रकाश देखा पर्यो।
neat	सफा	उनको डेस्क सधैं सफा हुन्छ।
nerve	नसा	चोटले नसामा क्षति पुर्‍यायो।
nevertheless	यद्यपि	काम गाह्रो थियो, यद्यपि हामीले सक्यौं।
nightmare	दुःस्वप्न	यात्रा एक दुःस्वप्न बन्यो।
notion	धारणा	परिवर्तन असम्भव छ भन्ने धारणा अस्वीकार गर्नुहोस्।
numerous	धेरै	धेरै अध्ययनहरूले यस विचारलाई समर्थन गर्छन्।
obey	पालन गर्नु	चालकहरूले संकेतहरूको पालन गर्नुपर्छ।
objective	उद्देश्य	हाम्रो उद्देश्य फोहोर घटाउनु हो।
obligation	दायित्व	आमाबाबुको बच्चाहरूको सुरक्षा गर्ने दायित्व हुन्छ।
observation	अवलोकन	उनको अवलोकनले छलफल नै परिवर्तन गर्यो।
observe	अवलोकन गर्नु	वैज्ञानिकहरूले हरेक वसन्त ऋतुमा चराहरूको अवलोकन गर्छन्।
obtain	प्राप्त गर्नु	तपाईंले लिखित अनुमति प्राप्त गर्नुपर्छ।
occasionally	कहिलेकाहीं	उनी कहिलेकाहीं घरबाटै काम गर्छिन्।
offence	अपमान	टिप्पणीले गम्भीर अपमान निम्त्यायो।
offend	अपमान गर्नु	मैले कसैलाई अपमान गर्ने नियत राखेको थिइनँ।
offensive	आपत्तिजनक	पोस्टरमा आपत्तिजनक भाषा थियो।
opening	खाली पद	जागिरको खाली पदले धेरै आवेदकहरूलाई आकर्षित गर्यो।
operate	सञ्चालन गर्नु	यो मेसिन स्वचालित रूपमा चल्न सक्छ।
opponent	विरोधी	उनका विरोधीले नीतिको आलोचना गरे।
oppose	विरोध गर्नु	धेरै बासिन्दाहरूले यो योजनाको विरोध गर्छन्।
opposed	विपरित	समूहहरूको विपरित विचारहरू थिए।
opposition	विरोध	प्रस्तावले कडा विरोधको सामना गर्यो।
organ	अंग	मुटु एक महत्त्वपूर्ण अंग हो।
origin	उत्पत्ति	आगोको उत्पत्ति अज्ञात छ।
otherwise	अन्यथा	अहिले जानुहोस्; अन्यथा तपाईं ढिलो हुनुहुनेछ।
outcome	परिणाम	परिणामले सबैलाई छक्क पार्यो।
outer	बाहिरी	बाहिरी पर्खाल मर्मत गर्नुपर्नेछ।
outline	रूपरेखा दिनु	कृपया आफ्नो मुख्य तर्कको रूपरेखा दिनुहोस्।
overall	समग्र	समग्र परिणाम सकारात्मक थियो।
owe	ऋणी हुनु	मैले तपाईंसँग माफी माग्नुपर्छ।
pace	गति	स्थिर गतिमा हिंड्नुहोस्।
panel	प्यानल	प्यानलले जलवायु नीतिको बारेमा छलफल गर्यो।
parliament	संसद	संसदले नयाँ कानुन पारित गर्यो।
participant	सहभागी	प्रत्येक सहभागीले फारममा हस्ताक्षर गरे।
partly	आंशिक रूपमा	ढिलाइ आंशिक रूपमा हाम्रो गल्ती थियो।
passage	अनुच्छेद	जवाफ दिनु अघि अनुच्छेद पढ्नुहोस्।
pension1	पेन्सन	निवृत्तिभरणले उनलाई अवकाश पछि मद्दत गर्छ।
permanent	स्थायी	उनीहरूलाई स्थायी समाधान चाहिन्छ।
permit	अनुमति दिनु	नियमहरूले छोटो भेटघाटको लागि अनुमति दिन्छ।
perspective	दृष्टिकोण	उनको दृष्टिकोण बुझ्ने प्रयास गर्नुहोस्।
phase	चरण	परियोजना आफ्नो अन्तिम चरणमा प्रवेश गर्यो।
phenomenon	घटना	यो घटना धेरै संस्कृतिहरूमा हुन्छ।
philosophy	दर्शन	उनको दर्शनले व्यावहारिक कार्यलाई महत्त्व दिन्छ।
pile	थुप्रो	कागजको थुप्रोले डेस्क ढाकेको थियो।
pitch	मैदान	टोलीले मैदानलाई सावधानीपूर्वक तयार गर्‍यो।
plain	स्पष्ट	निर्देशनहरू स्पष्ट र प्रत्यक्ष थिए।
pointed	तीखो	उनले एक तीखो टिप्पणी गरे।
popularity	लोकप्रियता	गायकले अनलाइन लोकप्रियता प्राप्त गरे।
pose	खडा गर्नु	प्रश्नले समस्या खडा गर्न सक्छ।
possess	हुनु	थोरै विद्यार्थीहरूसँग त्यो सीप हुन्छ।
potential	सम्भावना	यो विचारमा वास्तविक सम्भावना छ।
praise	प्रशंसा	शिक्षकले इमानदार प्रशंसा गरे।
pregnant	गर्भवती	उनी छ महिनाकी गर्भवती छिन्।
preparation	तयारी	राम्रो तयारीले तनाव कम गर्छ।
presence	उपस्थिति	उनको उपस्थितिले माहोल परिवर्तन गर्‍यो।
preserve	संरक्षण गर्नु	हामीले यस ऐतिहासिक भवनको संरक्षण गर्नुपर्छ।
prime	मुख्य	मुख्य कारण खराब योजना थियो।
principle	सिद्धान्त	निर्णयले स्पष्ट सिद्धान्तलाई पछ्यायो।
priority	प्राथमिकता	सुरक्षा हाम्रो पहिलो प्राथमिकता हो।
privacy	गोपनीयता	ग्राहकहरू अनलाइन गोपनीयताको अपेक्षा गर्छन्।
procedure	प्रक्रिया	प्रक्रिया पूरा हुन तीस मिनेट लाग्छ।
proof	प्रमाण	काम गर्नुअघि हामीलाई प्रमाण चाहिन्छ।
proposal	प्रस्ताव	प्रस्तावलाई थप विवरण चाहिन्छ।
propose	प्रस्ताव गर्नु	म छुट्टै समाधानको प्रस्ताव गर्छु।
prospect	सम्भावना	असफलताको सम्भावनाले उनीहरूलाई चिन्तित बनायो।
protection	सुरक्षा	हेल्मेटले आधारभूत सुरक्षा दिन्छ।
psychologist	मनोवैज्ञानिक	मनोवैज्ञानिकले परीक्षणको परिणामहरू व्याख्या गरे।
psychology	मनोविज्ञान	उनी विश्वविद्यालयमा मनोविज्ञान पढ्छिन्।
publication	प्रकाशन	प्रकाशनले जनमानसमा ध्यान तान्यो।
pupil	विद्यार्थी	प्रत्येक विद्यार्थीले नयाँ पाठ्यपुस्तक प्राप्त गरे।
purchase	खरिद गर्नु	उनीहरू हरेक महिना सामग्रीहरू खरिद गर्छन्।
pure	शुद्ध	पानी शुद्ध र चिसो थियो।
pursue	अघि बढ्नु	उनी चिकित्सा पेशामा अघि बढ्नेछन्।
rank	दर्जा	उनको वरिष्ठ दर्जा छ।
rapid	तीव्र	देशले तीव्र वृद्धि देख्यो।
rapidly	तीव्रताका साथ	यस वर्ष मूल्यहरू तीव्रताका साथ बढे।
raw	काँचो	भान्सेले काँचो तरकारी तयार पारे।
realistic	यथार्थवादी	यथार्थवादी समयसीमा तय गर्नुहोस्।
reasonable	उचित	त्यो उचित अनुरोध जस्तो देखिन्छ।
recall	सम्झनु	मलाई उनको ठ्याक्कै शब्दहरू याद छ।
recover	निको हुनु	उपचारपछि उनी निको हुनेछिन्।
reduction	कटौती	कटौतीले पैसा बचायो।
regard	मान्नु	धेरै मानिसहरू उनलाई इमानदार मान्छन्।
regional	क्षेत्रीय	क्षेत्रीय कार्यालय आज बन्द भयो।
register	दर्ता गर्नु	कृपया सम्मेलनअघि दर्ता गर्नुहोस्।
regret	पछुताउनु	म मेरो पहिलेको निर्णयमा पछुताउँछु।
regulation	नियम	नयाँ नियमले सबै चालकहरूलाई असर गर्छ।
relatively	अपेक्षाकृत	परीक्षा अपेक्षाकृत सजिलो थियो।
relevant	सान्दर्भिक	सान्दर्भिक विवरणहरू मात्र छान्नुहोस्।
relief	राहत	यो खबरले ठूलो राहत ल्यायो।
rely	भर पर्नु	बालबालिकाहरू वयस्कको समर्थनमा भर पर्छन्।
remark	टिप्पणी	उसको टिप्पणीले छलफल समाप्त गर्यो।
