source_headword	NO	example_NO
hunt	lete etter	De leter etter sopp om høsten.
hurricane	en orkan	Orkanen skadet mange hjem.
hurry	hastverk	Det er ikke noe hastverk i dag.
identity	en identitet	Hennes identitet forble hemmelig.
ignore	ignorere	Ikke ignorer denne advarselen.
illegal	ulovlig	Det er ulovlig å parkere her.
imaginary	innbilt	Historien har en innbilt ø.
immediate	umiddelbar	Vi trenger et umiddelbart svar.
immigrant	en innvandrer	Innvandreren lærte engelsk raskt.
impact	en påvirkning	Nyheten hadde en sterk påvirkning.
import	importere	Landet vil importere mer ris.
importance	viktigheten	Hun forsto viktigheten av søvn.
impression	et inntrykk	Hans første inntrykk var positivt.
impressive	imponerende	Museet har en imponerende inngang.
improvement	en forbedring	Det var en tydelig forbedring denne måneden.
incredibly	utrolig	Prøven var utrolig vanskelig.
indeed	virkelig	Det var virkelig en merkelig dag.
indicate	vise	Skiltet vil vise utgangen.
indirect	indirekte	Hun ga et indirekte svar.
indoor	innendørs	Hotellet har et innendørs basseng.
indoors	innendørs	Vi holdt oss innendørs under stormen.
influence	en innflytelse	Læreren hans hadde sterk innflytelse.
ingredient	en ingrediens	Mel er den viktigste ingrediensen.
injure	skade	Ikke skad ryggen din.
injured	skadet	Den skadde spilleren forlot banen.
innocent	uskyldig	Barnet så helt uskyldig ut.
intelligence	intelligens	Hun viste stor intelligens i klassen.
intend	ha til hensikt	Jeg har til hensikt å studere i utlandet.
intention	en hensikt	Hans hensikt var å hjelpe.
invest	investere	De investerer penger i utdanning.
investigate	undersøke	Politiet skal undersøke ulykken.
involved	involvert	Flere studenter var involvert.
iron	jern	Porten er laget av jern.
issue	en sak	Dette er en alvorlig sak.
IT	IT	Hun jobber med IT.
journal	en dagbok	Han skriver i en dagbok.
judge	en dommer	Dommeren lyttet nøye.
keen	ivrig	Hun er ivrig etter å lære.
keyboard	et tastatur	Tastaturet mitt sluttet å virke.
kick	sparke	Spark ballen forsiktig.
killing	et drap	Drapet sjokkerte landsbyen.
kind (caring)	snill	Det var snilt gjort.
kiss	et kyss	Hun ga babyen et kyss.
label	en etikett	Les etiketten før bruk.
laboratory	et laboratorium	Laboratoriet er stengt i dag.
lack	en mangel	Mangel på søvn skader hukommelsen.
latest	siste	Har du lest den siste rapporten?
lay	legge	Legg boken på bordet.
layer	et lag	Legg til et nytt lag maling.
leading	ledende	Hun er en ledende forsker.
leaf	et blad	Et blad falt på jakken min.
leather	lær	Vesken hans er laget av lær.
legal	juridisk	Vi trenger juridisk råd.
leisure	fritid	Lesing er min favorittaktivitet på fritiden.
length	lengde	Mål lengden på rommet.
lie2 (tell a lie)	lyve	Ikke lyv til foreldrene dine.
limit	en grense	Fartsgrensen er femti.
lip	en leppe	Hun bet seg i leppen.
liquid	en væske	Vann er en klar væske.
literature	litteratur	Hun studerer fransk litteratur.
live2	live	Bandet spilte live i går kveld.
living	levende	Levende planter trenger lys.
locate	finne	Kan du finne filen?
located	lokalisert	Kontoret er lokalisert i sentrum.
location	et sted	Dette er et godt sted.
lonely	ensom	Han følte seg ensom etter flyttingen.
loss	et tap	Tapet var vanskelig for alle.
luxury	luksus	Hotellet tilbyr ekte luksus.
mad	sint	Hun var sint over forsinkelsen.
magic	magi	Showet var fullt av magi.
mainly	hovedsakelig	Gruppen består hovedsakelig av studenter.
mall	et kjøpesenter	Vi møttes på kjøpesenteret.
management	ledelse	God ledelse sparer tid.
marketing	markedsføring	Markedsføring hjelper med å selge produktet.
marriage	et ekteskap	Ekteskapet deres varte i tretti år.
meanwhile	imens	Jeg laget middag imens.
measure	måle	Mål bordet nøye.
