source_headword	LT	example_LT
toss	mesti	Ji numetė raktus ant stalo.
total	siekti	Remonto išlaidos siekia daugiau nei tikėtasi.
toxic	toksiškas	Toksiški dūmai visus privertė išeiti į lauką.
trademark	prekės ženklas	Logotipas tapo įmonės prekės ženklu.
trail	takas	Takas vedė per mišką.
trailer	anonsas	Anonsas parodė filmo pabaigą.
transaction	transakcija	Transakcija atsirado mano banko išraše.
transcript	nuorašas	Studentas paprašė oficialaus nuorašo.
transformation	transformacija	Miestas patyrė didelę transformaciją.
transit	tranzitas	Siuntinys buvo pažeistas tranzito metu.
transmission	perdavimas	Duomenų perdavimas buvo saugus.
transparency	skaidrumas	Ataskaitoje buvo raginama didinti skaidrumą.
transparent	skaidrus	Procesas turėtų būti skaidrus visiems.
trauma	trauma	Avarija paliko gilią traumą.
treaty	sutartis	Šalys pasirašė taikos sutartį.
tremendous	didžiulis	Komanda padarė didžiulę pažangą.
tribal	genčių	Muziejuje buvo eksponuojamas genčių menas.
tribunal	tribunolas	Tribunolas visą savaitę klausėsi įrodymų.
tribute	pagarbos išraiška	Koncertas buvo pagarbos išraiška jai.
trio	trio	Trio pasirodė festivalyje.
triumph	triumfas	Pergalė buvo asmeninis triumfas.
trophy	trofėjus	Kapitonas išdidžiai iškėlė trofėjų.
troubled	turintis problemų	Problemų turinčiai įmonei reikėjo naujos vadovybės.
trustee	patikėtinis	Patikėtinis valdo stipendijų fondą.
tuition	mokestis už mokslą	Jos mokestis už mokslą šiemet padidėjo.
turnout	aktyvumas	Rinkėjų aktyvumas buvo didesnis nei tikėtasi.
turnover	kaita	Po pokyčių darbuotojų kaita sumažėjo.
twist	pasukti	Ji pasuko dangtelį, kad atidarytų.
undergraduate	bakalaurantas	Bakalaurantas prisijungė prie tyrimų projekto.
underlying	pagrindinis	Ataskaitoje buvo paaiškintos pagrindinės priežastys.
undermine	pakirsti	Skandalas pakirto visuomenės pasitikėjimą.
undoubtedly	neabejotinai	Ji neabejotinai yra geriausia kandidatė.
unify	suvienyti	Planu siekiama suvienyti komandas.
unprecedented	beprecedentis	Audra padarė beprecedentę žalą.
unveil	pristatyti	Įmonė rytoj pristatys dizainą.
upcoming	artėjantis	Artėjantys rinkimai pritraukė visuomenės dėmesį.
upgrade	atnaujinti	Praėjusią naktį atnaujinome programinę įrangą.
uphold	palaikyti	Mes palaikome pradinį sprendimą.
utility	komunalinės paslaugos	Į buto nuomą įskaičiuotos visos komunalinės išlaidos.
utilize	panaudoti	Komanda panaudojo turimus duomenis.
utterly	visiškai	Paaiškinimas buvo visiškai painus.
vacuum	vakuumas	Vadovybės vakuumas sukėlė įtampą.
vague	neaiškus	Jo atsakymas buvo neaiškus ir silpnas.
validity	pagrįstumas	Tyrimas suabejojo testo pagrįstumu.
vanish	dingti	Failas dingo iš aplanko.
variable	kintamasis	Kaina yra vienas svarbus kintamasis.
varied	įvairus	Kursas siūlo įvairias užduotis.
vein	vena	Slaugytoja greitai rado veną.
venture	projektas	Naujas projektas pritraukė investuotojus.
verbal	žodinis	Jie pasiekė žodinį susitarimą.
verdict	nuosprendis	Prisiekusieji paskelbė nuosprendį.
verify	patvirtinti	Prašome patvirtinti savo el. pašto adresą.
verse	posmas	Ji pacitavo posmą iš eilėraščio.
versus	prieš	Diskusija buvo privatumas prieš saugumą.
vessel	laivas	Laivas gabeno grūdus per jūrą.
veteran	veteranas	Veteranas apmokė naujus darbuotojus.
viable	perspektyvus	Pasiūlymas yra finansiškai perspektyvus.
vibrant	gyvybingas	Mieste yra gyvybinga meno scena.
vice	yda	Godumas buvo jo didžiausia yda.
vicious	žiaurus	Žiaurus išpuolis sukrėtė miestą.
villager	kaimo gyventojas	Kaimo gyventojas palydėjo mus prie upės.
violate	pažeisti	Įmonė gali pažeisti saugos taisykles.
violation	pažeidimas	Inspektorius pranešė apie rimtą pažeidimą.
virtue	dorybė	Kantrybė yra svarbi dorybė.
vocal	iškalbingas	Ji garsiai reiškė nuomonę dėl sprendimo.
vow	prisiekti	Jis prisiekė užbaigti darbą.
vulnerability	pažeidžiamumas	Auditas atskleidė saugumo pažeidžiamumą.
vulnerable	pažeidžiamas	Vaikai yra pažeidžiami per ekstremalius karščius.
ward	palata	Pacientas persikėlė į kitą palatą.
warehouse	sandėlis	Sandėlyje laikomos atsarginės dalys.
warfare	karyba	Šiuolaikinė karyba remiasi technologijomis.
warrant	orderis	Policija parodė kratos orderį.
warrior	karys	Karys gynė kaimą.
weaken	susilpninti	Trauma susilpnino jo gniaužtus.
weave	pinti	Ji išmoko pinti krepšius.
weed	piktžolė	Tarp akmenų išaugo piktžolė.
well	šulinys	Kaimo šulinys išdžiūvo.
well-being	gerovė	Miegojimas yra gyvybiškai svarbus gerovei.
whatsoever	visiškai	Jis neparodė jokio susidomėjimo.
whereby	pagal kurį	Įstatymas sukūrė sistemą, pagal kurią šeimos galėjo pateikti apeliaciją.
whilst	kol	Ji dirbo, kol jis ilsėjosi.
whip	plakti	Vėjas gali plakti vėliavas.
wholly	visiškai	Sprendimas buvo visiškai netikėtas.
widen	praplatinti	Miestas planuoja praplatinti kelią.
widow	našlė	Našlė gyvena netoli mokyklos.
width	plotis	Išmatuokite durų plotį.
willingness	noras	Jos noras padėti visiems padarė įspūdį.
wipe	nuvalyti	Nuvalykite ekraną šluoste.
wit	sąmojis	Dėl jo sąmojo kalba tapo gyva.
withdrawal	atšaukimas	Finansavimo atšaukimas atidėjo projektą.
workout	treniruotė	Treniruotė truko keturiasdešimt minučių.
worship	pamaldos	Žmonės susirinko į pamaldas auštant.
worthwhile	vertas pastangų	Kelionė buvo verta pastangų.
worthy	vertas	Labdara yra verta paramos.
yell	rėkti	Nerėkite ant personalo.
yield	derlius	Šį sezoną ūkio derlius pagerėjo.
youngster	jaunuolis	Jaunuolis uždavė daug klausimų.
