source_headword	SW	example_SW
hunt	kuwinda	Wanatafuta uyoga wakati wa vuli.
hurricane	kimbunga	Kimbunga kiliharibu nyumba nyingi.
hurry	haraka	Hakuna haraka leo.
identity	utambulisho	Utambulisho wake ulibaki siri.
ignore	kupuuza	Usipuuze onyo hili.
illegal	haramu	Ni haramu kuegesha hapa.
imaginary	wa kufikirika	Hadithi ina kisiwa cha kufikirika.
immediate	wa haraka	Tunahitaji jibu la haraka.
immigrant	mhamiaji	Mhamiaji alijifunza Kiingereza haraka.
impact	athari	Habari hiyo ilikuwa na athari kubwa.
import	kuagiza kutoka nje	Nchi itaagiza mchele zaidi kutoka nje.
importance	umuhimu	Alielewa umuhimu wa usingizi.
impression	hisia	Hisia yake ya kwanza ilikuwa nzuri.
impressive	wa kuvutia	Jumba la makumbusho lina mlango wa kuvutia.
improvement	uboreshaji	Kulikuwa na uboreshaji wazi mwezi huu.
incredibly	kupita kiasi	Mtihani ulikuwa mgumu kupita kiasi.
indeed	kweli	Ilikuwa siku ya ajabu kweli.
indicate	kuonyesha	Alama itaonyesha njia ya kutoka.
indirect	usio wa moja kwa moja	Alitoa jibu lisilo la moja kwa moja.
indoor	wa ndani	Hoteli ina bwawa la kuogelea la ndani.
indoors	ndani	Tulikaa ndani wakati wa dhoruba.
influence	ushawishi	Mwalimu wake alikuwa na ushawishi mkubwa.
ingredient	kiungo	Unga ni kiungo kikuu.
injure	kujeruhi	Usijeruhi mgongo wako.
injured	aliyejeruhiwa	Mchezaji aliyejeruhiwa aliondoka uwanjani.
innocent	asiye na hatia	Mtoto alionekana asiye na hatia kabisa.
intelligence	akili	Alionyesha akili kubwa darasani.
intend	kukusudia	Ninakusudia kusoma nje ya nchi.
intention	nia	Nia yake ilikuwa kusaidia.
invest	kuwekeza	Wanawekeza pesa katika elimu.
investigate	kuchunguza	Polisi watachunguza ajali hiyo.
involved	aliyehusika	Wanafunzi kadhaa walihusika.
iron	chuma	Lango limetengenezwa kwa chuma.
issue	suala	Hili ni suala kubwa.
IT	teknolojia ya habari	Anafanya kazi katika teknolojia ya habari.
journal	shajara	Anaandika katika shajara.
judge	jaji	Jaji alisikiliza kwa makini.
keen	mwenye hamu	Ana hamu ya kujifunza.
keyboard	kibodi	Kibodi yangu iliacha kufanya kazi.
kick	kupiga teke	Piga mpira kwa upole.
killing	mauaji	Mauaji hayo yaliutikisa kijiji.
kind (caring)	mwema	Hicho kilikuwa kitendo chema.
kiss	busu	Alimpa mtoto busu.
label	lebo	Soma lebo kabla ya kutumia.
laboratory	maabara	Maabara imefungwa leo.
lack	ukosefu	Ukosefu wa usingizi hudhuru kumbukumbu.
latest	wa hivi karibuni	Umesoma ripoti ya hivi karibuni?
lay	kuweka	Weka kitabu juu ya meza.
layer	tabaka	Ongeza tabaka lingine la rangi.
leading	anayeongoza	Yeye ni mwanasayansi anayeongoza.
leaf	jani	Jani lilianguka juu ya koti langu.
leather	ngozi	Mkoba wake umetengenezwa kwa ngozi.
legal	kisheria	Tunahitaji ushauri wa kisheria.
leisure	wakati wa mapumziko	Kusoma ni shughuli yangu ninayoipenda wakati wa mapumziko.
length	urefu	Pima urefu wa chumba.
lie2 (tell a lie)	kusema uongo	Usiwaambie wazazi wako uongo.
limit	kikomo	Kikomo cha mwendo ni hamsini.
lip	mdomo	Alijiuma mdomo.
liquid	kioevu	Maji ni kioevu wazi.
literature	fasihi	Anasoma fasihi ya Kifaransa.
live2	moja kwa moja	Bendi ilipiga muziki moja kwa moja jana usiku.
living	hai	Mimea hai inahitaji mwanga.
locate	kupata	Unaweza kupata faili?
located	iliyoko	Ofisi iko katikati ya jiji.
location	mahali	Hapa ni mahali pazuri.
lonely	mpweke	Alijisikia mpweke baada ya kuhama.
loss	hasara	Hasara ilikuwa ngumu kwa kila mtu.
luxury	anasa	Hoteli inatoa anasa ya kweli.
mad	hasira	Alikuwa na hasira kuhusu kuchelewa.
magic	uchawi	Onyesho lilijaa uchawi.
mainly	hasa	Kundi hilo ni hasa wanafunzi.
mall	kituo cha maduka	Tulikutanika kwenye kituo cha maduka.
management	usimamizi	Usimamizi mzuri huokoa muda.
marketing	masoko	Masoko husaidia kuuza bidhaa.
marriage	ndoa	Ndoa yao ilidumu miaka thelathini.
meanwhile	wakati huo huo	Nilipika chakula cha jioni wakati huo huo.
measure	kupima	Pima meza kwa makini.
medium	wastani	Niliagiza pizza ya ukubwa wa wastani.
mental	wa akili	Msongo huathiri afya ya akili.
mess	fujo	Safisha fujo hii.
mild	mpole	Supu ina ladha mpole.
mine (hole in the ground)	mgodi	Mgodi ulifungwa mwaka jana.
mix	kuchanganya	Changanya mayai na maziwa.
mixture	mchanganyiko	Mchanganyiko ukawa mzito.
mood	hisia	Muziki ulibadilisha hisia zake.
mud	matope	Viatu vyake vilifunikwa na matope.
murder	mauaji	Mauaji yalitokea usiku.
muscle	misuli	Mazoezi hujenga misuli.
mystery	siri	Nyumba ya zamani ni siri.
nail	ukucha	Nilivunja ukucha.
narrative	simulizi	Riwaya ina simulizi wazi.
nation	taifa	Taifa zima lilisherehekea.
native	lugha ya kwanza	Kihispania ni lugha yake ya kwanza.
naturally	kwa kawaida	Watoto hujifunza kwa kawaida kupitia mchezo.
necessarily	lazima	Chakula ghali si lazima kiwe bora.
needle	sindano	Sindano ni kali sana.
neighbourhood	mtaa	Wanaishi katika mtaa tulivu.
net	wavu	Mvuvi alirekebisha wavu wake.
nor	wala	Hakutabasamu wala kusema.
northern	wa kaskazini	Walitembelea pwani ya kaskazini.
nuclear	nyuklia	Mjadala ulikuwa kuhusu nguvu za nyuklia.
obvious	wazi	Jibu lilikuwa wazi.
obviously	ni wazi	Ni wazi tunahitaji muda zaidi.
occasion	tukio	Hili ni tukio maalum.
occur	kutokea	Ajali zinaweza kutokea popote.
odd	ajabu	Hilo lilikuwa swali la ajabu.
official	rasmi	Matokeo rasmi yalifika leo.
old-fashioned	wa kizamani	Simu yake inaonekana ya kizamani.
operation	upasuaji	Upasuaji ulidumu saa mbili.
organized	mpangilio	Desk yake ina mpangilio sana.
organizer	mratibu	Mratibu aliwakaribisha wageni.
originally	awali	Awali alitoka Kanada.
ought modal	paswa	Unapaswa kupumzika.
ours	yetu	Meza hii ni yetu.
outdoor	wa nje	Tulinunua samani za nje.
outdoors	nje	Watoto wanapaswa kucheza nje.
package	kifurushi	Kifurushi kilifika asubuhi hii.
painful	chungu	Jeraha lilikuwa chungu.
pale	pauka	Uso wake ulionekana umepauka.
pan	sufuria	Pasha sufuria kwanza.
participate	kushiriki	Kila mtu anaweza kushiriki.
particularly	hasa	Ninapenda hasa wimbo huu.
passion	shauku	Muziki ni shauku yake.
path	njia	Fuata njia kupitia bustani.
payment	malipo	Malipo yanapaswa kufanyika kesho.
peaceful	tulivu	Bustani ni tulivu.
percentage	asilimia	Asilimia ndogo ilikubali.
perfectly	kikamilifu	Mpango ulifanya kazi kikamilifu.
performance	utendaji	Utendaji wake ulikuwa bora.
personally	binafsi	Binafsi napendelea chai.
persuade	kushawishi	Unaweza kumshawishi ajiunge?
photographer	mpiga picha	Mpiga picha alipiga picha nyingi.
photography	upigaji picha	Upigaji picha ni hobby yake anayopenda.
pin	pini	Weka pini kwenye ramani.
pipe	bomba	Bomba hubeba maji.
planning	upangaji	Upangaji huchukua muda.
pleasant	ya kupendeza	Tulikuwa na jioni ya kupendeza.
pleasure	furaha	Ilikuwa furaha kukutana nawe.
plenty	nyingi	Tuna muda mwingi.
plot	msuko wa hadithi	Msuko wa hadithi ulikuwa rahisi kufuata.
plus1	jumlisha	Mbili jumlisha tatu ni tano.
poem	shairi	Aliandika shairi fupi.
poet	mshairi	Mshairi alisoma kwa sauti.
