source_headword	SL	example_SL
fridge	hladilnik	Mleko je v hladilniku.
frog	žaba	Žaba je skočila v ribnik.
furniture	pohištvo	To pohištvo je staro, a trdno.
further	daljnji; dodatni	Potrebujemo dodatne informacije.
gallery	galerija	Galerija je danes odprta.
gap	vrzel; razmik	V zidu je vrzel.
gas	bencin; plin	Avto potrebuje bencin.
gate	vrata; vhodna vrata	Zapri vrata, prosim.
general	splošen	To je splošno pravilo.
gift	darilo	Kupila je darilo.
goal	cilj	Naš cilj je preprost.
god	Bog; bog	Mnogi ljudje molijo k Bogu.
gold	zlato; zlat	Prstan je zlat.
golf	golf	Danes igra golf.
government	vlada	Vlada je spremenila zakon.
grass	trava	Trava je mokra.
greet	pozdraviti	Vsakega gosta vljudno pozdravi.
ground	tla; zemlja	Sedi na tla.
guest	gost	Naš gost je prišel zgodaj.
guide	vodnik	Vodnik nam je pokazal muzej.
gun	pištola; orožje	Policija je našla pištolo.
guy	tip; fant	Tisti tip je moj brat.
habit	navada	Vsakodnevno branje je dobra navada.
hall	hodnik; dvorana	Počakaj na hodniku.
happily	srečno	Živela sta srečno skupaj.
headache	glavobol	Imam glavobol.
heart	srce	Njeno srce hitro bije.
heat	segreti; toplota	Počasi segrej juho.
heavy	težak	Ta torba je težka.
height	višina	Izmeri višino mize.
helpful	koristen	Tvoj nasvet je bil koristen.
hero	junak; heroj	On je moj junak.
hers	njen	Moder plašč je njen.
herself	sama	Sama je pripravila večerjo.
hide	skriti	Skrij ključ pod škatlo.
hill	hrib	Povzpeli smo se na hrib.
himself	sam	Sam je to popravil.
hit	udariti	Ne udari po vratih.
hockey	hokej	Sinoči smo gledali hokej.
hold	držati	Drži me za roko.
hole	luknja	V moji nogavici je luknja.
huge	ogromen	Soba je ogromna.
human	človek; človeški	Vsak človek potrebuje vodo.
hurt	boleti; poškodovati	Koleno me boli.
ideal	idealen	Ta soba je idealna za učenje.
identify	prepoznati	Ali lahko prepoznaš to ptico?
ill	bolan	Danes se počuti bolno.
illness	bolezen	Bolezen je trajala en teden.
image	slika	Slika je jasna.
immediately	takoj	Pridi sem takoj.
impossible	nemogoč	Ta uganka se zdi nemogoča.
included	vključen	Zajtrk je vključen.
including	vključno z	Prišlo je deset ljudi, vključno z mano.
increase	povečati se; povečanje	Cene se poleti zvišajo.
incredible	neverjeten	Razgled je bil neverjeten.
independent	neodvisen	Moja sestra je neodvisna.
individual	posameznik	Vsak posameznik ima številko.
industry	industrija	Lokalna industrija raste.
informal	neformalen	To e-poštno sporočilo je neformalno.
injury	poškodba	Njegova poškodba ni resna.
insect	žuželka	Žuželka je pristala na skodelici.
inside	znotraj; v notranjosti	Počakaj znotraj hiše.
instead	namesto tega	Namesto tega pij vodo.
instruction	navodilo	Vsako navodilo pozorno preberi.
instructor	inštruktor	Inštruktor je razložil vajo.
instrument	instrument	Ona igra instrument.
intelligent	inteligenten	On je inteligenten učenec.
international	mednaroden	To je mednarodno letališče.
introduction	uvod	Uvod je bil kratek.
invent	izumiti	Otroci lahko izumijo nove igre.
invention	izum	Izum je prihranil čas.
invitation	vabilo	Prejel sem vabilo.
invite	povabiti	Povabi tudi svojega prijatelja.
involve	vključevati	Delo bo vključevalo potovanja.
item	predmet; izdelek	Izberi en predmet.
itself	samo	Stroj se sam izklopi.
jam	marmelada	Na kruh namaži marmelado.
jazz	džez	Džez nocoj zveni odlično.
jewellery	nakit	Nakit hrani v škatli.
joke	šala	Povej mi šalo.
journalist	novinar	Novinar je zastavljal vprašanja.
jump	skočiti	Skoči čez črto.
kid	otrok	Otrok se smeji.
kill	ubiti	Ne ubij žuželke.
king	kralj	Kralj je živel v palači.
knee	koleno	Koleno me boli.
knife	nož	Uporabi oster nož.
knock	potrkati	Potrkaj, preden vstopiš.
knowledge	znanje	Znanje raste z vajo.
lab	laboratorij	Laboratorij je zaprt.
lady	gospa	Gospa se nam je nasmehnila.
lake	jezero	Jezero je mirno.
lamp	svetilka	Prižgi svetilko.
laptop	prenosnik	Moj prenosnik je nov.
last1 (taking time)	trajati	Film traja dve uri.
laughter	smeh	Zunaj smo slišali smeh.
law	zakon	Zakon se je včeraj spremenil.
lawyer	odvetnik	Odvetnik me je poklical.
lazy	len	Ne bodi len.
lead1	voditi	Dobri voditelji vodijo z zgledom.
leader	vodja	Ona je vodja ekipe.
learning	učenje	Učenje zahteva čas.
least	najmanj	Izberi najmanj drago možnost.
lecture	predavanje	Predavanje se začne ob desetih.
lemon	limona	Dodaj limono v čaj.
lend	posoditi	Mi lahko posodiš pet dolarjev?
less	manj	Jej manj sladkorja.
level	raven	Ta raven je lahka.
lifestyle	življenjski slog	Ima zdrav življenjski slog.
lift	dvigniti	Previdno dvigni škatlo.
light	prižgati	Previdno prižgi svečo.
light (not heavy)	lahek	Ta torba je lahka.
likely	verjeten	Jutri je dež verjeten.
link	povezava	Pošlji mi povezavo.
listener	poslušalec	Bodi dober poslušalec.
lock	zakleniti	Zakleni vrata.
lorry	tovornjak	Tovornjak je prevažal škatle.
lost	izgubljen	Izgubljeni smo.
loud	glasen	Glasba je glasna.
loudly	glasno	Prosim, ne govori glasno.
lovely	prijeten; lep	Kako lep vrt!
low	nizek	Stol je nizek.
luck	sreča	Srečno pri testu.
lucky	srečen	Danes imaš srečo.
mail	pošta	Danes zjutraj sem dobil pošto.
major	glaven; velik	To je velik problem.
male	moški; samec	Samec ptice je svetel.
manage	uspeti; upravljati	Ali lahko opraviš to nalogo?
manager	vodja; menedžer	Vodja je zaseden.
manner	način	Govori vljudno.
mark	označiti	Jasno označi svoj odgovor.
marry	poročiti se	Poročila se bosta junija.
material	material	Ta material je mehak.
mathematics	matematika	Matematika je moj najljubši predmet.
maths	matematika	Matematika mi je težka.
matter	zadeva; biti pomembno	To ni pomembno.
may modal	lahko	Zdaj lahko odideš.
media	mediji	Mediji so poročali o zgodbi.
medical	medicinski	Potrebuje medicinsko pomoč.
