hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
303:白色	白色	白色	bílá barva	Mám rád bílý hrnek.	biela farba	Mám rád bielu šálku.	fehér szín	Szeretem a fehér bögrét.	culoarea albă	Îmi place cana albă.	бял цвят	Харесвам бялата чаша.	bijela boja	Sviđa mi se bijela šalica.
305:帮	帮	帮	pomáhat	Pomoz mi prosím otevřít dveře.	pomáhať	Pomôž mi, prosím, otvoriť dvere.	segíteni	Kérlek, segíts kinyitni az ajtót.	a ajuta	Te rog ajută-mă să deschid ușa.	помагам	Моля, помогни ми да отворя вратата.	pomagati	Molim te, pomozi mi otvoriti vrata.
308:本子	本子	本子	sešit; zápisník	Tento sešit je můj.	zošit; zápisník	Tento zošit je môj.	füzet; jegyzetfüzet	Ez a füzet az enyém.	caiet; carnețel	Acest caiet este al meu.	тетрадка; бележник	Тази тетрадка е моя.	bilježnica	Ova bilježnica je moja.
310:笔	笔	笔	pero; tužka	Mám pero.	pero; ceruzka	Mám pero.	toll; ceruza	Van egy tollam.	stilou; pix; creion	Am un pix.	химикал; молив	Имам химикал.	olovka; kemijska olovka	Imam olovku.
312:不错	不错	不错	není špatný; docela dobrý	Tato restaurace je docela dobrá.	nie je zlý; celkom dobrý	Táto reštaurácia je celkom dobrá.	nem rossz; elég jó	Ez az étterem elég jó.	nu e rău; destul de bun	Acest restaurant este destul de bun.	не е лошо; доста добро	Този ресторант е доста добър.	nije loše; prilično dobro	Ovaj restoran je prilično dobar.
313:不好意思	不好意思	不好意思	promiňte; je mi trapně	Promiňte, přišel jsem pozdě.	prepáčte; je mi trápne	Prepáčte, prišiel som neskoro.	elnézést; zavarban lenni	Elnézést, elkéstem.	scuze; jenat	Scuze, am întârziat.	извинете; неудобно ми е	Извинете, закъснях.	oprostite; neugodno mi je	Oprostite, zakasnio sam.
315:车站	车站	车站	stanice; zastávka	Zastávka je vpředu.	stanica; zastávka	Zastávka je vpredu.	állomás; megálló	A megálló elöl van.	stație; oprire	Stația este în față.	гара; спирка	Спирката е отпред.	stanica; postaja	Stanica je naprijed.
317:出国	出国	出国	jet do zahraničí	Příští rok pojede studovat do zahraničí.	ísť do zahraničia	Budúci rok pôjde študovať do zahraničia.	külföldre menni	Jövőre külföldre megy tanulni.	a pleca în străinătate	Anul viitor va pleca în străinătate la studii.	заминавам в чужбина	Догодина той ще замине да учи в чужбина.	otići u inozemstvo	Sljedeće godine ide studirati u inozemstvo.
318:出来	出来	出来	vyjít ven	Vyjděte prosím na chvíli ven.	vyjsť von	Prosím, vyjdi na chvíľu von.	kijönni	Kérlek, gyere ki egy pillanatra.	a ieși	Te rog ieși puțin.	излизам навън	Моля, излез за малко.	izaći van	Molim te, izađi na trenutak.
319:出门	出门	出门	vyjít z domu	Ráno v osm vycházím z domu.	odísť z domu	Ráno o ôsmej odchádzam z domu.	elindulni otthonról	Reggel nyolckor indulok el otthonról.	a ieși din casă	Ies din casă la opt dimineața.	излизам от вкъщи	Сутрин излизам от вкъщи в осем.	izaći iz kuće	Ujutro izlazim iz kuće u osam.
