simplified	LO	example_LO
哎	ເອີ້	ເອີ້ ເຈົ້າມາທີ່ນີ້ເຮັດຫຍັງ?
唉	ໂອ້ຍ	ໂອ້ຍ ຂ້ອຍມາຊ້າອີກແລ້ວ.
爱护	ຮັກສາ	ພວກເຮົາຄວນຮັກສາສິ່ງແວດລ້ອມ.
爱惜	ເຫັນຄຸນຄ່າ	ກະລຸນາເຫັນຄຸນຄ່າເວລາຂອງຕົນເອງ.
爱心	ນ້ຳໃຈ	ນາງເປັນຄົນມີນ້ຳໃຈຫຼາຍ.
安慰	ປອບໃຈ	ໝູ່ຂອງຂ້ອຍໄດ້ປອບໃຈຂ້ອຍ.
安装	ຕິດຕັ້ງ	ຊ່າງກຳລັງຕິດຕັ້ງແອ.
岸	ຝັ່ງ	ເຮືອຄ່ອຍໆເຂົ້າໃກ້ຝັ່ງ.
暗	ມືດ	ໃນຫ້ອງມືດຫຼາຍ.
熬夜	ອົດນອນ	ການອົດນອນບໍ່ດີຕໍ່ສຸຂະພາບ.
把握	ຄວາມໝັ້ນໃຈ	ຂ້ອຍບໍ່ມີຄວາມໝັ້ນໃຈວ່າຈະເຮັດສິ່ງນີ້ໄດ້ດີ.
摆	ຈັດວາງ	ກະລຸນາຈັດວາງຕັ່ງໃຫ້ຮຽບຮ້ອຍ.
办理	ດຳເນີນການ	ຂ້ອຍຈະໄປທະນາຄານເພື່ອດຳເນີນການບາງຢ່າງ.
傍晚	ຕອນແລງ	ພວກເຮົາຈະໄປຍ່າງຫຼິ້ນຕອນແລງ.
包裹	ພັດສະດຸ	ຂ້ອຍໄດ້ຮັບພັດສະດຸໜຶ່ງອັນ.
包含	ລວມມີ	ລາຄານີ້ລວມມີອາຫານເຊົ້າ.
包括	ລວມທັງ	ຄ່າໃຊ້ຈ່າຍນີ້ລວມທັງອາຫານທ່ຽງ.
薄	ບາງ	ປຶ້ມຫົວນີ້ບາງຫຼາຍ.
保持	ຮັກສາໄວ້	ກະລຸນາຮັກສາຄວາມງຽບ.
保存	ບັນທຶກ	ກະລຸນາບັນທຶກເອກະສານນີ້.
保留	ຈອງໄວ້	ກະລຸນາຈອງບ່ອນນັ່ງໃຫ້ຂ້ອຍ.
保险	ປະກັນໄພ	ຂ້ອຍຊື້ປະກັນໄພການເດີນທາງ.
宝贝	ສິ່ງລ້ຳຄ່າ	ນີ້ແມ່ນສິ່ງລ້ຳຄ່າຂອງຂ້ອຍ.
宝贵	ມີຄ່າ	ເວລາມີຄ່າຫຼາຍ.
报到	ລາຍງານຕົວ	ນັກຮຽນໃໝ່ມາໂຮງຮຽນເພື່ອລາຍງານຕົວມື້ນີ້.
报道	ລາຍງານຂ່າວ	ຂ່າວໄດ້ລາຍງານເລື່ອງນີ້.
报告	ລາຍງານ	ລາວກຳລັງໃຫ້ລາຍງານ.
报社	ສຳນັກພິມໜັງສືພິມ	ນາງເຮັດວຽກຢູ່ສຳນັກພິມໜັງສືພິມ.
抱怨	ຈົ່ມ	ລາວມັກຈົ່ມວ່າວຽກຫຼາຍເກີນໄປ.
悲观	ມອງໂລກໃນແງ່ຮ້າຍ	ຢ່າມອງໂລກໃນແງ່ຮ້າຍເກີນໄປ.
背	ຫຼັງ	ລາວນັ່ງຫັນຫຼັງໃຫ້ປະຕູ.
背景	ພື້ນຫຼັງ	ກະລຸນາແນະນຳພື້ນຫຼັງຂອງເຈົ້າສັ້ນໆ.
被子	ຜ້າຫົ່ມ	ຜ້າຫົ່ມຜືນນີ້ອົບອຸ່ນຫຼາຍ.
