source_headword	PL	example_PL
abolish	znieść	Prawo zniesie starą opłatę.
abortion	aborcja	Aborcja pozostaje drażliwym tematem medycznym.
absence	nieobecność	Jej nieobecność opóźniła ostateczną decyzję.
absent	nieobecny	Dwóch członków było nieobecnych na zajęciach.
absurd	absurdny	Twierdzenie to brzmiało dla wszystkich absurdalnie.
abundance	obfitość	Dolina ma obfitość wody.
abuse	nadużycie	Raport opisywał nadużycia w miejscu pracy.
academy	akademia	Akademia kształci młodych muzyków.
accelerate	przyspieszyć	Nowe finansowanie przyspieszy badania.
acceptance	akceptacja	Jego akceptacja krytyki zaimponowała mi.
accessible	dostępny	Muzeum jest dostępne dla osób na wózkach inwalidzkich.
accomplishment	osiągnięcie	Ukończenie książki było prawdziwym osiągnięciem.
accordance	zgodność	Praca została wykonana w zgodności z polityką.
accordingly	odpowiednio	Dowody się zmieniły, a my postąpiliśmy odpowiednio.
accountability	odpowiedzialność	Polityka zwiększa odpowiedzialność menedżerów.
accountable	odpowiedzialny	Menedżerowie są odpowiedzialni za bezpieczeństwo.
accumulate	gromadzić się	Kurz może gromadzić się za ekranem.
accumulation	nagromadzenie	Nagromadzenie danych zajęło miesiące.
accusation	oskarżenie	Oskarżenie zszokowało komisję.
accused	oskarżony	Oskarżony stawił się w sądzie.
acquisition	przejęcie	Przejęcie szybko powiększyło firmę.
acre	akr	Farma zajmuje jeden akr.
activation	aktywacja	Aktywacja karty zajmuje kilka minut.
activist	aktywista	Aktywista przemawiał na wiecu.
acute	ostry	Poczuła ostry ból po bieganiu.
adaptation	adaptacja	Adaptacja zmieniła zakończenie powieści.
adhere	przestrzegać	Personel musi przestrzegać zasad bezpieczeństwa.
adjacent	przyległy	Hotel przylega do stacji.
adjustment	poprawka	Mała poprawka rozwiązała problem.
administer	podawać	Pielęgniarki ostrożnie podają szczepionkę.
administrative	administracyjny	Personel administracyjny zajmuje się formularzami.
administrator	administrator	Administrator zresetował moje hasło.
admission	wstęp	Wstęp do muzeum jest darmowy.
adolescent	nastolatek	Nastolatek potrzebował dodatkowego wsparcia.
adoption	adopcja	Adopcja dała dziecku stabilny dom.
adverse	niepożądany	Lek wywołał niepożądane skutki.
advocate	adwokat	Adwokat bronił praw najemców.
aesthetic	estetyczny	Pokój ma spokojny styl estetyczny.
affection	uczucie	Okazywała uczucie swojej rodzinie.
aftermath	następstwo	Następstwa burzy były trudne.
aggression	agresja	Nauczyciel zauważył agresję podczas przerwy.
agricultural	rolniczy	Eksport rolniczy wzrósł w tym roku.
aide	asystent	Asystent zorganizował harmonogram ministra.
albeit	aczkolwiek	Plan zadziałał, aczkolwiek powoli.
alert	powiadomić	Proszę natychmiast powiadomić personel.
align	zrównać	Strzałki pokrywają się z drogą.
alignment	zbieżność	Zbieżność kół poprawiła prowadzenie samochodu.
alike	tak samo	Bliźniacy ubierają się tak samo w weekendy.
allegation	zarzut	Zarzut pojawił się w gazecie.
allege	twierdzić	Twierdzą, że fundusze zostały utracone.
allegedly	rzekomo	Kierowca rzekomo zignorował ostrzeżenie.
alliance	sojusz	Partie utworzyły tymczasowy sojusz.
allocate	przeznaczyć	Miasto przeznaczy pieniądze na szkoły.
allocation	przydział	Przydział miejsc był niesprawiedliwy.
allowance	kieszonkowe	Jej kieszonkowe pokrywa obiad i transport.
ally	sojusznik	Kanada stała się bliskim sojusznikiem.
aluminium	aluminium	Rama jest wykonana z aluminium.
amateur	amatorski	Zdjęcie zrobił amatorski fotograf.
ambassador	ambasador	Ambasador spotkał się z lokalnymi uczniami.
amend	znowelizować	Parlament przegłosował nowelizację ustawy.
amendment	poprawka	Poprawka zmieniła jeden akapit.
amid	wśród	Przemówienie odbyło się wśród rosnącego napięcia.
analogy	analogia	Nauczyciel użył prostej analogii.
anchor	kotwica	Łódź rzuciła kotwicę w pobliżu wyspy.
angel	anioł	Dziecko miało na sobie strój anioła.
anonymous	anonimowy	Skarga była anonimowa.
apparatus	aparatura	Aparatura laboratoryjna wymaga czyszczenia.
appealing	atrakcyjny	Oferta wydaje się atrakcyjna dla studentów.
appetite	apetyt	Ćwiczenia zwiększyły jego apetyt.
applaud	klaskać	Publiczność zaczęła głośno klaskać.
applicable	obowiązujący	Zniżka obowiązuje dzisiaj.
appoint	powołać	Zarząd powoła dyrektora.
appreciation	wdzięczność	Wyraziła wdzięczność za ich pomoc.
arbitrary	arbitralny	Termin wydawał się personelowi arbitralny.
architectural	architektoniczny	Miasto chroni swoje dziedzictwo architektoniczne.
archive	archiwum	Archiwum przechowuje stare fotografie.
arena	arena	Debata przeniosła się na arenę publiczną.
arguably	prawdopodobnie	To prawdopodobnie jego najlepsza powieść.
arm	uzbroić	Strażnicy uzbroją konwój.
array	zbiór	Sklep oferuje szeroki wybór narzędzi.
articulate	artykułować	Potrafi jasno artykułować złożone idee.
ash	popiół	Popiół pokrył samochód po pożarze.
aspiration	aspiracja	Jej aspiracją jest zostanie chirurgiem.
aspire	dążyć	Wielu studentów dąży do studiowania za granicą.
assassination	zamach	Zamach zmienił politykę kraju.
assault	napaść	Napaść miała miejsce w pobliżu stacji.
assemble	montować	Pracownicy montują meble ręcznie.
assembly	apel	Szkolny apel zaczyna się o dziewiątej.
assert	zaznaczyć	Próbował zaznaczyć swój autorytet.
assertion	twierdzenie	Jej twierdzenie zaskoczyło panel.
assurance	zapewnienie	Menedżer dał zapewnienie o wsparciu.
asylum	azyl	Rodzina poprosiła o azyl na granicy.
atrocity	okrucieństwo	Film opisywał okrucieństwo wojenne.
attain	osiągnąć	Niewielu biegaczy osiąga tę prędkość.
attendance	frekwencja	Frekwencja poprawiła się po ogłoszeniu.
attorney	adwokat	Adwokat przesłuchał świadka.
attribute	przypisywać	Naukowcy przypisują ten wzrost zanieczyszczeniom.
audit	audyt	Audyt wykazał kilka błędów.
authentic	autentyczny	Restauracja serwuje autentyczne jedzenie regionalne.
authorize	autoryzować	Tylko menedżerowie mogą autoryzować zwroty.
auto	auto	Przemysł motoryzacyjny zmieniał się gwałtownie.
autonomy	autonomia	Region chce większej autonomii.
availability	dostępność	Dostępność miejsc jest ograniczona.
await	czekać	Kilka wiadomości czeka na twoją odpowiedź.
backdrop	tło	Góry tworzyły dramatyczne tło.
backing	poparcie	Propozycja zyskała poparcie wyborców.
backup	kopia zapasowa	System codziennie tworzy kopię zapasową.
bail	kaucja	Sędzia wyznaczył kaucję w południe.
ballot	karta do głosowania	Każdy wyborca otrzymał kartę do głosowania.
banner	transparent	Transparent wisiał nad wejściem.
bare	goły	Pokój miał gołe ściany.
barrel	beczka	Beczka była pełna wody.
bass1	bas	Bas brzmiał głęboko i ciepło.
battlefield	pole bitwy	Stare pole bitwy stało się pomnikiem.
bay	zatoka	Wioska leży nad spokojną zatoką.
beam	belka	Stalowa belka podtrzymuje dach.
beast	bestia	Historia opisuje groźną bestię.
behalf	imię	Przemawiała w imieniu swojego zespołu.
beloved	ukochany	Ukochany nauczyciel przeszedł dziś na emeryturę.
bench	ławka	Usiedli na drewnianej ławce.
benchmark	punkt odniesienia	Test stał się punktem odniesienia w branży.
beneath	pod	Dokumenty leżały pod teczką.
beneficiary	beneficjent	Jej syn był głównym beneficjentem.
betray	zdradzić	Nie zdradzaj zaufania przyjaciela.
bind	wiązać	Umowa będzie wiązać obie firmy.
biography	biografia	Jego biografia sprzedała się w wielu egzemplarzach.
bishop	biskup	Biskup odwiedził wiejski kościół.
bizarre	dziwaczny	Film miał dziwaczne zakończenie.
blade	ostrze	Ostrze przecięło linę.
blast	wybuch	Wybuch wybił pobliskie okna.
bleed	krwawić	Rozcięcie zaczęło mocno krwawić.
blend	mieszać	Mieszaj sos, aż będzie gładki.
bless	błogosławić	Ksiądz pobłogosławi dom.
blessing	błogosławieństwo	Wsparcie było błogosławieństwem.
boast	chwalić się	Lubi chwalić się pieniędzmi.
bonus	premia	Pracownicy otrzymali premię świąteczną.
