source_headword	BN	example_BN
incur	বহন করা	বিলম্বের কারণে অতিরিক্ত খরচ হতে পারে।
indicator	সূচক	বেকারত্ব একটি অর্থনৈতিক সূচক।
indictment	অভিযোগপত্র	অভিযোগপত্রে তিনটি অভিযোগের কথা উল্লেখ ছিল।
indigenous	দেশীয়	দেশীয় গাছপালা এখানে ভালো জন্মায়।
induce	প্ররোচিত করা	ওষুধটি ঘুমের উদ্রেক করতে পারে।
indulge	প্রশ্রয় দেওয়া	সে ব্যয়বহুল অভ্যাস প্রশ্রয় দেয় না।
inequality	অসমতা	আয় বৈষম্য একটি বড় সমস্যা রয়ে গেছে।
infamous	কুখ্যাত	কারাগারটি বিশ্বব্যাপী কুখ্যাত হয়ে ওঠে।
infant	শিশু	শিশুটি দোলনায় ঘুমাচ্ছিল।
infect	সংক্রমিত করা	ভাইরাসটি সুস্থ কোষকে সংক্রমিত করতে পারে।
inflict	চাপিয়ে দেওয়া	প্রাণীদের কষ্ট দেবেন না।
influential	প্রভাবশালী	তিনি একজন প্রভাবশালী আইন বিশেষজ্ঞ।
inherent	অন্তর্নিহিত	নকশাটিতে অন্তর্নিহিত ঝুঁকি রয়েছে।
inhibit	বাধা দেওয়া	ভয় সৎ আলোচনাকে বাধাগ্রস্ত করতে পারে।
initiate	শুরু করা	ব্যবস্থাপক পর্যালোচনা শুরু করবেন।
inject	ইনজেকশন দেওয়া	নার্স ভ্যাকসিন ইনজেকশন দেবেন।
injection	ইনজেকশন	ইনজেকশনটি ব্যথা কমিয়ে দেয়।
injustice	অবিচার	রায়টি স্পষ্ট অবিচার তুলে ধরেছে।
inmate	বন্দী	বন্দী আইনি পরামর্শ চেয়েছিলেন।
insertion	সন্নিবেশ	ফর্মটিতে একটি পাঠ্য সন্নিবেশ করা প্রয়োজন।
insider	ভিতরের লোক	একজন ভিতরের লোক প্রতিবেদনটি ফাঁস করেছে।
inspect	পরিদর্শন করা	কর্মকর্তারা প্রতি বছর সেতুটি পরিদর্শন করেন।
inspection	পরিদর্শন	পরিদর্শনে গুরুতর ক্ষতি পাওয়া গেছে।
inspiration	অনুপ্রেরণা	তার বক্তৃতা আমাকে অনুপ্রেরণা জুগিয়েছে।
instinct	প্রবৃত্তি	তার প্রথম প্রবৃত্তি ছিল সাহায্য করা।
institutional	প্রাতিষ্ঠানিক	প্রাতিষ্ঠানিক নিয়ম সিদ্ধান্তকে রূপ দিয়েছে।
instruct	নির্দেশ দেওয়া	ম্যানুয়ালটি নতুন কর্মীদের নির্দেশ দেবে।
instrumental	সহায়ক	আলোচনায় তার পরামর্শ সহায়ক ছিল।
insufficient	অপর্যাপ্ত	অভিযোগের জন্য প্রমাণ অপর্যাপ্ত ছিল।
insult	অপমান	তার অপমান কথোপকথন শেষ করে দেয়।
intact	অক্ষত	প্রাচীন প্রাচীরটি অক্ষত রয়ে গেছে।
intake	গ্রহণ	চিনি গ্রহণ পরিমিত থাকা উচিত।
integral	অবিচ্ছেদ্য	বিশ্বাস দলের অবিচ্ছেদ্য অংশ।
integrated	সমন্বিত	স্কুলটি সমন্বিত সহায়তা প্রদান করে।
integration	একীকরণ	একীকরণ পুরো ব্যবস্থাকে উন্নত করেছে।
integrity	সততা	বিচারক অত্যন্ত সততা দেখিয়েছেন।
intensify	তীব্র করা	রাতারাতি ঝড়টি তীব্র হতে পারে।
intensity	তীব্রতা	প্রশিক্ষণের তীব্রতা বৃদ্ধি পেয়েছে।
intensive	নিবিড়	তারা নিবিড় ভাষা প্রশিক্ষণ সম্পন্ন করেছে।
intent	উদ্দেশ্য	তার উদ্দেশ্য প্রমাণ করা কঠিন ছিল।
interactive	ইন্টারেক্টিভ	জাদুঘরে ইন্টারেক্টিভ প্রদর্শন রয়েছে।
interface	ইন্টারফেস	ইন্টারফেসটি নেভিগেট করা সহজ।
interfere	হস্তক্ষেপ করা	তদন্তে হস্তক্ষেপ করবেন না।
interference	হস্তক্ষেপ	সিগন্যাল হস্তক্ষেপে কলটি ব্যাহত হয়।
interim	অন্তর্বর্তীকালীন	আগামীকাল একটি অন্তর্বর্তী প্রতিবেদন আসবে।
interior	অভ্যন্তরভাগ	ভিতরের দেয়ালগুলো রং করা দরকার।
intermediate	মধ্যবর্তী	সে মধ্যবর্তী ক্লাসে যোগ দেয়।
intervene	হস্তক্ষেপ করা	পুলিশকে দ্রুত হস্তক্ষেপ করতে হয়েছিল।
intervention	হস্তক্ষেপ	প্রাথমিক হস্তক্ষেপ রোগীকে সাহায্য করেছে।
intimate	অন্তরঙ্গ	তারা একটি অন্তরঙ্গ পারিবারিক অনুষ্ঠানের আয়োজন করেছিল।
intriguing	কৌতূহলোদ্দীপক	ডেটা একটি কৌতূহলোদ্দীপক ধরণ প্রকাশ করেছে।
investigator	তদন্তকারী	তদন্তকারী প্রতিটি সাক্ষীর সাক্ষাৎকার নিয়েছেন।
invisible	অদৃশ্য	গ্যাসটি অদৃশ্য এবং বিপজ্জনক।
invoke	প্রয়োগ করা	আইনজীবী নজির প্রয়োগ করার চেষ্টা করেছিলেন।
involvement	সম্পৃক্ততা	তার সম্পৃক্ততা অস্পষ্ট ছিল।
ironic	বিদ্রূপাত্মক	বিদ্রূপাত্মক মন্তব্যটি সবাইকে হাসিয়েছে।
ironically	বিদ্রূপাত্মকভাবে	বিদ্রূপাত্মকভাবে, রাস্তাটি বেশি সময় নিয়েছে।
irony	বিদ্রূপ	বিদ্রূপটি সবার কাছে স্পষ্ট ছিল।
irrelevant	অপ্রাসঙ্গিক	সেই বিস্তারিত তথ্য এখানে অপ্রাসঙ্গিক।
isolation	বিচ্ছিন্নতা	বিচ্ছিন্নতা মানসিক স্বাস্থ্যের ক্ষতি করতে পারে।
judicial	বিচার বিভাগীয়	বিচার বিভাগীয় পর্যালোচনা সোমবার শুরু হবে।
junction	সংযোগস্থল	সংযোগস্থলে বাঁ দিকে ঘুরুন।
jurisdiction	এখতিয়ার	আদালতের এখতিয়ার সীমিত।
just	ন্যায্য	বিচারক একটি ন্যায্য সিদ্ধান্ত নিয়েছিলেন।
justification	ন্যায্যতা	ব্যয়ের জন্য আমাদের সুস্পষ্ট ন্যায্যতা প্রয়োজন।
kidnap	অপহরণ করা	অপরাধীরা কূটনীতিককে অপহরণ করার চেষ্টা করেছিল।
kidney	কিডনি	তার কিডনির কার্যকারিতা উন্নত হয়েছে।
kingdom	রাজ্য	তার শাসনামলে রাজ্য সম্প্রসারিত হয়েছিল।
lad	বালক	ছোট বালকটি ব্যাগগুলো বহন করেছিল।
landlord	বাড়িওয়ালা	বাড়িওয়ালা হিটিং সিস্টেম মেরামত করেছেন।
landmark	ল্যান্ডমার্ক	টাওয়ারটি শহরের একটি ল্যান্ডমার্ক হয়ে উঠেছে।
lap	কোল	শিশুটি তার কোলে বসেছিল।
large-scale	বড় আকারের	শহরটি বড় আকারের মেরামতের পরিকল্পনা করেছে।
laser	লেজার	লেজারটি দূরত্ব পরিমাপ করেছিল।
latter	শেষেরটি	শেষের বিকল্পটি বেশি নিরাপদ বলে মনে হচ্ছে।
lawn	লন	শিশুরা লনে খেলছিল।
lawsuit	মামলা	কোম্পানিটি মামলাটি মিটিয়ে ফেলেছে।
layout	লেআউট	পৃষ্ঠার লেআউটটি পরিষ্কার দেখাচ্ছে।
leak	ফুটো	পাইপের ফুটো দিয়ে রান্নাঘর প্লাবিত হয়েছিল।
leap	লাফ	বিক্রি হঠাৎ বৃদ্ধি পেয়েছে।
legacy	উত্তরাধিকার	তার উত্তরাধিকার বিশ্ববিদ্যালয়কে রূপ দিয়েছে।
legendary	কিংবদন্তি	কিংবদন্তি গায়ক মঞ্চে ফিরে এসেছিলেন।
legislation	আইন	নতুন আইন ভাড়াটিয়াদের সুরক্ষা দেয়।
legislative	আইন প্রণয়ন সংক্রান্ত	আইন প্রণয়ন কমিটি আজ বৈঠকে বসেছে।
legislature	আইনসভা	আইনসভা বাজেট অনুমোদন করেছে।
legitimate	বৈধ	তারা বৈধ উদ্বেগ উত্থাপন করেছিল।
lengthy	দীর্ঘ	দীর্ঘ বিতর্ক ভোটদানকে বিলম্বিত করেছিল।
lesbian	লেসবিয়ান	ফোরামে লেসবিয়ান কর্মী কথা বলেছেন।
lesser	কম	কম ঝুঁকির দিকটি বেছে নিন।
lethal	প্রাণঘাতী	রাসায়নিকটি প্রাণঘাতী হতে পারে।
liable	দায়ী	চালকরা ক্ষতির জন্য দায়ী।
liberal	উদার	তিনি উদার সামাজিক নীতি সমর্থন করেন।
liberation	মুক্তি	মুক্তি দেশের ভবিষ্যৎ বদলে দিয়েছে।
liberty	স্বাধীনতা	আইন ব্যক্তিগত স্বাধীনতা রক্ষা করে।
license	লাইসেন্স দেওয়া	রাজ্য নতুন ক্লিনিকগুলিকে লাইসেন্স দিতে পারে।
lifelong	আজীবন	তিনি সেখানে আজীবনের বন্ধু তৈরি করেছিলেন।
likelihood	সম্ভাবনা	বৃষ্টির সম্ভাবনা বেড়েছে।
limb	অঙ্গ	আহত অঙ্গটি ধীরে ধীরে সুস্থ হয়ে উঠেছে।
linear	রৈখিক	চার্টটি একটি রৈখিক প্রবণতা দেখায়।
line-up	লাইন-আপ	উৎসবের লাইন-আপে স্থানীয় ব্যান্ড অন্তর্ভুক্ত রয়েছে।
linger	টিকে থাকা	গন্ধটি কয়েক ঘণ্টা টিকে থাকতে পারে।
listing	তালিকা	অ্যাপার্টমেন্টের তালিকাটি সঠিক মনে হয়েছিল।
